,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,10.31,11.15,7.725,7.925,7.925,2741600
1,2008-03-01,7.695,8.35,6.555,7.385,7.385,17692600
2,2008-04-01,7.62,7.695,5.225,5.665,5.665,26978600
3,2008-05-01,5.845,6.1,4.085,4.47,4.47,87519800
4,2008-06-01,4.585,4.875,3.395,3.51,3.51,178020800
5,2008-07-01,3.535,4.63,3.15,4.36,4.36,146985000
6,2008-08-01,4.425,5.315,4.05,4.86,4.86,84044600
7,2008-09-01,5.275,7.705,5.01,5.69,5.69,91097200
8,2008-10-01,6.015,14.315,5.81,11.66,11.66,79312200
9,2008-11-01,12.395,20.905001,9.935,15.335,15.335,35253600
10,2008-12-01,17.77,32.25,16.9,21.145,21.145,29078400
11,2009-01-01,21.0,32.0,14.89,27.049999,27.049999,33578300
12,2009-02-01,28.25,47.5,25.549999,31.58,31.58,33034700
13,2009-03-01,34.950001,38.599998,19.110001,22.92,22.92,45008700
14,2009-04-01,24.299999,26.450001,19.35,22.25,22.25,30197200
15,2009-05-01,21.65,21.65,13.0,13.01,13.01,36539800
16,2009-06-01,12.57,13.49,10.58,11.55,11.55,41132900
17,2009-07-01,12.46,16.370001,11.44,11.66,11.66,39003300
18,2009-08-01,11.29,12.8,10.3,11.81,11.81,45907600
19,2009-09-01,11.73,13.13,10.56,11.3,11.3,37131700
20,2009-10-01,11.23,12.01,8.26,9.3,9.3,53510700
21,2009-11-01,9.29,10.11,8.37,9.23,9.23,31766800
22,2009-12-01,8.9,11.28,8.81,9.03,9.03,19296200
23,2010-01-01,8.71,10.85,8.15,10.75,10.75,23801100
24,2010-02-01,10.55,11.56,8.66,8.82,8.82,33416200
25,2010-03-01,8.72,9.17,7.93,8.05,8.05,72067600
26,2010-04-01,7.79,8.44,7.33,7.61,7.61,66997600
27,2010-05-01,7.61,13.5,7.4,10.94,10.94,57158800
28,2010-06-01,11.34,12.08,9.75,10.91,10.91,27342700
29,2010-07-01,11.51,12.04,9.73,9.82,9.82,29933800
30,2010-08-01,9.08,12.13,8.83,11.75,11.75,33893500
31,2010-09-01,11.35,11.4,9.63,9.7,9.7,27981100
32,2010-10-01,9.45,9.74,8.74,9.35,9.35,48265100
33,2010-11-01,8.89,9.57,7.97,8.75,8.75,46017400
34,2010-12-01,8.46,8.55,7.31,7.41,7.41,29629000
35,2011-01-01,7.41,8.58,7.22,7.36,7.36,35638900
36,2011-02-01,7.35,8.75,6.47,6.93,6.93,52170700
37,2011-03-01,6.84,6.85,5.72,5.73,5.73,84774600
38,2011-04-01,5.72,5.82,4.98,5.03,5.03,65356600
39,2011-05-01,5.07,6.87,4.92,5.92,5.92,89848400
40,2011-06-01,5.91,7.67,5.91,6.82,6.82,65089100
41,2011-07-01,6.8,6.9,6.07,6.66,6.66,50543300
42,2011-08-01,6.86,9.85,6.7,7.44,7.44,56123700
43,2011-09-01,7.46,9.44,7.12,9.15,9.15,57641800
44,2011-10-01,9.44,10.02,6.18,6.4,6.4,75230100
45,2011-11-01,6.78,6.83,5.14,5.36,5.36,70300700
46,2011-12-01,5.4,6.22,5.16,5.44,5.44,42873200
47,2012-01-01,5.13,5.55,4.92,5.45,5.45,46227100
48,2012-02-01,5.37,5.79,4.36,4.59,4.59,49382500
49,2012-03-01,4.54,5.01,4.31,4.94,4.94,38018600
50,2012-04-01,5.0,5.13,4.71,4.77,4.77,29968100
51,2012-05-01,4.78,7.04,4.64,6.94,6.94,32961800
52,2012-06-01,7.33,8.59,6.83,6.96,6.96,30015700
53,2012-07-01,6.6,7.09,5.72,6.46,6.46,21292900
54,2012-08-01,6.31,6.53,5.13,5.27,5.27,25460000
55,2012-09-01,5.25,6.16,4.9,5.76,5.76,30253200
56,2012-10-01,5.66,6.71,5.48,6.49,6.49,27934200
57,2012-11-01,6.47,6.72,5.94,6.03,6.03,21747700
58,2012-12-01,5.86,6.54,5.66,5.7,5.7,23502900
59,2013-01-01,5.47,5.61,5.0,5.05,5.05,31114300
60,2013-02-01,5.12,5.74,4.99,5.71,5.71,27150200
61,2013-03-01,5.84,6.02,5.11,5.12,5.12,26891900
62,2013-04-01,5.21,6.45,5.09,5.52,5.52,32008700
63,2013-05-01,5.78,5.87,5.07,5.64,5.64,51119300
64,2013-06-01,5.53,5.56,4.86,5.08,5.08,65354100
65,2013-07-01,4.87,4.87,3.93,4.19,4.19,54506600
66,2013-08-01,4.03,4.39,3.7,3.88,3.88,51651000
67,2013-09-01,3.92,4.29,3.68,4.19,4.19,44909500
68,2013-10-01,4.24,4.7,4.03,4.67,4.67,51317000
69,2013-11-01,4.73,5.13,4.73,4.99,4.99,31805400
70,2013-12-01,4.97,4.98,4.26,4.43,4.43,19310900
71,2014-01-01,4.57,5.14,4.4,4.5,4.5,33883300
72,2014-02-01,4.49,4.6,3.94,4.0,4.0,26573100
73,2014-03-01,3.85,4.38,3.79,4.0,4.0,28711000
74,2014-04-01,4.02,4.2,3.73,4.03,4.03,30892900
75,2014-05-01,4.08,4.1,3.61,3.72,3.72,25901400
76,2014-06-01,3.74,3.81,3.38,3.48,3.48,19806500
77,2014-07-01,3.5,3.95,3.47,3.93,3.93,23211900
78,2014-08-01,3.97,4.3,3.91,4.01,4.01,20123400
79,2014-09-01,4.12,4.44,4.01,4.28,4.28,23243300
80,2014-10-01,4.24,5.48,4.14,5.3,5.3,26892000
81,2014-11-01,5.37,7.64,5.28,7.38,7.38,18746700
82,2014-12-01,7.46,11.42,6.84,10.86,10.86,50628500
83,2015-01-01,11.29,15.9,10.88,13.01,13.01,62970000
84,2015-02-01,12.24,12.85,9.54,11.57,11.57,77526600
85,2015-03-01,11.58,15.3,10.39,12.84,12.84,75599700
86,2015-04-01,12.61,12.7,8.17,8.2,8.2,80978600
87,2015-05-01,8.35,9.24,7.52,8.11,8.11,47134900
88,2015-06-01,8.11,9.01,7.67,8.31,8.31,52682100
89,2015-07-01,8.82,13.12,8.7,13.04,13.04,39715700
90,2015-08-01,13.64,20.059999,11.0,11.33,11.33,49270000
91,2015-09-01,11.96,13.96,11.14,12.47,12.47,57144400
92,2015-10-01,11.66,14.02,10.1,11.7,11.7,53097700
93,2015-11-01,11.86,15.28,10.71,14.85,14.85,39188500
94,2015-12-01,14.9,21.58,14.45,19.58,19.58,39784800
95,2016-01-01,18.700001,36.049999,18.110001,23.33,23.33,34398400
96,2016-02-01,24.83,33.939999,22.049999,22.870001,22.870001,42055500
97,2016-03-01,22.959999,23.42,15.34,18.85,18.85,49883700
98,2016-04-01,19.969999,21.799999,12.69,13.14,13.14,58507600
99,2016-05-01,13.32,14.81,11.18,11.68,11.68,42290500
100,2016-06-01,12.12,13.24,10.56,11.76,11.76,32372300
101,2016-07-01,11.49,16.700001,11.46,16.0,16.0,32293800
102,2016-08-01,16.52,17.879999,11.44,13.6,13.6,44643100
103,2016-09-01,14.07,14.75,11.47,11.64,11.64,44399100
104,2016-10-01,11.42,12.33,9.93,12.33,12.33,34451800
105,2016-11-01,12.02,14.74,10.36,10.73,10.73,49041200
106,2016-12-01,10.01,10.4,8.89,9.18,9.18,40591400
107,2017-01-01,8.77,10.2,8.73,9.64,9.64,43376700
108,2017-02-01,9.55,10.11,9.05,9.35,9.35,46995800
109,2017-03-01,9.26,12.35,9.21,10.62,10.62,46088900
110,2017-04-01,10.67,11.77,9.45,11.34,11.34,25106300
111,2017-05-01,11.45,13.24,10.23,11.68,11.68,48378900
112,2017-06-01,11.58,15.23,11.24,12.6,12.6,33935900
113,2017-07-01,12.1,13.92,10.5,10.56,10.56,30674500
114,2017-08-01,10.78,12.59,10.61,11.87,11.87,31125300
115,2017-09-01,11.91,12.13,9.56,9.99,9.99,35141300
116,2017-10-01,10.36,10.92,8.9,8.94,8.94,46860500
117,2017-11-01,8.77,9.11,7.58,8.01,8.01,35984700
118,2017-12-01,7.79,8.41,7.17,7.25,7.25,18480600
119,2018-01-01,7.19,7.24,5.88,6.16,6.16,26118400
120,2018-02-01,6.06,7.58,5.91,6.72,6.72,41892100
121,2018-03-01,6.82,7.01,5.73,5.9,5.9,39361400
122,2018-04-01,6.01,6.48,5.1,5.24,5.24,38905900
123,2018-05-01,5.31,5.54,4.57,5.35,5.35,43975100
124,2018-06-01,5.47,5.81,4.25,4.26,4.26,44069600
125,2018-07-01,4.18,5.05,4.14,4.69,4.69,47757700
126,2018-08-01,4.81,5.25,4.31,4.37,4.37,40107200
127,2018-09-01,4.29,4.76,3.88,3.89,3.89,47813200
128,2018-10-01,3.91,4.87,3.55,4.86,4.86,47063900
129,2018-11-01,4.82,7.91,4.82,7.6,7.6,70223800
130,2018-12-01,6.89,9.73,6.57,8.82,8.82,67492000
131,2019-01-01,9.3,9.4,5.95,6.26,6.26,49749100
132,2019-02-01,6.21,6.88,5.5,5.58,5.58,45212500
133,2019-03-01,5.58,6.09,5.01,5.07,5.07,45870900
134,2019-04-01,4.98,5.0,4.1,4.45,4.45,38495100
135,2019-05-01,4.44,6.26,4.44,6.22,6.22,54565400
136,2019-06-01,5.98,6.83,4.8,5.14,5.14,44255700
137,2019-07-01,4.93,5.64,4.61,5.04,5.04,34797000
138,2019-08-01,5.15,6.5,4.92,5.28,5.28,62602700
139,2019-09-01,5.6,5.7,3.67,4.91,4.91,93342300
140,2019-10-01,4.83,5.54,4.41,4.87,4.87,46660800
141,2019-11-01,4.74,4.74,4.09,4.51,4.51,56730300
142,2019-12-01,4.36,4.53,3.56,3.67,3.67,42999400
143,2020-01-01,3.67,5.15,3.39,5.03,5.03,45798300
144,2020-02-01,5.13,6.79,4.49,6.43,6.43,56421500
145,2020-03-01,6.15,20.77,5.51,15.43,15.43,99865700
146,2020-04-01,15.27,33.5,5.61,16.85,16.85,87917100
147,2020-05-01,17.15,17.6,11.67,11.86,11.86,14388000
148,2020-06-01,12.05,12.06,10.15,10.6,10.6,6148000
149,2020-07-01,10.3,10.57,9.78,10.16,10.16,2508100
150,2020-08-01,10.13,10.13,9.42,9.63,9.63,1445100
151,2020-09-01,9.55,11.21,9.5,10.17,10.17,2476200
152,2020-10-01,10.39,11.44,9.69,11.25,11.25,3894500
153,2020-11-01,11.3,11.3,8.15,8.45,8.45,4093000
154,2020-12-01,8.49,8.71,7.37,7.56,7.56,3934300
155,2021-01-01,7.58,7.85,6.39,6.76,6.76,4223900
156,2021-02-01,6.54,6.73,4.42,4.72,4.72,9117700
157,2021-03-01,4.72,5.14,3.98,4.7,4.7,20701100
158,2021-04-01,4.48,4.76,4.31,4.4,4.4,1594600
159,2021-04-01,4.48,4.76,4.31,4.4,4.4,1594586
