,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,624320.0,789760.0,569600.0,776960.0,776960.0,3
1,2008-03-01,798080.0,910400.0,730880.0,774400.0,774400.0,28
2,2008-04-01,742720.0,1071040.0,742720.0,987840.0,987840.0,35
3,2008-05-01,951040.0,1336640.0,914240.0,1209280.0,1209280.0,96
4,2008-06-01,1176320.0,1478400.0,1104000.0,1428480.0,1428480.0,174
5,2008-07-01,1432960.0,1552320.0,1026560.0,1085440.0,1085440.0,134
6,2008-08-01,1074880.0,1163520.0,867200.0,925120.0,925120.0,129
7,2008-09-01,809600.0,864000.0,558720.0,686400.0,686400.0,229
8,2008-10-01,645440.0,669120.0,230400.0,278400.0,278400.0,413
9,2008-11-01,261760.0,303040.0,128000.0,162240.0,162240.0,1281
10,2008-12-01,143360.0,143360.0,61440.0,77440.0,77440.0,6802
11,2009-01-01,78720.0,106816.0,47040.0,49280.0,49280.0,33042
12,2009-02-01,47488.0,51328.0,26112.0,36736.0,36736.0,81821
13,2009-03-01,33216.0,48960.0,28608.0,39424.0,39424.0,72751
14,2009-04-01,37696.0,45120.0,31104.0,36672.0,36672.0,68119
15,2009-05-01,37696.0,58816.0,37632.0,58752.0,58752.0,58832
16,2009-06-01,61376.0,70464.0,55808.0,62720.0,62720.0,32213
17,2009-07-01,58176.0,58496.0,43008.0,57472.0,57472.0,26073
18,2009-08-01,60032.0,63040.0,51328.0,54336.0,54336.0,18839
19,2009-09-01,54784.0,59136.0,46400.0,52992.0,52992.0,23279
20,2009-10-01,53376.0,70656.0,49856.0,61824.0,61824.0,17057
21,2009-11-01,61824.0,68416.0,54400.0,60160.0,60160.0,11746
22,2009-12-01,62208.0,62912.0,48640.0,59776.0,59776.0,12801
23,2010-01-01,61952.0,65792.0,48640.0,49152.0,49152.0,9931
24,2010-02-01,50176.0,58688.0,44416.0,57152.0,57152.0,13943
25,2010-03-01,57856.0,62208.0,54912.0,61312.0,61312.0,12684
26,2010-04-01,63232.0,67072.0,57472.0,63360.0,63360.0,12447
27,2010-05-01,63360.0,65152.0,33984.0,41536.0,41536.0,27840
28,2010-06-01,40128.0,45440.0,37056.0,40192.0,40192.0,19796
29,2010-07-01,38016.0,43712.0,35968.0,43072.0,43072.0,12356
30,2010-08-01,46080.0,47552.0,33984.0,34816.0,34816.0,15354
31,2010-09-01,35904.0,41408.0,35264.0,41088.0,41088.0,13524
32,2010-10-01,42240.0,45440.0,40128.0,41344.0,41344.0,11715
33,2010-11-01,43328.0,48256.0,39616.0,43008.0,43008.0,10486
34,2010-12-01,44544.0,50560.0,43904.0,49920.0,49920.0,5603
35,2011-01-01,50048.0,50624.0,42304.0,48768.0,48768.0,10247
36,2011-02-01,48832.0,53824.0,40704.0,50240.0,50240.0,14653
37,2011-03-01,50944.0,59776.0,49728.0,58688.0,58688.0,14009
38,2011-04-01,59072.0,65984.0,57152.0,65472.0,65472.0,5343
39,2011-05-01,64960.0,66752.0,44736.0,51328.0,51328.0,13413
40,2011-06-01,51456.0,51520.0,38208.0,42816.0,42816.0,12892
41,2011-07-01,42816.0,47232.0,41984.0,42880.0,42880.0,8498
42,2011-08-01,41664.0,42688.0,28032.0,35456.0,35456.0,17273
43,2011-09-01,35456.0,36416.0,26816.0,27072.0,27072.0,16226
44,2011-10-01,26176.0,37952.0,24576.0,36416.0,36416.0,13059
45,2011-11-01,34112.0,44672.0,33856.0,42368.0,42368.0,7542
46,2011-12-01,42048.0,43904.0,35776.0,40576.0,40576.0,6338
47,2012-01-01,42880.0,44416.0,39040.0,39680.0,39680.0,8145
48,2012-02-01,40192.0,48768.0,37312.0,46208.0,46208.0,8396
49,2012-03-01,46720.0,49216.0,41408.0,42112.0,42112.0,6271
50,2012-04-01,41536.0,44032.0,40128.0,42752.0,42752.0,3716
51,2012-05-01,42752.0,44096.0,28288.0,28672.0,28672.0,5730
52,2012-06-01,27200.0,28864.0,22464.0,26688.0,26688.0,10392
53,2012-07-01,28032.0,31744.0,25920.0,27840.0,27840.0,8336
54,2012-08-01,28416.0,34432.0,27520.0,33344.0,33344.0,6889
55,2012-09-01,33536.0,35712.0,28032.0,30016.0,30016.0,6676
56,2012-10-01,30528.0,30848.0,24960.0,25792.0,25792.0,8947
57,2012-11-01,25920.0,27520.0,24384.0,26816.0,26816.0,10093
58,2012-12-01,27456.0,28224.0,24704.0,28096.0,28096.0,8759
59,2013-01-01,29120.0,31680.0,28416.0,31296.0,31296.0,5068
60,2013-02-01,30848.0,31680.0,27264.0,27392.0,27392.0,3945
61,2013-03-01,26752.0,30208.0,25920.0,30080.0,30080.0,4025
62,2013-04-01,29632.0,30272.0,23552.0,27264.0,27264.0,7280
63,2013-05-01,25984.0,29312.0,25536.0,26240.0,26240.0,9495
64,2013-06-01,26688.0,30144.0,26496.0,28608.0,28608.0,6548
65,2013-07-01,29760.0,36416.0,29760.0,34048.0,34048.0,5204
66,2013-08-01,35328.0,37760.0,32192.0,35904.0,35904.0,3298
67,2013-09-01,35520.0,37824.0,32064.0,32768.0,32768.0,2684
68,2013-10-01,32448.0,34048.0,28864.0,29056.0,29056.0,4428
69,2013-11-01,28608.0,28608.0,26112.0,26816.0,26816.0,4826
70,2013-12-01,26880.0,31104.0,26816.0,29824.0,29824.0,2772
71,2014-01-01,28864.0,29504.0,25536.0,28864.0,28864.0,7496
72,2014-02-01,28928.0,32704.0,28160.0,32128.0,32128.0,1801
73,2014-03-01,33216.0,33856.0,29120.0,31744.0,31744.0,2522
74,2014-04-01,31616.0,33728.0,30144.0,31104.0,31104.0,1693
75,2014-05-01,30656.0,34432.0,30464.0,33344.0,33344.0,1793
76,2014-06-01,33152.0,36416.0,32512.0,35456.0,35456.0,1468
77,2014-07-01,35008.0,35456.0,30784.0,30848.0,30848.0,2122
78,2014-08-01,30528.0,31040.0,27968.0,29888.0,29888.0,3932
79,2014-09-01,29056.0,29696.0,26688.0,27392.0,27392.0,5931
80,2014-10-01,27712.0,28224.0,20864.0,21440.0,21440.0,8720
81,2014-11-01,21376.0,21568.0,13952.0,14656.0,14656.0,9906
82,2014-12-01,14336.0,15488.0,8608.0,9056.0,9056.0,22382
83,2015-01-01,8704.0,9024.0,5640.0,6712.0,6712.0,72835
84,2015-02-01,7152.0,8584.0,6256.0,6632.0,6632.0,136581
85,2015-03-01,6648.0,7376.0,4896.0,5616.0,5616.0,129648
86,2015-04-01,5736.0,8184.0,5688.0,8144.0,8144.0,99718
87,2015-05-01,7976.0,8944.0,6984.0,7888.0,7888.0,67644
88,2015-06-01,7912.0,8248.0,7040.0,7480.0,7480.0,74471
89,2015-07-01,7360.0,7416.0,4472.0,4504.0,4504.0,89876
90,2015-08-01,4296.0,4632.0,2784.0,4496.0,4496.0,116100
91,2015-09-01,4240.0,4424.0,3512.0,3728.0,3728.0,143681
92,2015-10-01,3952.0,4512.0,3152.0,3728.0,3728.0,135762
93,2015-11-01,3664.0,4032.0,2760.0,2808.0,2808.0,129439
94,2015-12-01,2800.0,2880.0,1840.0,2000.0,2000.0,181905
95,2016-01-01,2088.0,2148.0,1012.0,1480.0,1480.0,340137
96,2016-02-01,1384.0,1452.0,940.0,1260.0,1260.0,571665
97,2016-03-01,1252.0,1764.0,1228.0,1420.0,1420.0,487940
98,2016-04-01,1328.0,1944.0,1212.0,1880.0,1880.0,441260
99,2016-05-01,1864.0,2142.0,1660.0,2050.0,2050.0,268274
100,2016-06-01,1970.0,2254.0,1724.0,1914.0,1914.0,420255
101,2016-07-01,1960.0,1964.0,1284.0,1336.0,1336.0,427692
102,2016-08-01,1292.0,1792.0,1180.0,1480.0,1480.0,456816
103,2016-09-01,1430.0,1668.0,1314.0,1612.0,1612.0,511470
104,2016-10-01,1646.0,1864.0,1484.0,1484.0,1484.0,329671
105,2016-11-01,1520.0,1608.0,1214.0,1562.0,1562.0,523118
106,2016-12-01,1672.0,1852.0,1600.0,1778.0,1778.0,394795
107,2017-01-01,1860.0,1864.0,1578.0,1644.0,1644.0,450000
108,2017-02-01,1672.0,1730.0,1560.0,1672.0,1672.0,337340
109,2017-03-01,1686.0,1696.0,1234.0,1424.0,1424.0,415727
110,2017-04-01,1422.0,1594.0,1262.0,1310.0,1310.0,244813
111,2017-05-01,1300.0,1418.0,1110.0,1224.0,1224.0,518488
112,2017-06-01,1236.0,1270.0,914.0,1098.0,1098.0,490378
113,2017-07-01,1136.0,1286.0,986.0,1278.0,1278.0,416714
114,2017-08-01,1250.0,1264.0,1044.0,1102.0,1102.0,410739
115,2017-09-01,1096.0,1344.0,1080.0,1286.0,1286.0,315975
116,2017-10-01,1220.0,1410.0,1162.0,1404.0,1404.0,294627
117,2017-11-01,1430.0,1628.0,1378.0,1534.0,1534.0,284512
118,2017-12-01,1582.0,1690.0,1454.0,1672.0,1672.0,189449
119,2018-01-01,1686.0,2036.0,1672.0,1938.0,1938.0,145585
120,2018-02-01,1968.0,2020.0,1548.0,1742.0,1742.0,187801
121,2018-03-01,1714.0,1994.0,1656.0,1932.0,1932.0,187141
122,2018-04-01,1896.0,2186.0,1746.0,2124.0,2124.0,154136
123,2018-05-01,2092.0,2404.0,1960.0,2024.0,2024.0,204576
124,2018-06-01,1982.0,2474.0,1856.0,2462.0,2462.0,195805
125,2018-07-01,2510.0,2528.0,2030.0,2178.0,2178.0,222507
126,2018-08-01,2116.0,2322.0,1918.0,2284.0,2284.0,204354
127,2018-09-01,2330.0,2536.0,2086.0,2522.0,2522.0,167286
128,2018-10-01,2512.0,2754.0,1956.0,1962.0,1962.0,223223
129,2018-11-01,1974.0,1978.0,1104.0,1152.0,1152.0,442881
130,2018-12-01,1258.0,1322.0,842.0,906.0,906.0,519162
131,2019-01-01,860.0,1286.0,850.0,1226.0,1226.0,421093
132,2019-02-01,1232.0,1370.0,1100.0,1344.0,1344.0,318271
133,2019-03-01,1344.0,1470.0,1218.0,1456.0,1456.0,269242
134,2019-04-01,1478.0,1772.0,1474.0,1630.0,1630.0,177466
135,2019-05-01,1626.0,1630.0,1104.0,1112.0,1112.0,323269
136,2019-06-01,1160.0,1376.0,1000.0,1288.0,1288.0,363081
137,2019-07-01,1344.0,1408.0,1140.0,1272.0,1272.0,251932
138,2019-08-01,1228.0,1236.0,950.0,1122.0,1122.0,327943
139,2019-09-01,1050.0,1440.0,1030.0,1062.0,1062.0,463701
140,2019-10-01,1074.0,1158.0,934.0,1046.0,1046.0,316103
141,2019-11-01,1072.0,1218.0,1070.0,1090.0,1090.0,182774
142,2019-12-01,1120.0,1360.0,1086.0,1316.0,1316.0,140435
143,2020-01-01,1316.0,1422.0,908.0,932.0,932.0,252835
144,2020-02-01,914.0,1028.0,656.0,700.0,700.0,497760
145,2020-03-01,732.0,804.0,85.400002,95.599998,95.599998,4147500
146,2020-04-01,97.0,185.800003,10.6,19.879999,19.879999,16851710
147,2020-05-01,19.6,19.66,9.3,13.01,13.01,11002300
148,2020-06-01,12.84,14.94,12.8,14.24,14.24,5663400
149,2020-07-01,14.6,15.29,14.05,14.65,14.65,1758700
150,2020-08-01,14.71,15.68,14.71,15.33,15.33,1514000
151,2020-09-01,15.39,15.54,13.0,14.14,14.14,2379700
152,2020-10-01,13.84,14.68,12.28,12.52,12.52,3742500
153,2020-11-01,12.46,16.799999,12.45,16.23,16.23,2927300
154,2020-12-01,16.129999,18.370001,15.7,17.809999,17.809999,2066700
155,2021-01-01,17.780001,20.75,17.129999,19.549999,19.549999,2662300
156,2021-02-01,20.200001,29.0,19.6,26.99,26.99,4125100
157,2021-03-01,26.98,31.32,23.08,24.549999,24.549999,5432700
158,2021-04-01,25.73,26.530001,24.219999,26.139999,26.139999,432200
159,2021-04-01,25.73,26.530001,24.219999,26.139999,26.139999,432241
