,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-12-01,0.71875,0.84125,0.625,0.76,0.76,17328000
1,2009-01-01,0.7675,0.85875,0.665,0.70875,0.70875,16707200
2,2009-02-01,0.6975,0.84125,0.62375,0.63,0.63,16103200
3,2009-03-01,0.60875,0.8,0.54125,0.745,0.745,29637600
4,2009-04-01,0.73125,0.97,0.71875,0.9375,0.9375,23241600
5,2009-05-01,0.93625,0.99375,0.85125,0.9825,0.9825,20904000
6,2009-06-01,1.00625,1.08875,0.94875,1.03625,1.03625,8666400
7,2009-07-01,1.0275,1.25875,0.9275,1.22375,1.22375,6444000
8,2009-08-01,1.24125,1.31,1.15125,1.23875,1.23875,5594400
9,2009-09-01,1.23875,1.44375,1.18375,1.375,1.375,5089600
10,2009-10-01,1.37125,1.47875,1.265,1.30375,1.30375,4833600
11,2009-11-01,1.3,1.53125,1.275,1.44875,1.44875,2472800
12,2009-12-01,1.465,1.63125,1.43125,1.60375,1.60375,2491200
13,2010-01-01,1.62,1.65625,1.38,1.39625,1.39625,3003200
14,2010-02-01,1.3925,1.52875,1.34375,1.51125,1.51125,2596800
15,2010-03-01,1.51875,1.775,1.51875,1.74,1.74,4051200
16,2010-04-01,1.76,1.92375,1.7175,1.815,1.815,5446400
17,2010-05-01,1.83,1.88125,1.3225,1.54375,1.54375,11824800
18,2010-06-01,1.51625,1.66875,1.3275,1.33,1.33,9092800
19,2010-07-01,1.325,1.5725,1.26875,1.515,1.515,7428800
20,2010-08-01,1.5725,1.60375,1.325,1.355,1.355,8813600
21,2010-09-01,1.39375,1.775,1.3925,1.725,1.725,10150400
22,2010-10-01,1.76125,1.9625,1.665,1.94375,1.94375,8788800
23,2010-11-01,1.94,2.07875,1.8675,1.9225,1.9225,12035200
24,2010-12-01,1.965,2.16,1.965,2.10625,2.10625,6503200
25,2011-01-01,2.16625,2.33,2.1425,2.2175,2.2175,10964000
26,2011-02-01,2.2475,2.46125,2.2275,2.34625,2.34625,7202400
27,2011-03-01,2.36375,2.4,2.04375,2.32125,2.32125,9693600
28,2011-04-01,2.32375,2.4675,2.14375,2.45625,2.45625,6900800
29,2011-05-01,2.445,2.4675,2.24,2.37625,2.37625,3268000
30,2011-06-01,2.37,2.38125,2.00375,2.27,2.27,5914400
