,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-12-01,3.435,3.845,3.01,3.62,3.62,21751600
1,2009-01-01,3.69,3.99,2.8,2.995,2.995,20685600
2,2009-02-01,2.885,3.365,2.345,2.355,2.355,28637000
3,2009-03-01,2.25,2.945,1.91,2.675,2.675,51236400
4,2009-04-01,2.61,3.295,2.59,3.17,3.17,23964000
5,2009-05-01,3.19,3.6,3.13,3.52,3.52,14459600
6,2009-06-01,3.625,3.795,3.265,3.485,3.485,8605800
7,2009-07-01,3.425,4.105,3.115,3.99,3.99,8886800
8,2009-08-01,4.075,4.42,3.775,4.26,4.26,8043800
9,2009-09-01,4.25,4.765,4.03,4.545,4.545,8749600
10,2009-10-01,4.54,4.935,4.19,4.34,4.34,8056000
11,2009-11-01,4.37,5.02,4.29,4.86,4.86,6188400
12,2009-12-01,4.945,5.165,4.775,5.015,5.015,4581600
13,2010-01-01,5.09,5.35,4.625,4.635,4.635,5985000
14,2010-02-01,4.71,4.975,4.39,4.925,4.925,6054200
15,2010-03-01,4.95,5.605,4.94,5.505,5.505,4075600
16,2010-04-01,5.575,5.99,5.51,5.64,5.64,5267400
17,2010-05-01,5.7,5.81,4.275,4.735,4.735,16137000
18,2010-06-01,4.6,5.025,4.14,4.155,4.155,15365400
19,2010-07-01,4.135,4.895,4.025,4.725,4.725,11792200
20,2010-08-01,4.9,4.96,4.195,4.275,4.275,10292000
21,2010-09-01,4.395,5.19,4.38,5.04,5.04,6849800
22,2010-10-01,5.115,5.53,4.97,5.425,5.425,5056000
23,2010-11-01,5.48,5.83,5.325,5.395,5.395,6612200
24,2010-12-01,5.535,6.19,5.535,6.13,6.13,4460200
25,2011-01-01,6.275,6.55,6.16,6.39,6.39,4168800
26,2011-02-01,6.465,6.995,6.465,6.825,6.825,2715400
27,2011-03-01,6.875,6.885,6.05,6.8,6.8,6195600
28,2011-04-01,6.875,7.19,6.465,7.175,7.175,2660400
29,2011-05-01,7.33,7.33,6.65,6.99,6.99,4355400
30,2011-06-01,6.99,6.99,6.11,6.72,6.72,4583800
31,2011-07-01,6.885,7.1,6.335,6.415,6.415,3694400
32,2011-08-01,6.365,6.365,4.6,5.58,5.58,18084600
33,2011-09-01,5.5,5.665,4.605,4.75,4.75,13068200
34,2011-10-01,4.675,6.14,4.285,5.765,5.765,14753000
35,2011-11-01,5.415,5.99,4.85,5.66,5.66,16097600
36,2011-12-01,5.62,5.85,5.26,5.755,5.755,10995600
37,2012-01-01,5.95,6.465,5.82,6.26,6.26,5711400
38,2012-02-01,6.345,6.91,6.345,6.79,6.79,4490200
39,2012-03-01,6.83,7.335,6.54,7.22,7.22,5301400
40,2012-04-01,7.21,7.365,6.705,7.095,7.095,7959800
41,2012-05-01,7.07,7.265,6.075,6.25,6.25,7315800
42,2012-06-01,6.015,6.825,5.84,6.715,6.715,7121400
43,2012-07-01,6.765,7.005,6.365,6.885,6.885,9003600
44,2012-08-01,6.915,7.375,6.635,7.18,7.18,3782200
45,2012-09-01,7.17,7.88,7.085,7.52,7.52,4442800
46,2012-10-01,7.58,7.855,7.1,7.235,7.235,4727600
47,2012-11-01,7.25,7.47,6.56,7.28,7.28,9093600
48,2012-12-01,7.36,7.65,7.11,7.415,7.415,7177600
49,2013-01-01,7.685,8.29,7.65,8.185,8.185,3593400
50,2013-02-01,8.26,8.545,8.04,8.38,8.38,5247200
51,2013-03-01,8.32,8.99,8.225,8.985,8.985,7558600
52,2013-04-01,8.975,9.31,8.595,9.285,9.285,14813200
53,2013-05-01,9.25,10.38,9.11,9.715,9.715,6734200
54,2013-06-01,9.76,9.98,8.87,9.405,9.405,11425400
55,2013-07-01,9.49,10.525,9.385,10.375,10.375,7307200
56,2013-08-01,10.53,10.65,9.68,9.73,9.73,6850800
57,2013-09-01,9.93,10.965,9.755,10.35,10.35,6667400
58,2013-10-01,10.36,11.525,9.925,11.31,11.31,5926000
59,2013-11-01,11.34,12.075,11.165,11.96,11.96,3639000
60,2013-12-01,11.965,12.555,11.465,12.55,12.55,4417200
61,2014-01-01,12.495,12.585,11.51,11.665,11.665,4993200
62,2014-02-01,11.635,12.835,11.095,12.725,12.725,6705000
63,2014-03-01,12.51,13.085,12.385,12.945,12.945,8215400
