,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-01-01,14824.0,14864.0,11864.0,12952.0,12952.0,42
1,2011-02-01,12304.0,14080.0,11184.0,12272.0,12272.0,69
2,2011-03-01,12376.0,15656.0,11912.0,11912.0,11912.0,57
3,2011-04-01,11552.0,11904.0,9368.0,9432.0,9432.0,83
4,2011-05-01,9440.0,10352.0,8704.0,8712.0,8712.0,67
5,2011-06-01,8784.0,10680.0,8544.0,8560.0,8560.0,64
6,2011-07-01,7952.0,10184.0,7944.0,9712.0,9712.0,389
7,2011-08-01,9472.0,18472.0,9256.0,16320.0,16320.0,1314
8,2011-09-01,16088.0,22088.0,15840.0,22088.0,22088.0,679
9,2011-10-01,22680.0,24560.0,15160.0,16864.0,16864.0,625
10,2011-11-01,19384.0,21088.0,17216.0,17712.0,17712.0,608
11,2011-12-01,17768.0,18656.0,14032.0,15104.0,15104.0,240
12,2012-01-01,14432.0,14432.0,11072.0,11424.0,11424.0,363
13,2012-02-01,11176.0,12272.0,10112.0,10520.0,10520.0,730
14,2012-03-01,10416.0,11152.0,6656.0,7192.0,7192.0,738
15,2012-04-01,7080.0,8768.0,6888.0,7088.0,7088.0,652
16,2012-05-01,7048.0,9760.0,6800.0,8904.0,8904.0,1201
17,2012-06-01,9600.0,9776.0,6528.0,6568.0,6568.0,1750
18,2012-07-01,6120.0,6464.0,5440.0,5880.0,5880.0,921
19,2012-08-01,5776.0,5936.0,4768.0,4976.0,4976.0,505
20,2012-09-01,5008.0,5080.0,3688.0,3880.0,3880.0,475
21,2012-10-01,3808.0,4096.0,3560.0,3984.0,3984.0,580
22,2012-11-01,3928.0,4080.0,3152.0,3200.0,3200.0,282
23,2012-12-01,3152.0,3960.0,3040.0,3464.0,3464.0,480
24,2013-01-01,3200.0,3216.0,2440.0,2648.0,2648.0,368
25,2013-02-01,2592.0,2880.0,2296.0,2608.0,2608.0,325
26,2013-03-01,2680.0,2720.0,2200.0,2216.0,2216.0,370
27,2013-04-01,2240.0,2460.0,2000.0,2070.0,2070.0,451
28,2013-05-01,2110.0,2150.0,1966.0,2088.0,2088.0,355
29,2013-06-01,2104.0,2528.0,2058.0,2244.0,2244.0,367
30,2013-07-01,2200.0,2250.0,1664.0,1670.0,1670.0,309
31,2013-08-01,1610.0,1834.0,1558.0,1820.0,1820.0,482
32,2013-09-01,1776.0,1832.0,1454.0,1612.0,1612.0,671
33,2013-10-01,1582.0,1892.0,1386.0,1420.0,1420.0,1258
34,2013-11-01,1416.0,1426.0,1210.0,1234.0,1234.0,474
35,2013-12-01,1248.0,1328.0,1146.0,1170.0,1170.0,442
36,2014-01-01,1188.0,1412.0,1094.0,1354.0,1354.0,1784
37,2014-02-01,1370.0,1514.0,1132.0,1200.0,1200.0,1360
38,2014-03-01,1260.0,1314.0,1156.0,1158.0,1158.0,1342
39,2014-04-01,1144.0,1272.0,1098.0,1100.0,1100.0,1702
40,2014-05-01,1104.0,1120.0,914.0,922.0,922.0,1159
41,2014-06-01,930.0,930.0,776.0,776.0,776.0,661
42,2014-07-01,766.0,944.0,716.0,870.0,870.0,2227
43,2014-08-01,878.0,960.0,732.0,774.0,774.0,3429
44,2014-09-01,780.0,858.0,738.0,848.0,848.0,1761
45,2014-10-01,858.0,1220.0,784.0,832.0,832.0,3851
46,2014-11-01,834.0,882.0,700.0,798.0,798.0,1037
47,2014-12-01,780.0,990.0,710.0,872.0,872.0,2468
48,2015-01-01,824.0,1030.0,814.0,1004.0,1004.0,1486
49,2015-02-01,992.0,1030.0,742.0,762.0,762.0,693
50,2015-03-01,766.0,816.0,680.0,706.0,706.0,2923
51,2015-04-01,708.0,726.0,572.0,602.0,602.0,1435
52,2015-05-01,602.0,620.0,504.0,524.0,524.0,1986
53,2015-06-01,524.0,576.0,468.0,556.0,556.0,1435
54,2015-07-01,520.0,592.0,438.0,444.0,444.0,2411
55,2015-08-01,436.0,751.799988,418.0,731.400024,731.400024,5854
56,2015-09-01,808.0,866.200012,560.0,705.799988,705.799988,8475
57,2015-10-01,733.400024,733.400024,497.200012,518.599976,518.599976,1820
58,2015-11-01,500.0,610.0,499.399994,521.599976,521.599976,1725
59,2015-12-01,504.799988,667.400024,495.0,549.799988,549.799988,4565
60,2016-01-01,599.200012,819.799988,576.400024,670.799988,670.799988,5970
61,2016-02-01,670.799988,845.0,660.799988,692.599976,692.599976,3285
62,2016-03-01,678.0,678.799988,485.0,494.799988,494.799988,3950
63,2016-04-01,496.0,534.0,423.799988,471.200012,471.200012,19940
64,2016-05-01,460.600006,484.0,374.600006,378.200012,378.200012,30430
65,2016-06-01,385.200012,503.0,352.799988,392.0,392.0,27895
66,2016-07-01,384.200012,397.200012,285.200012,285.799988,285.799988,17115
67,2016-08-01,286.799988,301.200012,251.600006,254.399994,254.399994,15120
68,2016-09-01,254.399994,297.0,233.800003,238.600006,238.600006,26595
69,2016-10-01,243.600006,258.0,214.600006,240.0,240.0,9770
70,2016-11-01,242.0,270.0,194.0,195.399994,195.399994,19595
71,2016-12-01,198.0,207.399994,167.0,180.0,180.0,18260
72,2017-01-01,172.800003,173.0,133.199997,137.0,137.0,39260
73,2017-02-01,133.600006,136.0,118.199997,129.800003,129.800003,25865
74,2017-03-01,124.599998,127.800003,108.199997,110.599998,110.599998,24395
75,2017-04-01,112.0,128.199997,105.599998,105.599998,105.599998,26540
76,2017-05-01,104.400002,113.400002,91.099998,95.0,95.0,28330
77,2017-06-01,93.5,99.300003,85.699997,89.599998,89.599998,15350
78,2017-07-01,89.5,96.0,76.900002,79.0,79.0,10230
79,2017-08-01,77.800003,98.800003,77.0,81.800003,81.800003,50460
80,2017-09-01,80.300003,89.0,68.699997,68.699997,68.699997,22140
81,2017-10-01,67.5,67.5,58.900002,59.799999,59.799999,10910
82,2017-11-01,58.799999,64.800003,54.5,55.400002,55.400002,11660
83,2017-12-01,56.299999,63.099998,47.799999,49.0,49.0,19230
84,2018-01-01,48.299999,55.799999,44.700001,52.5,52.5,51240
85,2018-02-01,52.599998,98.599998,49.5,78.0,78.0,103070
86,2018-03-01,78.0,91.699997,67.5,83.300003,83.300003,32380
87,2018-04-01,86.5,94.5,70.099998,72.300003,72.300003,36380
88,2018-05-01,73.5,77.099998,59.299999,65.199997,65.199997,37230
89,2018-06-01,62.700001,71.199997,54.599998,64.800003,64.800003,112560
90,2018-07-01,64.099998,68.800003,53.099998,55.5,55.5,90320
91,2018-08-01,54.5,60.0,49.0,51.0,51.0,148810
92,2018-09-01,51.599998,55.900002,45.799999,46.900002,46.900002,105230
93,2018-10-01,45.700001,73.900002,45.5,65.800003,65.800003,389210
94,2018-11-01,65.0,71.0,55.700001,60.599998,60.599998,227770
95,2018-12-01,57.0,91.5,56.200001,82.699997,82.699997,236490
96,2019-01-01,86.099998,86.199997,62.599998,62.599998,62.599998,182240
97,2019-02-01,62.700001,63.5,52.0,55.5,55.5,145620
98,2019-03-01,54.200001,61.900002,49.5,51.700001,51.700001,360080
99,2019-04-01,50.799999,51.5,43.799999,45.299999,45.299999,180790
100,2019-05-01,44.799999,58.700001,44.599998,53.900002,53.900002,683480
101,2019-06-01,53.900002,55.299999,44.5,45.5,45.5,273450
102,2019-07-01,46.400002,46.400002,37.700001,41.5,41.5,252660
103,2019-08-01,41.599998,54.599998,39.900002,47.5,47.5,544190
104,2019-09-01,48.799999,50.099998,38.5,41.799999,41.799999,337200
105,2019-10-01,41.0,47.700001,34.200001,35.0,35.0,446820
106,2019-11-01,34.0,34.5,28.0,28.799999,28.799999,228200
107,2019-12-01,28.299999,33.700001,25.1,26.6,26.6,283880
108,2020-01-01,26.0,29.4,23.1,28.6,28.6,863770
109,2020-02-01,27.799999,44.139999,23.6,40.599998,40.599998,3463430
110,2020-03-01,39.450001,149.809998,37.25,82.260002,82.260002,5644200
111,2020-04-01,88.190002,90.419998,64.099998,67.639999,67.639999,3353000
112,2020-05-01,73.379997,76.82,56.25,59.610001,59.610001,3707000
113,2020-06-01,61.040001,82.18,51.259998,61.060001,61.060001,2345600
114,2020-07-01,56.990002,64.5,50.799999,51.5,51.5,1305600
115,2020-08-01,51.099998,51.099998,42.720001,48.330002,48.330002,1462500
116,2020-09-01,48.450001,61.5,42.810001,44.810001,44.810001,2613500
117,2020-10-01,44.68,50.25,39.040001,48.040001,48.040001,1565500
118,2020-11-01,46.900002,47.459999,30.99,31.139999,31.139999,1248700
119,2020-12-01,30.74,35.25,29.5,30.33,30.33,901000
120,2021-01-01,30.33,39.560001,29.34,38.099998,38.099998,2659500
121,2021-02-01,37.009998,38.59,26.299999,29.02,29.02,2918800
122,2021-03-01,27.33,30.860001,20.4,20.780001,20.780001,4520900
123,2021-04-01,20.5,20.58,19.969999,20.120001,20.120001,183500
124,2021-04-01,20.5,20.58,19.969999,20.120001,20.120001,183495
