,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-02-01,26.67,27.77,25.77,26.17,26.17,618400
1,2007-03-01,25.450001,27.299999,24.620001,26.74,26.74,1453600
2,2007-04-01,26.799999,29.049999,26.799999,27.549999,27.549999,1184200
3,2007-05-01,27.700001,30.940001,26.98,30.49,30.49,1895700
4,2007-06-01,30.4,31.15,28.129999,29.85,29.85,2300800
5,2007-07-01,30.309999,33.080002,29.08,29.860001,29.860001,2714100
6,2007-08-01,29.32,29.65,24.08,29.07,29.07,13107100
7,2007-09-01,29.0,31.190001,28.540001,30.77,30.77,10126400
8,2007-10-01,30.889999,33.099998,29.549999,33.049999,33.049999,9930900
9,2007-11-01,32.5,32.5,26.91,29.34,29.34,16026600
10,2007-12-01,29.0,30.639999,27.48,29.780001,29.780001,9634800
11,2008-01-01,30.17,30.83,22.49,26.99,26.99,29101200
12,2008-02-01,27.09,30.0,25.02,28.450001,28.450001,11971800
13,2008-03-01,28.540001,29.059999,23.9,27.450001,27.450001,15486300
14,2008-04-01,27.74,32.599998,27.139999,30.66,30.66,9026000
15,2008-05-01,30.27,36.560001,30.0,34.5,34.5,7740800
16,2008-06-01,34.16,36.5,31.58,32.540001,32.540001,11863100
17,2008-07-01,33.610001,33.669998,27.280001,29.24,29.24,23594300
18,2008-08-01,29.299999,29.77,26.6,29.700001,29.700001,12108100
19,2008-09-01,28.66,29.030001,19.1,22.139999,22.139999,55978500
20,2008-10-01,21.9,21.9,10.83,14.22,14.22,124409800
21,2008-11-01,14.32,15.45,8.35,11.98,11.98,104244000
22,2008-12-01,11.0,11.33,8.64,11.26,11.26,69433900
23,2009-01-01,11.24,12.69,9.55,10.35,10.35,66122000
24,2009-02-01,10.1,11.67,7.83,9.06,9.06,67862600
25,2009-03-01,8.71,11.29,7.69,10.43,10.43,112283200
26,2009-04-01,10.24,12.68,10.24,11.98,11.98,51529200
27,2009-05-01,12.06,15.3,12.06,15.06,15.06,50875000
28,2009-06-01,15.44,15.84,12.88,14.75,14.75,41714600
29,2009-07-01,14.27,16.059999,12.36,15.89,15.89,48103400
