,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,19.93,19.93,19.93,19.93,16.24999,0
1,2018-01-15,20.209999,20.209999,19.959999,19.959999,16.274452,2300
2,2018-01-22,20.379999,20.379999,20.049999,20.08,16.372299,1500
3,2018-01-29,20.08,20.129999,19.530001,19.530001,15.981094,9700
4,2018-02-05,19.530001,19.530001,18.58,18.58,15.203723,400
5,2018-02-12,18.58,19.18,18.58,19.18,15.694701,1100
6,2018-02-19,19.18,19.18,18.969999,18.969999,15.522854,1100
7,2018-02-26,18.969999,19.370001,18.969999,19.370001,15.910729,600
8,2018-03-05,19.370001,19.370001,19.370001,19.370001,15.910729,0
9,2018-03-12,19.370001,19.370001,19.370001,19.370001,15.910729,0
10,2018-03-19,18.99,18.99,18.99,18.99,15.598592,200
11,2018-03-26,18.99,18.99,18.99,18.99,15.658791,0
12,2018-04-02,18.99,18.99,18.99,18.99,15.658791,0
13,2018-04-09,18.99,18.99,18.370001,18.540001,15.287724,32100
14,2018-04-16,18.540001,18.540001,18.440001,18.440001,15.205263,17000
15,2018-04-23,18.440001,18.440001,18.440001,18.440001,15.265702,0
16,2018-04-30,18.440001,18.440001,18.25,18.25,15.108408,4000
17,2018-05-07,18.25,18.25,18.25,18.25,15.108408,0
18,2018-05-14,18.25,18.25,18.25,18.25,15.108408,0
19,2018-05-21,18.25,18.25,18.25,18.25,15.108408,0
20,2018-05-28,18.25,18.25,18.25,18.25,15.169083,0
21,2018-06-04,18.25,18.530001,18.25,18.530001,15.401811,100
22,2018-06-11,18.530001,18.530001,18.530001,18.530001,15.401811,0
23,2018-06-18,18.530001,18.540001,18.5,18.5,15.376873,300
24,2018-06-25,18.5,18.5,18.309999,18.440001,15.387627,200
25,2018-07-02,18.440001,18.799999,18.440001,18.799999,15.688037,100
26,2018-07-09,18.799999,19.110001,18.799999,19.110001,15.946721,100
27,2018-07-16,18.950001,18.950001,18.950001,18.950001,15.813204,100
28,2018-07-23,18.950001,19.43,18.950001,19.43,16.213755,4000
29,2018-07-30,19.43,19.549999,19.43,19.549999,16.376978,200
30,2018-08-06,19.719999,19.719999,19.58,19.58,16.402115,13400
31,2018-08-13,19.58,19.58,19.35,19.35,16.209436,100
32,2018-08-20,19.35,19.66,19.35,19.66,16.469126,400
33,2018-08-27,19.66,19.73,19.66,19.73,16.589365,100
34,2018-09-03,19.73,19.73,19.4,19.4,16.311895,1300
35,2018-09-10,19.4,19.58,19.4,19.58,16.463243,200
36,2018-09-17,19.52,19.52,19.52,19.52,16.412792,300
37,2018-09-24,19.52,19.92,19.52,19.92,16.811989,300
38,2018-10-01,19.92,20.02,19.780001,19.790001,16.702276,500
39,2018-10-08,19.790001,19.790001,19.790001,19.790001,16.702276,0
40,2018-10-15,19.139999,19.139999,19.139999,19.139999,16.153688,200
41,2018-10-22,19.139999,19.139999,18.969999,19.08,16.10305,500
42,2018-10-29,19.08,19.08,18.99,18.99,16.088453,200
43,2018-11-05,18.99,19.49,18.99,19.49,16.512058,2300
44,2018-11-12,19.49,19.49,19.040001,19.290001,16.342617,400
45,2018-11-19,19.27,19.34,19.27,19.34,16.384979,200
46,2018-11-26,19.34,19.34,19.26,19.34,16.447063,200
47,2018-12-03,19.34,19.709999,19.129999,19.25,16.37052,21900
48,2018-12-10,19.25,19.469999,19.25,19.25,16.37052,200
49,2018-12-17,19.219999,19.219999,18.440001,18.440001,15.681687,1700
50,2018-12-24,18.440001,18.440001,18.09,18.09,15.384038,4100
51,2018-12-31,18.09,18.85,18.09,18.780001,16.035536,600
52,2019-01-07,18.780001,18.780001,18.780001,18.780001,16.035536,0
53,2019-01-14,18.780001,19.129999,18.780001,19.129999,16.334381,300
54,2019-01-21,19.129999,19.129999,18.85,18.85,16.095306,100
55,2019-01-28,18.85,18.860001,18.620001,18.860001,16.103844,400
56,2019-02-04,18.98,19.27,18.98,19.030001,16.31217,4900
57,2019-02-11,19.030001,19.030001,19.030001,19.030001,16.31217,0
58,2019-02-18,19.030001,19.469999,19.030001,19.360001,16.595037,4200
59,2019-02-25,19.65,19.870001,19.610001,19.870001,17.032206,2100
60,2019-03-04,19.93,19.93,19.52,19.52,16.83049,200
61,2019-03-11,19.700001,19.719999,19.58,19.719999,17.00293,1300
62,2019-03-18,19.85,19.950001,19.49,19.49,16.804621,500
63,2019-03-25,19.299999,19.540001,19.299999,19.51,16.821863,1500
64,2019-04-01,19.629999,19.639999,19.450001,19.57,16.974375,1300
65,2019-04-08,19.57,19.57,19.17,19.17,16.62743,2300
