,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-02-09,9.93,10.25,9.93,10.24,6.203153,11900
1,2015-02-16,10.18,10.29,10.0,10.1,6.118344,21600
2,2015-02-23,10.1,10.1,10.0,10.04,6.081997,10700
3,2015-03-02,10.1,10.1,9.58,9.58,5.80334,24900
4,2015-03-09,9.62,9.62,9.03,9.06,5.488338,5900
5,2015-03-16,9.06,9.31,9.06,9.31,5.639781,3700
6,2015-03-23,9.31,9.64,9.31,9.48,5.742763,30400
7,2015-03-30,9.56,9.56,9.48,9.55,5.785167,100
8,2015-04-06,9.7,9.98,9.7,9.95,6.027477,0
9,2015-04-13,10.21,10.58,10.21,10.58,6.409117,0
10,2015-04-20,10.53,10.53,10.45,10.52,6.372771,900
11,2015-04-27,10.65,10.75,10.65,10.75,6.5121,4300
12,2015-05-04,10.75,10.78,10.74,10.74,6.506042,0
13,2015-05-11,10.65,10.65,10.51,10.51,6.366713,0
14,2015-05-18,10.6,10.6,10.32,10.39,6.294021,0
15,2015-05-25,10.45,10.45,10.07,10.07,6.10017,100
16,2015-06-01,10.07,10.19,10.02,10.15,6.148633,0
17,2015-06-08,10.0,10.16,10.0,10.16,6.154692,0
18,2015-06-15,10.09,10.09,9.97,10.01,6.063824,0
19,2015-06-22,10.04,10.26,10.04,10.26,6.215268,0
20,2015-06-29,9.95,9.95,9.72,9.72,5.987149,0
21,2015-07-06,9.61,9.61,9.18,9.19,5.66069,0
22,2015-07-13,9.4,9.45,9.26,9.27,5.709966,2100
23,2015-07-20,9.27,9.27,8.79,8.79,5.414305,0
24,2015-07-27,8.79,8.92,8.58,8.92,5.494379,0
25,2015-08-03,8.92,8.92,8.72,8.79,5.414305,800
26,2015-08-10,8.89,8.98,8.84,8.84,5.445103,1000
27,2015-08-17,8.8,8.8,8.25,8.25,5.081686,1700
28,2015-08-24,8.25,8.25,7.6,7.65,4.712108,0
29,2015-08-31,8.3,8.34,7.92,7.92,4.878419,200
30,2015-09-07,7.92,7.98,7.9,7.9,4.866099,100
31,2015-09-14,7.9,8.23,7.87,8.23,5.069366,0
32,2015-09-21,7.92,8.23,7.73,7.73,4.761385,0
33,2015-09-28,7.52,7.54,7.33,7.54,4.754541,0
34,2015-10-05,7.91,8.49,7.91,8.49,5.353587,0
35,2015-10-12,8.6,8.6,8.48,8.53,5.37881,0
36,2015-10-19,8.66,8.66,8.5,8.5,5.359895,600
37,2015-10-26,8.55,8.55,8.2,8.34,5.259002,0
38,2015-11-02,8.32,8.58,8.32,8.4,5.296835,1800
39,2015-11-09,8.4,8.4,8.31,8.31,5.240084,0
40,2015-11-16,8.31,8.31,8.1,8.1,5.107664,0
41,2015-11-23,8.15,8.15,8.12,8.12,5.120274,0
42,2015-11-30,8.12,8.12,8.09,8.09,5.101357,0
43,2015-12-07,8.09,8.09,7.58,7.64,4.817598,200
44,2015-12-14,7.5,7.61,7.37,7.61,4.798681,0
45,2015-12-21,7.34,7.4,7.34,7.4,4.66626,0
46,2015-12-28,7.67,7.67,7.38,7.38,4.778649,0
47,2016-01-04,7.23,7.23,6.97,6.97,4.513169,0
48,2016-01-11,6.85,6.85,6.47,6.53,4.228263,0
49,2016-01-18,6.47,6.69,6.46,6.69,4.331865,2900
50,2016-01-25,6.69,6.78,6.58,6.78,4.390141,0
51,2016-02-01,6.78,6.78,6.65,6.69,4.331865,0
52,2016-02-08,6.84,6.84,6.72,6.77,4.383665,14100
53,2016-02-15,6.77,7.02,6.77,6.92,4.480793,3200
54,2016-02-22,6.92,7.08,6.91,7.08,4.584394,1400
55,2016-02-29,7.08,7.45,7.05,7.45,4.823975,6700
56,2016-03-07,7.45,7.55,7.36,7.39,4.785124,0
57,2016-03-14,7.33,7.6,7.33,7.58,4.908151,1500
58,2016-03-21,7.58,7.58,7.19,7.28,4.713898,2700
59,2016-03-28,7.28,7.28,7.06,7.06,4.571445,1000
60,2016-04-04,7.06,7.25,6.95,7.24,4.687996,3900
61,2016-04-11,7.24,7.59,7.24,7.57,4.901676,2000
62,2016-04-18,7.57,7.86,7.57,7.86,5.089454,4900
63,2016-04-25,7.83,8.14,7.83,7.97,5.160681,11300
64,2016-05-02,7.95,7.97,7.67,7.73,5.005278,22500
65,2016-05-09,7.62,7.78,7.5,7.61,4.927577,18100
66,2016-05-16,7.78,7.87,7.53,7.64,4.947002,30900
67,2016-05-23,7.73,7.81,7.66,7.78,5.037655,9300
68,2016-05-30,7.75,7.75,7.63,7.7,4.985853,6700
69,2016-06-06,7.81,8.12,7.81,7.85,5.08298,13300
70,2016-06-13,7.78,7.78,7.5,7.5,4.856351,6400
71,2016-06-20,7.99,8.15,7.79,7.8,5.050605,17800
72,2016-06-27,7.42,7.85,7.35,7.85,5.08298,11200
73,2016-07-04,7.89,7.92,7.72,7.91,5.24764,47100
74,2016-07-11,7.91,8.16,7.91,8.1,5.373689,27800
75,2016-07-18,8.01,8.05,7.94,7.95,5.274176,46900
76,2016-07-25,7.8,7.84,7.73,7.84,5.201201,18600
77,2016-08-01,7.65,7.82,7.51,7.82,5.187932,29200
78,2016-08-08,7.86,7.95,7.81,7.95,5.274176,27300
79,2016-08-15,7.95,8.19,7.95,8.12,5.386958,14100
80,2016-08-22,7.99,8.1,7.99,8.02,5.320616,9100
81,2016-08-29,8.02,8.08,7.86,8.07,5.353786,10700
82,2016-09-05,8.15,8.32,8.11,8.11,5.380323,8800
83,2016-09-12,8.09,8.16,7.77,7.77,5.154761,3400
84,2016-09-19,7.81,8.04,7.8,7.86,5.214468,10100
85,2016-09-26,7.85,8.09,7.58,8.07,5.353786,21200
86,2016-10-03,8.03,8.24,8.0,8.21,5.552323,37000
87,2016-10-10,8.27,8.27,8.17,8.17,5.525271,15300
88,2016-10-17,8.14,8.26,8.11,8.24,5.57261,5700
89,2016-10-24,8.32,8.32,8.13,8.15,5.511745,12000
90,2016-10-31,8.06,8.16,7.85,7.93,5.362961,15700
91,2016-11-07,8.07,8.13,7.8,7.84,5.302096,8600
92,2016-11-14,7.77,8.04,7.7,7.96,5.383251,42300
93,2016-11-21,7.96,8.2,7.96,8.12,5.491457,6800
94,2016-11-28,8.12,8.52,7.93,8.39,5.674055,21400
95,2016-12-05,8.42,8.48,8.41,8.46,5.721395,22400
96,2016-12-12,8.61,8.69,8.52,8.6,5.816076,15300
97,2016-12-19,8.57,8.6,8.37,8.37,5.660529,17300
98,2016-12-26,8.41,8.41,8.35,8.35,5.754822,5400
99,2017-01-02,8.46,8.54,8.43,8.49,5.851309,4000
100,2017-01-09,8.49,8.55,8.42,8.53,5.878877,12700
101,2017-01-16,8.58,8.59,8.49,8.49,5.851309,10300
102,2017-01-23,8.42,8.57,8.42,8.45,5.823741,32600
103,2017-01-30,8.42,8.43,8.26,8.4,5.78928,22500
104,2017-02-06,8.33,8.37,8.17,8.37,5.768606,25500
105,2017-02-13,8.39,8.39,8.2,8.2,5.651441,8800
106,2017-02-20,8.29,8.34,8.08,8.08,5.568738,12100
107,2017-02-27,8.08,8.27,8.08,8.18,5.637658,11400
108,2017-03-06,8.16,8.17,7.85,7.94,5.47225,43300
109,2017-03-13,7.96,8.04,7.79,8.01,5.520494,6200
110,2017-03-20,8.0,8.01,7.93,7.94,5.47225,287800
111,2017-03-27,7.95,8.04,7.95,7.98,5.499817,1800
112,2017-04-03,7.95,8.14,7.93,8.07,5.662271,12300
113,2017-04-10,8.07,8.12,7.93,7.93,5.564041,23900
114,2017-04-17,7.94,7.96,7.7,7.76,5.444761,15600
115,2017-04-24,7.87,7.9,7.69,7.76,5.444761,8500
116,2017-05-01,7.76,7.77,7.52,7.64,5.360563,15800
117,2017-05-08,7.66,7.81,7.66,7.76,5.444761,7400
118,2017-05-15,7.9,7.91,7.7,7.85,5.507909,4300
119,2017-05-22,7.84,7.84,7.69,7.69,5.395645,6400
120,2017-05-29,7.73,7.73,7.55,7.62,5.34653,12500
121,2017-06-05,7.57,7.57,7.44,7.48,5.248301,5200
122,2017-06-12,7.6,7.62,7.42,7.45,5.227251,15900
123,2017-06-19,7.51,7.53,7.27,7.31,5.12902,70400
124,2017-06-26,7.31,7.31,7.18,7.22,5.065873,8000
125,2017-07-03,7.23,7.31,7.13,7.13,5.101118,6700
126,2017-07-10,7.09,7.29,7.05,7.27,5.201281,14900
127,2017-07-17,7.29,7.35,7.24,7.24,5.179817,16200
128,2017-07-24,7.24,7.42,7.23,7.42,5.308597,25600
129,2017-07-31,7.41,7.44,7.27,7.27,5.201281,11900
130,2017-08-07,7.32,7.32,7.14,7.15,5.115427,8700
131,2017-08-14,7.17,7.18,6.94,7.03,5.029574,17200
132,2017-08-21,7.0,7.11,7.0,7.11,5.086809,5100
133,2017-08-28,7.11,7.11,7.07,7.07,5.058192,2100
134,2017-09-04,7.19,7.3,7.18,7.2,5.151199,11500
135,2017-09-11,7.2,7.41,7.2,7.41,5.301443,32800
136,2017-09-18,7.41,7.56,7.38,7.55,5.401606,30500
137,2017-09-25,7.61,7.64,7.48,7.54,5.394451,47200
138,2017-10-02,7.48,7.61,7.48,7.53,5.480552,6800
139,2017-10-09,7.6,7.62,7.59,7.59,5.524222,8400
140,2017-10-16,7.56,7.6,7.56,7.57,5.509665,15900
141,2017-10-23,7.57,7.6,7.49,7.58,5.516943,22600
142,2017-10-30,7.67,7.8,7.65,7.8,5.677065,9200
143,2017-11-06,7.95,7.98,7.91,7.92,5.764405,17200
144,2017-11-13,7.88,7.88,7.64,7.67,5.582447,9200
145,2017-11-20,7.65,7.8,7.65,7.78,5.662509,11300
146,2017-11-27,7.69,7.82,7.68,7.79,5.669787,18300
147,2017-12-04,7.85,7.85,7.65,7.76,5.647953,20800
148,2017-12-11,7.8,7.86,7.76,7.76,5.647953,39400
149,2017-12-18,7.86,8.14,7.86,8.14,5.924528,37500
150,2017-12-25,8.06,8.06,8.04,8.04,5.851745,10700
151,2018-01-01,8.06,8.33,8.06,8.27,6.101598,14100
152,2018-01-08,8.25,8.56,8.25,8.55,6.308184,39500
153,2018-01-15,8.71,8.73,8.4,8.46,6.241781,39500
154,2018-01-22,8.44,8.78,8.44,8.78,6.477876,408600
155,2018-01-29,8.75,8.76,8.37,8.37,6.175378,26800
156,2018-02-05,8.3,8.35,7.5,7.65,5.644163,70800
157,2018-02-12,7.76,8.06,7.76,8.05,5.939283,14800
158,2018-02-19,8.06,8.15,8.05,8.15,6.013063,5900
159,2018-02-26,8.25,8.28,7.87,7.87,5.806479,13900
160,2018-03-05,7.94,8.11,7.93,8.11,5.983551,17700
161,2018-03-12,8.09,8.11,7.96,7.96,5.872881,16400
162,2018-03-19,7.94,8.25,7.9,8.09,5.968795,34000
163,2018-03-26,8.11,8.22,7.97,8.04,6.022015,9400
164,2018-04-02,8.11,8.18,7.82,8.03,6.014525,19300
165,2018-04-09,8.03,8.47,8.03,8.47,6.34409,20500
166,2018-04-16,8.5,8.71,8.5,8.65,6.478909,43500
167,2018-04-23,8.64,8.77,8.59,8.73,6.53883,74500
168,2018-04-30,8.65,8.8,8.6,8.7,6.516359,34200
169,2018-05-07,8.83,9.12,8.62,9.06,6.786003,22100
170,2018-05-14,9.14,9.27,9.09,9.23,6.913333,181800
171,2018-05-21,9.27,9.31,8.53,8.55,6.40401,72400
172,2018-05-28,8.55,8.82,8.48,8.7,6.516359,39500
173,2018-06-04,8.73,8.83,8.65,8.83,6.613731,18700
174,2018-06-11,8.76,8.83,8.43,8.45,6.329108,35900
175,2018-06-18,8.51,8.52,8.34,8.42,6.306638,57700
176,2018-06-25,8.3,8.6,8.26,8.54,6.515334,29700
177,2018-07-02,8.55,8.6,8.4,8.48,6.469557,109200
178,2018-07-09,8.57,8.73,8.4,8.54,6.515334,133200
179,2018-07-16,8.48,8.48,8.35,8.47,6.461929,58400
180,2018-07-23,8.48,8.66,8.44,8.62,6.576365,41400
181,2018-07-30,8.7,8.77,8.43,8.53,6.507703,47600
182,2018-08-06,8.66,8.68,8.44,8.45,6.446671,19800
183,2018-08-13,8.47,8.47,8.1,8.11,6.187277,38200
184,2018-08-20,8.15,8.42,8.15,8.39,6.400895,34900
185,2018-08-27,8.44,8.54,8.39,8.42,6.423783,19200
186,2018-09-03,8.42,8.43,8.16,8.19,6.248311,63000
187,2018-09-10,8.22,8.4,8.22,8.38,6.393265,116000
188,2018-09-17,8.39,8.65,8.39,8.45,6.446671,28500
189,2018-09-24,8.54,8.81,8.54,8.74,6.796892,219500
190,2018-10-01,8.81,8.89,8.7,8.7,6.765783,26500
191,2018-10-08,8.74,8.85,8.37,8.42,6.548035,27500
192,2018-10-15,8.45,8.53,8.33,8.39,6.524705,169400
193,2018-10-22,8.37,8.37,7.81,8.02,6.236964,71200
194,2018-10-29,8.06,8.07,7.79,7.88,6.12809,38400
195,2018-11-05,8.01,8.19,7.87,7.99,6.213634,12300
196,2018-11-12,7.99,7.99,7.61,7.91,6.15142,459200
197,2018-11-19,7.82,7.85,7.4,7.51,5.84035,337900
198,2018-11-26,7.59,7.79,7.54,7.73,6.011438,52900
199,2018-12-03,7.93,8.03,7.43,7.61,5.918117,66700
200,2018-12-10,7.57,7.68,7.39,7.42,5.770359,52700
201,2018-12-17,7.48,7.48,6.6,6.6,5.132664,141000
202,2018-12-24,6.6,6.77,6.44,6.69,5.350384,29600
203,2018-12-31,6.81,7.0,6.71,7.0,5.598309,24200
204,2019-01-07,7.07,7.24,7.06,7.16,5.72627,20500
205,2019-01-14,7.13,7.27,7.12,7.27,5.814244,16400
206,2019-01-21,7.26,7.27,7.04,7.2,5.758261,63700
207,2019-01-28,7.14,7.43,7.05,7.4,5.918212,36100
208,2019-02-04,7.4,7.48,7.14,7.14,5.710275,28900
209,2019-02-11,7.16,7.47,7.15,7.47,5.974195,35100
210,2019-02-18,7.49,7.57,7.45,7.5,5.998188,36600
211,2019-02-25,7.48,7.55,7.42,7.45,5.9582,74000
212,2019-03-04,7.56,7.56,7.16,7.24,5.790251,37400
213,2019-03-11,7.3,7.54,7.3,7.51,6.006186,20400
214,2019-03-18,7.6,7.75,7.31,7.32,5.854232,61300
215,2019-03-25,7.33,7.45,7.25,7.36,6.003962,40200
