,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,50.889999,51.130001,50.889999,51.130001,48.489372,200
1,2019-03-11,51.150002,51.16,51.150002,51.16,48.517826,300
2,2019-03-18,51.279999,51.279999,51.259998,51.259998,48.612663,200
3,2019-03-25,51.5,51.639999,51.290001,51.43,48.773884,2600
4,2019-04-01,51.43,51.43,51.310001,51.349998,48.795341,400
5,2019-04-08,51.349998,51.349998,51.349998,51.349998,48.795341,0
6,2019-04-15,51.279999,51.279999,51.25,51.25,48.700317,500
7,2019-04-22,51.25,51.490002,51.25,51.490002,48.928375,1700
8,2019-04-29,51.490002,51.490002,51.470001,51.470001,48.909363,200
9,2019-05-06,51.41,51.560001,51.209999,51.459999,48.99789,1100
10,2019-05-13,51.459999,51.509998,51.439999,51.509998,49.04549,5100
11,2019-05-20,51.349998,51.349998,51.25,51.25,48.797935,300
12,2019-05-27,51.25,51.650002,51.25,51.549999,49.083569,1000
13,2019-06-03,51.549999,51.810001,51.549999,51.73,49.353378,1600
14,2019-06-10,51.73,51.810001,51.700001,51.799999,49.420162,1700
15,2019-06-17,51.889999,51.889999,51.860001,51.860001,49.477409,200
16,2019-06-24,51.860001,51.860001,51.709999,51.709999,49.334297,400
17,2019-07-01,51.709999,51.860001,51.709999,51.860001,49.580673,7800
18,2019-07-08,51.84,51.860001,51.5,51.639999,49.370335,3600
19,2019-07-15,51.73,51.799999,51.73,51.799999,49.523296,800
20,2019-07-22,51.799999,52.0,51.799999,52.0,49.714512,600
21,2019-07-29,52.0,52.0,51.810001,51.810001,49.532856,300
22,2019-08-05,51.810001,52.09,51.810001,52.09,49.904213,300
23,2019-08-12,52.09,52.09,52.060001,52.060001,49.875465,1500
24,2019-08-19,52.049999,52.049999,51.880001,51.880001,49.703014,400
25,2019-08-26,51.880001,51.880001,51.772999,51.880001,49.703014,0
26,2019-09-02,51.880001,52.040001,51.880001,52.040001,49.960308,200
27,2019-09-09,52.040001,52.040001,51.639999,51.639999,49.57629,300
28,2019-09-16,51.509998,51.619999,51.509998,51.619999,49.557087,700
29,2019-09-23,51.619999,51.82,51.619999,51.666,49.601254,400
30,2019-09-30,51.77,51.77,51.77,51.77,49.801136,100
31,2019-10-07,51.77,51.77,51.380001,51.380001,49.425972,800
32,2019-10-14,51.380001,51.43,51.380001,51.43,49.474083,500
33,2019-10-21,51.380001,51.5,51.380001,51.450001,49.493313,1700
34,2019-10-28,51.450001,51.57,51.389999,51.549999,49.589512,300
35,2019-11-04,51.48,51.48,51.279999,51.450001,49.593555,2300
36,2019-11-11,51.450001,51.540001,51.43,51.540001,49.680313,2800
37,2019-11-18,51.59,51.799999,51.59,51.689999,49.824894,900
38,2019-11-25,51.689999,51.689999,51.529999,51.529999,49.670673,100
39,2019-12-02,51.57,51.57,51.52,51.560001,49.799793,2500
40,2019-12-09,51.560001,51.560001,51.470001,51.470001,49.712856,100
41,2019-12-16,51.470001,51.549999,51.400002,51.549999,49.790134,2900
42,2019-12-23,51.650002,51.650002,51.610001,51.610001,49.848076,900
43,2019-12-30,51.349998,51.549999,51.349998,51.549999,49.790134,4100
44,2020-01-06,51.549999,51.59,51.549999,51.57,49.956581,1400
45,2020-01-13,51.560001,51.669998,51.529999,51.619999,50.005013,2100
46,2020-01-20,51.66,51.799999,51.66,51.799999,50.179382,2200
47,2020-01-27,51.799999,52.049999,51.799999,52.049999,50.421558,200
48,2020-02-03,52.049999,52.049999,51.91,51.91,50.382736,200
49,2020-02-10,52.049999,52.049999,51.860001,51.959999,50.431271,400
50,2020-02-17,51.959999,52.040001,51.950001,52.040001,50.508915,1100
51,2020-02-24,52.040001,52.25,52.040001,52.25,50.71273,300
52,2020-03-02,52.259998,52.259998,52.259998,52.259998,50.819927,200
53,2020-03-09,53.02,53.220001,52.25,52.25,50.8102,6400
54,2020-03-16,52.380001,52.59,50.299999,50.810001,49.409885,4400
55,2020-03-23,50.810001,50.810001,46.759998,46.759998,45.471481,11700
56,2020-03-30,46.759998,46.759998,46.759998,46.759998,45.471481,0
57,2020-04-06,46.759998,50.150002,45.610001,50.150002,48.872585,600
58,2020-04-13,49.529999,51.419998,49.529999,51.25,49.944565,3600
59,2020-04-20,51.25,51.25,51.189999,51.189999,49.886093,100
60,2020-04-27,51.189999,51.419998,51.189999,51.400002,50.090748,7000
61,2020-05-04,51.77,51.77,51.77,51.77,50.549664,500
62,2020-05-11,51.77,51.77,51.77,51.77,50.549664,0
63,2020-05-18,51.77,51.93,51.740002,51.790001,50.569195,600
64,2020-05-25,51.790001,51.790001,51.790001,51.790001,50.569195,0
65,2020-06-01,51.790001,52.310001,51.790001,52.310001,51.175751,500
66,2020-06-08,52.310001,52.580002,52.310001,52.580002,51.439903,500
67,2020-06-15,52.580002,52.580002,52.27,52.27,51.136616,100
68,2020-06-22,52.27,52.630001,52.27,52.48,51.342064,5600
69,2020-06-29,52.27,52.599998,52.27,52.360001,51.22467,1600
70,2020-07-06,52.43,52.700001,52.43,52.700001,51.655731,7100
71,2020-07-13,52.509998,52.759998,52.509998,52.759998,51.714539,3500
72,2020-07-20,52.759998,52.759998,52.759998,52.759998,51.714539,0
73,2020-07-27,52.869999,52.869999,52.669998,52.669998,51.626316,500
74,2020-08-03,52.880001,52.880001,52.880001,52.880001,51.930386,1100
75,2020-08-10,52.41,52.41,52.41,52.41,51.468822,100
76,2020-08-17,52.41,52.900002,52.41,52.900002,51.95002,2200
77,2020-08-24,52.759998,52.759998,52.75,52.75,51.802715,3900
78,2020-08-31,52.75,52.810001,52.75,52.810001,51.96014,200
79,2020-09-07,52.810001,52.810001,52.810001,52.810001,51.96014,0
80,2020-09-14,52.700001,52.869999,52.700001,52.869999,52.019176,700
81,2020-09-21,52.869999,52.869999,52.869999,52.869999,52.019176,0
82,2020-09-28,52.869999,52.869999,52.869999,52.869999,52.019176,0
83,2020-10-05,52.869999,52.869999,52.599998,52.599998,51.855518,3200
84,2020-10-12,52.82,52.82,52.82,52.82,52.072411,800
85,2020-10-19,52.82,52.82,52.810001,52.810001,52.06255,5200
86,2020-10-26,52.810001,52.810001,52.490002,52.490002,51.747082,400
87,2020-11-02,52.490002,52.5,52.490002,52.5,51.85944,900
88,2020-11-09,52.5,52.5,52.5,52.5,51.85944,100
89,2020-11-16,52.5,52.759998,52.5,52.759998,52.116264,1000
90,2020-11-23,52.759998,52.759998,52.655998,52.655998,52.013531,0
91,2020-11-30,52.759998,52.759998,52.419998,52.509998,51.97176,800
92,2020-12-07,52.509998,52.709999,52.509998,52.59,52.050941,500
93,2020-12-14,52.59,52.73,52.540001,52.580002,52.041042,21400
94,2020-12-21,52.580002,52.799999,52.580002,52.610001,52.070732,4500
95,2020-12-28,52.639999,52.639999,52.639999,52.639999,52.100426,1500
96,2021-01-04,52.57,52.57,52.57,52.57,52.286419,1100
97,2021-01-11,52.57,52.630001,52.369999,52.630001,52.346096,5400
98,2021-01-18,52.630001,52.630001,52.470001,52.470001,52.186954,100
99,2021-01-25,52.470001,52.470001,52.349998,52.349998,52.150097,1400
100,2021-02-01,52.509998,52.509998,52.310001,52.310001,52.110252,400
101,2021-02-08,52.310001,52.439999,52.290001,52.290001,52.090328,900
102,2021-02-15,52.290001,52.299999,52.290001,52.299999,52.100288,100
103,2021-02-22,52.139999,52.139999,52.139999,52.139999,52.053368,17700
104,2021-03-01,51.959999,51.959999,51.630001,51.630001,51.544216,3100
105,2021-03-08,51.630001,51.970001,51.630001,51.900002,51.813766,2200
106,2021-03-15,51.900002,51.900002,51.599998,51.73,51.644047,2200
107,2021-03-22,51.709999,51.759998,51.709999,51.709999,51.624081,700
108,2021-03-29,51.709999,51.709999,51.610001,51.610001,51.610001,100
109,2021-03-30,51.709999,51.709999,51.610001,51.610001,51.610001,100
