,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-10-05,20.0,20.0,20.0,20.0,18.954889,0
1,2015-10-12,20.0,20.0,20.0,20.0,18.954889,0
2,2015-10-19,20.0,20.66,20.0,20.66,19.580406,0
3,2015-10-26,20.68,20.75,20.67,20.67,19.58988,100
4,2015-11-02,20.67,20.75,20.67,20.75,19.665701,0
5,2015-11-09,20.75,20.75,20.67,20.67,19.58988,200
6,2015-11-16,20.67,20.67,20.67,20.67,19.58988,0
7,2015-11-23,20.67,20.67,20.67,20.67,19.58988,0
8,2015-11-30,20.67,20.75,20.67,20.75,19.665701,0
9,2015-12-07,20.67,20.67,20.67,20.67,19.58988,0
10,2015-12-14,20.67,20.67,20.67,20.67,19.58988,0
11,2015-12-21,20.67,20.67,20.67,20.67,19.58988,0
12,2015-12-28,20.67,20.67,20.67,20.67,19.58988,0
13,2016-01-04,20.67,20.67,20.67,20.67,19.58988,0
14,2016-01-11,20.67,20.67,18.379999,18.379999,17.419544,88000
15,2016-01-18,18.379999,18.59,17.889999,18.59,17.61857,10000
16,2016-01-25,18.51,19.01,18.450001,19.01,18.016621,3700
17,2016-02-01,18.950001,18.950001,18.530001,18.559999,17.590145,2900
18,2016-02-08,18.24,18.24,17.549999,17.84,16.907763,229300
19,2016-02-15,18.24,18.77,18.24,18.610001,17.637526,4500
20,2016-02-22,18.950001,18.969999,18.549999,18.879999,17.893419,11500
21,2016-02-29,18.879999,19.76,18.74,19.73,18.699001,15400
22,2016-03-07,19.82,19.82,19.4,19.4,18.38625,10100
23,2016-03-14,19.889999,20.120001,19.67,19.98,18.935938,4600
24,2016-03-21,20.059999,20.129999,19.719999,19.719999,18.689522,7100
25,2016-03-28,19.809999,20.120001,19.76,19.99,18.945415,4700
26,2016-04-04,19.99,19.99,19.610001,19.73,18.699001,5400
27,2016-04-11,19.860001,20.309999,19.860001,20.27,19.210785,3400
28,2016-04-18,20.290001,20.690001,20.290001,20.6,19.523539,5700
29,2016-04-25,20.49,20.6,20.209999,20.209999,19.153917,4200
30,2016-05-02,20.27,20.33,19.940001,19.99,18.945415,6000
31,2016-05-09,19.940001,20.15,19.940001,20.08,19.030714,4000
32,2016-05-16,20.200001,20.200001,19.950001,20.190001,19.134964,7600
33,2016-05-23,20.379999,20.57,20.35,20.5,19.428762,3200
34,2016-05-30,20.5,20.67,20.24,20.57,19.495108,3900
35,2016-06-06,20.57,20.57,20.370001,20.370001,19.305561,2200
36,2016-06-13,20.280001,20.280001,19.59,20.08,19.030714,1200
37,2016-06-20,20.49,20.620001,20.129999,20.139999,19.087574,4600
38,2016-06-27,19.610001,20.24,19.610001,20.24,19.18235,2600
39,2016-07-04,20.24,20.57,20.24,20.57,19.586529,1100
40,2016-07-11,20.57,21.110001,20.57,21.040001,20.034052,1500
41,2016-07-18,21.040001,21.209999,21.040001,21.139999,20.129271,5500
42,2016-07-25,21.23,21.379999,21.23,21.299999,20.281626,3100
43,2016-08-01,21.299999,21.299999,21.129999,21.129999,20.119747,300
44,2016-08-08,21.129999,21.5,21.129999,21.5,20.472055,5200
45,2016-08-15,21.5,21.5,21.360001,21.43,20.405405,2100
46,2016-08-22,21.43,21.440001,21.370001,21.379999,20.357796,1300
47,2016-08-29,21.540001,21.540001,21.34,21.34,20.31971,500
48,2016-09-05,21.34,21.65,21.34,21.65,20.614885,300
49,2016-09-12,21.65,21.65,21.030001,21.17,20.157839,1200
50,2016-09-19,21.17,21.709999,21.17,21.709999,20.672022,300
51,2016-09-26,21.459999,21.469999,21.459999,21.469999,20.443493,900
52,2016-10-03,21.469999,21.530001,21.469999,21.469999,20.539202,3900
53,2016-10-10,21.469999,21.48,21.290001,21.290001,20.367006,700
54,2016-10-17,21.290001,21.540001,21.290001,21.540001,20.606167,400
55,2016-10-24,21.66,21.66,21.639999,21.639999,20.701828,200
56,2016-10-31,21.639999,21.639999,21.049999,21.049999,20.137407,500
57,2016-11-07,21.16,21.52,21.16,21.52,20.587038,1200
58,2016-11-14,21.665001,21.959999,21.665001,21.959999,21.007957,2100
59,2016-11-21,22.02,22.549999,22.02,22.549999,21.572378,2600
60,2016-11-28,22.549999,22.549999,21.950001,22.184999,21.223204,3500
61,2016-12-05,22.290001,22.73,22.25,22.73,21.744577,3400
62,2016-12-12,22.73,22.73,22.620001,22.620001,21.639349,200
63,2016-12-19,22.620001,22.620001,22.620001,22.620001,21.639349,0
64,2016-12-26,22.559999,22.559999,22.559999,22.559999,21.660467,800
65,2017-01-02,22.5,22.82,22.5,22.75,21.842892,1600
66,2017-01-09,22.75,22.950001,22.75,22.950001,22.034922,300
67,2017-01-16,22.950001,22.950001,22.540001,22.719999,21.814091,6000
68,2017-01-23,22.59,22.59,22.59,22.59,21.689276,600
69,2017-01-30,22.594999,22.639999,22.594999,22.639999,21.737276,1700
70,2017-02-06,22.639999,22.75,22.639999,22.75,21.842892,500
71,2017-02-13,23.16,23.200001,23.129999,23.129999,22.207739,5000
72,2017-02-20,23.309999,23.309999,23.17,23.17,22.246147,15100
73,2017-02-27,23.17,23.290001,23.040001,23.235001,22.308554,6200
74,2017-03-06,23.235001,23.235001,23.16,23.18,22.255747,5400
75,2017-03-13,23.18,23.18,23.155001,23.155001,22.231743,1600
76,2017-03-20,23.155001,23.200001,23.155001,23.200001,22.274948,3200
77,2017-03-27,23.209999,23.280001,23.209999,23.280001,22.351757,700
78,2017-04-03,23.280001,23.43,23.280001,23.35,22.447985,1200
79,2017-04-10,23.35,23.35,23.209999,23.209999,22.313391,1400
80,2017-04-17,23.209999,23.33,23.120001,23.33,22.428753,9400
81,2017-04-24,23.65,23.709999,23.65,23.709999,22.794075,700
82,2017-05-01,23.709999,23.9,23.709999,23.77,22.851761,2500
83,2017-05-08,23.77,23.799999,23.66,23.66,22.746012,1700
84,2017-05-15,23.825001,23.825001,23.360001,23.360001,22.457596,2300
85,2017-05-22,23.360001,23.51,23.360001,23.51,22.601805,300
86,2017-05-29,23.51,23.51,23.51,23.51,22.601805,300
87,2017-06-05,23.51,23.799999,23.51,23.799999,22.8806,2600
88,2017-06-12,23.799999,23.799999,23.68,23.68,22.765236,1200
89,2017-06-19,23.700001,23.700001,23.57,23.6,22.688328,3300
90,2017-06-26,23.67,23.67,23.67,23.67,22.755623,400
91,2017-07-03,23.67,23.67,23.43,23.43,22.543938,600
92,2017-07-10,23.43,23.549999,23.43,23.549999,22.659403,700
93,2017-07-17,23.549999,23.76,23.549999,23.629999,22.736374,58700
94,2017-07-24,23.629999,23.745001,23.629999,23.68,22.784487,3800
95,2017-07-31,23.68,23.82,23.68,23.82,22.919189,2500
96,2017-08-07,23.870001,23.870001,23.41,23.41,22.524698,1700
97,2017-08-14,23.41,23.5,23.4,23.4,22.515076,1400
98,2017-08-21,23.4,23.4,23.4,23.4,22.515076,0
99,2017-08-28,23.4,23.84,23.4,23.84,22.938435,4800
100,2017-09-04,23.639999,23.66,23.5,23.610001,22.717136,3300
101,2017-09-11,23.610001,23.93,23.610001,23.889999,22.98654,2700
102,2017-09-18,24.035,24.639999,24.02,24.459999,23.534988,26700
103,2017-09-25,24.200001,24.48,24.190001,24.48,23.554234,5500
104,2017-10-02,24.565001,24.77,24.565001,24.76,23.843361,14000
105,2017-10-09,24.75,24.83,24.75,24.83,23.910765,6000
106,2017-10-16,24.99,24.99,24.77,24.9,23.978174,13400
107,2017-10-23,25.0,25.09,24.889999,25.09,24.16114,11100
108,2017-10-30,25.02,25.219999,25.02,25.209999,24.276697,14700
109,2017-11-06,25.23,25.23,25.01,25.09,24.16114,13000
110,2017-11-13,25.01,25.07,24.85,25.059999,24.132254,13500
111,2017-11-20,25.110001,25.280001,25.110001,25.24,24.305588,6000
112,2017-11-27,25.25,25.415001,25.129999,25.129999,24.199659,7400
113,2017-12-04,25.27,25.389999,25.195,25.35,24.411514,6800
114,2017-12-11,25.41,25.459999,25.200001,25.440001,24.498186,14300
115,2017-12-18,25.620001,25.66,25.5,25.5,24.555964,19400
116,2017-12-25,25.5,26.5,25.25,25.25,24.315216,4600
117,2018-01-01,25.34,25.639999,25.299999,25.629999,24.681149,12100
118,2018-01-08,25.67,25.93,25.67,25.870001,24.912264,18700
119,2018-01-15,25.870001,26.07,25.75,26.07,25.104864,16200
120,2018-01-22,26.059999,26.120001,25.93,26.01,25.047081,13400
121,2018-01-29,25.959999,25.959999,25.139999,25.139999,24.20929,8500
122,2018-02-05,25.02,25.02,23.690001,24.02,23.130754,10500
123,2018-02-12,24.33,24.98,24.33,24.98,24.055212,15900
124,2018-02-19,25.02,25.15,24.870001,25.049999,24.12262,17400
125,2018-02-26,25.379999,25.450001,24.549999,24.700001,23.78558,20900
126,2018-03-05,24.959999,25.040001,24.889999,25.0,24.074471,28000
127,2018-03-12,25.139999,25.4,25.139999,25.4,24.459665,8000
128,2018-03-19,25.02,25.41,24.290001,24.290001,23.390757,15200
129,2018-03-26,24.389999,24.65,24.299999,24.59,23.679653,6200
130,2018-04-02,24.16,24.68,24.08,24.68,23.81988,4800
