,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-30,24.85,24.98,24.85,24.969999,22.982983,1400
1,2017-02-06,24.969999,24.969999,24.969999,24.969999,22.982983,0
2,2017-02-13,24.969999,25.370001,24.969999,25.370001,23.351156,1000
3,2017-02-20,25.370001,25.690001,25.370001,25.690001,23.645689,100
4,2017-02-27,25.690001,25.860001,25.690001,25.84,23.783752,5400
5,2017-03-06,25.84,26.07,25.780001,26.07,23.995449,1000
6,2017-03-13,26.15,26.25,26.15,26.25,24.161127,1000
7,2017-03-20,26.25,26.700001,26.25,26.700001,24.575319,9200
8,2017-03-27,26.700001,26.700001,26.700001,26.700001,24.575319,0
9,2017-04-03,26.700001,26.700001,26.57,26.57,24.455662,2000
10,2017-04-10,26.57,26.57,26.57,26.57,24.455662,0
11,2017-04-17,26.450001,26.450001,26.450001,26.450001,24.345211,1000
12,2017-04-24,27.129999,27.450001,27.129999,27.450001,25.265636,700
13,2017-05-01,27.450001,27.85,27.450001,27.85,25.633804,100
14,2017-05-08,27.85,27.85,27.85,27.85,25.633804,0
15,2017-05-15,27.85,28.5,27.73,27.73,25.523354,1500
16,2017-05-22,27.73,27.73,27.73,27.73,25.523354,0
17,2017-05-29,27.73,27.73,27.73,27.73,25.523354,0
18,2017-06-05,27.73,28.48,27.73,28.469999,26.204468,1200
19,2017-06-12,28.469999,28.469999,27.42,27.42,25.238024,200
20,2017-06-19,27.42,27.42,27.42,27.42,25.238024,0
21,2017-06-26,27.42,27.440001,26.969999,26.98,24.833036,700
22,2017-07-03,26.98,27.15,26.879999,26.879999,24.740992,600
23,2017-07-10,26.879999,27.17,26.879999,27.17,25.007917,200
24,2017-07-17,27.129999,27.219999,27.059999,27.17,25.007917,4300
25,2017-07-24,27.17,27.459999,27.17,27.190001,25.026327,17000
26,2017-07-31,27.26,27.57,27.16,27.559999,25.366882,7000
27,2017-08-07,27.9,27.9,27.209999,27.209999,25.044733,10300
28,2017-08-14,27.280001,27.43,27.110001,27.110001,24.952692,12400
29,2017-08-21,27.059999,27.309999,27.059999,27.309999,25.136776,800
30,2017-08-28,27.360001,27.68,27.32,27.32,25.145979,9400
31,2017-09-04,27.32,27.32,26.639999,26.639999,24.520092,10600
32,2017-09-11,26.639999,27.07,26.639999,27.07,24.915874,600
33,2017-09-18,27.25,27.32,27.209999,27.27,25.099957,2700
34,2017-09-25,26.93,27.129999,26.799999,27.129999,24.971098,2000
35,2017-10-02,27.290001,27.73,27.290001,27.639999,25.440514,12300
36,2017-10-09,27.639999,27.83,27.639999,27.83,25.615396,300
37,2017-10-16,27.83,28.25,27.83,28.25,26.001976,200
38,2017-10-23,28.24,28.73,28.24,28.58,26.305716,4300
39,2017-10-30,28.549999,28.93,28.549999,28.67,26.38855,300
40,2017-11-06,28.67,28.98,28.639999,28.799999,26.508205,1300
41,2017-11-13,28.799999,29.139999,28.549999,29.139999,26.82115,500
42,2017-11-20,29.219999,29.25,29.129999,29.18,26.857967,1300
43,2017-11-27,29.18,29.25,28.389999,28.389999,26.130831,3200
44,2017-12-04,28.440001,28.74,28.26,28.74,26.452982,9200
45,2017-12-11,28.98,29.08,28.98,29.07,26.756721,1300
46,2017-12-18,29.32,29.33,29.17,29.309999,26.977625,900
47,2017-12-25,29.190001,29.190001,28.85,29.049999,26.738312,4000
48,2018-01-01,29.33,29.51,29.309999,29.5,27.503004,1900
49,2018-01-08,29.5,30.09,29.5,30.09,28.053064,1900
50,2018-01-15,29.91,30.25,29.790001,30.25,28.202234,3000
51,2018-01-22,30.25,30.84,30.25,30.799999,28.715,2200
52,2018-01-29,30.58,30.700001,29.879999,29.879999,27.857279,7400
53,2018-02-05,29.92,29.98,28.27,28.51,26.580023,5300
54,2018-02-12,28.959999,30.139999,28.959999,30.030001,27.997126,10700
55,2018-02-19,29.99,30.51,29.950001,30.440001,28.37937,13600
56,2018-02-26,30.700001,30.700001,30.139999,30.309999,28.258173,4000
57,2018-03-05,30.6,31.120001,30.6,31.110001,29.004015,7900
58,2018-03-12,31.07,31.639999,31.07,31.629999,29.488813,1700
59,2018-03-19,31.040001,31.35,30.02,30.02,27.987804,8500
60,2018-03-26,30.530001,30.639999,30.24,30.639999,28.565832,2600
61,2018-04-02,30.23,30.49,29.82,29.82,27.801342,6300
62,2018-04-09,30.32,30.32,29.950001,29.950001,27.922543,2800
63,2018-04-16,29.950001,30.299999,29.799999,30.120001,28.081034,29000
64,2018-04-23,30.24,30.42,29.940001,30.42,28.360725,6100
65,2018-04-30,30.549999,30.629999,30.01,30.059999,28.025093,10300
66,2018-05-07,30.07,30.370001,30.059999,30.370001,28.314112,3600
67,2018-05-14,30.370001,30.5,30.07,30.440001,28.37937,1900
68,2018-05-21,30.1,30.549999,30.0,30.530001,28.46328,2900
69,2018-05-28,30.51,30.639999,30.15,30.639999,28.565832,20000
70,2018-06-04,30.790001,30.959999,30.790001,30.940001,28.845524,2400
71,2018-06-11,30.780001,30.92,30.690001,30.75,28.668385,2300
72,2018-06-18,30.469999,30.51,30.15,30.389999,28.332754,4200
73,2018-06-25,29.99,30.02,29.33,29.65,27.642851,15000
74,2018-07-02,29.5,29.530001,29.15,29.389999,27.40045,10900
75,2018-07-09,29.85,29.889999,29.77,29.870001,27.84796,4400
76,2018-07-16,29.68,30.0,29.629999,29.91,27.88525,18600
77,2018-07-23,29.879999,29.99,29.870001,29.92,27.894573,800
78,2018-07-30,29.780001,29.780001,29.305,29.389999,27.40045,13000
79,2018-08-06,29.33,29.52,28.92,29.07,27.102112,9500
80,2018-08-13,28.58,28.6,28.07,28.299999,26.384237,17600
81,2018-08-20,28.360001,28.84,28.360001,28.75,26.803776,17400
82,2018-08-27,29.139999,29.16,28.940001,28.940001,26.980913,3900
83,2018-09-03,29.049999,29.049999,28.309999,28.309999,26.39356,16500
84,2018-09-10,28.309999,28.309999,27.690001,28.110001,26.2071,11500
85,2018-09-17,27.9,28.540001,27.9,28.540001,26.607994,1700
86,2018-09-24,28.25,28.950001,28.25,28.74,26.794453,7300
