,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-06,10.0,10.05,9.88,9.92,8.605967,52800
1,2012-02-13,9.95,9.97,9.88,9.92,8.605967,20400
2,2012-02-20,9.95,9.99,9.94,9.97,8.649344,9600
3,2012-02-27,9.97,9.97,9.82,9.86,8.553915,14600
4,2012-03-05,9.83,9.92,9.68,9.89,8.579941,6700
5,2012-03-12,9.9,10.06,9.89,10.06,8.727423,6600
6,2012-03-19,10.04,10.06,10.01,10.06,8.727423,3000
7,2012-03-26,10.1,10.12,9.99,10.08,8.744772,2800
8,2012-04-02,10.13,10.18,10.05,10.05,8.741203,1600
9,2012-04-09,10.02,10.11,9.99,10.11,8.793386,5200
10,2012-04-16,10.11,10.15,10.07,10.15,8.828179,3000
11,2012-04-23,10.17,10.27,10.17,10.27,8.932553,2400
12,2012-04-30,10.5,10.5,10.04,10.04,8.732506,1700
13,2012-05-07,10.06,10.06,9.84,9.92,8.628133,3100
14,2012-05-14,9.79,9.79,9.7,9.7,8.436782,900
15,2012-05-21,9.7,9.74,9.59,9.74,8.471577,1200
16,2012-05-28,9.74,9.75,9.71,9.75,8.480271,1100
17,2012-06-04,9.75,9.87,9.75,9.83,8.549852,1000
18,2012-06-11,9.83,9.89,9.78,9.8,8.523761,6600
19,2012-06-18,9.8,10.01,9.8,9.99,8.689014,1700
20,2012-06-25,9.99,9.99,9.85,9.88,8.593344,300
21,2012-07-02,9.88,10.09,9.88,10.09,8.81482,1300
22,2012-07-09,10.09,10.09,10.09,10.09,8.81482,0
23,2012-07-16,10.09,10.09,9.95,9.95,8.692512,400
24,2012-07-23,9.95,9.95,9.95,9.95,8.692512,0
25,2012-07-30,9.95,10.02,9.95,10.02,8.753666,500
26,2012-08-06,10.1,10.1,10.1,10.1,8.823555,200
27,2012-08-13,10.2,10.2,10.2,10.2,8.910917,1000
28,2012-08-20,10.2,10.24,10.2,10.24,8.945863,500
29,2012-08-27,10.24,10.24,10.24,10.24,8.945863,0
30,2012-09-03,10.24,10.29,10.24,10.29,8.989543,100
31,2012-09-10,10.29,10.34,10.24,10.34,9.033223,2000
32,2012-09-17,10.34,10.34,10.33,10.33,9.024488,500
33,2012-09-24,10.33,10.33,10.16,10.17,8.884709,3100
34,2012-10-01,10.17,10.29,10.17,10.29,9.028875,500
35,2012-10-08,10.3,10.3,10.24,10.24,8.985003,600
36,2012-10-15,10.24,10.4,10.24,10.38,9.107845,400
37,2012-10-22,10.25,10.25,10.25,10.25,8.993776,1000
38,2012-10-29,10.25,10.43,10.25,10.43,9.151716,1000
39,2012-11-05,10.43,10.5,10.25,10.25,8.993776,3600
40,2012-11-12,10.25,10.25,10.25,10.25,8.993776,0
41,2012-11-19,10.25,10.25,10.22,10.22,8.967454,2000
42,2012-11-26,10.22,10.22,10.22,10.22,8.967454,0
43,2012-12-03,10.22,10.22,10.22,10.22,8.967454,0
44,2012-12-10,10.22,10.22,10.22,10.22,8.967454,0
45,2012-12-17,10.22,10.51,10.22,10.51,9.221911,6700
46,2012-12-24,10.51,10.51,10.51,10.51,9.221911,0
47,2012-12-31,10.51,10.51,10.51,10.51,9.265993,0
48,2013-01-07,10.59,10.59,10.59,10.59,9.336522,200
49,2013-01-14,10.59,10.93,10.59,10.93,9.63628,500
50,2013-01-21,10.93,10.97,10.93,10.97,9.671547,500
51,2013-01-28,10.97,10.98,10.97,10.98,9.680363,200
52,2013-02-04,10.98,10.98,10.98,10.98,9.680363,0
53,2013-02-11,10.98,11.26,10.98,11.26,9.927223,1200
54,2013-02-18,11.26,11.32,11.2,11.2,9.874325,500
55,2013-02-25,11.2,11.25,11.2,11.25,9.918404,500
56,2013-03-04,11.25,11.33,11.25,11.33,9.988933,800
57,2013-03-11,11.33,11.33,11.33,11.33,9.988933,200
58,2013-03-18,11.31,11.31,11.27,11.29,9.95367,3100
59,2013-03-25,11.29,11.29,11.27,11.27,9.936039,1000
60,2013-04-01,11.34,11.34,11.34,11.34,10.042225,200
61,2013-04-08,11.12,11.21,11.07,11.21,9.927104,1600
62,2013-04-15,11.21,11.21,11.21,11.21,9.927104,0
63,2013-04-22,11.21,11.29,11.16,11.29,9.997947,2700
64,2013-04-29,11.29,11.4,11.29,11.4,10.095359,1100
65,2013-05-06,11.4,11.4,11.4,11.4,10.095359,0
66,2013-05-13,11.4,11.63,11.4,11.63,10.299037,600
67,2013-05-20,11.79,11.79,11.79,11.79,10.440728,1700
68,2013-05-27,11.82,11.94,11.82,11.94,10.573559,800
69,2013-06-03,11.86,11.86,11.85,11.85,10.493858,400
70,2013-06-10,11.69,11.69,11.33,11.33,10.033367,1400
71,2013-06-17,11.33,11.33,11.33,11.33,10.033367,0
72,2013-06-24,11.33,11.72,11.33,11.72,10.378736,1300
73,2013-07-01,11.72,11.72,11.72,11.72,10.424742,0
74,2013-07-08,11.72,11.8,11.72,11.8,10.4959,1000
75,2013-07-15,12.11,12.17,12.09,12.17,10.825008,1900
76,2013-07-22,12.14,12.14,12.06,12.06,10.727164,4000
77,2013-07-29,12.0,12.27,12.0,12.21,10.860587,2300
78,2013-08-05,12.21,12.21,12.21,12.21,10.860587,0
79,2013-08-12,12.17,12.23,12.15,12.23,10.878379,4200
80,2013-08-19,12.21,12.21,12.0,12.1,10.762748,10900
81,2013-08-26,12.12,12.12,11.89,12.04,10.709373,13100
82,2013-09-02,12.16,12.23,12.04,12.18,10.833906,8900
83,2013-09-09,12.22,12.31,12.22,12.26,10.905066,1800
84,2013-09-16,12.26,12.26,12.26,12.26,10.905066,0
85,2013-09-23,12.45,12.57,12.45,12.52,11.136329,1800
86,2013-09-30,12.49,12.49,12.49,12.49,11.154013,1300
87,2013-10-07,12.49,12.78,12.49,12.78,11.412994,1500
88,2013-10-14,12.78,12.89,12.78,12.89,11.511226,2100
89,2013-10-21,12.89,13.1,12.89,13.1,11.698766,4400
90,2013-10-28,13.1,13.19,13.1,13.13,11.725553,6600
91,2013-11-04,13.13,13.25,13.13,13.24,11.823792,10100
92,2013-11-11,13.28,13.34,13.22,13.34,11.913093,2900
93,2013-11-18,13.38,13.42,13.36,13.42,11.984537,11500
94,2013-11-25,13.42,13.57,13.42,13.57,12.11849,5100
95,2013-12-02,13.54,13.57,13.38,13.42,11.984537,5700
96,2013-12-09,13.42,13.42,13.42,13.42,11.984537,0
97,2013-12-16,13.42,13.64,13.42,13.64,12.181003,3500
98,2013-12-23,13.6,13.66,13.5,13.64,12.181003,225900
99,2013-12-30,13.69,13.69,13.64,13.64,12.230464,3900
