,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-24,10.18,10.18,10.18,10.18,8.698841,200.0
1,2014-03-03,,,,,,
2,2014-03-10,,,,,,
3,2014-03-17,,,,,,
4,2014-03-24,,,,,,
5,2014-03-31,,,,,,
6,2014-04-07,,,,,,
7,2014-04-14,,,,,,
8,2014-04-21,10.49,10.49,10.49,10.49,8.963734,10000.0
9,2014-04-28,,,,,,
10,2014-05-05,10.6,10.6,10.6,10.6,9.057734,1200.0
11,2014-05-12,10.68,10.68,10.68,10.68,9.126092,16000.0
12,2014-05-19,,,,,,
13,2014-05-26,10.68,10.68,10.68,10.68,9.126092,100.0
14,2014-06-02,10.57,10.64,10.57,10.64,9.091913,8500.0
15,2014-06-09,10.76,10.76,10.75,10.75,9.185906,1600.0
16,2014-06-16,,,,,,
17,2014-06-23,,,,,,
18,2014-06-30,,,,,,
19,2014-07-07,,,,,,
20,2014-07-14,,,,,,
21,2014-07-21,,,,,,
22,2014-07-28,11.03,11.03,10.96,10.96,9.365354,200.0
23,2014-08-04,10.94,10.94,10.94,10.94,9.348262,300.0
24,2014-08-11,10.96,10.96,10.96,10.96,9.365354,1700.0
25,2014-08-18,11.13,11.13,11.13,11.13,9.51062,600.0
26,2014-08-25,11.25,11.25,11.24,11.24,9.604614,3300.0
27,2014-09-01,,,,,,
28,2014-09-08,11.27,11.27,11.27,11.27,9.630251,400.0
29,2014-09-15,11.24,11.24,11.24,11.24,9.604614,1800.0
30,2014-09-22,11.1,11.1,11.1,11.1,9.484982,400.0
31,2014-09-29,,,,,,
32,2014-10-06,,,,,,
33,2014-10-13,10.18,10.22,10.18,10.22,8.733021,15200.0
34,2014-10-20,10.66,10.66,10.66,10.66,9.109001,40000.0
35,2014-10-27,,,,,,
36,2014-11-03,10.86,10.86,10.83,10.83,9.254267,1000.0
37,2014-11-10,,,,,,
38,2014-11-17,11.2,11.2,11.2,11.2,9.570433,500.0
39,2014-11-24,11.2,11.2,11.17,11.17,9.544798,10900.0
40,2014-12-01,,,,,,
41,2014-12-08,,,,,,
42,2014-12-15,10.36,10.36,10.36,10.36,8.852648,2000.0
43,2014-12-22,,,,,,
44,2014-12-29,,,,,,
45,2015-01-05,10.72,10.8,10.72,10.8,9.228634,50200.0
46,2015-01-12,10.66,10.66,10.56,10.56,9.023551,3900.0
47,2015-01-19,10.68,11.07,10.68,11.07,9.459347,15800.0
48,2015-01-26,11.01,11.05,10.94,11.0,9.399532,12600.0
49,2015-02-02,11.21,11.3,11.19,11.3,9.655883,4400.0
50,2015-02-09,,,,,,
51,2015-02-16,11.33,11.33,11.33,11.33,9.681518,800.0
52,2015-02-23,11.36,11.36,11.36,11.36,9.707154,2900.0
53,2015-03-02,11.12,11.12,11.12,11.12,9.502073,2800.0
54,2015-03-09,10.95,11.03,10.95,10.96,9.365354,6000.0
55,2015-03-16,11.16,11.21,11.16,11.21,9.57898,7900.0
56,2015-03-23,11.26,11.26,11.1,11.1,9.484982,1900.0
57,2015-03-30,,,,,,
58,2015-04-06,,,,,,
59,2015-04-13,,,,,,
60,2015-04-20,11.38,11.38,11.38,11.38,9.724246,400.0
61,2015-04-27,11.35,11.37,11.3,11.31,9.664427,7600.0
62,2015-05-04,11.25,11.25,11.1,11.12,9.502073,2800.0
63,2015-05-11,11.25,11.25,11.07,11.1,9.484982,315700.0
64,2015-05-18,11.13,11.16,11.1,11.14,9.519165,12100.0
65,2015-05-25,11.1,11.1,10.95,10.99,9.390987,12600.0
66,2015-06-01,11.08,11.09,10.94,10.94,9.348262,2800.0
67,2015-06-08,10.8,10.92,10.77,10.82,9.245723,5600.0
68,2015-06-15,10.82,10.83,10.79,10.79,9.220088,9800.0
69,2015-06-22,10.85,10.97,10.82,10.82,9.245723,29500.0
70,2015-06-29,10.64,10.73,10.64,10.73,9.168819,5700.0
71,2015-07-06,10.74,10.74,10.5,10.56,9.023551,2800.0
72,2015-07-13,10.72,10.83,10.72,10.83,9.254267,8000.0
73,2015-07-20,10.62,10.62,10.49,10.49,8.963734,1800.0
74,2015-07-27,10.44,10.6,10.42,10.59,9.049188,1200.0
75,2015-08-03,10.68,10.78,10.62,10.62,9.07482,300.0
76,2015-08-10,10.54,10.65,10.54,10.54,9.006463,100.0
77,2015-08-17,10.58,10.58,10.2,10.2,8.71593,100.0
78,2015-08-24,10.2,10.2,9.82,10.01,8.553576,0.0
79,2015-08-31,10.34,10.34,10.1,10.1,8.630479,200.0
80,2015-09-07,10.1,10.19,10.1,10.19,8.707386,4200.0
81,2015-09-14,10.08,10.28,10.01,10.28,8.78429,0.0
82,2015-09-21,10.2,10.29,10.1,10.1,8.630479,0.0
83,2015-09-28,10.05,10.08,9.89,10.08,8.672343,0.0
84,2015-10-05,10.08,10.5,10.08,10.48,9.016484,8000.0
85,2015-10-12,10.48,10.48,10.44,10.46,8.999279,4000.0
86,2015-10-19,10.46,10.49,10.43,10.48,9.016484,0.0
87,2015-10-26,10.64,10.64,10.44,10.54,9.068108,0.0
88,2015-11-02,10.44,10.44,10.4,10.4,8.947657,0.0
89,2015-11-09,10.4,10.4,10.21,10.37,8.921848,18700.0
90,2015-11-16,10.17,10.21,10.17,10.21,8.78419,0.0
91,2015-11-23,10.42,10.42,10.39,10.39,8.939054,0.0
92,2015-11-30,10.38,10.47,10.32,10.32,8.878828,1500.0
93,2015-12-07,10.32,10.32,10.05,10.05,8.646536,0.0
94,2015-12-14,10.05,10.16,9.9,10.16,8.741175,0.0
95,2015-12-21,10.07,10.09,10.07,10.09,8.68095,0.0
96,2015-12-28,10.18,10.18,10.17,10.17,8.811026,1100.0
97,2016-01-04,10.0,10.0,9.79,9.79,8.481801,0.0
98,2016-01-11,9.65,9.65,9.51,9.51,8.239218,1200.0
99,2016-01-18,9.46,9.67,9.34,9.67,8.377838,1700.0
100,2016-01-25,9.67,9.68,9.64,9.68,8.386502,0.0
101,2016-02-01,9.98,9.98,9.88,9.92,8.594431,4400.0
102,2016-02-08,9.92,9.92,9.56,9.68,8.386502,0.0
103,2016-02-15,9.43,9.89,9.43,9.89,8.568439,0.0
104,2016-02-22,10.0,10.08,10.0,10.03,8.689734,4200.0
105,2016-02-29,10.03,10.17,10.03,10.17,8.811026,0.0
106,2016-03-07,10.27,10.465,10.27,10.465,9.066606,13000.0
107,2016-03-14,10.465,10.49,10.41,10.49,9.088264,0.0
108,2016-03-21,10.67,10.67,10.58,10.61,9.192231,0.0
109,2016-03-28,10.46,10.47,10.44,10.47,9.070937,1800.0
110,2016-04-04,10.52,10.52,10.4,10.4,9.067551,800.0
111,2016-04-11,10.4,10.54,10.4,10.54,9.189615,0.0
112,2016-04-18,10.54,10.63,10.54,10.62,9.259364,500.0
113,2016-04-25,10.62,10.71,10.62,10.67,9.302959,15900.0
114,2016-05-02,10.71,10.71,10.54,10.54,9.189615,4300.0
115,2016-05-09,10.5,10.64,10.5,10.64,9.276802,1400.0
116,2016-05-16,10.67,10.67,10.67,10.67,9.302959,2900.0
117,2016-05-23,10.78,10.78,10.76,10.76,9.381426,1500.0
118,2016-05-30,10.76,10.94,10.76,10.94,9.538364,1400.0
119,2016-06-06,10.94,11.05,10.94,11.05,9.634274,200.0
120,2016-06-13,10.77,10.77,10.77,10.77,9.390145,200.0
121,2016-06-20,10.77,10.87,10.77,10.87,9.477334,3500.0
122,2016-06-27,10.87,10.87,10.6,10.6,9.241926,100.0
123,2016-07-04,10.85,10.85,10.77,10.77,9.448384,2000.0
124,2016-07-11,10.77,10.98,10.77,10.98,9.632613,200.0
125,2016-07-18,10.98,10.98,10.98,10.98,9.632613,0.0
126,2016-07-25,10.98,10.98,10.98,10.98,9.632613,0.0
127,2016-08-01,10.98,10.98,10.98,10.98,9.632613,0.0
128,2016-08-08,10.98,10.98,10.98,10.98,9.632613,0.0
129,2016-08-15,10.98,10.98,10.98,10.98,9.632613,0.0
130,2016-08-22,11.2,11.2,11.2,11.2,9.825618,600.0
131,2016-08-29,11.2,11.22,11.2,11.22,9.843163,2000.0
132,2016-09-05,11.22,11.22,11.22,11.22,9.843163,0.0
133,2016-09-12,11.22,11.22,10.97,11.07,9.711571,2000.0
134,2016-09-19,11.07,11.27,11.07,11.27,9.887028,1000.0
135,2016-09-26,11.27,11.27,11.27,11.27,9.887028,0.0
136,2016-10-03,11.17,11.17,11.17,11.17,9.856144,300.0
137,2016-10-10,11.17,11.17,11.17,11.17,9.856144,0.0
138,2016-10-17,11.17,11.19,11.17,11.19,9.873793,100.0
139,2016-10-24,11.19,11.19,11.19,11.19,9.873793,0.0
140,2016-10-31,11.19,11.19,11.19,11.19,9.873793,0.0
141,2016-11-07,11.19,11.19,11.19,11.19,9.873793,100.0
142,2016-11-14,11.19,11.19,11.17,11.19,9.873793,300.0
143,2016-11-21,11.19,11.35,11.19,11.35,10.014973,1400.0
144,2016-11-28,11.35,11.35,11.35,11.35,10.014973,0.0
