,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-03-31,10.88,10.88,10.76,10.76,9.710727,700
1,2014-04-07,10.76,10.76,10.74,10.74,9.692677,3800
2,2014-04-14,10.74,10.74,10.74,10.74,9.692677,0
3,2014-04-21,10.74,10.95,10.74,10.95,9.882198,1400
4,2014-04-28,10.95,10.95,10.95,10.95,9.882198,0
5,2014-05-05,10.95,11.03,10.95,11.03,9.954398,2700
6,2014-05-12,11.03,11.03,11.03,11.03,9.954398,0
7,2014-05-19,11.03,11.03,11.03,11.03,9.954398,0
8,2014-05-26,11.03,11.11,11.03,11.11,10.026598,7600
9,2014-06-02,11.15,11.2,11.1,11.16,10.071722,84900
10,2014-06-09,11.16,11.26,11.15,11.15,10.062696,1600
11,2014-06-16,11.15,11.28,11.15,11.28,10.180017,200
12,2014-06-23,11.28,11.28,11.28,11.28,10.180017,0
13,2014-06-30,12.12,12.12,11.28,11.3,10.255345,1800
14,2014-07-07,11.3,11.3,11.28,11.28,10.237194,900
15,2014-07-14,11.31,11.31,11.31,11.31,10.264422,800
16,2014-07-21,11.23,11.23,11.21,11.21,10.173667,36800
17,2014-07-28,11.23,11.23,10.93,10.93,9.919551,2000
18,2014-08-04,11.08,11.08,10.87,10.95,9.9377,2000
19,2014-08-11,10.95,11.14,10.95,11.14,10.110137,8500
20,2014-08-18,11.14,11.3,11.14,11.3,10.255345,2100
21,2014-08-25,11.3,11.39,11.3,11.39,10.337028,1300
22,2014-09-01,11.41,11.41,11.41,11.41,10.355179,200
23,2014-09-08,11.41,11.41,11.41,11.41,10.355179,0
24,2014-09-15,11.41,11.41,11.41,11.41,10.355179,0
25,2014-09-22,11.41,11.41,11.41,11.41,10.355179,0
26,2014-09-29,11.41,11.41,11.41,11.41,10.39435,0
27,2014-10-06,11.41,11.41,11.41,11.41,10.39435,0
28,2014-10-13,11.41,11.41,11.41,11.41,10.39435,0
29,2014-10-20,11.41,11.41,11.33,11.33,10.321469,200
30,2014-10-27,11.33,11.33,11.33,11.33,10.321469,0
31,2014-11-03,11.33,11.33,11.33,11.33,10.321469,0
32,2014-11-10,11.33,12.02,11.33,11.9,10.840731,6800
33,2014-11-17,11.9,12.02,11.9,12.02,10.950049,1700
34,2014-11-24,11.04,12.14,10.8,12.14,11.05937,129300
35,2014-12-01,12.13,12.18,12.12,12.18,11.095809,26400
36,2014-12-08,12.17,12.18,12.01,12.01,10.940939,0
37,2014-12-15,12.06,12.06,11.81,12.0,10.931833,0
38,2014-12-22,12.26,12.33,12.26,12.32,11.223347,3300
39,2014-12-29,12.32,12.35,12.1,12.1,11.138311,0
40,2015-01-05,12.13,12.13,11.93,12.1,11.138311,0
41,2015-01-12,12.19,12.19,12.06,12.06,11.101488,0
42,2015-01-19,12.2,12.25,12.2,12.25,11.276387,0
43,2015-01-26,12.32,12.36,3.42,3.42,3.148184,0
44,2015-02-02,12.01,12.26,12.01,12.26,11.285595,0
45,2015-02-09,12.19,12.29,12.12,12.25,11.276387,0
46,2015-02-16,12.24,12.35,12.24,12.35,11.36844,0
47,2015-02-23,12.36,12.37,12.34,12.34,11.359235,0
48,2015-03-02,12.29,12.3,12.24,12.24,11.267184,0
49,2015-03-09,12.01,12.09,11.9,11.9,10.954207,0
50,2015-03-16,11.99,12.3,11.99,12.3,11.322414,2400
51,2015-03-23,12.3,12.4,12.06,12.06,11.101488,0
52,2015-03-30,12.12,12.27,12.12,12.19,11.260205,0
53,2015-04-06,12.19,12.27,12.19,12.22,11.287916,0
54,2015-04-13,12.25,12.3,12.18,12.3,11.361814,0
55,2015-04-20,12.11,12.23,12.11,12.2,11.269443,0
56,2015-04-27,12.25,12.25,12.08,12.08,11.158595,1700
57,2015-05-04,12.08,12.14,11.97,11.97,11.056984,0
58,2015-05-11,12.14,12.14,12.03,12.03,11.11241,0
59,2015-05-18,12.21,12.28,12.21,12.27,11.334103,0
60,2015-05-25,12.24,12.24,12.13,12.21,11.27868,0
61,2015-06-01,12.13,12.18,12.09,12.09,11.167831,0
62,2015-06-08,11.93,12.02,11.93,12.02,11.103171,0
63,2015-06-15,12.01,12.07,11.94,12.07,11.14936,0
64,2015-06-22,12.15,12.25,12.05,12.05,11.130883,0
65,2015-06-29,12.02,12.02,11.83,11.83,10.966155,0
66,2015-07-06,12.04,12.15,11.99,12.0,11.123743,0
67,2015-07-13,12.13,12.24,12.13,12.24,11.346217,0
68,2015-07-20,12.26,12.26,12.1,12.1,11.216442,0
69,2015-07-27,12.1,12.21,12.08,12.21,11.31841,0
70,2015-08-03,12.36,12.38,12.33,12.38,11.475994,900
71,2015-08-10,12.38,12.47,12.36,12.47,11.559423,8100
72,2015-08-17,12.54,12.59,12.18,12.18,11.290598,1900
73,2015-08-24,12.18,12.18,11.54,11.57,10.725142,0
74,2015-08-31,11.88,11.88,11.55,11.58,10.734409,1600
75,2015-09-07,11.58,11.82,11.58,11.64,10.79003,6100
76,2015-09-14,11.72,11.9,11.68,11.9,11.031044,0
77,2015-09-21,11.78,11.93,11.74,11.75,10.891997,0
78,2015-09-28,11.77,11.77,11.57,11.7,10.88552,0
79,2015-10-05,11.88,12.07,11.88,12.07,11.229764,0
80,2015-10-12,12.21,12.21,12.1,12.1,11.257675,0
81,2015-10-19,12.31,12.34,12.17,12.31,11.453056,0
82,2015-10-26,12.46,12.47,12.4,12.47,11.601918,0
83,2015-11-02,12.46,12.46,12.46,12.46,11.592615,0
84,2015-11-09,12.46,12.46,12.3,12.3,11.443752,0
85,2015-11-16,12.3,12.3,12.3,12.3,11.443752,0
86,2015-11-23,12.3,12.3,12.3,12.3,11.443752,0
87,2015-11-30,12.3,12.49,12.3,12.49,11.620525,300
88,2015-12-07,12.49,12.69,12.3,12.3,11.443752,1700
89,2015-12-14,12.27,12.42,12.13,12.42,11.555399,0
90,2015-12-21,12.18,12.23,12.18,12.23,11.378624,0
91,2015-12-28,12.23,12.52,12.23,12.52,11.689707,0
92,2016-01-04,12.52,12.52,12.07,12.07,11.269549,0
93,2016-01-11,12.07,12.07,12.07,12.07,11.269549,0
94,2016-01-18,11.55,11.55,11.2,11.2,10.457245,0
95,2016-01-25,11.2,11.81,11.2,11.81,11.026793,0
96,2016-02-01,11.81,11.81,11.81,11.81,11.026793,0
97,2016-02-08,11.81,11.97,11.81,11.97,11.176181,0
98,2016-02-15,11.97,11.97,11.97,11.97,11.176181,0
99,2016-02-22,12.14,12.28,12.14,12.28,11.465622,0
100,2016-02-29,12.28,12.28,12.19,12.19,11.38159,0
101,2016-03-07,12.19,12.44,12.19,12.44,11.61501,0
102,2016-03-14,12.44,12.56,12.44,12.56,11.727052,0
103,2016-03-21,12.56,12.77,12.56,12.77,11.923128,0
104,2016-03-28,12.72,12.81,12.72,12.81,11.960471,0
105,2016-04-04,12.89,12.89,12.76,12.76,11.91379,6400
106,2016-04-11,12.76,12.76,12.69,12.69,11.84843,0
107,2016-04-18,12.69,12.88,12.69,12.88,12.025833,0
108,2016-04-25,12.7,12.77,12.7,12.72,11.876441,5400
109,2016-05-02,12.8,12.8,12.8,12.8,11.951138,600
110,2016-05-09,12.87,12.87,12.87,12.87,12.016496,100
111,2016-05-16,12.89,12.99,12.69,12.74,11.895113,16700
112,2016-05-23,12.74,13.03,12.74,12.97,12.109862,2600
113,2016-05-30,12.97,12.97,12.97,12.97,12.109862,0
114,2016-06-06,12.97,12.97,12.97,12.97,12.109862,0
115,2016-06-13,13.04,13.04,12.97,13.0,12.137874,37200
116,2016-06-20,13.0,13.22,13.0,13.15,12.277925,8400
117,2016-06-27,13.15,13.33,12.9,13.33,12.445988,4200
118,2016-07-04,13.33,13.38,13.33,13.38,12.533658,3000
119,2016-07-11,13.53,13.57,13.48,13.51,12.655434,2900
120,2016-07-18,13.51,13.51,13.51,13.51,12.655434,300
121,2016-07-25,13.5,13.54,13.49,13.51,12.655434,8400
122,2016-08-01,13.51,13.51,13.36,13.45,12.599229,7000
123,2016-08-08,13.45,13.45,13.44,13.45,12.599229,200
124,2016-08-15,13.45,13.45,13.37,13.37,12.524289,500
125,2016-08-22,13.42,13.43,13.41,13.43,12.580494,8300
126,2016-08-29,13.43,13.43,13.26,13.35,12.505556,9400
127,2016-09-05,13.4,13.4,13.21,13.21,12.37441,1400
128,2016-09-12,13.21,13.21,13.02,13.02,12.196431,1600
129,2016-09-19,13.02,13.26,13.02,13.26,12.421248,6500
130,2016-09-26,13.26,13.26,13.17,13.17,12.336942,7600
131,2016-10-03,13.17,13.17,12.88,12.88,12.104539,2700
132,2016-10-10,12.88,12.91,12.88,12.91,12.132732,2700
133,2016-10-17,12.91,12.91,12.87,12.87,12.09514,500
134,2016-10-24,12.87,12.87,12.8,12.8,12.029356,1900
135,2016-10-31,12.8,12.8,12.74,12.74,11.972965,1000
136,2016-11-07,12.74,12.74,12.74,12.74,11.972965,0
137,2016-11-14,12.95,13.02,12.88,13.0,12.217311,9900
138,2016-11-21,13.0,13.17,13.0,13.17,12.377079,3500
139,2016-11-28,13.17,13.17,13.17,13.17,12.377079,0
140,2016-12-05,13.17,13.35,13.17,13.34,12.536841,10800
141,2016-12-12,13.34,13.43,13.34,13.43,12.621422,7600
142,2016-12-19,13.49,13.49,13.49,13.49,12.677811,4200
143,2016-12-26,13.49,13.49,13.49,13.49,12.722136,0
144,2017-01-02,13.49,13.49,13.48,13.48,12.712705,800
145,2017-01-09,13.48,13.48,13.37,13.37,12.608966,200
146,2017-01-16,13.37,13.42,13.37,13.42,12.656121,5800
147,2017-01-23,13.42,13.5,13.42,13.47,12.703277,6600
148,2017-01-30,13.47,13.55,13.44,13.55,12.77872,2200
149,2017-02-06,13.55,13.55,13.55,13.55,12.77872,0
150,2017-02-13,13.55,13.85,13.55,13.85,13.061647,1100
151,2017-02-20,13.98,13.98,13.97,13.97,13.174812,2200
152,2017-02-27,13.97,14.25,13.97,14.25,13.438875,900
153,2017-03-06,14.25,14.25,14.25,14.25,13.438875,0
154,2017-03-13,14.25,14.25,14.17,14.17,13.363433,900
155,2017-03-20,14.17,14.17,14.12,14.12,13.316275,16600
156,2017-03-27,14.12,14.12,14.06,14.06,13.259692,2100
157,2017-04-03,14.0,14.09,14.0,14.04,13.28505,7500
158,2017-04-10,14.04,14.04,14.04,14.04,13.28505,0
159,2017-04-17,14.05,14.1,14.05,14.1,13.341824,11100
160,2017-04-24,14.19,14.26,14.19,14.26,13.493222,10900
161,2017-05-01,14.26,14.26,14.26,14.26,13.493222,0
162,2017-05-08,14.22,14.22,14.18,14.18,13.417524,6400
163,2017-05-15,14.18,14.18,14.07,14.07,13.313437,8500
164,2017-05-22,14.07,14.07,14.07,14.07,13.313437,0
165,2017-05-29,14.38,14.57,14.27,14.57,13.786551,4200
166,2017-06-05,14.57,14.57,14.5,14.54,13.758165,2500
167,2017-06-12,14.54,14.54,14.54,14.54,13.758165,0
168,2017-06-19,14.54,14.67,14.54,14.58,13.796012,4200
169,2017-06-26,14.58,14.58,14.42,14.42,13.644616,2100
170,2017-07-03,14.42,14.42,14.4,14.4,13.668818,1700
171,2017-07-10,14.4,14.44,14.25,14.44,13.706787,7600
172,2017-07-17,14.44,14.57,14.44,14.57,13.830186,9200
173,2017-07-24,14.54,14.57,14.52,14.55,13.811202,47100
174,2017-07-31,14.56,14.61,14.56,14.61,13.868155,3900
175,2017-08-07,14.61,14.61,14.61,14.61,13.868155,0
176,2017-08-14,14.6,14.63,14.51,14.53,13.792215,12400
177,2017-08-21,14.53,14.53,14.53,14.53,13.792215,700
178,2017-08-28,14.51,14.52,14.51,14.51,13.773232,9900
179,2017-09-04,14.51,14.51,14.49,14.49,13.754248,600
180,2017-09-11,14.67,14.67,14.57,14.61,13.868155,13600
181,2017-09-18,14.62,14.62,14.53,14.53,13.792215,3400
182,2017-09-25,14.57,14.57,14.44,14.49,13.754248,5900
183,2017-10-02,14.49,14.63,14.49,14.63,13.931121,5000
184,2017-10-09,14.8,14.8,14.65,14.75,14.045388,16500
185,2017-10-16,14.75,14.85,14.75,14.85,14.140614,500
186,2017-10-23,14.85,14.85,14.79,14.81,14.102525,3600
187,2017-10-30,14.75,14.79,14.75,14.77,14.064438,6000
188,2017-11-06,14.78,14.83,14.78,14.81,14.102525,39300
189,2017-11-13,14.88,14.92,14.85,14.85,14.140614,42400
190,2017-11-20,14.86,14.9,14.86,14.88,14.169181,33500
191,2017-11-27,14.94,15.24,14.94,15.13,14.407237,55800
192,2017-12-04,15.27,15.27,15.16,15.18,14.454848,34000
193,2017-12-11,15.19,15.26,15.18,15.26,14.531027,35000
194,2017-12-18,15.31,15.31,15.08,15.08,14.359627,32100
195,2017-12-25,15.11,15.11,15.11,15.11,14.388193,8000
196,2018-01-01,15.11,15.11,15.04,15.04,14.365355,600
197,2018-01-08,15.04,15.17,15.04,15.12,14.44177,2400
198,2018-01-15,15.12,15.25,15.12,15.25,14.565938,3500
199,2018-01-22,15.3,15.4,15.3,15.4,14.709208,7300
200,2018-01-29,15.47,15.47,15.38,15.39,14.699658,500
201,2018-02-05,14.77,14.8,14.35,14.42,13.773169,18400
202,2018-02-12,14.57,15.01,14.4,15.01,14.336703,26200
203,2018-02-19,14.93,14.93,14.79,14.87,14.202982,14400
204,2018-02-26,15.02,15.02,14.56,14.56,13.906889,18000
205,2018-03-05,14.78,14.94,14.78,14.94,14.269842,15200
206,2018-03-12,14.94,14.94,14.94,14.94,14.269842,0
207,2018-03-19,14.94,14.94,14.63,14.63,13.973749,4100
208,2018-03-26,14.63,14.77,14.63,14.77,14.151992,3400
209,2018-04-02,14.85,14.85,14.65,14.65,14.037011,3000
210,2018-04-09,14.77,14.77,14.74,14.74,14.123244,1300
211,2018-04-16,14.74,15.0,14.74,15.0,14.372367,1700
212,2018-04-23,14.77,14.82,14.77,14.82,14.199897,500
213,2018-04-30,14.82,14.82,14.82,14.82,14.199897,0
214,2018-05-07,14.82,14.82,14.67,14.67,14.056175,200
215,2018-05-14,14.67,14.7,14.67,14.7,14.084919,1700
216,2018-05-21,14.7,14.85,14.7,14.83,14.209478,1200
217,2018-05-28,14.83,14.91,14.68,14.83,14.209478,6100
218,2018-06-04,14.83,14.91,14.83,14.91,14.286132,300
219,2018-06-11,14.98,14.98,14.91,14.91,14.286132,100
220,2018-06-18,14.91,14.93,14.9,14.93,14.305294,5900
221,2018-06-25,14.93,14.93,14.93,14.93,14.358189,0
222,2018-07-02,14.93,15.12,14.93,15.12,14.540912,2700
223,2018-07-09,15.12,15.12,15.12,15.12,14.540912,0
224,2018-07-16,15.12,15.24,15.07,15.24,14.656316,5200
225,2018-07-23,15.24,15.41,15.24,15.37,14.781337,1000
226,2018-07-30,15.37,15.37,15.37,15.37,14.781337,0
227,2018-08-06,15.37,15.53,15.37,15.45,14.858274,5100
228,2018-08-13,15.45,15.46,15.45,15.46,14.867889,100
229,2018-08-20,15.46,15.75,15.46,15.75,15.146783,100
230,2018-08-27,15.71,15.71,15.71,15.71,15.108316,1300
231,2018-09-03,15.71,15.71,15.71,15.71,15.108316,0
232,2018-09-10,15.71,15.89,15.71,15.88,15.271805,700
233,2018-09-17,15.88,15.96,15.87,15.96,15.422551,10800
234,2018-09-24,15.78,15.78,15.64,15.64,15.113326,15700
235,2018-10-01,15.64,15.78,15.64,15.68,15.15198,4800
236,2018-10-08,15.67,15.74,15.67,15.74,15.209959,400
237,2018-10-15,15.74,15.74,15.3,15.35,14.833093,1300
238,2018-10-22,15.31,15.31,15.11,15.11,14.601173,3500
239,2018-10-29,15.02,15.19,14.93,15.19,14.678479,5700
240,2018-11-05,15.35,15.74,15.35,15.74,15.209959,1100
241,2018-11-12,15.74,15.74,15.52,15.55,15.02636,11900
242,2018-11-19,15.7,15.7,15.38,15.38,14.862082,900
243,2018-11-26,15.41,15.76,15.41,15.76,15.229286,13700
244,2018-12-03,15.76,15.76,15.76,15.76,15.229286,0
245,2018-12-10,15.45,15.59,15.45,15.56,15.036021,5100
246,2018-12-17,15.56,15.56,14.62,14.62,14.127676,7700
247,2018-12-24,14.04,14.04,14.04,14.04,13.620511,100
248,2018-12-31,14.04,14.64,14.04,14.64,14.202585,5200
249,2019-01-07,14.69,14.83,14.52,14.83,14.386909,800
250,2019-01-14,14.83,15.05,14.83,15.05,14.600336,2400
251,2019-01-21,15.05,15.24,15.05,15.24,14.784658,3800
252,2019-01-28,15.24,15.5,15.24,15.5,15.03689,700
253,2019-02-04,15.45,15.71,15.45,15.71,15.240616,16500
254,2019-02-11,15.88,15.93,15.73,15.93,15.454041,4000
255,2019-02-18,15.93,16.049999,15.93,16.049999,15.570455,700
256,2019-02-25,16.049999,16.049999,16.049999,16.049999,15.570455,0
257,2019-03-04,16.09,16.09,15.93,15.93,15.454041,1400
258,2019-03-11,16.08,16.370001,16.040001,16.35,15.861492,1400
259,2019-03-18,16.35,16.370001,16.27,16.27,15.783885,10300
260,2019-03-25,16.27,16.360001,16.25,16.360001,15.929762,1700
261,2019-04-01,16.700001,16.700001,16.49,16.5,16.06608,1400
262,2019-04-08,16.51,16.549999,16.49,16.549999,16.114759,1200
263,2019-04-15,16.700001,16.700001,16.530001,16.530001,16.095289,900
264,2019-04-22,16.540001,16.639999,16.540001,16.639999,16.202398,200
265,2019-04-29,16.639999,16.93,16.639999,16.91,16.465294,2400
266,2019-05-06,16.780001,16.780001,16.610001,16.67,16.231607,5400
267,2019-05-13,16.67,16.76,16.67,16.76,16.319242,1900
268,2019-05-20,16.76,16.99,16.76,16.969999,16.523718,4700
269,2019-05-27,17.0,17.0,16.68,16.68,16.241344,2600
270,2019-06-03,16.77,17.440001,16.77,17.4,16.94241,6100
271,2019-06-10,17.34,17.34,17.34,17.34,16.883987,300
272,2019-06-17,17.43,17.65,17.43,17.52,17.059258,5700
