,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-24,20.469999,20.469999,20.469999,20.469999,17.613226,1300
1,2014-03-03,20.469999,20.469999,20.469999,20.469999,17.613226,0
2,2014-03-10,20.469999,20.52,20.469999,20.49,17.630436,500
3,2014-03-17,20.49,20.58,20.459999,20.58,17.70788,700
4,2014-03-24,20.58,20.66,20.58,20.66,17.776712,1100
5,2014-03-31,20.879999,20.92,20.84,20.92,18.000429,2000
6,2014-04-07,20.84,20.85,20.73,20.74,17.845549,6700
7,2014-04-14,20.74,21.049999,20.74,21.049999,18.112291,600
8,2014-04-21,21.049999,21.129999,21.049999,21.08,18.138098,2900
9,2014-04-28,21.08,21.290001,21.08,21.290001,18.318796,1700
10,2014-05-05,21.280001,21.41,21.23,21.360001,18.379026,13000
11,2014-05-12,21.360001,21.41,21.360001,21.41,18.422049,1300
12,2014-05-19,21.35,21.48,21.35,21.48,18.482277,1000
13,2014-05-26,21.48,21.530001,21.48,21.51,18.508089,6100
14,2014-06-02,21.549999,21.74,21.549999,21.73,18.697384,4800
15,2014-06-09,21.709999,21.709999,21.559999,21.6,18.585529,3500
16,2014-06-16,21.6,21.790001,21.6,21.780001,18.740408,6400
17,2014-06-23,21.690001,21.690001,21.450001,21.559999,18.551111,12700
18,2014-06-30,21.629999,21.67,21.620001,21.67,18.791309,23600
19,2014-07-07,21.67,21.67,21.530001,21.639999,18.765297,2200
20,2014-07-14,21.709999,21.709999,21.629999,21.629999,18.756628,1400
21,2014-07-21,21.629999,21.809999,21.629999,21.68,18.799976,25600
22,2014-07-28,21.700001,21.76,21.35,21.35,18.513817,5300
23,2014-08-04,21.35,21.35,21.200001,21.200001,18.383745,30700
24,2014-08-11,21.200001,21.200001,21.200001,21.200001,18.383745,0
25,2014-08-18,21.200001,21.99,21.200001,21.940001,19.025442,9500
26,2014-08-25,22.01,22.049999,22.01,22.02,19.094818,4800
27,2014-09-01,22.129999,22.219999,22.040001,22.190001,19.242229,21800
28,2014-09-08,22.18,22.18,22.0,22.0,19.077469,4200
29,2014-09-15,22.0,22.110001,22.0,22.09,19.155512,21400
30,2014-09-22,22.0,22.02,21.67,21.75,18.860682,11700
31,2014-09-29,21.68,21.74,21.65,21.74,18.951298,7700
32,2014-10-06,21.809999,21.82,21.57,21.57,18.803104,4100
33,2014-10-13,21.559999,21.559999,21.1,21.459999,18.707212,6100
34,2014-10-20,21.6,22.040001,21.6,22.040001,19.212818,274200
35,2014-10-27,22.17,22.58,22.120001,22.58,19.683548,23000
36,2014-11-03,22.52,22.809999,22.52,22.780001,19.857889,14400
37,2014-11-10,22.870001,22.959999,22.790001,22.870001,19.93635,15300
38,2014-11-17,23.1,23.1,22.84,23.049999,20.093254,15000
39,2014-11-24,23.030001,23.4,22.969999,23.35,20.354773,11300
40,2014-12-01,23.23,23.4,23.09,23.24,20.258884,19600
41,2014-12-08,23.200001,23.200001,22.809999,22.809999,19.884043,0
42,2014-12-15,22.790001,22.870001,22.66,22.870001,19.93635,0
43,2014-12-22,23.280001,23.440001,23.280001,23.440001,20.433229,1500
44,2014-12-29,23.440001,23.559999,23.120001,23.120001,20.339504,0
45,2015-01-05,23.18,24.01,23.02,23.120001,20.339504,0
46,2015-01-12,23.299999,23.33,23.129999,23.129999,20.348299,0
47,2015-01-19,23.24,23.559999,23.24,23.559999,20.726585,0
48,2015-01-26,23.85,24.5,23.84,24.5,21.553532,0
49,2015-02-02,23.66,24.08,23.66,24.08,21.184046,0
50,2015-02-09,23.870001,23.98,23.76,23.870001,20.999302,0
51,2015-02-16,23.879999,24.09,23.879999,24.09,21.192848,0
52,2015-02-23,24.07,24.219999,24.07,24.15,21.24563,0
53,2015-03-02,24.16,24.16,23.940001,23.940001,21.06089,0
54,2015-03-09,23.83,23.83,23.58,23.639999,20.796961,0
55,2015-03-16,23.620001,24.25,23.620001,24.200001,21.289616,2300
56,2015-03-23,24.200001,24.299999,23.889999,23.889999,21.016899,900
57,2015-03-30,23.889999,24.120001,23.889999,24.01,21.225538,0
58,2015-04-06,24.0,24.15,24.0,24.07,21.278578,0
59,2015-04-13,24.25,24.25,23.98,23.98,21.199015,3100
60,2015-04-20,23.98,24.110001,23.98,24.07,21.278578,2500
61,2015-04-27,24.16,24.16,23.82,23.85,21.084093,500
62,2015-05-04,23.85,24.0,23.58,23.58,20.845406,0
63,2015-05-11,23.9,24.0,23.629999,23.950001,21.172493,2900
64,2015-05-18,23.950001,24.120001,23.950001,24.120001,21.322783,0
65,2015-05-25,24.02,24.15,23.85,23.85,21.084093,5100
