,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-09-18,19.940001,19.940001,19.84,19.85,18.228519,8000
1,2017-09-25,19.860001,19.860001,19.780001,19.780001,18.164236,17500
2,2017-10-02,19.780001,19.780001,19.780001,19.780001,18.164236,0
3,2017-10-09,19.780001,20.290001,19.780001,20.290001,18.632576,300
4,2017-10-16,20.290001,20.290001,20.25,20.25,18.595842,4000
5,2017-10-23,20.24,20.35,20.09,20.35,18.687675,13400
6,2017-10-30,20.35,20.51,20.35,20.440001,18.770325,17000
7,2017-11-06,20.440001,20.59,20.440001,20.5,18.825422,42800
8,2017-11-13,20.389999,20.43,20.299999,20.299999,18.641756,29000
9,2017-11-20,20.4,20.41,20.360001,20.360001,18.696856,4700
10,2017-11-27,20.4,20.610001,20.4,20.610001,18.926439,17000
11,2017-12-04,20.6,20.860001,20.6,20.700001,19.009087,32200
12,2017-12-11,20.75,20.75,20.68,20.73,19.036634,4000
13,2017-12-18,20.73,20.85,20.610001,20.690001,18.999903,5000
14,2017-12-25,20.690001,20.690001,20.5,20.5,18.825422,1500
15,2018-01-01,20.540001,20.790001,20.540001,20.790001,19.186319,3000
16,2018-01-08,20.790001,20.84,20.709999,20.709999,19.11249,6000
17,2018-01-15,20.629999,20.73,20.629999,20.73,19.130945,8300
18,2018-01-22,20.73,20.84,20.65,20.76,19.158634,9200
19,2018-01-29,20.57,20.620001,20.440001,20.48,18.900227,12200
20,2018-02-05,19.77,20.15,19.59,19.719999,18.198856,14200
21,2018-02-12,19.76,20.1,19.719999,20.1,18.549543,8500
22,2018-02-19,20.110001,20.15,19.969999,20.1,18.549543,2000
23,2018-02-26,20.1,20.299999,19.83,19.870001,18.337286,3400
24,2018-03-05,19.98,20.860001,19.98,20.360001,18.789492,25200
25,2018-03-12,20.360001,20.389999,20.200001,20.26,18.697203,2000
26,2018-03-19,20.17,20.25,19.83,19.83,18.300373,2400
27,2018-03-26,19.74,20.059999,19.549999,20.059999,18.614246,5100
28,2018-04-02,19.9,20.030001,19.82,20.030001,18.586407,7300
29,2018-04-09,20.26,20.26,20.17,20.17,18.716316,500
30,2018-04-16,20.209999,20.33,20.209999,20.33,18.864784,7600
31,2018-04-23,20.33,20.33,20.33,20.33,18.864784,0
32,2018-04-30,20.33,20.620001,20.33,20.620001,19.133886,4500
33,2018-05-07,20.68,20.68,20.68,20.68,19.189568,1000
34,2018-05-14,20.68,20.700001,20.68,20.700001,19.208122,500
35,2018-05-21,20.700001,20.719999,20.66,20.719999,19.226679,1100
36,2018-05-28,20.67,20.67,20.4,20.629999,19.143167,12800
37,2018-06-04,20.629999,20.75,20.629999,20.75,19.254517,5200
38,2018-06-11,20.75,20.82,20.75,20.82,19.319475,1000
39,2018-06-18,20.82,20.82,20.82,20.82,19.319475,0
40,2018-06-25,20.290001,20.5,20.25,20.41,19.052494,5200
41,2018-07-02,20.41,20.74,20.41,20.74,19.360544,3100
42,2018-07-09,20.74,20.889999,20.74,20.889999,19.500572,1000
43,2018-07-16,20.889999,20.93,20.889999,20.93,19.53791,300
44,2018-07-23,20.93,20.940001,20.85,20.85,19.463228,5400
45,2018-07-30,20.85,20.93,20.799999,20.93,19.53791,1800
46,2018-08-06,20.93,20.93,20.93,20.93,19.53791,0
47,2018-08-13,20.84,20.84,20.780001,20.780001,19.39789,200
48,2018-08-20,21.02,21.02,21.0,21.0,19.603252,1600
49,2018-08-27,21.0,21.0,21.0,21.0,19.603252,0
50,2018-09-03,21.0,21.0,20.66,20.66,19.285866,2000
51,2018-09-10,20.66,20.790001,20.66,20.790001,19.407223,1800
52,2018-09-17,20.790001,20.799999,20.780001,20.799999,19.416555,800
53,2018-09-24,20.799999,20.799999,20.799999,20.799999,19.533001,0
54,2018-10-01,20.799999,20.799999,20.76,20.76,19.49544,1000
55,2018-10-08,20.76,20.76,19.43,19.43,18.246452,32800
56,2018-10-15,19.43,19.82,19.43,19.690001,18.490612,9500
57,2018-10-22,19.9,19.91,19.379999,19.57,18.377922,30000
58,2018-10-29,19.75,19.92,19.450001,19.809999,18.603306,6400
59,2018-11-05,19.780001,20.129999,19.780001,20.129999,18.903814,2500
60,2018-11-12,20.0,20.059999,19.950001,20.059999,18.838078,4500
61,2018-11-19,19.85,19.98,19.690001,19.879999,18.669043,18300
62,2018-11-26,20.219999,20.42,20.219999,20.42,19.176149,6900
63,2018-12-03,20.42,20.42,19.700001,19.700001,18.500006,17900
64,2018-12-10,19.57,19.98,19.57,19.98,18.762951,4300
65,2018-12-17,19.68,19.76,19.4,19.4,18.218281,20000
66,2018-12-24,19.15,19.4,19.040001,19.4,18.335478,5100
67,2018-12-31,19.4,19.66,19.16,19.66,18.581211,6200
68,2019-01-07,19.66,19.92,19.66,19.92,18.826941,4700
69,2019-01-14,19.92,20.129999,19.92,20.129999,19.025419,4200
70,2019-01-21,20.1,20.129999,19.959999,20.129999,19.025419,5000
71,2019-01-28,20.129999,20.32,20.129999,20.32,19.204994,5000
72,2019-02-04,20.32,20.32,20.280001,20.280001,19.167189,4000
73,2019-02-11,20.280001,20.68,20.280001,20.68,19.545242,2900
74,2019-02-18,20.809999,20.9,20.809999,20.9,19.753166,400
75,2019-02-25,20.940001,20.950001,20.940001,20.950001,19.800423,300
