,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,22.99,23.450001,22.969999,23.450001,23.450001,27000
1,2018-01-15,23.5,24.01,23.280001,24.01,24.01,12300
2,2018-01-22,24.309999,24.690001,24.17,24.35,24.35,18800
3,2018-01-29,24.360001,24.360001,23.49,23.49,23.49,19200
4,2018-02-05,23.360001,23.549999,22.16,22.5,22.5,113500
5,2018-02-12,22.77,23.93,22.77,23.530001,23.530001,124700
6,2018-02-19,23.52,23.65,23.27,23.469999,23.469999,39900
7,2018-02-26,23.59,23.690001,22.809999,23.309999,23.309999,53500
8,2018-03-05,23.25,24.110001,23.24,24.110001,24.110001,76900
9,2018-03-12,24.209999,24.219999,23.77,23.860001,23.860001,40100
10,2018-03-19,23.73,23.84,22.6,22.6,22.6,26800
11,2018-03-26,23.17,23.5,22.32,22.780001,22.780001,9900
12,2018-04-02,22.75,22.9,21.969999,22.25,22.25,31500
13,2018-04-09,22.25,23.18,22.25,23.18,23.18,12300
14,2018-04-16,23.08,23.68,23.059999,23.190001,23.190001,15000
15,2018-04-23,23.299999,23.360001,22.48,22.709999,22.709999,29600
16,2018-04-30,22.85,22.85,22.360001,22.690001,22.690001,8900
17,2018-05-07,22.790001,23.51,22.790001,23.450001,23.450001,16100
18,2018-05-14,23.33,23.540001,23.309999,23.48,23.48,8200
19,2018-05-21,23.43,23.75,23.43,23.549999,23.549999,16000
20,2018-05-28,23.469999,23.889999,23.370001,23.889999,23.889999,28500
21,2018-06-04,23.790001,24.0,23.66,23.91,23.91,214700
22,2018-06-11,23.92,24.059999,23.719999,23.76,23.76,25900
23,2018-06-18,23.860001,24.25,23.51,23.67,23.67,45400
24,2018-06-25,22.91,23.25,22.73,23.030001,23.030001,7400
25,2018-07-02,23.15,23.34,22.870001,23.33,23.33,38700
26,2018-07-09,23.32,23.639999,23.299999,23.57,23.57,23300
27,2018-07-16,23.41,23.85,23.389999,23.74,23.74,25900
28,2018-07-23,23.84,24.01,23.18,23.26,23.26,28900
29,2018-07-30,23.450001,23.450001,22.879999,23.23,23.23,35200
30,2018-08-06,23.59,23.719999,23.469999,23.629999,23.629999,16800
31,2018-08-13,23.5,23.780001,23.27,23.389999,23.389999,10700
32,2018-08-20,23.66,24.290001,23.52,24.25,24.25,14200
33,2018-08-27,24.120001,24.620001,24.120001,24.6,24.6,18300
34,2018-09-03,24.780001,24.860001,24.469999,24.469999,24.469999,10100
35,2018-09-10,24.530001,25.040001,24.48,24.940001,24.940001,11200
36,2018-09-17,24.799999,24.82,24.309999,24.5,24.5,10200
37,2018-09-24,24.58,24.809999,24.459999,24.719999,24.719999,22500
38,2018-10-01,24.889999,24.889999,23.24,23.469999,23.469999,30300
39,2018-10-08,23.26,23.26,22.049999,22.360001,22.360001,12200
40,2018-10-15,22.4,22.809999,21.959999,21.98,21.98,16000
41,2018-10-22,22.110001,22.25,20.59,20.59,20.59,28000
42,2018-10-29,20.99,22.07,20.370001,21.6,21.6,15400
43,2018-11-05,21.92,22.51,21.92,22.450001,22.450001,51800
44,2018-11-12,22.41,22.42,22.02,22.25,22.25,21500
45,2018-11-19,22.25,22.25,21.4,21.549999,21.549999,59400
46,2018-11-26,21.690001,22.299999,21.58,22.299999,22.299999,15300
47,2018-12-03,22.32,22.4,21.43,21.459999,21.459999,51400
