,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-04-10,20.16,20.16,20.16,20.16,18.615765,200
1,2017-04-17,20.23,20.24,20.09,20.09,18.551128,2400
2,2017-04-24,20.25,20.360001,20.200001,20.200001,18.652706,6700
3,2017-05-01,20.200001,20.35,20.1,20.35,18.791214,3500
4,2017-05-08,20.379999,20.41,20.34,20.4,18.837383,6400
5,2017-05-15,20.530001,20.530001,20.49,20.49,18.920492,1000
6,2017-05-22,20.68,20.74,20.68,20.74,19.151337,10000
7,2017-05-29,20.860001,20.969999,20.860001,20.969999,19.36372,1400
8,2017-06-05,21.18,21.18,20.93,20.940001,19.336021,17600
9,2017-06-12,20.799999,20.9,20.67,20.879999,19.280613,18500
10,2017-06-19,20.879999,20.99,20.77,20.77,19.179045,6300
11,2017-06-26,20.860001,20.860001,20.34,20.34,18.781977,7100
12,2017-07-03,20.34,20.34,20.18,20.18,18.71949,500
13,2017-07-10,20.18,20.33,20.18,20.33,18.858627,400
14,2017-07-17,20.41,20.41,20.41,20.41,18.93284,3600
15,2017-07-24,20.450001,20.450001,20.26,20.27,18.802975,14000
16,2017-07-31,20.370001,20.370001,20.32,20.32,18.849356,4100
17,2017-08-07,20.32,20.370001,20.32,20.370001,18.895737,200
18,2017-08-14,20.370001,20.49,20.370001,20.49,19.007053,300
19,2017-08-21,20.49,20.49,20.24,20.24,18.775143,100
20,2017-08-28,20.23,20.24,20.200001,20.24,18.775143,800
21,2017-09-04,20.200001,20.389999,20.200001,20.389999,18.914288,600
22,2017-09-11,20.389999,20.389999,20.299999,20.299999,18.830801,400
23,2017-09-18,20.299999,20.299999,19.959999,20.0,18.552513,1600
24,2017-09-25,20.0,20.030001,19.92,20.01,18.561792,2600
25,2017-10-02,20.01,20.059999,20.01,20.049999,18.687525,8400
26,2017-10-09,20.049999,20.049999,20.049999,20.049999,18.687525,0
27,2017-10-16,20.049999,20.23,20.049999,20.23,18.855295,1600
28,2017-10-23,20.23,20.23,20.049999,20.049999,18.687525,300
29,2017-10-30,19.9,20.08,19.9,20.01,18.650246,36200
30,2017-11-06,19.9,20.0,19.9,20.0,18.640926,7500
31,2017-11-13,20.190001,20.23,20.01,20.23,18.855295,700
32,2017-11-20,20.23,20.35,20.16,20.16,18.790052,300
33,2017-11-27,20.16,20.469999,20.16,20.440001,19.051023,12400
34,2017-12-04,20.440001,20.440001,20.440001,20.440001,19.051023,0
35,2017-12-11,20.440001,20.799999,20.440001,20.799999,19.38656,4700
36,2017-12-18,20.799999,20.879999,20.799999,20.84,19.423845,1600
37,2017-12-25,20.84,20.84,20.84,20.84,19.423845,0
38,2018-01-01,20.629999,20.65,20.629999,20.65,19.330229,4900
39,2018-01-08,20.65,20.85,20.620001,20.690001,19.367678,11400
40,2018-01-15,20.51,20.51,20.51,20.51,19.199184,1000
41,2018-01-22,20.92,20.99,20.860001,20.860001,19.526814,1900
42,2018-01-29,20.780001,20.780001,20.299999,20.299999,19.002604,1800
43,2018-02-05,20.290001,20.290001,19.41,19.41,18.169485,7100
44,2018-02-12,19.690001,19.690001,19.58,19.58,18.328619,4900
45,2018-02-19,19.610001,19.610001,19.610001,19.610001,18.356701,200
46,2018-02-26,19.610001,19.780001,19.25,19.25,18.019707,8600
47,2018-03-05,19.25,19.5,19.25,19.5,18.253735,2800
48,2018-03-12,19.5,19.870001,19.5,19.6,18.347343,1200
49,2018-03-19,19.51,19.51,18.879999,18.92,17.7108,14900
50,2018-03-26,18.799999,19.18,18.76,19.18,17.954187,7700
51,2018-04-02,19.01,19.370001,19.01,19.370001,18.229004,7800
52,2018-04-09,19.530001,19.530001,19.299999,19.41,18.266649,1200
53,2018-04-16,19.41,19.52,18.969999,18.969999,17.852566,11700
54,2018-04-23,18.84,18.84,18.67,18.809999,17.70199,2000
55,2018-04-30,19.16,19.16,18.700001,18.700001,17.598471,800
56,2018-05-07,18.85,19.049999,18.85,19.049999,17.927855,11700
57,2018-05-14,19.01,19.09,18.719999,19.049999,17.927855,8600
58,2018-05-21,19.01,19.01,19.01,19.01,17.890209,200
59,2018-05-28,19.01,19.27,19.01,19.27,18.134893,900
60,2018-06-04,19.27,19.27,18.950001,18.959999,17.843155,16400
61,2018-06-11,19.219999,19.43,19.219999,19.43,18.285467,1700
62,2018-06-18,19.52,19.540001,19.040001,19.540001,18.38899,2700
63,2018-06-25,19.370001,19.559999,19.370001,19.559999,18.407812,600
