,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-23,8.91,8.99,8.78,8.9,5.103477,24800
1,2012-01-30,8.92,9.25,8.72,9.01,5.198096,25100
2,2012-02-06,9.1,9.59,9.1,9.11,5.255785,24100
3,2012-02-13,9.2,9.74,9.12,9.36,5.400019,23400
4,2012-02-20,9.5,9.52,9.3,9.4,5.423094,15900
5,2012-02-27,9.44,9.5,9.24,9.24,5.330788,49100
6,2012-03-05,9.29,9.3,8.92,9.0,5.222328,28300
7,2012-03-12,9.0,9.25,9.0,9.24,5.361588,64600
8,2012-03-19,9.24,9.39,9.21,9.3,5.396407,26900
9,2012-03-26,9.3,9.5,9.26,9.26,5.373196,22500
10,2012-04-02,9.29,9.42,9.0,9.0,5.252436,11500
11,2012-04-09,9.0,9.2,8.91,8.91,5.199911,19200
12,2012-04-16,9.02,9.17,8.84,8.94,5.217418,33800
13,2012-04-23,8.96,9.1,8.8,9.1,5.310797,29900
14,2012-04-30,9.1,9.14,8.83,8.95,5.255323,50700
15,2012-05-07,8.87,8.9,8.68,8.8,5.167242,61200
16,2012-05-14,8.79,8.9,8.2,8.21,4.820806,31100
17,2012-05-21,8.23,8.36,7.99,8.18,4.803187,55100
18,2012-05-28,8.18,8.31,7.96,7.96,4.674007,68600
19,2012-06-04,7.96,8.11,7.9,8.08,4.775921,49000
20,2012-06-11,8.16,8.16,8.01,8.06,4.7641,28900
21,2012-06-18,8.15,8.36,8.13,8.14,4.811388,30700
22,2012-06-25,8.14,8.36,7.77,8.14,4.811388,40900
23,2012-07-02,8.16,8.38,8.16,8.25,4.909172,17900
24,2012-07-09,8.25,8.25,7.78,8.08,4.808014,28100
25,2012-07-16,8.02,8.15,7.9,8.15,4.849666,17600
26,2012-07-23,8.02,8.05,7.8,8.05,4.790164,22700
27,2012-07-30,8.09,8.34,7.99,7.99,4.78677,13600
28,2012-08-06,8.11,8.34,8.11,8.3,4.972487,15600
29,2012-08-13,8.34,8.65,8.22,8.35,5.002445,47200
30,2012-08-20,8.39,8.59,8.32,8.38,5.020417,37600
31,2012-08-27,8.38,8.49,8.15,8.17,4.894606,28700
32,2012-09-03,8.17,8.39,8.06,8.39,5.059164,23900
33,2012-09-10,8.35,8.45,8.18,8.43,5.083285,76100
34,2012-09-17,8.36,8.47,8.31,8.34,5.029014,78100
35,2012-09-24,8.34,8.37,8.14,8.2,4.944594,50100
36,2012-10-01,8.3,8.4,8.21,8.37,5.080359,15800
37,2012-10-08,8.31,8.34,8.0,8.0,4.85578,41200
38,2012-10-15,8.05,8.25,8.05,8.15,4.946823,43100
