,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-23,10.05,10.11,10.02,10.02,4.889878,3400
1,2012-01-30,10.02,10.23,10.02,10.23,4.992361,1600
2,2012-02-06,10.31,10.39,10.31,10.39,5.070442,20500
3,2012-02-13,10.39,10.58,10.39,10.58,5.163165,1600
4,2012-02-20,10.58,10.62,10.52,10.62,5.182684,2500
5,2012-02-27,10.62,10.62,10.55,10.55,5.148525,700
6,2012-03-05,10.55,10.55,10.15,10.16,4.958199,700
7,2012-03-12,10.16,10.8,10.16,10.8,5.270528,1500
8,2012-03-19,10.8,10.8,10.75,10.78,5.260767,3000
9,2012-03-26,10.94,10.94,10.6,10.61,5.177804,5100
10,2012-04-02,10.73,10.73,10.5,10.54,5.263936,2100
11,2012-04-09,10.54,10.54,10.35,10.35,5.169044,600
12,2012-04-16,10.4,10.55,10.4,10.55,5.268929,200
13,2012-04-23,10.27,10.28,10.27,10.28,5.134084,700
14,2012-04-30,10.28,10.6,10.28,10.28,5.134084,1200
15,2012-05-07,10.28,10.28,9.99,10.0,4.994246,6100
16,2012-05-14,9.9,10.02,9.81,9.81,4.899354,5000
17,2012-05-21,9.84,9.84,9.71,9.71,4.849412,7800
18,2012-05-28,9.71,9.8,9.35,9.35,4.66962,1200
19,2012-06-04,9.36,9.76,9.33,9.76,4.874384,2700
20,2012-06-11,9.75,9.77,9.72,9.77,4.879378,6500
21,2012-06-18,9.84,9.95,9.8,9.8,4.894361,13400
22,2012-06-25,9.8,9.8,9.34,9.57,4.779492,3000
23,2012-07-02,9.7,9.7,9.7,9.7,4.971235,1000
24,2012-07-09,9.7,9.7,9.29,9.32,4.776486,2700
25,2012-07-16,9.32,9.62,9.2,9.61,4.925111,3600
26,2012-07-23,9.4,9.56,9.3,9.56,4.899486,2400
27,2012-07-30,9.55,9.55,9.34,9.55,4.894361,15600
28,2012-08-06,9.71,9.76,9.7,9.73,4.986609,15600
