,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-29,26.440001,26.440001,26.41,26.41,24.443346,300
1,2018-02-05,26.24,26.299999,25.07,25.07,23.203133,2300
2,2018-02-12,25.07,26.34,25.07,26.34,24.378553,1500
3,2018-02-19,26.34,26.34,25.84,25.85,23.925049,1900
4,2018-02-26,26.26,26.27,24.950001,25.51,23.610367,5000
5,2018-03-05,25.879999,25.969999,25.879999,25.969999,24.072781,900
6,2018-03-12,26.23,26.27,26.219999,26.219999,24.30452,400
7,2018-03-19,26.219999,26.219999,25.629999,25.629999,23.757618,800
8,2018-03-26,25.629999,25.67,25.34,25.67,23.794697,1600
9,2018-04-02,25.01,25.9,25.01,25.280001,23.470074,2200
10,2018-04-09,25.51,25.75,25.459999,25.68,23.841433,1700
11,2018-04-16,25.93,26.190001,25.93,26.190001,24.314922,200
12,2018-04-23,25.92,25.92,25.809999,25.809999,23.96213,1100
13,2018-04-30,25.809999,25.905001,25.620001,25.9,24.083012,400
14,2018-05-07,25.99,26.209999,25.99,26.209999,24.37126,500
15,2018-05-14,26.16,26.309999,26.049999,26.25,24.408459,1100
16,2018-05-21,26.360001,26.360001,26.360001,26.360001,24.510742,200
17,2018-05-28,26.360001,26.719999,26.360001,26.459999,24.603724,500
18,2018-06-04,26.629999,27.110001,26.629999,27.110001,25.246439,1000
19,2018-06-11,27.18,27.18,27.059999,27.059999,25.199871,400
20,2018-06-18,27.059999,27.18,26.889999,27.1,25.237122,1700
21,2018-06-25,26.790001,26.91,26.5,26.780001,24.939119,1500
22,2018-07-02,26.780001,27.18,26.780001,27.17,25.340244,700
23,2018-07-09,27.280001,27.280001,27.15,27.15,25.321589,400
24,2018-07-16,27.129999,27.43,27.030001,27.4,25.554754,1000
25,2018-07-23,27.27,27.27,27.07,27.139999,25.312263,600
26,2018-07-30,27.209999,27.5,27.209999,27.5,25.648022,1200
27,2018-08-06,27.6,27.66,27.459999,27.459999,25.610714,2500
28,2018-08-13,27.370001,27.639999,27.24,27.530001,25.676001,3200
29,2018-08-20,27.889999,28.07,27.889999,27.98,26.095695,1700
30,2018-08-27,28.09,28.09,27.940001,27.940001,26.05839,900
31,2018-09-03,27.940001,27.940001,27.940001,27.940001,26.05839,0
32,2018-09-10,28.0,28.040001,27.99,28.040001,26.151653,500
33,2018-09-17,28.040001,28.040001,27.809999,27.93,26.049065,300
