,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-06,10.04,10.11,9.92,9.92,7.541607,15000
1,2012-02-13,10.04,10.2,9.95,10.17,7.731668,24900
2,2012-02-20,10.22,10.22,10.11,10.18,7.739273,16900
3,2012-02-27,10.16,10.21,10.07,10.07,7.655646,22300
4,2012-03-05,10.06,10.09,9.93,10.08,7.663249,10900
5,2012-03-12,10.12,10.26,10.09,10.2,7.754478,6900
6,2012-03-19,10.23,10.23,10.1,10.15,7.716466,11900
7,2012-03-26,10.2,10.24,10.09,10.15,7.716466,14600
8,2012-04-02,10.23,10.27,10.14,10.14,7.748969,34100
9,2012-04-09,10.11,10.11,9.87,10.03,7.664908,60100
10,2012-04-16,10.02,10.15,9.99,10.14,7.748969,54300
11,2012-04-23,10.12,10.12,10.01,10.12,7.733687,27000
12,2012-04-30,10.12,10.22,10.12,10.19,7.787179,21000
13,2012-05-07,10.02,10.03,9.86,9.93,7.588488,29500
14,2012-05-14,9.87,9.89,9.56,9.56,7.305735,31600
15,2012-05-21,9.66,9.73,9.57,9.72,7.428006,54800
16,2012-05-28,9.76,9.79,9.47,9.49,7.252241,68100
17,2012-06-04,9.58,9.8,9.45,9.79,7.4815,33000
18,2012-06-11,9.88,9.92,9.74,9.92,7.580847,41600
19,2012-06-18,9.89,10.07,9.89,9.95,7.603773,73900
20,2012-06-25,9.92,10.06,9.69,10.02,7.657268,24800
21,2012-07-02,10.01,10.3,9.98,9.98,7.70056,11200
22,2012-07-09,9.96,10.02,9.76,9.88,7.623402,7600
23,2012-07-16,9.87,10.02,9.87,9.94,7.669696,15500
24,2012-07-23,9.84,10.03,9.73,10.03,7.739141,16900
25,2012-07-30,10.03,10.12,9.87,10.12,7.808586,58900
26,2012-08-06,10.03,10.16,10.03,10.13,7.816301,13400
27,2012-08-13,10.13,10.22,10.13,10.22,7.885747,15500
28,2012-08-20,10.21,10.25,10.07,10.14,7.824016,31000
29,2012-08-27,10.22,10.22,10.1,10.11,7.800868,11800
30,2012-09-03,10.1,10.23,10.07,10.23,7.893462,5400
31,2012-09-10,10.24,10.39,10.22,10.36,7.99377,52700
32,2012-09-17,10.4,10.4,10.31,10.37,8.001486,18300
33,2012-09-24,10.44,10.44,10.1,10.1,7.793153,30700
34,2012-10-01,10.23,10.33,10.09,10.33,8.040537,22400
35,2012-10-08,10.33,10.33,10.07,10.08,7.845946,31700
36,2012-10-15,10.1,10.41,10.07,10.24,7.970486,57000
37,2012-10-22,10.19,10.21,10.02,10.07,7.838162,24800
38,2012-10-29,10.07,10.22,10.07,10.08,7.845946,21200
39,2012-11-05,10.03,10.15,9.77,9.77,7.604653,52400
40,2012-11-12,9.75,9.76,9.49,9.58,7.456762,33700
41,2012-11-19,9.4,9.89,9.4,9.89,7.698057,5800
42,2012-11-26,9.84,9.93,9.74,9.92,7.721406,21100
43,2012-12-03,9.92,9.99,9.87,9.99,7.775893,7500
44,2012-12-10,10.0,10.07,10.0,10.0,7.783678,6500
45,2012-12-17,10.0,10.14,9.99,10.04,7.814812,13800
46,2012-12-24,9.85,9.85,9.71,9.73,7.573516,2000
47,2012-12-31,9.75,10.08,9.75,10.08,7.916916,6500
48,2013-01-07,10.07,10.15,10.04,10.14,7.964037,22400
49,2013-01-14,10.25,10.27,10.09,10.27,8.066141,24300
50,2013-01-21,10.35,10.38,10.29,10.38,8.152538,48200
51,2013-01-28,10.36,10.45,10.36,10.45,8.207515,24100
52,2013-02-04,10.48,10.5,10.4,10.48,8.231077,7800
53,2013-02-11,10.53,10.6,10.51,10.55,8.286057,20700
54,2013-02-18,10.7,10.7,10.48,10.56,8.293911,13100
55,2013-02-25,10.66,10.66,10.48,10.59,8.31747,19500
56,2013-03-04,10.64,10.86,10.58,10.74,8.435284,24400
57,2013-03-11,10.86,10.98,10.8,10.82,8.498117,45900
58,2013-03-18,10.83,10.88,10.75,10.84,8.513824,29300
59,2013-03-25,10.71,10.85,10.71,10.85,8.521679,7000
60,2013-04-01,10.87,10.88,10.75,10.78,8.537583,50100
61,2013-04-08,10.85,11.08,10.8,11.03,8.735579,52600
62,2013-04-15,11.09,11.09,10.77,10.88,8.616783,15700
63,2013-04-22,10.98,11.15,10.86,11.12,8.806858,75500
64,2013-04-29,11.25,11.25,10.95,11.21,8.878138,35400
65,2013-05-06,11.25,11.34,11.19,11.27,8.925656,83400
66,2013-05-13,11.12,11.48,11.12,11.46,9.076134,40400
67,2013-05-20,11.5,11.6,11.3,11.35,8.989015,54600
68,2013-05-27,11.47,11.56,11.2,11.25,8.909814,71500
69,2013-06-03,11.14,11.29,11.03,11.27,8.925656,54100
70,2013-06-10,11.23,11.29,11.07,11.2,8.870219,33800
71,2013-06-17,11.33,11.41,10.87,10.95,8.672221,77500
72,2013-06-24,10.75,11.05,10.75,11.02,8.727663,107900
73,2013-07-01,11.07,11.25,10.95,11.04,8.816293,55900
74,2013-07-08,11.14,11.39,11.09,11.36,9.071838,46400
75,2013-07-15,11.38,11.46,11.35,11.45,9.143712,49500
76,2013-07-22,11.48,11.51,11.37,11.44,9.135724,36300
77,2013-07-29,11.45,11.68,11.42,11.6,9.263495,59000
78,2013-08-05,11.65,11.74,11.51,11.55,9.22357,49700
79,2013-08-12,11.42,11.57,11.24,11.24,8.976009,40100
80,2013-08-19,11.19,11.25,11.11,11.25,8.983994,33800
81,2013-08-26,11.25,11.36,10.54,11.08,8.848239,116900
82,2013-09-02,11.16,11.21,11.01,11.19,8.936081,73400
83,2013-09-09,11.25,11.37,11.16,11.37,9.079827,57900
84,2013-09-16,11.57,11.6,11.42,11.45,9.143712,51800
85,2013-09-23,11.43,11.5,11.27,11.28,9.007953,15300
86,2013-09-30,11.24,11.32,11.21,11.29,9.087304,87700
87,2013-10-07,11.22,11.39,11.1,11.39,9.167795,54400
88,2013-10-14,11.39,11.64,11.37,11.63,9.360968,38200
89,2013-10-21,11.61,11.83,11.59,11.73,9.44146,67000
90,2013-10-28,11.75,11.82,11.72,11.73,9.44146,54300
91,2013-11-04,11.8,11.95,11.68,11.75,9.457558,43600
92,2013-11-11,11.79,11.97,11.77,11.97,9.634637,21500
93,2013-11-18,12.07,12.07,11.83,11.95,9.618543,17000
94,2013-11-25,11.97,12.0,11.92,11.92,9.59439,22400
95,2013-12-02,11.92,11.95,11.8,11.88,9.562197,25400
96,2013-12-09,11.89,11.96,11.67,11.67,9.393167,42300
97,2013-12-16,11.61,11.96,11.61,11.96,9.626587,46200
98,2013-12-23,11.92,12.0,11.92,12.0,9.658783,3900
99,2013-12-30,12.0,12.02,11.89,11.98,9.723784,2200
100,2014-01-06,12.04,12.05,11.93,12.04,9.772483,20200
101,2014-01-13,12.08,12.08,11.94,12.02,9.756253,10400
102,2014-01-20,12.08,12.08,11.71,11.71,9.504637,24900
103,2014-01-27,11.71,11.8,11.58,11.76,9.545218,19100
104,2014-02-03,11.81,11.81,11.44,11.78,9.561451,55400
105,2014-02-10,11.87,12.14,11.78,12.14,9.853653,32500
106,2014-02-17,12.18,12.22,12.13,12.21,9.910468,4900
107,2014-02-24,12.16,12.41,12.16,12.38,10.048452,52000
108,2014-03-03,12.32,12.47,12.24,12.43,10.089035,20400
109,2014-03-10,12.47,12.47,12.25,12.25,9.942936,53100
110,2014-03-17,12.34,12.52,12.3,12.43,10.089035,9100
111,2014-03-24,12.39,12.42,12.25,12.38,10.048452,15100
112,2014-03-31,12.37,12.64,12.37,12.47,10.203725,18400
113,2014-04-07,12.5,12.52,12.16,12.27,10.040074,25500
114,2014-04-14,12.31,12.54,12.31,12.54,10.261002,8300
115,2014-04-21,12.54,12.62,12.5,12.5,10.228268,22200
116,2014-04-28,12.61,12.7,12.56,12.58,10.293735,19300
117,2014-05-05,12.6,12.64,12.5,12.54,10.261002,20200
118,2014-05-12,12.64,12.69,12.48,12.5,10.228268,30800
119,2014-05-19,12.53,12.6,12.38,12.6,10.310099,20500
120,2014-05-26,12.63,12.74,12.56,12.73,10.416471,21200
121,2014-06-02,12.81,12.87,12.7,12.87,10.531028,35700
122,2014-06-09,12.9,12.9,12.74,12.88,10.539212,25800
123,2014-06-16,12.93,13.07,12.9,13.07,10.69468,24400
124,2014-06-23,13.06,13.07,12.89,12.92,10.57194,9400
125,2014-06-30,12.96,13.03,12.95,13.0,10.704615,16000
126,2014-07-07,12.95,13.04,12.89,12.95,10.663441,12400
127,2014-07-14,13.02,13.05,12.91,12.91,10.630506,24600
128,2014-07-21,13.0,13.05,12.94,12.94,10.655207,14800
