,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-05-21,19.959999,19.959999,19.959999,19.959999,19.959999,0
1,2018-05-28,19.959999,19.959999,19.959999,19.959999,19.959999,100
2,2018-06-04,19.959999,20.139999,19.959999,20.1,20.1,10000
3,2018-06-11,20.1,20.530001,20.1,20.530001,20.530001,100
4,2018-06-18,20.530001,20.530001,20.530001,20.530001,20.530001,0
5,2018-06-25,20.530001,20.530001,20.530001,20.530001,20.530001,0
6,2018-07-02,20.530001,20.559999,20.530001,20.559999,20.559999,475
7,2018-07-09,20.559999,20.84,20.559999,20.75,20.75,3900
8,2018-07-16,20.75,20.75,20.75,20.75,20.75,0
9,2018-07-23,20.75,20.75,20.75,20.75,20.75,0
10,2018-07-30,20.75,20.75,20.75,20.75,20.75,0
11,2018-08-06,20.75,20.75,20.75,20.75,20.75,0
12,2018-08-13,20.75,20.75,20.75,20.75,20.75,0
13,2018-08-20,20.75,20.75,20.75,20.75,20.75,0
14,2018-08-27,20.75,20.98,20.75,20.98,20.98,400
15,2018-09-03,20.98,21.01,20.98,21.01,21.01,100
16,2018-09-10,21.01,21.01,20.959999,20.959999,20.959999,100
17,2018-09-17,20.959999,20.959999,20.92,20.92,20.92,2701
18,2018-09-24,20.92,20.92,20.92,20.92,20.92,0
19,2018-10-01,20.92,20.92,20.870001,20.870001,20.870001,100
20,2018-10-08,20.870001,20.870001,20.040001,20.040001,20.040001,500
21,2018-10-15,20.040001,20.040001,20.040001,20.040001,20.040001,0
22,2018-10-22,20.040001,20.040001,19.51,19.51,19.51,100
23,2018-10-29,19.51,19.51,19.51,19.51,19.51,0
24,2018-11-05,19.51,20.0,19.51,20.0,20.0,120
25,2018-11-12,20.0,20.0,20.0,20.0,20.0,0
26,2018-11-19,20.1,20.1,20.09,20.09,20.09,600
27,2018-11-26,20.09,20.09,20.09,20.09,20.09,0
28,2018-12-03,20.09,20.09,19.889999,19.889999,19.889999,105
