,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-13,9.99,9.99,9.99,9.99,8.850196,2600
1,2012-02-20,10.03,10.25,10.03,10.25,9.080535,12200
2,2012-02-27,10.25,10.26,10.21,10.25,9.080535,2800
3,2012-03-05,10.25,10.34,10.11,10.34,9.160263,2200
4,2012-03-12,10.34,10.41,10.34,10.41,9.222278,1100
5,2012-03-19,10.41,10.41,10.21,10.23,9.062813,11700
6,2012-03-26,10.23,10.68,10.22,10.24,9.071672,10200
7,2012-04-02,10.26,10.31,10.23,10.23,9.079676,2400
8,2012-04-09,10.23,10.28,10.23,10.28,9.124057,1600
9,2012-04-16,10.23,10.25,10.23,10.25,9.097428,1600
10,2012-04-23,10.25,10.25,10.25,10.25,9.097428,0
11,2012-04-30,10.25,10.55,10.25,10.55,9.363696,400
12,2012-05-07,10.55,10.55,10.28,10.33,9.168431,800
13,2012-05-14,10.25,10.25,9.97,9.97,8.848915,1300
14,2012-05-21,10.07,10.14,10.07,10.14,8.9998,900
15,2012-05-28,10.14,10.14,10.14,10.14,8.9998,0
16,2012-06-04,10.14,10.19,10.12,10.12,8.982046,800
17,2012-06-11,10.14,10.14,10.14,10.14,8.9998,1000
18,2012-06-18,10.14,10.16,10.14,10.16,9.01755,400
19,2012-06-25,10.16,10.16,10.03,10.16,9.01755,2200
20,2012-07-02,10.16,10.16,10.16,10.16,9.056771,0
21,2012-07-09,10.16,10.16,10.16,10.16,9.056771,0
22,2012-07-16,10.16,10.16,10.16,10.16,9.056771,0
23,2012-07-23,10.16,10.28,10.16,10.28,9.163743,1000
24,2012-07-30,10.28,10.28,10.28,10.28,9.163743,0
25,2012-08-06,10.28,10.28,10.28,10.28,9.163743,0
26,2012-08-13,10.47,10.54,10.47,10.54,9.39551,1800
27,2012-08-20,10.54,10.54,10.54,10.54,9.39551,0
28,2012-08-27,10.54,10.58,10.54,10.58,9.431168,600
29,2012-09-03,10.58,10.58,10.58,10.58,9.431168,0
30,2012-09-10,10.58,10.67,10.58,10.67,9.511392,1000
31,2012-09-17,10.67,10.67,10.67,10.67,9.511392,5000
32,2012-09-24,10.67,10.67,10.67,10.67,9.511392,0
33,2012-10-01,10.67,10.7,10.51,10.7,9.590263,104500
34,2012-10-08,10.7,10.71,10.65,10.65,9.545452,1400
35,2012-10-15,10.65,10.65,10.65,10.65,9.545452,0
36,2012-10-22,10.65,10.76,10.65,10.76,9.644044,3000
37,2012-10-29,10.76,10.93,10.76,10.93,9.796412,31000
38,2012-11-05,10.93,10.93,10.66,10.66,9.554416,1600
39,2012-11-12,10.66,10.73,10.35,10.35,9.276564,3100
40,2012-11-19,10.52,10.55,10.52,10.55,9.455825,16500
41,2012-11-26,10.55,10.55,10.55,10.55,9.455825,0
42,2012-12-03,10.62,10.63,10.58,10.63,9.527525,6300
43,2012-12-10,10.65,10.82,10.65,10.82,9.69782,4600
44,2012-12-17,10.82,10.93,10.82,10.93,9.796412,2400
45,2012-12-24,10.93,10.93,10.93,10.93,9.796412,0
46,2012-12-31,10.8,10.94,10.8,10.91,9.830652,1900
47,2013-01-07,11.0,11.1,11.0,11.04,9.947792,4800
48,2013-01-14,11.04,11.3,11.04,11.3,10.182068,1200
49,2013-01-21,11.32,11.36,11.32,11.36,10.236132,12300
50,2013-01-28,11.36,11.36,11.36,11.36,10.236132,0
51,2013-02-04,11.29,11.44,11.29,11.44,10.30822,24700
52,2013-02-11,11.41,11.42,11.4,11.42,10.290198,6200
53,2013-02-18,11.44,11.49,11.39,11.39,10.263167,6000
54,2013-02-25,11.39,11.56,11.39,11.54,10.398325,1500
55,2013-03-04,11.53,11.73,11.53,11.69,10.533482,11800
56,2013-03-11,11.69,11.69,11.58,11.63,10.479422,34200
57,2013-03-18,11.64,11.8,11.6,11.63,10.479422,27700
58,2013-03-25,11.6,11.65,11.55,11.64,10.488434,6600
59,2013-04-01,11.7,11.7,11.49,11.51,10.423277,27500
60,2013-04-08,11.51,11.68,11.47,11.63,10.531944,9500
61,2013-04-15,11.6,11.67,11.49,11.6,10.504776,21200
62,2013-04-22,11.65,11.8,11.65,11.76,10.649671,15400
