,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-11-11,10.8,10.8,10.62,10.66,9.821407,0
1,2013-11-18,10.8,10.8,10.51,10.66,9.821407,18700
2,2013-11-25,10.66,10.91,10.66,10.89,10.033312,15700
3,2013-12-02,11.05,11.05,10.62,10.69,9.849046,33800
4,2013-12-09,10.7,10.73,10.47,10.5,9.673994,14400
5,2013-12-16,10.61,10.9,10.58,10.8,9.950393,34600
6,2013-12-23,10.84,10.91,10.84,10.91,10.051739,4700
7,2013-12-30,10.91,10.93,10.79,10.84,10.001086,12400
8,2014-01-06,10.82,11.0,10.76,11.0,10.148703,32300
9,2014-01-13,10.96,11.17,10.82,11.0,10.148703,33100
10,2014-01-20,11.04,11.17,10.7,10.7,9.871918,34100
11,2014-01-27,10.89,10.89,10.6,10.74,9.908824,46800
12,2014-02-03,10.66,10.66,10.35,10.63,9.807337,31900
13,2014-02-10,10.67,11.02,10.6,11.01,10.157928,17700
14,2014-02-17,11.22,11.22,10.98,11.07,10.213284,7900
15,2014-02-24,11.23,11.44,11.16,11.4,10.517745,75700
16,2014-03-03,11.3,11.55,11.28,11.51,10.619234,45300
17,2014-03-10,11.43,11.68,11.25,11.35,10.471616,32200
18,2014-03-17,11.48,11.85,11.47,11.7,10.794533,31600
19,2014-03-24,11.78,11.78,11.49,11.6,10.70227,215500
20,2014-03-31,11.65,11.97,11.65,11.7,10.817644,42700
21,2014-04-07,11.83,11.83,11.36,11.36,10.503285,106600
22,2014-04-14,11.41,11.61,11.32,11.61,10.734434,31600
23,2014-04-21,11.75,11.9,11.75,11.78,10.891611,41800
24,2014-04-28,11.81,11.93,11.59,11.88,10.98407,14300
25,2014-05-05,12.13,12.13,11.82,11.82,10.928595,40100
26,2014-05-12,11.81,12.06,11.68,11.72,10.836135,73100
27,2014-05-19,11.77,11.9,11.62,11.9,11.002563,14600
28,2014-05-26,11.95,12.1,11.95,12.07,11.159742,13600
29,2014-06-02,12.01,12.36,12.01,12.36,11.427874,29600
30,2014-06-09,12.4,12.42,12.25,12.33,11.400133,38400
31,2014-06-16,12.4,12.54,12.28,12.5,11.55731,23000
32,2014-06-23,12.46,12.55,12.35,12.48,11.53882,20800
33,2014-06-30,12.5,12.65,12.5,12.58,11.649115,28300
34,2014-07-07,12.58,12.68,12.37,12.39,11.473172,30700
35,2014-07-14,12.44,12.62,12.38,12.38,11.463913,8600
36,2014-07-21,12.38,12.48,12.33,12.38,11.463913,23200
37,2014-07-28,12.35,12.4,11.85,11.96,11.074994,130200
38,2014-08-04,11.99,11.99,11.84,11.99,11.102771,15700
39,2014-08-11,12.12,12.17,11.99,12.14,11.241673,13800
40,2014-08-18,12.28,12.45,12.28,12.44,11.519472,11800
41,2014-08-25,12.5,12.56,12.45,12.56,11.630594,7900
42,2014-09-01,12.61,12.64,12.45,12.51,11.584294,8100
43,2014-09-08,12.48,12.51,12.3,12.32,11.408352,44700
44,2014-09-15,12.27,12.41,12.14,12.3,11.389832,9000
45,2014-09-22,12.14,12.14,11.9,11.9,11.019434,9500
46,2014-09-29,11.94,11.94,11.5,11.77,10.916279,61900
47,2014-10-06,11.8,11.8,11.34,11.41,10.582391,41800
48,2014-10-13,11.17,11.67,11.0,11.36,10.536018,77800
