,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-11-11,10.59,10.64,10.59,10.64,10.548871,0
1,2013-11-18,10.64,10.87,10.51,10.87,10.776901,28800
2,2013-11-25,10.73,10.83,10.73,10.83,10.737243,6800
3,2013-12-02,10.84,10.84,10.61,10.81,10.717415,38700
4,2013-12-09,10.8,10.8,10.53,10.57,10.47947,9400
5,2013-12-16,10.57,10.9,10.57,10.85,10.757073,43900
6,2013-12-23,10.93,11.22,10.92,10.94,10.846301,7100
7,2013-12-30,10.91,10.97,10.85,10.85,10.766933,3200
8,2014-01-06,10.85,11.23,10.85,11.1,11.015018,25100
9,2014-01-13,11.24,11.24,10.99,11.08,10.995171,12400
10,2014-01-20,11.04,11.31,10.72,10.72,10.637927,14800
11,2014-01-27,10.93,10.93,10.5,10.73,10.647851,21500
12,2014-02-03,10.58,10.62,10.24,10.62,10.538693,12900
13,2014-02-10,10.62,11.0,10.62,11.0,10.915784,55800
14,2014-02-17,11.19,11.25,11.15,11.25,11.16387,19600
15,2014-02-24,11.25,11.42,11.21,11.32,11.233334,18000
16,2014-03-03,11.18,11.45,11.18,11.38,11.292874,25000
17,2014-03-10,11.38,11.39,11.05,11.15,11.064635,29300
18,2014-03-17,11.15,11.59,11.15,11.3,11.213488,18500
19,2014-03-24,11.19,11.19,10.85,10.94,10.856243,205300
20,2014-03-31,10.94,11.24,10.89,10.89,10.806626,194400
21,2014-04-07,10.79,11.05,10.58,10.58,10.499,40000
22,2014-04-14,10.47,10.91,10.47,10.91,10.826473,22300
23,2014-04-21,10.95,11.11,10.95,11.1,11.015018,7900
24,2014-04-28,10.85,11.15,10.85,11.15,11.064635,9100
25,2014-05-05,11.15,11.15,10.88,10.97,10.886014,217300
26,2014-05-12,11.12,11.25,10.96,10.96,10.87609,3700
27,2014-05-19,11.04,11.22,11.04,11.22,11.1341,18200
28,2014-05-26,11.22,11.37,11.22,11.33,11.243258,8900
29,2014-06-02,11.27,11.55,11.27,11.55,11.461573,9000
30,2014-06-09,11.51,11.54,11.32,11.39,11.302798,11700
31,2014-06-16,11.4,11.5,11.35,11.49,11.402032,7400
32,2014-06-23,11.49,11.49,11.36,11.36,11.273027,1300
33,2014-06-30,11.36,11.59,11.36,11.59,11.501267,2200
34,2014-07-07,11.52,11.55,11.35,11.44,11.352414,5800
35,2014-07-14,11.48,11.5,11.35,11.35,11.263104,5800
