,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,15.16,15.18,15.09,15.18,10.515139,34700
1,2010-03-01,15.18,15.18,14.97,14.98,10.376596,17600
2,2010-04-01,14.98,14.98,14.86,14.94,10.419727,20300
3,2010-05-01,14.94,15.27,14.93,15.15,10.566192,82900
4,2010-06-01,15.18,15.3,14.99,15.24,10.628963,159000
5,2010-07-01,15.22,15.28,15.0,15.28,10.7766,211600
6,2010-08-01,15.32,15.91,15.21,15.56,10.974076,316900
7,2010-09-01,15.49,15.79,15.41,15.47,10.910602,249600
8,2010-10-01,15.45,15.63,15.45,15.5,11.050053,339900
9,2010-11-01,15.54,15.67,15.18,15.35,10.943116,640700
10,2010-12-01,15.29,15.59,14.89,15.18,10.821922,487500
11,2011-01-01,15.25,15.25,14.94,15.06,10.853343,619100
12,2011-02-01,15.1,15.78,14.56,15.06,10.893072,646000
13,2011-03-01,15.05,15.5,14.9,14.98,10.874978,1033000
14,2011-04-01,14.95,15.08,14.82,15.02,10.943905,445600
15,2011-05-01,15.03,15.19,15.02,15.18,11.098117,667200
16,2011-06-01,15.24,15.38,15.14,15.14,11.106163,564100
17,2011-07-01,15.13,15.38,15.13,15.38,11.319754,472200
18,2011-08-01,15.44,15.8,15.44,15.55,11.4816,623600
19,2011-09-01,15.49,15.89,15.49,15.74,11.65834,659000
20,2011-10-01,15.78,15.83,15.43,15.59,11.583118,986900
21,2011-11-01,15.77,15.84,15.66,15.67,11.677649,2600200
22,2011-12-01,15.73,16.02,15.72,15.95,11.921707,8632900
23,2012-01-01,15.89,15.99,15.8,15.95,11.956103,5559800
24,2012-02-01,15.95,15.95,15.77,15.85,11.914928,5938200
25,2012-03-01,15.79,15.88,15.61,15.75,11.87353,3507100
26,2012-04-01,15.76,15.81,15.6,15.71,11.877394,2710900
27,2012-05-01,15.73,15.97,15.66,15.96,12.101042,1583500
28,2012-06-01,16.07,16.1,15.88,15.95,12.127638,2228900
29,2012-07-01,15.96,16.120001,15.89,15.98,12.184002,2285600
30,2012-08-01,15.98,16.02,15.76,15.94,12.186824,2410700
31,2012-09-01,15.95,16.02,15.77,16.0,12.266535,1465700
32,2012-10-01,16.0,16.0,15.83,15.9,12.22361,1103700
33,2012-11-01,15.9,16.02,15.88,15.97,12.311645,821700
34,2012-12-01,15.95,15.99,15.85,15.91,12.29936,491100
35,2013-01-01,15.83,15.88,15.7,15.74,12.201645,1401000
36,2013-02-01,15.72,15.84,15.67,15.83,12.305656,3234300
37,2013-03-01,15.83,15.88,15.75,15.86,12.36346,887000
38,2013-04-01,15.88,16.030001,15.85,15.97,12.483793,125900
