,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-02-11,30.190001,30.24,30.190001,30.24,28.752228,1000
1,2019-02-18,30.26,30.370001,30.25,30.299999,28.809269,15500
2,2019-02-25,30.76,30.76,30.33,30.530001,29.02796,23200
3,2019-03-04,30.610001,30.74,30.43,30.450001,28.951895,10500
4,2019-03-11,30.549999,30.93,30.549999,30.9,29.379753,20500
5,2019-03-18,30.950001,31.129999,30.91,30.959999,29.436804,14300
6,2019-03-25,30.969999,31.08,30.799999,30.84,29.322704,5900
7,2019-04-01,31.0,31.209999,30.940001,31.200001,29.847874,12900
8,2019-04-08,31.18,31.209999,31.059999,31.190001,29.838308,37700
9,2019-04-15,31.190001,31.32,31.190001,31.32,29.962673,13000
10,2019-04-22,31.25,31.57,31.209999,31.49,30.125305,28500
11,2019-04-29,31.549999,31.57,31.33,31.51,30.14444,13800
12,2019-05-06,31.27,31.299999,30.9,31.129999,29.780909,26700
13,2019-05-13,30.860001,31.209999,30.780001,31.08,29.733076,10900
14,2019-05-20,31.030001,31.030001,30.85,30.99,29.646976,6000
15,2019-05-27,31.01,31.09,30.809999,30.82,29.484343,10300
16,2019-06-03,30.82,31.219999,30.75,31.219999,29.867006,18400
17,2019-06-10,31.219999,31.41,31.200001,31.41,30.048777,15600
18,2019-06-17,31.43,31.700001,31.43,31.629999,30.259239,15700
19,2019-06-24,31.639999,31.639999,31.16,31.27,29.914841,8000
20,2019-07-01,31.219999,31.620001,31.219999,31.42,30.240744,21000
21,2019-07-08,31.360001,31.51,31.32,31.33,30.154119,15900
22,2019-07-15,31.42,31.549999,31.34,31.450001,30.269617,23300
23,2019-07-22,31.49,31.719999,31.450001,31.709999,30.519859,5500
24,2019-07-29,31.65,31.66,31.25,31.309999,30.134872,12800
25,2019-08-05,31.02,31.4,30.940001,31.4,30.221497,11300
26,2019-08-12,31.24,31.360001,31.049999,31.280001,30.106001,21400
27,2019-08-19,31.379999,31.459999,31.049999,31.049999,29.88463,16100
28,2019-08-26,31.24,31.559999,31.23,31.51,30.327368,21800
29,2019-09-02,31.51,31.709999,31.459999,31.65,30.462112,14400
30,2019-09-09,31.65,31.82,31.49,31.82,30.625732,9700
31,2019-09-16,31.719999,32.040001,31.719999,31.969999,30.770102,23500
32,2019-09-23,31.93,31.959999,31.5,31.5,30.317743,30300
