,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,13.66,14.26,13.07,14.25,12.62654,101200
1,2010-03-01,14.47,14.97,14.08,14.85,13.158182,166200
2,2010-04-01,15.12,16.17,14.76,15.1,13.379702,151500
3,2010-05-01,15.03,15.15,12.79,14.08,12.475906,165500
4,2010-06-01,14.05,14.98,13.39,14.08,12.475906,140500
5,2010-07-01,13.89,14.81,13.88,14.63,13.009615,59100
6,2010-08-01,15.11,15.31,14.15,14.43,12.831767,110200
7,2010-09-01,14.86,15.89,14.67,15.8,14.050027,109400
8,2010-10-01,16.0,16.85,15.76,16.41,14.63186,176700
9,2010-11-01,16.73,17.360001,15.73,15.77,14.06121,289200
10,2010-12-01,16.200001,16.26,14.3,15.52,13.838296,179300
11,2011-01-01,15.67,16.74,15.67,16.110001,14.404736,189500
12,2011-02-01,16.309999,16.49,15.55,15.9,14.216963,118300
13,2011-03-01,16.16,16.43,15.31,16.34,14.610391,105300
14,2011-04-01,16.43,17.110001,16.43,16.780001,15.003815,98400
15,2011-05-01,16.9,16.91,15.66,16.25,14.529917,58600
16,2011-06-01,16.27,16.27,14.65,15.89,14.208024,86300
17,2011-07-01,16.0,16.200001,15.34,15.69,14.029192,47300
18,2011-08-01,15.54,15.54,12.96,14.23,12.723734,123200
19,2011-09-01,14.1,14.1,11.61,11.78,10.533072,77700
20,2011-10-01,11.5,13.31,10.8,12.94,11.570283,50500
21,2011-11-01,12.5,13.13,11.21,12.36,11.051678,64000
22,2011-12-01,12.48,12.66,11.13,11.13,9.951875,37500
23,2012-01-01,11.47,12.52,11.38,12.33,11.284204,54600
24,2012-02-01,12.61,13.01,12.51,12.89,11.796708,44200
25,2012-03-01,12.99,13.09,12.25,12.45,11.394027,49100
26,2012-04-01,12.47,12.73,12.1,12.4,11.348268,13600
27,2012-05-01,12.4,12.74,10.9,10.9,9.975492,37500
28,2012-06-01,10.85,11.38,10.39,10.76,9.847368,20500
29,2012-07-01,10.96,11.17,10.42,10.65,9.746697,13000
30,2012-08-01,10.72,11.36,10.63,10.93,10.002949,21500
31,2012-09-01,10.93,11.31,10.93,11.3,10.341566,28100
32,2012-10-01,11.26,11.81,11.16,11.69,10.698486,25500
33,2012-11-01,11.82,12.08,11.17,11.49,10.51545,29500
34,2012-12-01,11.44,11.94,11.18,11.83,10.826612,61200
35,2013-01-01,11.87,12.5,11.87,12.2,11.391912,90000
36,2013-02-01,12.37,12.37,11.7,11.99,11.195821,51700
37,2013-03-01,11.79,12.11,11.46,11.64,10.869005,31900
38,2013-04-01,11.64,11.78,11.07,11.68,10.906355,49400
39,2013-05-01,11.66,12.69,11.56,12.44,11.616015,37400
40,2013-06-01,12.44,12.44,11.23,12.11,11.307874,27600
41,2013-07-01,12.17,13.05,11.84,13.05,12.185611,40300
42,2013-08-01,13.4,14.18,13.22,13.8,12.885933,51400
43,2013-09-01,13.91,15.12,13.91,14.75,13.773009,58300
44,2013-10-01,14.73,15.98,14.73,15.07,14.071813,122300
45,2013-11-01,15.02,16.1,14.62,16.1,15.033589,79300
46,2013-12-01,16.16,16.25,15.4,15.85,14.800148,110600
47,2014-01-01,15.92,16.700001,15.3,15.69,14.768478,107900
48,2014-02-01,15.63,16.879999,14.96,16.799999,15.813287,69400
49,2014-03-01,16.5,17.35,15.52,15.88,14.947321,87400
50,2014-04-01,15.94,16.299999,15.25,15.56,14.646114,38800
51,2014-05-01,15.64,16.08,14.48,15.95,15.013207,52200
52,2014-06-01,15.95,16.6,15.83,16.52,15.549729,19400
53,2014-07-01,16.639999,18.01,16.0,17.629999,16.594536,85900
54,2014-08-01,17.629999,18.860001,17.360001,18.450001,17.366377,68500
55,2014-09-01,18.66,19.48,17.719999,17.74,16.698074,190700
56,2014-10-01,17.5,18.469999,16.32,18.469999,17.385199,30500
57,2014-11-01,18.440001,18.690001,17.879999,18.51,17.42285,133800
58,2014-12-01,18.299999,18.299999,16.889999,17.48,16.453346,97700
59,2015-01-01,17.610001,19.719999,17.09,19.059999,18.109268,90900
60,2015-02-01,19.0,19.66,18.84,19.209999,18.251785,91900
61,2015-03-01,19.15,19.889999,18.52,19.82,18.83136,80400
