,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,15.21,15.31,15.13,15.28,10.091877,491200
1,2010-03-01,15.25,15.33,15.04,15.08,9.959788,158800
2,2010-04-01,15.08,15.08,14.88,14.98,9.979198,130000
3,2010-05-01,15.0,15.21,14.95,15.06,10.032495,76500
4,2010-06-01,15.16,15.27,14.94,15.19,10.119098,251500
5,2010-07-01,15.19,15.34,15.05,15.34,10.361992,430000
6,2010-08-01,15.36,15.92,15.29,15.6,10.53762,541800
7,2010-09-01,15.58,15.59,15.37,15.5,10.470075,559700
8,2010-10-01,15.46,15.63,15.32,15.52,10.618966,682700
9,2010-11-01,15.49,15.63,15.18,15.25,10.434233,516900
10,2010-12-01,15.2,15.37,15.05,15.21,10.40686,584000
11,2011-01-01,15.24,15.24,15.01,15.1,10.36132,683600
12,2011-02-01,15.11,15.17,14.85,15.17,10.454265,400800
13,2011-03-01,15.16,15.32,14.94,15.02,10.39547,485300
14,2011-04-01,15.02,15.18,14.9,15.16,10.537539,253600
15,2011-05-01,15.16,15.32,15.1,15.26,10.652199,195400
16,2011-06-01,15.28,15.48,15.19,15.24,10.682983,189700
17,2011-07-01,15.2,15.52,15.2,15.52,10.924455,130800
18,2011-08-01,15.6,15.97,15.48,15.5,10.954986,171000
19,2011-09-01,15.54,15.83,15.41,15.57,11.048879,166900
20,2011-10-01,15.51,15.67,15.3,15.49,11.036624,248400
21,2011-11-01,15.5,15.71,15.38,15.42,11.030222,292400
22,2011-12-01,15.45,15.75,15.42,15.6,11.202814,518600
23,2012-01-01,15.63,15.85,15.6,15.85,11.426145,418400
24,2012-02-01,15.83,15.87,15.69,15.82,11.448916,468300
25,2012-03-01,15.81,15.88,15.55,15.77,11.457049,497900
26,2012-04-01,15.79,15.87,15.58,15.71,11.457978,358800
27,2012-05-01,15.74,15.94,15.68,15.91,11.648989,671900
28,2012-06-01,15.95,16.040001,15.8,15.95,11.723145,1123200
29,2012-07-01,15.9,16.16,15.86,16.0,11.804381,6342600
