,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,16.42,16.950001,15.7,15.74,11.546908,239000
1,2010-07-01,15.74,16.389999,15.48,16.34,12.062365,199600
2,2010-08-01,16.34,16.6,15.91,16.51,12.187865,309400
3,2010-09-01,16.639999,17.09,16.639999,17.0,12.549586,14504200
4,2010-10-01,17.09,17.450001,16.9,17.299999,12.850936,271200
5,2010-11-01,17.440001,17.879999,17.16,17.74,13.177784,231500
6,2010-12-01,17.9,18.34,17.879999,18.299999,13.593767,481900
7,2011-01-01,18.49,18.5,17.889999,18.49,13.811174,591000
8,2011-02-01,18.690001,19.440001,18.620001,19.299999,14.416205,306700
9,2011-03-01,19.469999,19.690001,18.299999,19.27,14.393798,334000
10,2011-04-01,19.290001,19.530001,18.459999,18.860001,14.163051,378100
11,2011-05-01,18.889999,19.110001,17.99,18.68,14.027883,296800
12,2011-06-01,18.75,18.75,17.34,17.889999,13.434626,409300
13,2011-07-01,18.040001,18.23,17.389999,17.389999,13.136998,472400
14,2011-08-01,17.469999,17.469999,15.7,17.15,12.95569,1537900
15,2011-09-01,17.290001,17.290001,15.37,15.69,11.852758,604000
16,2011-10-01,15.59,16.959999,14.78,16.719999,12.718144,879600
17,2011-11-01,16.450001,16.879999,15.41,16.4,12.474739,1135500
18,2011-12-01,16.4,16.530001,15.48,16.049999,12.208505,1405400
19,2012-01-01,16.379999,17.02,16.360001,16.809999,12.872529,1411300
20,2012-02-01,16.889999,17.280001,16.58,17.129999,13.11757,1256700
21,2012-03-01,17.09,17.25,16.49,16.76,12.834239,815300
22,2012-04-01,16.91,16.93,16.0,16.559999,12.761076,5537100
23,2012-05-01,16.639999,16.690001,15.19,15.51,11.951949,2684600
24,2012-06-01,15.47,16.049999,15.14,15.63,12.04442,1353500
25,2012-07-01,16.049999,16.17,15.38,15.75,12.2217,750800
26,2012-08-01,15.79,16.48,15.54,16.23,12.594168,857000
27,2012-09-01,16.25,17.02,16.129999,16.57,12.858005,1255900
28,2012-10-01,16.66,16.809999,16.370001,16.799999,13.130892,558600
29,2012-11-01,16.75,16.889999,15.9,16.49,12.888592,1142200
30,2012-12-01,16.530001,16.799999,16.379999,16.77,13.107445,728700
31,2013-01-01,17.049999,17.41,16.77,17.15,13.488906,861800
32,2013-02-01,17.24,18.0,17.040001,17.33,13.630477,1270200
33,2013-03-01,17.34,17.469999,17.02,17.17,13.504636,912500
34,2013-04-01,17.219999,17.219999,16.1,16.82,13.325749,1033100
35,2013-05-01,16.780001,17.41,16.6,17.120001,13.563426,1329100
36,2013-06-01,17.17,17.17,15.97,16.370001,12.969236,3894000
37,2013-07-01,16.459999,17.23,16.27,16.9,13.494025,826500
38,2013-08-01,17.049999,17.33,16.75,17.18,13.717598,1083800
39,2013-09-01,17.34,17.59,17.17,17.26,13.781475,1016200
40,2013-10-01,17.23,18.219999,17.120001,18.09,14.548594,872000
41,2013-11-01,18.07,18.27,17.969999,18.209999,14.645101,769400
42,2013-12-01,18.139999,18.389999,17.73,18.370001,14.773779,1170800
43,2014-01-01,18.33,18.93,18.190001,18.5,14.989272,1298500
44,2014-02-01,18.51,19.32,18.190001,19.26,15.605048,2263100
45,2014-03-01,19.17,19.52,19.059999,19.360001,15.686072,1466800
46,2014-04-01,19.360001,19.809999,19.190001,19.809999,16.154871,907600
47,2014-05-01,19.809999,19.959999,19.58,19.719999,16.081476,718400
48,2014-06-01,19.790001,20.51,19.790001,20.43,16.660475,427600
49,2014-07-01,20.469999,20.969999,20.290001,20.74,17.018169,922500
50,2014-08-01,20.73,21.190001,20.389999,21.139999,17.346392,518400
51,2014-09-01,21.139999,21.23,20.030001,20.200001,16.575083,613000
52,2014-10-01,20.190001,20.190001,18.48,19.77,16.32572,601000
53,2014-11-01,19.82,20.540001,19.4,20.01,16.523905,558000
54,2014-12-01,19.950001,20.01,18.52,19.719999,16.28443,1106900
55,2015-01-01,19.77,20.110001,18.780001,19.84,16.50433,831900
56,2015-02-01,20.01,20.76,19.940001,20.67,17.19478,1479600
57,2015-03-01,20.66,20.700001,19.83,20.120001,16.737251,732900
58,2015-04-01,20.15,20.959999,20.1,20.6,17.255556,321300
59,2015-05-01,20.58,20.83,20.200001,20.360001,17.05452,650100
60,2015-06-01,20.41,20.57,19.559999,19.639999,16.451414,449900
61,2015-07-01,19.719999,19.93,18.9,19.58,16.514992,541400
62,2015-08-01,19.540001,19.77,17.049999,18.780001,15.840222,641200
63,2015-09-01,18.48,18.83,17.549999,17.969999,15.15702,822500
64,2015-10-01,18.059999,19.01,17.709999,18.33,15.580976,605700
65,2015-11-01,18.32,18.67,17.67,18.290001,15.546978,648300
66,2015-12-01,18.32,18.5,17.17,17.549999,14.91796,754200
