,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,30.415001,30.58,30.34,30.42,28.880026,5600
1,2019-03-11,30.5,30.76,30.5,30.76,29.202816,9000
2,2019-03-18,30.84,30.969999,30.84,30.92,29.354713,4400
3,2019-03-25,30.940001,30.98,30.75,30.75,29.193317,12500
4,2019-04-01,30.860001,30.959999,30.85,30.959999,29.583673,12400
5,2019-04-08,30.959999,30.959999,30.870001,30.9,29.52634,22300
6,2019-04-15,30.889999,31.0,30.870001,30.959999,29.583673,4600
7,2019-04-22,30.99,31.219999,30.950001,31.219999,29.832115,3700
8,2019-04-29,31.209999,31.209999,31.059999,31.16,29.774782,7600
9,2019-05-06,31.02,31.120001,30.799999,30.950001,29.57412,6200
10,2019-05-13,30.76,31.02,30.76,31.02,29.641006,3200
11,2019-05-20,31.02,31.02,30.82,30.82,29.449898,2000
12,2019-05-27,31.02,31.040001,30.889999,30.889999,29.516787,1700
13,2019-06-03,30.9,31.139999,30.9,31.07,29.688784,12100
14,2019-06-10,31.18,31.18,31.139999,31.139999,29.755671,4900
15,2019-06-17,31.360001,31.5,31.360001,31.5,30.099669,10500
16,2019-06-24,31.549999,31.549999,31.16,31.16,29.774782,1900
17,2019-07-01,31.16,31.5,31.16,31.34,30.138071,5000
18,2019-07-08,31.24,31.33,31.200001,31.219999,30.022675,7800
19,2019-07-15,31.26,31.360001,31.24,31.33,30.128456,6900
20,2019-07-22,31.360001,31.549999,31.33,31.549999,30.340019,7800
21,2019-07-29,31.540001,31.540001,31.360001,31.4,30.19577,10600
22,2019-08-05,31.360001,31.5,31.360001,31.5,30.291937,400
23,2019-08-12,31.5,31.52,31.4,31.52,30.311169,3300
24,2019-08-19,31.52,31.57,31.360001,31.360001,30.157307,2500
25,2019-08-26,31.34,31.690001,31.34,31.66,30.445803,3000
26,2019-09-02,31.620001,31.719999,31.620001,31.67,30.455418,13300
27,2019-09-09,31.620001,31.620001,31.43,31.6,30.388102,10400
28,2019-09-16,31.559999,31.85,31.549999,31.799999,30.580429,6700
29,2019-09-23,31.83,31.83,31.49,31.5,30.291937,5700
30,2019-09-30,31.5,31.59,31.26,31.59,30.571306,4200
31,2019-10-07,31.549999,31.559999,31.299999,31.299999,30.290653,19700
32,2019-10-14,31.299999,31.309999,31.299999,31.309999,30.300333,500
33,2019-10-21,31.34,31.42,31.34,31.389999,30.377754,12600
34,2019-10-28,31.360001,31.709999,31.309999,31.620001,30.600336,13700
35,2019-11-04,31.700001,31.799999,31.620001,31.799999,30.77453,16900
36,2019-11-11,31.700001,31.92,31.700001,31.92,30.890663,2100
37,2019-11-18,31.99,32.130001,31.99,32.029999,30.997116,8000
38,2019-11-25,32.029999,32.209999,32.029999,32.16,31.122923,3500
39,2019-12-02,32.16,32.16,31.82,31.99,30.958405,3300
40,2019-12-09,31.969999,32.07,31.940001,32.07,31.035824,6600
41,2019-12-16,32.139999,32.299999,32.09,32.299999,31.258408,10500
42,2019-12-23,32.380001,32.380001,32.110001,32.110001,31.074535,9600
43,2019-12-30,32.110001,32.110001,31.860001,32.09,31.248672,3300
44,2020-01-06,32.09,32.209999,32.040001,32.209999,31.365526,15900
45,2020-01-13,32.240002,32.459999,32.18,32.450001,31.599232,12700
46,2020-01-20,32.450001,32.720001,32.43,32.700001,31.84268,13800
47,2020-01-27,32.509998,32.650002,32.5,32.52,31.6674,3400
48,2020-02-03,32.52,32.93,32.52,32.919998,32.056908,6700
49,2020-02-10,32.990002,33.02,32.880001,33.02,32.154289,12100
50,2020-02-17,32.990002,33.049999,32.98,32.98,32.115337,5800
51,2020-02-24,32.779999,32.779999,31.639999,31.73,30.898109,20300
52,2020-03-02,31.73,32.450001,31.73,32.34,31.492119,7700
53,2020-03-09,31.790001,31.940001,28.809999,29.700001,28.921333,27700
54,2020-03-16,28.4,29.16,26.280001,28.200001,27.460661,30800
55,2020-03-23,28.0,29.559999,27.83,29.15,28.38575,20000
56,2020-03-30,29.34,29.84,29.26,29.35,28.580509,3200
57,2020-04-06,29.879999,30.299999,29.85,30.299999,29.5056,5100
58,2020-04-13,30.49,31.110001,30.49,31.110001,30.294365,3300
59,2020-04-20,31.16,31.219999,30.940001,30.940001,30.128822,5800
60,2020-04-27,30.940001,31.68,30.940001,31.51,30.683878,7300
61,2020-05-04,31.43,31.530001,31.379999,31.48,30.654663,2800
62,2020-05-11,31.48,31.65,31.370001,31.379999,30.557285,1400
63,2020-05-18,31.58,31.790001,31.530001,31.790001,30.956535,3200
64,2020-05-25,31.790001,32.049999,31.790001,32.049999,31.209717,2000
65,2020-06-01,32.040001,32.369999,32.040001,32.360001,31.511591,4600
66,2020-06-08,32.400002,32.57,32.049999,32.099998,31.258408,4100
67,2020-06-15,32.080002,32.669998,32.049999,32.650002,31.793989,7300
68,2020-06-22,32.59,32.700001,32.130001,32.130001,31.287624,2400
69,2020-06-29,32.130001,32.59,32.130001,32.560001,31.922575,5000
70,2020-07-06,32.709999,32.709999,32.68,32.68,32.040226,3600
71,2020-07-13,32.75,33.07,32.75,33.060001,32.412788,11900
72,2020-07-20,33.060001,33.200001,32.98,32.98,32.334351,8100
73,2020-07-27,33.009998,33.09,33.0,33.060001,32.412788,3900
74,2020-08-03,33.200001,33.5,33.200001,33.419998,32.765739,11700
75,2020-08-10,33.419998,33.419998,33.200001,33.200001,32.550045,5900
76,2020-08-17,33.240002,33.310001,33.23,33.240002,32.589264,2100
77,2020-08-24,33.389999,33.5,33.290001,33.389999,32.736324,8300
78,2020-08-31,33.380001,33.700001,33.27,33.330002,32.677502,8700
79,2020-09-07,33.130001,33.290001,33.049999,33.189999,32.540237,5100
80,2020-09-14,33.299999,33.41,33.150002,33.169998,32.52063,5700
81,2020-09-21,33.0,33.060001,32.849998,32.849998,32.206894,8100
82,2020-09-28,33.040001,33.040001,32.900002,32.959999,32.314739,10700
83,2020-10-05,33.009998,33.139999,33.0,33.139999,32.710281,10200
84,2020-10-12,33.279999,33.34,33.220001,33.27,32.8386,5800
85,2020-10-19,33.27,33.27,32.950001,33.009998,32.581966,9800
86,2020-10-26,32.970001,32.970001,32.400002,32.400002,31.979881,2100
87,2020-11-02,32.459999,33.23,32.459999,33.200001,32.769505,37000
88,2020-11-09,33.459999,33.599998,33.23,33.599998,33.164314,15800
89,2020-11-16,33.630001,33.75,33.630001,33.75,33.31237,4300
90,2020-11-23,33.799999,34.0,33.77,34.0,33.559135,9900
91,2020-11-30,33.849998,34.029999,33.849998,33.860001,33.420948,2800
92,2020-12-07,33.849998,33.93,33.82,33.849998,33.411076,8300
93,2020-12-14,33.950001,34.049999,33.880001,34.049999,33.608486,4200
94,2020-12-21,33.950001,34.110001,33.900002,34.110001,33.667706,3900
95,2020-12-28,34.0,34.0,33.98,34.0,33.559135,600
96,2021-01-04,34.0,34.200001,34.0,34.200001,33.975674,12300
