,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-05-28,30.35,30.35,30.35,30.35,28.493353,0
1,2018-06-04,30.360001,30.360001,30.34,30.35,28.493353,11000
2,2018-06-11,30.35,30.35,30.35,30.35,28.493353,0
3,2018-06-18,30.450001,30.450001,30.450001,30.450001,28.587236,1700
4,2018-06-25,30.450001,30.5,30.450001,30.5,28.63418,12300
5,2018-07-02,30.5,30.5,30.5,30.5,28.63418,0
6,2018-07-09,30.5,30.5,30.4,30.4,28.540297,100
7,2018-07-16,30.4,30.42,30.4,30.4,28.540297,6100
8,2018-07-23,30.4,30.4,30.25,30.25,28.399471,4000
9,2018-07-30,30.25,30.25,30.16,30.16,28.314978,2000
10,2018-08-06,30.16,30.16,30.16,30.16,28.314978,0
11,2018-08-13,30.16,30.16,30.16,30.16,28.314978,0
12,2018-08-20,30.16,30.16,30.16,30.16,28.314978,0
13,2018-08-27,30.16,30.16,30.16,30.16,28.314978,0
14,2018-09-03,30.16,30.16,30.16,30.16,28.314978,0
15,2018-09-10,30.16,30.16,30.16,30.16,28.314978,0
16,2018-09-17,30.16,30.16,30.16,30.16,28.314978,0
17,2018-09-24,30.16,30.16,30.16,30.16,28.314978,0
18,2018-10-01,30.16,30.16,30.16,30.16,28.503994,0
19,2018-10-08,30.16,30.16,30.16,30.16,28.503994,0
20,2018-10-15,30.16,30.16,30.16,30.16,28.503994,0
21,2018-10-22,30.16,30.16,30.16,30.16,28.503994,0
22,2018-10-29,30.16,30.16,30.16,30.16,28.503994,0
23,2018-11-05,30.16,30.16,30.16,30.16,28.503994,0
24,2018-11-12,30.16,30.16,30.16,30.16,28.503994,0
25,2018-11-19,29.92,29.92,29.92,29.92,28.277172,200
26,2018-11-26,29.92,29.92,29.91,29.91,28.267721,700
27,2018-12-03,29.91,30.110001,29.91,30.110001,28.456743,200
28,2018-12-10,30.110001,30.27,30.110001,30.27,28.607956,100
29,2018-12-17,30.27,30.27,30.27,30.27,28.607956,0
30,2018-12-24,30.27,30.27,30.27,30.27,28.607956,0
31,2018-12-31,30.27,30.27,30.27,30.27,28.798231,0
32,2019-01-07,30.27,30.27,30.27,30.27,28.798231,0
33,2019-01-14,30.27,30.27,30.27,30.27,28.798231,0
34,2019-01-21,30.27,30.27,30.27,30.27,28.798231,0
35,2019-01-28,30.27,30.27,30.27,30.27,28.798231,0
36,2019-02-04,30.27,30.27,30.27,30.27,28.798231,0
