,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-05-01,14.94,15.11,14.85,14.99,10.336664,291800
1,2010-06-01,15.04,15.15,14.93,15.03,10.364249,307200
2,2010-07-01,15.0,15.14,14.9,15.14,10.560795,401700
3,2010-08-01,15.14,15.28,15.04,15.26,10.644503,260600
4,2010-09-01,15.3,15.3,15.07,15.14,10.560795,461000
5,2010-10-01,15.17,15.22,15.1,15.17,10.70117,339600
6,2010-11-01,15.14,15.23,15.0,15.05,10.61652,465900
7,2010-12-01,15.04,15.16,14.89,15.0,10.581246,654500
8,2011-01-01,14.97,14.99,14.86,14.93,10.648539,539100
9,2011-02-01,14.95,14.96,14.81,14.88,10.653436,937400
10,2011-03-01,14.89,15.0,14.79,14.86,10.679949,788900
11,2011-04-01,14.83,14.93,14.76,14.89,10.742521,610400
12,2011-05-01,14.9,14.96,14.84,14.94,10.817798,399300
13,2011-06-01,14.94,15.08,14.9,14.9,10.827975,614100
14,2011-07-01,14.87,15.06,14.87,14.98,10.925257,337100
15,2011-08-01,15.02,15.28,14.99,15.02,10.991703,553000
16,2011-09-01,15.0,15.18,14.93,15.02,11.029031,492600
17,2011-10-01,15.03,15.03,14.84,14.94,11.007587,474100
18,2011-11-01,14.98,15.08,14.9,14.93,11.037084,1000800
19,2011-12-01,14.93,15.05,14.91,14.92,11.066529,1083000
20,2012-01-01,14.98,15.03,14.94,15.02,11.177166,1708100
21,2012-02-01,15.02,15.04,14.95,14.98,11.183166,1675600
22,2012-03-01,14.95,14.99,14.86,14.96,11.204086,1646500
23,2012-04-01,14.95,14.97,14.79,14.87,11.172579,1407100
24,2012-05-01,14.9,14.98,14.86,14.91,11.238856,1529600
25,2012-06-01,14.94,15.0,14.9,14.98,11.327948,3957400
26,2012-07-01,14.95,15.05,14.9,14.94,11.332546,3173200
27,2012-08-01,14.92,14.99,14.88,14.96,11.382554,1721700
28,2012-09-01,14.96,15.02,14.93,15.0,11.448142,1767500
29,2012-10-01,15.0,15.01,14.91,14.96,11.452037,2126100
30,2012-11-01,14.97,15.0,14.94,14.97,11.494272,1171200
31,2012-12-01,14.97,15.0,14.92,14.92,11.490374,1143700
32,2013-01-01,14.93,14.97,14.88,14.91,11.517268,1208000
33,2013-02-01,14.91,14.98,14.88,14.98,11.603922,948400
34,2013-03-01,14.98,15.02,14.95,14.99,11.644332,2561700
35,2013-04-01,14.99,15.02,14.95,14.97,11.661431,1902800
36,2013-05-01,14.97,14.99,14.87,14.89,11.631664,2445800
37,2013-06-01,14.89,14.91,14.68,14.76,11.56259,1683600
38,2013-07-01,14.75,14.84,14.72,14.75,11.585509,2891700
