,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-17,14.99,15.02,14.99,15.02,12.9817,2900
1,2014-02-24,15.02,15.12,15.02,15.12,13.068127,16500
2,2014-03-03,15.12,15.12,15.01,15.01,12.996417,6700
3,2014-03-10,15.01,15.12,15.01,15.12,13.091661,14200
4,2014-03-17,15.12,15.12,15.02,15.02,13.005078,17400
5,2014-03-24,15.02,15.02,15.02,15.02,13.005078,0
6,2014-03-31,15.02,15.03,14.97,15.03,13.036297,57800
7,2014-04-07,15.06,15.11,15.06,15.11,13.105682,68700
8,2014-04-14,15.11,15.13,15.11,15.13,13.123034,200
9,2014-04-21,15.09,15.09,15.09,15.09,13.08834,600
10,2014-04-28,15.09,15.12,15.09,15.12,13.136996,2500
11,2014-05-05,15.11,15.14,15.11,15.11,13.128306,8000
12,2014-05-12,15.14,15.26,15.13,15.26,13.258636,11000
13,2014-05-19,15.17,15.26,15.17,15.21,13.215194,2100
14,2014-05-26,15.21,15.29,15.2,15.27,13.267319,7200
15,2014-06-02,15.23,15.23,15.16,15.18,13.211712,14600
16,2014-06-09,15.18,15.21,15.18,15.19,13.220413,2100
17,2014-06-16,15.19,15.22,15.19,15.22,13.246528,2400
18,2014-06-23,15.19,15.19,15.17,15.17,13.203006,1800
19,2014-06-30,15.17,15.23,15.17,15.2,13.251831,3500
20,2014-07-07,15.22,15.28,15.22,15.28,13.321577,11900
21,2014-07-14,15.29,15.31,15.29,15.31,13.347736,1400
22,2014-07-21,15.39,15.39,15.33,15.35,13.382607,4800
23,2014-07-28,15.35,15.38,15.3,15.36,13.391325,10900
24,2014-08-04,15.37,15.4,15.37,15.39,13.440247,15700
25,2014-08-11,15.39,15.43,15.39,15.43,13.475172,13400
26,2014-08-18,15.4,15.4,15.4,15.4,13.448976,3000
27,2014-08-25,15.4,15.47,15.4,15.47,13.510107,500
28,2014-09-01,15.47,15.47,15.36,15.36,13.436728,9100
29,2014-09-08,15.38,15.39,15.28,15.28,13.366747,15200
30,2014-09-15,15.28,15.28,15.24,15.24,13.331757,10800
31,2014-09-22,15.3,15.33,15.3,15.33,13.410482,4400
32,2014-09-29,15.35,15.4,15.34,15.35,13.451719,8100
33,2014-10-06,15.38,15.47,15.38,15.47,13.556881,2400
34,2014-10-13,15.47,15.6,15.45,15.45,13.539355,12100
35,2014-10-20,15.51,15.51,15.44,15.45,13.539355,2800
36,2014-10-27,15.45,15.45,15.35,15.35,13.451719,1600
37,2014-11-03,15.39,15.39,15.35,15.37,13.492828,16500
38,2014-11-10,15.37,15.42,15.3,15.42,13.536716,4800
39,2014-11-17,15.42,15.47,15.42,15.44,13.554278,2900
40,2014-11-24,15.43,15.46,15.43,15.46,13.571836,7900
41,2014-12-01,15.56,15.56,15.47,15.48,13.61319,800
42,2014-12-08,15.53,15.58,15.53,15.58,13.701138,0
43,2014-12-15,15.64,15.65,15.59,15.59,13.709929,0
44,2014-12-22,15.61,15.61,15.59,15.59,13.709929,0
45,2014-12-29,15.49,15.6,15.49,15.6,13.742493,0
46,2015-01-05,15.65,15.79,15.65,15.79,13.909873,0
47,2015-01-12,15.73,15.84,15.73,15.84,13.953918,0
48,2015-01-19,15.93,15.99,15.89,15.99,14.086054,0
49,2015-01-26,16.059999,16.17,16.059999,16.17,14.244625,0
50,2015-02-02,16.290001,16.33,16.27,16.27,14.356857,0
51,2015-02-09,16.219999,16.219999,16.16,16.200001,14.295087,0
52,2015-02-16,16.190001,16.190001,16.110001,16.139999,14.24214,0
53,2015-02-23,16.219999,16.26,16.190001,16.219999,14.312735,0
54,2015-03-02,16.27,16.27,16.1,16.1,14.230531,0
55,2015-03-09,15.94,16.059999,15.94,16.040001,14.177503,0
56,2015-03-16,16.1,16.299999,16.1,16.299999,14.407311,1700
57,2015-03-23,16.299999,16.299999,16.16,16.16,14.283565,300
58,2015-03-30,16.16,16.209999,16.16,16.18,14.324972,0
59,2015-04-06,16.219999,16.219999,16.18,16.209999,14.351534,1400
60,2015-04-13,16.209999,16.280001,16.17,16.17,14.316117,6900
61,2015-04-20,16.17,16.17,16.08,16.08,14.236439,1700
62,2015-04-27,16.120001,16.120001,15.88,15.88,14.059366,200
63,2015-05-04,15.88,15.88,15.75,15.75,13.967723,0
64,2015-05-11,15.86,15.86,15.76,15.79,14.003196,0
65,2015-05-18,15.83,15.83,15.72,15.76,13.976592,2900
66,2015-05-25,15.82,15.99,15.82,15.99,14.180566,2000
67,2015-06-01,15.99,15.99,15.78,15.79,14.027138,3100
68,2015-06-08,15.79,15.79,15.68,15.68,13.929421,0
69,2015-06-15,15.77,15.83,15.77,15.79,14.027138,0
70,2015-06-22,15.85,15.85,15.73,15.78,14.018249,0
71,2015-06-29,15.64,15.9,15.64,15.9,14.14915,0
72,2015-07-06,15.89,16.0,15.89,16.0,14.238134,0
73,2015-07-13,15.88,16.0,15.88,16.0,14.238134,1400
