,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-09-07,20.6,20.6,20.219999,20.219999,15.499087,400
1,2015-09-14,20.219999,20.219999,20.219999,20.219999,15.499087,0
2,2015-09-21,19.950001,19.950001,19.27,19.700001,15.1005,8200
3,2015-09-28,19.16,19.52,19.139999,19.290001,14.848951,19300
4,2015-10-05,19.290001,20.73,19.290001,20.65,15.895842,25100
5,2015-10-12,20.530001,20.76,20.530001,20.76,15.980521,8700
6,2015-10-19,20.85,21.280001,20.66,21.24,16.350014,27000
7,2015-10-26,21.26,21.26,20.700001,20.700001,15.934336,3700
8,2015-11-02,20.709999,21.030001,20.709999,20.870001,16.127398,2600
9,2015-11-09,20.83,20.83,20.040001,20.059999,15.501473,4500
10,2015-11-16,20.059999,20.690001,20.059999,20.65,15.95739,1700
11,2015-11-23,20.65,20.65,20.6,20.6,15.918756,500
12,2015-11-30,20.5,20.540001,19.82,20.120001,15.609825,5300
13,2015-12-07,20.0,20.0,19.450001,19.549999,15.167597,20100
14,2015-12-14,18.719999,19.49,18.719999,19.280001,14.958121,900
15,2015-12-21,19.299999,19.67,19.299999,19.67,15.260694,1600
16,2015-12-28,19.67,19.67,19.67,19.67,15.32484,0
17,2016-01-04,19.219999,19.27,18.379999,18.379999,14.319801,6800
18,2016-01-11,18.549999,18.559999,17.780001,17.780001,13.852349,6600
19,2016-01-18,17.82,18.219999,17.57,18.219999,14.195148,3600
20,2016-01-25,18.110001,18.700001,18.110001,18.700001,14.569117,20300
21,2016-02-01,18.59,18.59,17.82,18.09,14.152474,68600
22,2016-02-08,18.23,18.23,16.98,17.209999,13.464016,8300
23,2016-02-15,17.950001,18.48,17.85,18.32,14.332418,23000
24,2016-02-22,18.66,18.66,17.969999,18.34,14.348063,8100
25,2016-02-29,18.35,19.360001,18.34,19.35,15.19984,48900
26,2016-03-07,19.299999,19.469999,18.92,19.469999,15.294104,53600
27,2016-03-14,19.52,19.700001,19.299999,19.700001,15.474774,73600
28,2016-03-21,19.719999,19.719999,19.25,19.379999,15.223411,63700
29,2016-03-28,19.290001,19.540001,19.0,19.07,14.979901,11500
30,2016-04-04,19.09,19.18,18.709999,18.959999,14.893492,13100
31,2016-04-11,19.1,19.889999,19.09,19.74,15.506191,24800
32,2016-04-18,19.74,20.32,19.74,20.129999,15.812551,11500
33,2016-04-25,19.98,19.99,19.68,19.76,15.521907,30200
34,2016-05-02,19.799999,19.889999,19.42,19.57,15.431113,37800
35,2016-05-09,19.5,19.57,19.26,19.32,15.233984,15000
36,2016-05-16,19.469999,19.639999,19.299999,19.549999,15.415342,7600
37,2016-05-23,19.549999,20.07,19.549999,20.040001,15.801708,5200
38,2016-05-30,20.040001,20.040001,19.540001,19.559999,15.482621,4400
39,2016-06-06,19.940001,20.09,19.4,19.4,15.355975,8500
40,2016-06-13,18.950001,18.950001,18.59,18.889999,14.952279,47600
41,2016-06-20,19.450001,19.799999,18.75,19.200001,15.197665,33600
42,2016-06-27,18.620001,18.889999,18.1,18.879999,14.944374,41400
43,2016-07-04,18.879999,19.24,18.879999,19.200001,15.262054,2900
44,2016-07-11,19.52,19.950001,19.52,19.870001,15.794634,27400
45,2016-07-18,19.799999,20.059999,19.77,20.040001,15.929773,11300
46,2016-07-25,19.77,20.1,19.77,20.1,15.977466,11700
47,2016-08-01,20.049999,20.049999,19.65,20.0,15.96272,9400
48,2016-08-08,20.09,20.49,20.09,20.49,16.353806,10600
49,2016-08-15,20.469999,20.469999,20.120001,20.120001,16.058495,5100
50,2016-08-22,20.110001,20.35,20.110001,20.190001,16.114363,6100
51,2016-08-29,20.190001,20.540001,20.1,20.540001,16.45952,7800
52,2016-09-05,20.52,20.610001,20.200001,20.209999,16.195072,3300
53,2016-09-12,20.049999,20.08,19.870001,19.889999,15.938643,24400
54,2016-09-19,20.07,20.450001,20.07,20.25,16.227123,14200
55,2016-09-26,20.25,20.309999,19.99,20.280001,16.251175,26600
56,2016-10-03,20.35,20.540001,20.280001,20.280001,16.316824,4600
57,2016-10-10,20.280001,20.4,20.190001,20.4,16.41338,6200
58,2016-10-17,20.4,20.6,20.4,20.6,16.574287,10900
59,2016-10-24,20.49,20.530001,20.299999,20.379999,16.39728,3900
60,2016-10-31,20.43,20.43,19.84,19.85,16.034117,24700
61,2016-11-07,20.15,20.440001,19.92,20.08,16.219906,34200
62,2016-11-14,20.08,20.4,20.08,20.299999,16.39761,21600
63,2016-11-21,20.309999,20.6,20.299999,20.540001,16.591471,7000
64,2016-11-28,20.42,20.58,20.32,20.370001,16.519527,41200
65,2016-12-05,20.459999,21.309999,20.43,21.299999,17.273733,29200
66,2016-12-12,21.18,21.41,21.18,21.41,17.362934,3700
67,2016-12-19,21.379999,21.59,21.379999,21.555,17.480528,25700
68,2016-12-26,21.559999,21.57,21.42,21.5,17.501644,29400
69,2017-01-02,21.629999,21.809999,21.629999,21.780001,17.72958,31200
70,2017-01-09,21.76,21.76,21.5,21.68,17.648167,10600
71,2017-01-16,21.76,21.76,21.389999,21.4,17.420242,23300
72,2017-01-23,21.49,21.57,21.200001,21.32,17.35512,32500
73,2017-01-30,21.1,21.15,20.93,21.120001,17.26062,21400
74,2017-02-06,21.049999,21.459999,20.98,21.389999,17.481276,20600
75,2017-02-13,21.559999,21.639999,21.469999,21.559999,17.620214,37500
76,2017-02-20,21.65,21.65,21.49,21.52,17.587517,23700
77,2017-02-27,21.440001,21.955,21.440001,21.860001,17.935907,28900
78,2017-03-06,21.889999,22.17,21.85,22.059999,18.100004,37800
79,2017-03-13,22.200001,22.299999,21.959999,22.23,18.239491,108600
80,2017-03-20,22.25,22.27,21.98,22.139999,18.165642,23700
81,2017-03-27,22.120001,22.469999,22.0,22.459999,18.4282,25000
82,2017-04-03,22.450001,22.57,22.280001,22.57,18.588554,29400
83,2017-04-10,22.549999,22.66,22.43,22.43,18.473257,24800
84,2017-04-17,22.5,22.559999,22.15,22.35,18.407366,13900
85,2017-04-24,22.74,22.870001,22.620001,22.629999,18.637972,47600
86,2017-05-01,22.790001,23.280001,22.76,23.280001,19.243422,65000
87,2017-05-08,23.33,23.459999,23.219999,23.34,19.293022,116000
88,2017-05-15,23.26,23.49,22.9,23.24,19.210361,73100
89,2017-05-22,23.459999,23.5,23.299999,23.299999,19.259953,23500
90,2017-05-29,23.299999,23.629999,23.280001,23.555,19.539896,38400
91,2017-06-05,23.4,23.41,23.16,23.34,19.361553,36500
92,2017-06-12,23.33,23.530001,23.15,23.35,19.369839,28000
93,2017-06-19,23.549999,23.549999,23.219999,23.23,19.2703,36200
94,2017-06-26,23.23,23.23,22.9,22.91,19.004843,19300
95,2017-07-03,22.99,23.120001,22.93,22.969999,19.122946,20900
96,2017-07-10,23.030001,23.299999,22.92,23.299999,19.397675,26800
97,2017-07-17,23.299999,23.360001,23.049999,23.1,19.231171,25800
98,2017-07-24,23.1,23.25,23.09,23.190001,19.306093,19200
99,2017-07-31,23.15,23.57,23.120001,23.57,19.693123,10700
100,2017-08-07,23.57,23.59,23.0,23.02,19.233583,24300
101,2017-08-14,23.200001,23.43,23.139999,23.24,19.417402,33500
102,2017-08-21,23.290001,23.389999,23.129999,23.27,19.442461,20000
103,2017-08-28,23.27,23.27,22.860001,23.17,19.358915,11600
104,2017-09-04,23.08,23.08,22.700001,22.92,19.218582,32900
105,2017-09-11,23.129999,23.280001,23.049999,23.120001,19.386276,39500
106,2017-09-18,23.23,23.24,23.040001,23.040001,19.319204,63600
107,2017-09-25,23.110001,23.299999,23.030001,23.299999,19.537216,41200
108,2017-10-02,23.280001,23.379999,23.129999,23.190001,19.520905,43500
109,2017-10-09,23.290001,23.33,23.190001,23.27,19.58824,19600
110,2017-10-16,23.25,23.459999,23.190001,23.459999,19.748184,38000
111,2017-10-23,23.459999,23.5,23.219999,23.25,19.571415,60700
112,2017-10-30,23.35,23.440001,23.219999,23.299999,19.688938,37800
113,2017-11-06,23.309999,23.35,23.07,23.16,19.570637,57400
114,2017-11-13,23.01,23.08,22.75,22.85,19.308678,45000
115,2017-11-20,22.940001,23.09,22.809999,22.9,19.350935,43000
116,2017-11-27,22.870001,23.15,22.83,23.09,19.511484,290000
117,2017-12-04,23.219999,23.360001,23.07,23.360001,19.817554,26100
118,2017-12-11,23.389999,23.41,23.15,23.200001,19.681816,11600
119,2017-12-18,23.35,23.41,23.23,23.35,19.809074,32700
120,2017-12-25,23.35,23.42,23.23,23.23,19.707275,6200
121,2018-01-01,23.41,23.719999,23.33,23.719999,20.200825,42700
122,2018-01-08,23.58,23.73,23.49,23.610001,20.107145,65200
123,2018-01-15,23.559999,23.719999,23.5,23.620001,20.115658,56400
124,2018-01-22,23.530001,23.68,23.209999,23.49,20.00495,123400
125,2018-01-29,23.280001,23.280001,22.639999,22.639999,19.281055,49400
126,2018-02-05,22.5,22.6,21.57,22.0,18.808071,118300
127,2018-02-12,22.1,22.389999,21.85,22.379999,19.132938,74700
128,2018-02-19,22.370001,22.610001,22.26,22.610001,19.329571,43800
129,2018-02-26,22.73,22.73,21.940001,22.09,18.885012,66900
130,2018-03-05,21.959999,22.41,21.959999,22.41,19.235149,31000
131,2018-03-12,22.459999,22.459999,22.01,22.129999,18.994822,39400
132,2018-03-19,22.110001,22.110001,21.219999,21.219999,18.213737,133800
133,2018-03-26,21.5,21.84,21.280001,21.83,18.737328,72900
134,2018-04-02,21.639999,21.950001,21.190001,21.799999,18.789864,63300
135,2018-04-09,21.98,22.26,21.950001,22.18,19.117393,61600
136,2018-04-16,22.200001,22.610001,22.18,22.610001,19.488016,18200
137,2018-04-23,22.700001,22.92,22.549999,22.9,19.737976,23700
138,2018-04-30,22.969999,23.129999,22.709999,23.1,19.989365,247600
139,2018-05-07,23.1,23.33,23.040001,23.18,20.058596,29800
140,2018-05-14,23.290001,23.290001,23.0,23.09,19.980715,59900
141,2018-05-21,23.07,23.25,22.75,22.75,19.686501,19800
142,2018-05-28,23.01,23.01,22.209999,22.610001,19.565351,26000
143,2018-06-04,22.67,22.809999,22.42,22.58,19.61652,70700
144,2018-06-11,22.530001,22.879999,22.52,22.620001,19.651272,45800
145,2018-06-18,22.469999,22.690001,22.309999,22.559999,19.599142,25200
146,2018-06-25,22.379999,22.52,22.200001,22.280001,19.355894,13800
147,2018-07-02,22.32,22.77,22.299999,22.77,19.861387,18200
148,2018-07-09,22.82,22.82,22.43,22.58,19.695654,38900
149,2018-07-16,22.58,22.719999,22.43,22.49,19.617155,15900
150,2018-07-23,22.6,22.75,22.57,22.629999,19.739265,33000
151,2018-07-30,22.76,22.92,22.549999,22.76,19.931759,28900
152,2018-08-06,22.52,22.85,22.52,22.58,19.774122,10600
153,2018-08-13,22.5,22.5,22.18,22.370001,19.590218,32200
154,2018-08-20,22.530001,22.620001,22.48,22.530001,19.730335,21300
155,2018-08-27,22.530001,22.59,22.25,22.33,19.555187,20100
156,2018-09-03,22.18,22.190001,21.82,21.84,19.202583,29900
157,2018-09-10,21.809999,22.129999,21.809999,22.08,19.413603,44400
158,2018-09-17,22.18,22.719999,22.110001,22.6,19.870804,66700
159,2018-09-24,22.57,22.75,22.450001,22.450001,19.73892,27400
160,2018-10-01,22.690001,22.690001,22.27,22.280001,19.667494,21900
161,2018-10-08,22.209999,22.32,21.469999,21.75,19.199638,88900
162,2018-10-15,21.77,22.07,21.629999,21.950001,19.376194,35300
163,2018-10-22,22.0,22.0,21.01,21.32,18.820063,42000
164,2018-10-29,21.469999,21.85,21.049999,21.76,19.208467,28800
165,2018-11-05,21.709999,22.1,21.639999,21.719999,19.25444,27100
166,2018-11-12,21.780001,21.780001,21.450001,21.610001,19.156927,21700
167,2018-11-19,21.620001,21.620001,21.01,21.299999,18.882114,21600
168,2018-11-26,21.799999,21.799999,21.5,21.6,19.148058,29400
169,2018-12-03,21.73,21.77,20.65,20.76,18.479708,66300
170,2018-12-10,20.76,21.15,20.610001,20.879999,18.586525,22600
171,2018-12-17,20.92,20.92,19.91,19.91,17.72307,110100
172,2018-12-24,19.85,20.15,19.67,20.139999,17.927809,14800
173,2018-12-31,20.25,20.610001,19.98,20.540001,18.367916,18900
174,2019-01-07,20.540001,20.92,20.540001,20.860001,18.65407,28200
175,2019-01-14,20.77,21.33,20.68,21.33,19.074368,29300
176,2019-01-21,21.35,21.35,20.92,21.200001,18.958122,63500
177,2019-01-28,21.1,21.33,21.030001,21.25,19.002834,44000
178,2019-02-04,21.33,21.75,21.18,21.299999,19.131708,31000
179,2019-02-11,21.450001,21.809999,21.32,21.809999,19.589792,36200
180,2019-02-18,21.780001,21.959999,21.73,21.879999,19.652668,33800
181,2019-02-25,21.92,22.110001,21.76,22.040001,19.796379,45900
182,2019-03-04,22.129999,22.129999,21.6,21.67,19.5469,28400
183,2019-03-11,21.76,22.16,21.75,22.15,19.979874,51500
184,2019-03-18,22.25,22.42,21.68,21.709999,19.582979,33400
185,2019-03-25,21.65,21.860001,21.549999,21.809999,19.673185,32300
186,2019-04-01,22.08,22.5,21.98,22.389999,20.283163,23300
187,2019-04-08,22.48,22.559999,22.25,22.52,20.400934,20700
188,2019-04-15,22.620001,22.83,22.51,22.709999,20.573055,8500
189,2019-04-22,22.549999,22.780001,22.42,22.42,20.310345,12900
190,2019-04-29,22.549999,22.559999,22.27,22.469999,20.439898,24200
191,2019-05-06,22.200001,22.33,21.4,21.799999,19.830431,29700
192,2019-05-13,21.299999,21.879999,21.25,21.719999,19.757656,25600
193,2019-05-20,21.68,21.799999,21.280001,21.440001,19.502956,23700
194,2019-05-27,21.5,21.65,20.98,21.07,19.166382,22900
195,2019-06-03,20.98,21.5,20.98,21.5,19.642702,22400
196,2019-06-10,21.620001,21.790001,21.610001,21.639999,19.770607,7500
197,2019-06-17,21.620001,21.870001,21.540001,21.719999,19.843695,10700
198,2019-06-24,21.73,21.83,21.58,21.82,19.935055,21600
199,2019-07-01,21.74,22.33,21.74,22.09,20.269005,13700
200,2019-07-08,22.030001,22.040001,21.85,21.85,20.048784,31000
201,2019-07-15,21.93,22.02,21.73,21.809999,20.012085,24700
202,2019-07-22,21.780001,22.09,21.75,22.0,20.186422,27800
203,2019-07-29,21.99,21.99,21.09,21.139999,19.397316,24600
204,2019-08-05,20.75,21.02,20.629999,20.969999,19.323013,14200
205,2019-08-12,20.74,21.0,20.389999,20.73,19.101854,23200
206,2019-08-19,20.9,21.110001,20.74,20.74,19.111073,34500
207,2019-08-26,20.99,21.17,20.780001,21.17,19.507299,20700
208,2019-09-02,21.139999,21.58,21.02,21.52,19.91811,11400
209,2019-09-09,21.629999,22.33,21.59,22.280001,20.62154,57400
210,2019-09-16,22.27,22.4,22.129999,22.309999,20.649302,21600
211,2019-09-23,22.23,22.23,21.940001,21.940001,20.306847,93800
212,2019-09-30,22.08,22.190001,21.23,21.540001,20.020834,32300
213,2019-10-07,21.59,22.219999,21.469999,22.18,20.615692,33900
214,2019-10-14,22.190001,22.450001,22.190001,22.32,20.745817,32500
215,2019-10-21,22.5,22.84,22.5,22.799999,21.191965,29200
216,2019-10-28,22.9,22.9,22.42,22.67,21.071136,43200
217,2019-11-04,22.809999,23.049999,22.809999,23.030001,21.493069,38000
218,2019-11-11,22.82,22.959999,22.66,22.75,21.231758,26200
219,2019-11-18,22.66,22.799999,22.530001,22.65,21.138428,11100
220,2019-11-25,22.76,22.870001,22.620001,22.620001,21.11043,21700
221,2019-12-02,22.6,22.629999,22.1,22.58,21.159639,36300
222,2019-12-09,22.639999,23.01,22.530001,23.01,21.562586,26700
223,2019-12-16,23.219999,23.309999,23.110001,23.27,21.806232,36300
224,2019-12-23,23.219999,23.33,23.120001,23.139999,21.68441,17600
225,2019-12-30,23.18,23.26,22.870001,22.959999,21.60416,29600
226,2020-01-06,23.030001,23.280001,23.02,23.08,21.717073,33700
227,2020-01-13,23.110001,23.35,23.059999,23.35,21.971132,34600
228,2020-01-20,23.42,23.42,23.0,23.02,21.660618,23400
229,2020-01-27,22.549999,22.91,22.23,22.24,20.926678,29200
230,2020-02-03,22.469999,23.110001,22.440001,22.9,21.637426,52200
231,2020-02-10,22.889999,23.299999,22.889999,23.15,21.87364,40800
232,2020-02-17,22.969999,23.190001,22.809999,22.809999,21.552385,7800
233,2020-02-24,22.08,22.15,20.120001,20.49,19.360302,70300
234,2020-03-02,20.440001,20.9,19.530001,19.709999,18.705883,61500
235,2020-03-09,18.290001,18.59,15.36,16.6,15.75432,177500
236,2020-03-16,15.19,15.7,14.22,15.01,14.245322,36800
237,2020-03-23,14.97,17.209999,14.72,16.5,15.659414,75900
238,2020-03-30,16.190001,16.76,15.9,16.02,15.203868,27500
239,2020-04-06,16.549999,17.52,16.549999,17.4,16.513565,39700
240,2020-04-13,17.110001,17.370001,16.4,17.07,16.200375,29500
241,2020-04-20,16.82,17.0,16.35,16.879999,16.020054,27200
242,2020-04-27,16.9,17.85,16.690001,16.83,15.972599,25800
243,2020-05-04,16.74,17.200001,16.67,17.129999,16.34798,15600
244,2020-05-11,17.09,17.299999,16.200001,16.690001,15.928067,23700
245,2020-05-18,16.639999,17.33,16.639999,17.07,16.29072,13400
246,2020-05-25,17.299999,18.110001,17.299999,17.77,16.958767,24400
247,2020-06-01,17.84,19.629999,17.84,19.52,18.724731,32900
248,2020-06-08,19.75,19.84,17.950001,18.540001,17.784664,25000
249,2020-06-15,18.110001,18.860001,18.09,18.43,17.679146,32800
250,2020-06-22,18.629999,18.860001,18.16,18.16,17.420141,6900
251,2020-06-29,18.33,18.68,18.26,18.469999,17.799292,11600
252,2020-07-06,18.889999,18.889999,18.27,18.450001,17.78002,12900
253,2020-07-13,18.540001,19.02,18.459999,18.940001,18.252228,58900
254,2020-07-20,18.950001,19.07,18.530001,18.549999,17.87639,9400
255,2020-07-27,18.620001,18.620001,17.65,17.76,17.115076,15300
256,2020-08-03,18.030001,18.389999,18.030001,18.24,17.653986,6200
257,2020-08-10,18.24,18.940001,18.24,18.5,17.905636,16000
258,2020-08-17,18.610001,18.610001,18.309999,18.450001,17.857241,4100
259,2020-08-24,18.57,18.639999,18.290001,18.34,17.750774,27500
260,2020-08-31,18.379999,18.48,18.1,18.290001,17.774172,11200
261,2020-09-07,18.15,18.559999,18.15,18.389999,17.871344,5100
262,2020-09-14,18.549999,18.610001,18.25,18.25,17.735292,5300
263,2020-09-21,17.82,17.860001,17.5,17.5,17.006447,11400
264,2020-09-28,17.629999,17.74,17.49,17.620001,17.123062,5300
265,2020-10-05,17.83,18.1,17.77,18.08,17.645712,9400
266,2020-10-12,17.98,18.045,17.57,17.799999,17.372438,11900
