,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-23,15.9,15.9,15.53,15.53,10.145616,76800
1,2012-01-30,15.49,15.82,15.44,15.79,10.352821,93600
2,2012-02-06,15.8,15.84,15.7,15.78,10.346264,83300
3,2012-02-13,15.84,15.86,15.74,15.85,10.392164,116100
4,2012-02-20,15.9,15.98,15.9,15.92,10.438065,88700
5,2012-02-27,15.92,16.040001,15.87,15.97,10.50705,49100
6,2012-03-05,15.98,15.99,15.76,15.98,10.513629,58600
7,2012-03-12,16.0,16.35,15.96,16.33,10.7439,49700
8,2012-03-19,16.290001,16.299999,16.15,16.290001,10.717591,43800
9,2012-03-26,16.360001,16.379999,16.030001,16.18,10.645214,86300
10,2012-04-02,16.190001,16.280001,16.07,16.1,10.628267,73100
11,2012-04-09,16.07,16.139999,15.8,16.030001,10.582055,64400
12,2012-04-16,16.040001,16.15,16.01,16.15,10.661277,45100
13,2012-04-23,16.07,16.190001,15.99,16.190001,10.687684,56800
14,2012-04-30,16.190001,16.290001,15.83,15.87,10.512392,73000
15,2012-05-07,15.8,15.87,15.67,15.81,10.472647,67300
16,2012-05-14,15.74,15.74,15.27,15.3,10.134822,63000
17,2012-05-21,15.43,15.47,15.27,15.38,10.187816,38900
18,2012-05-28,15.4,15.4,14.9,14.91,9.876482,50000
19,2012-06-04,14.89,15.44,14.76,15.2,10.104712,111400
20,2012-06-11,15.28,15.28,15.02,15.1,10.038236,26800
21,2012-06-18,15.07,15.34,15.07,15.12,10.051534,34000
22,2012-06-25,15.1,15.16,14.84,15.14,10.064826,65500
23,2012-07-02,15.3,15.49,15.3,15.33,10.228844,74900
24,2012-07-09,15.32,15.33,15.18,15.3,10.20883,48000
25,2012-07-16,15.31,15.46,15.3,15.41,10.282226,83500
26,2012-07-23,15.34,15.34,15.1,15.33,10.228844,51400
27,2012-07-30,15.38,15.38,15.11,15.22,10.192545,94000
28,2012-08-06,15.3,15.46,15.3,15.46,10.353271,78100
29,2012-08-13,15.47,15.69,15.42,15.67,10.493901,79700
30,2012-08-20,15.7,15.8,15.65,15.7,10.513992,65300
31,2012-08-27,15.7,15.7,15.44,15.44,10.339876,65300
32,2012-09-03,15.5,15.6,15.39,15.59,10.477152,63800
33,2012-09-10,15.61,15.82,15.58,15.82,10.631723,73000
34,2012-09-17,15.82,15.83,15.73,15.73,10.571236,137100
35,2012-09-24,15.75,15.76,15.52,15.63,10.504033,135900
36,2012-10-01,15.72,15.79,15.68,15.77,10.638782,68200
37,2012-10-08,15.78,15.78,15.55,15.55,10.490364,91300
38,2012-10-15,15.6,15.85,15.53,15.78,10.645523,69000
39,2012-10-22,15.8,15.8,15.61,15.71,10.598296,69500
40,2012-10-29,15.71,15.95,15.67,15.88,10.754083,153100
41,2012-11-05,15.89,15.89,15.49,15.55,10.530605,93800
42,2012-11-12,15.61,15.61,15.1,15.25,10.327444,138000
43,2012-11-19,15.38,15.6,15.38,15.59,10.557693,111600
44,2012-11-26,15.64,15.64,15.43,15.64,10.591553,72700
45,2012-12-03,15.68,15.7,15.5,15.69,10.666518,98400
46,2012-12-10,15.77,15.94,15.7,15.85,10.77529,82900
47,2012-12-17,15.9,16.09,15.82,16.08,10.931652,77500
48,2012-12-24,16.07,16.08,15.97,16.01,10.884064,31800
49,2012-12-31,16.030001,16.389999,16.030001,16.389999,11.184129,53500
50,2013-01-07,16.43,16.459999,16.32,16.42,11.204602,122700
51,2013-01-14,16.49,16.67,16.389999,16.65,11.36155,117200
52,2013-01-21,16.74,16.92,16.67,16.85,11.498026,127000
53,2013-01-28,16.83,16.879999,16.700001,16.799999,11.463903,175100
54,2013-02-04,16.76,16.83,16.68,16.74,11.470615,138400
55,2013-02-11,16.83,16.84,16.67,16.67,11.422651,144700
56,2013-02-18,16.719999,16.870001,16.629999,16.73,11.463759,123600
57,2013-02-25,16.76,16.76,16.52,16.6,11.374686,164100
58,2013-03-04,16.629999,16.65,16.52,16.58,11.408715,191900
59,2013-03-11,16.59,16.66,16.469999,16.66,11.463761,136900
60,2013-03-18,16.629999,16.700001,16.58,16.59,11.415593,157300
61,2013-03-25,16.57,16.59,16.450001,16.52,11.367428,154300
62,2013-04-01,16.549999,16.57,16.01,16.129999,11.146096,281800
63,2013-04-08,16.209999,16.459999,16.120001,16.34,11.291213,166500
64,2013-04-15,16.27,16.27,15.95,16.07,11.104637,169800
65,2013-04-22,16.110001,16.33,16.030001,16.309999,11.270482,128500
66,2013-04-29,16.370001,16.52,16.18,16.48,11.437102,284400
67,2013-05-06,16.52,16.540001,16.440001,16.5,11.45098,218900
68,2013-05-13,16.5,16.690001,16.43,16.68,11.575904,213600
69,2013-05-20,16.719999,16.92,16.610001,16.700001,11.589783,184300
70,2013-05-27,16.700001,16.76,16.459999,16.459999,11.42322,182100
71,2013-06-03,16.459999,16.49,15.99,16.07,11.199365,105200
72,2013-06-10,16.120001,16.139999,15.67,15.92,11.094831,195200
73,2013-06-17,16.0,16.120001,15.65,15.71,10.948476,161400
74,2013-06-24,15.63,15.95,15.34,15.9,11.080892,236900
75,2013-07-01,16.219999,16.219999,15.9,16.030001,11.222236,98200
76,2013-07-08,16.08,16.43,16.059999,16.370001,11.460261,99200
77,2013-07-15,16.43,16.620001,16.379999,16.620001,11.635283,702900
78,2013-07-22,16.629999,16.700001,16.4,16.4,11.48126,149800
79,2013-07-29,16.389999,16.48,16.34,16.389999,11.523001,114100
80,2013-08-05,16.4,16.4,16.209999,16.25,11.424573,122200
81,2013-08-12,16.209999,16.41,16.209999,16.35,11.494878,134300
82,2013-08-19,16.360001,16.360001,16.09,16.219999,11.403484,130000
83,2013-08-26,16.26,16.26,15.97,16.190001,11.382393,94600
84,2013-09-02,16.33,16.4,16.120001,16.32,11.523544,155800
85,2013-09-09,16.34,16.389999,16.209999,16.209999,11.445877,140900
86,2013-09-16,16.290001,16.469999,16.290001,16.459999,11.6224,115400
87,2013-09-23,16.49,16.530001,16.4,16.43,11.601213,100000
88,2013-09-30,16.42,16.530001,16.309999,16.4,11.627926,173000
89,2013-10-07,16.33,16.51,16.23,16.49,11.691743,110900
90,2013-10-14,16.530001,16.83,16.459999,16.799999,11.911539,155900
91,2013-10-21,16.83,16.98,16.82,16.969999,12.032071,185900
92,2013-10-28,16.93,17.120001,16.91,17.01,12.060431,199200
93,2013-11-04,17.040001,17.07,16.91,17.049999,12.137429,114700
94,2013-11-11,17.049999,17.16,16.940001,17.15,12.208616,84500
95,2013-11-18,17.190001,17.24,17.08,17.219999,12.258443,125800
96,2013-11-25,17.219999,17.219999,16.959999,17.08,12.158789,141000
97,2013-12-02,17.02,17.049999,16.809999,16.93,12.099894,163900
98,2013-12-09,16.950001,16.959999,16.66,16.719999,11.949809,160100
99,2013-12-16,16.76,17.07,16.74,17.0,12.149922,232600
100,2013-12-23,17.040001,17.200001,17.02,17.190001,12.285721,67300
101,2013-12-30,17.190001,17.25,17.049999,17.07,12.248776,76600
102,2014-01-06,17.120001,17.18,17.030001,17.17,12.320536,139100
103,2014-01-13,17.190001,17.280001,17.059999,17.25,12.377946,225200
104,2014-01-20,17.290001,17.4,17.030001,17.059999,12.241603,184500
105,2014-01-27,17.049999,17.049999,16.809999,16.950001,12.16267,168300
106,2014-02-03,16.959999,17.07,16.68,17.07,12.295846,222700
107,2014-02-10,17.1,17.299999,17.0,17.27,12.439915,241500
108,2014-02-17,17.299999,17.299999,17.18,17.27,12.439915,130400
109,2014-02-24,17.23,17.32,17.18,17.299999,12.461516,128300
110,2014-03-03,17.200001,17.43,17.200001,17.4,12.580933,174900
111,2014-03-10,17.4,17.43,17.299999,17.33,12.530316,195600
112,2014-03-17,17.35,17.65,17.34,17.58,12.711081,94600
113,2014-03-24,17.620001,17.700001,17.549999,17.67,12.776156,241600
114,2014-03-31,17.73,17.870001,17.73,17.83,12.937336,194300
115,2014-04-07,17.790001,17.9,17.719999,17.76,12.886543,159500
116,2014-04-14,17.790001,18.129999,17.73,18.110001,13.140501,148800
117,2014-04-21,18.129999,18.16,17.879999,17.950001,13.024405,159600
118,2014-04-28,17.98,18.129999,17.889999,18.120001,13.193024,95200
119,2014-05-05,18.120001,18.16,17.969999,18.02,13.120218,127700
120,2014-05-12,18.059999,18.24,18.049999,18.08,13.1639,117400
