,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-04-08,15.19,15.46,15.19,15.4,12.064322,29400
1,2013-04-15,15.4,15.4,15.21,15.4,12.064322,13900
2,2013-04-22,15.55,15.66,15.5,15.54,12.173999,7700
3,2013-04-29,15.69,15.69,15.46,15.67,12.308063,19700
4,2013-05-06,15.62,15.66,15.5,15.56,12.22166,67200
5,2013-05-13,15.67,16.209999,15.65,16.209999,12.732214,54900
6,2013-05-20,16.309999,16.32,15.93,15.94,12.520133,153300
7,2013-05-27,16.040001,16.15,15.71,15.71,12.339481,49100
8,2013-06-03,15.81,15.81,15.3,15.51,12.213609,51600
9,2013-06-10,15.69,15.69,15.35,15.55,12.245111,50000
10,2013-06-17,15.7,15.77,15.37,15.57,12.260856,32600
11,2013-06-24,15.44,15.96,15.44,15.96,12.56797,10900
12,2013-07-01,16.09,16.09,15.9,15.9,12.55301,6900
13,2013-07-08,16.1,16.35,16.1,16.26,12.837232,58000
14,2013-07-15,16.389999,16.52,16.32,16.41,12.955654,25800
15,2013-07-22,16.299999,16.4,16.02,16.139999,12.742496,64800
16,2013-07-29,16.02,16.52,16.02,16.52,13.074828,37900
17,2013-08-05,16.48,16.610001,16.290001,16.290001,12.892787,17900
18,2013-08-12,16.25,16.32,15.86,15.87,12.560378,33000
19,2013-08-19,15.87,16.23,15.78,16.23,12.845304,39800
20,2013-08-26,16.26,16.26,15.91,15.91,12.592035,24200
21,2013-09-02,16.129999,16.129999,15.75,15.86,12.583536,41300
22,2013-09-09,15.96,16.049999,15.92,16.049999,12.73428,19000
23,2013-09-16,16.120001,16.4,16.110001,16.26,12.900902,14600
24,2013-09-23,16.209999,16.27,16.049999,16.049999,12.73428,15100
25,2013-09-30,15.99,16.16,15.93,15.99,12.717982,14800
26,2013-10-07,15.98,16.379999,15.92,16.299999,12.964552,20400
27,2013-10-14,16.42,16.58,16.280001,16.549999,13.163387,37600
28,2013-10-21,16.629999,17.049999,16.52,17.049999,13.561077,44500
29,2013-10-28,17.049999,17.299999,16.940001,16.950001,13.48154,22500
30,2013-11-04,17.120001,17.139999,16.9,16.98,13.537157,25700
31,2013-11-11,17.01,17.26,16.92,17.1,13.632828,20400
32,2013-11-18,17.1,17.190001,16.950001,17.190001,13.704584,10200
33,2013-11-25,17.200001,17.639999,17.049999,17.17,13.688637,15400
34,2013-12-02,17.23,17.24,17.049999,17.24,13.776539,17900
35,2013-12-09,17.209999,17.34,16.879999,16.879999,13.488859,22100
36,2013-12-16,17.0,17.389999,16.92,17.379999,13.888408,19100
37,2013-12-23,17.4,17.799999,17.33,17.66,14.112165,9400
38,2013-12-30,17.809999,17.809999,17.299999,17.379999,13.920544,29400
39,2014-01-06,17.469999,17.82,17.34,17.82,14.272959,8800
40,2014-01-13,17.799999,17.98,17.6,17.879999,14.321012,29300
41,2014-01-20,17.92,18.17,17.73,17.73,14.200877,23200
42,2014-01-27,17.73,17.889999,17.68,17.75,14.216894,15200
43,2014-02-03,17.77,17.77,17.299999,17.530001,14.074028,50900
44,2014-02-10,17.719999,17.959999,17.629999,17.959999,14.419251,15100
45,2014-02-17,18.059999,18.33,17.91,18.33,14.716311,14200
46,2014-02-24,18.379999,18.4,18.23,18.360001,14.740394,14700
47,2014-03-03,18.33,18.52,18.24,18.41,14.814544,20600
48,2014-03-10,18.5,18.51,18.219999,18.299999,14.726013,23500
49,2014-03-17,18.4,18.9,18.370001,18.74,15.080085,10200
50,2014-03-24,18.68,18.74,18.42,18.549999,14.927193,17500
51,2014-03-31,18.559999,18.799999,18.559999,18.57,14.976942,30600
52,2014-04-07,18.52,18.610001,18.27,18.34,14.791451,46400
53,2014-04-14,18.530001,18.780001,18.35,18.780001,15.146308,14400
54,2014-04-21,19.02,19.02,18.59,18.780001,15.146308,6300
55,2014-04-28,18.870001,19.040001,18.76,18.91,15.285138,22000
56,2014-05-05,18.91,18.91,18.620001,18.719999,15.131558,20500
57,2014-05-12,18.9,18.9,18.6,18.66,15.083068,20000
58,2014-05-19,18.639999,18.83,18.6,18.809999,15.20431,65400
59,2014-05-26,18.85,19.0,18.799999,18.950001,15.31748,8200
60,2014-06-02,19.0,19.360001,19.0,19.299999,15.635242,18500
61,2014-06-09,19.370001,19.389999,18.99,19.110001,15.481314,56300
62,2014-06-16,19.07,19.43,19.07,19.35,15.675747,17800
63,2014-06-23,19.42,19.42,19.1,19.1,15.473219,16000
64,2014-06-30,19.209999,19.309999,19.15,19.23,15.612662,15600
65,2014-07-07,19.23,19.26,19.120001,19.26,15.637022,25900
66,2014-07-14,19.41,19.41,19.190001,19.27,15.645144,16400
67,2014-07-21,19.219999,19.379999,19.219999,19.370001,15.726329,9700
68,2014-07-28,19.25,19.65,19.0,19.110001,15.515237,19000
69,2014-08-04,19.129999,19.15,18.84,19.15,15.581495,36100
70,2014-08-11,19.309999,19.309999,19.129999,19.280001,15.687272,22300
71,2014-08-18,19.389999,19.700001,19.34,19.610001,15.955782,37200
72,2014-08-25,19.629999,19.74,19.440001,19.57,15.923237,20000
73,2014-09-01,19.76,19.780001,19.6,19.73,16.087662,31400
74,2014-09-08,19.780001,19.93,19.6,19.76,16.112122,20200
75,2014-09-15,19.76,19.85,19.700001,19.77,16.120293,19800
76,2014-09-22,19.77,19.84,19.559999,19.790001,16.136593,55900
77,2014-09-29,19.75,19.93,19.389999,19.860001,16.229723,79500
78,2014-10-06,19.940001,19.940001,19.280001,19.379999,15.837455,55600
79,2014-10-13,19.280001,19.440001,18.82,19.370001,15.829278,80100
80,2014-10-20,19.469999,20.049999,19.379999,20.01,16.352301,54700
81,2014-10-27,20.120001,20.65,19.959999,20.629999,16.858965,83200
82,2014-11-03,20.709999,21.08,20.629999,20.84,17.068018,126900
83,2014-11-10,20.83,21.0,20.629999,20.629999,16.896021,51100
84,2014-11-17,20.709999,21.059999,20.709999,20.860001,17.084394,29800
85,2014-11-24,20.85,21.27,20.77,21.27,17.420185,21700
86,2014-12-01,21.16,21.280001,20.93,21.17,17.374931,68600
87,2014-12-08,21.23,21.23,20.889999,20.889999,17.14513,0
88,2014-12-15,20.959999,21.16,20.889999,21.16,17.36673,0
89,2014-12-22,21.719999,21.799999,21.719999,21.77,17.867374,9100
90,2014-12-29,21.77,21.950001,21.469999,21.469999,17.719051,0
91,2015-01-05,21.68,21.68,21.33,21.52,17.760319,0
92,2015-01-12,21.799999,21.85,21.74,21.74,17.941877,0
93,2015-01-19,21.93,22.84,21.93,22.84,18.849703,0
94,2015-01-26,23.01,23.190001,22.700001,22.700001,18.734163,0
95,2015-02-02,22.889999,23.049999,22.82,23.049999,19.064434,0
96,2015-02-09,23.049999,23.389999,22.98,23.360001,19.320845,0
97,2015-02-16,23.23,23.23,23.09,23.209999,19.196779,0
98,2015-02-23,23.4,23.4,23.059999,23.059999,19.072708,0
99,2015-03-02,23.07,23.129999,22.719999,22.719999,18.831739,0
100,2015-03-09,22.629999,22.67,22.58,22.58,18.715693,0
101,2015-03-16,22.690001,23.059999,22.690001,22.950001,19.022369,13300
102,2015-03-23,22.950001,22.950001,22.32,22.629999,18.757137,10800
103,2015-03-30,22.629999,23.049999,22.629999,22.92,19.043196,0
104,2015-04-06,22.76,23.129999,22.73,23.1,19.192739,5300
105,2015-04-13,23.1,23.1,22.24,22.33,18.552984,8900
106,2015-04-20,22.33,22.59,22.33,22.57,18.752388,5200
107,2015-04-27,22.540001,22.540001,22.190001,22.41,18.619448,3700
108,2015-05-04,22.41,22.41,21.83,21.83,18.181862,29400
109,2015-05-11,22.190001,22.190001,21.82,21.82,18.173531,0
110,2015-05-18,22.16,22.59,22.16,22.59,18.814852,6600
111,2015-05-25,22.790001,22.99,22.74,22.82,19.00642,9300
112,2015-06-01,22.82,22.99,22.65,22.690001,18.943861,0
113,2015-06-08,22.379999,22.379999,22.09,22.129999,18.476315,6400
114,2015-06-15,22.129999,22.139999,22.01,22.120001,18.467972,0
115,2015-06-22,22.26,22.52,22.26,22.450001,18.743488,0
116,2015-06-29,22.190001,22.190001,22.129999,22.129999,18.521551,0
117,2015-07-06,22.33,22.860001,22.33,22.6,18.914915,8700
118,2015-07-13,22.6,23.35,22.6,23.290001,19.492407,5900
119,2015-07-20,23.290001,23.290001,22.940001,22.950001,19.207844,3500
120,2015-07-27,22.950001,23.41,22.799999,23.389999,19.576099,7800
121,2015-08-03,23.389999,23.700001,23.24,23.33,19.5728,16500
122,2015-08-10,23.530001,23.610001,23.1,23.610001,19.807709,23100
123,2015-08-17,23.6,23.719999,22.799999,22.799999,19.128145,10800
124,2015-08-24,22.799999,22.809999,21.950001,22.67,19.019087,21000
125,2015-08-31,22.67,22.67,22.01,22.110001,18.595592,4300
126,2015-09-07,22.110001,22.74,22.110001,22.34,18.789036,11800
127,2015-09-14,22.41,22.709999,22.41,22.559999,18.974062,23400
128,2015-09-21,22.559999,22.690001,22.540001,22.540001,18.957239,0
129,2015-09-28,22.65,22.65,22.290001,22.469999,18.946278,0
130,2015-10-05,22.34,23.0,22.34,23.0,19.393166,0
131,2015-10-12,23.09,23.09,22.860001,22.860001,19.275124,0
132,2015-10-19,23.09,24.389999,23.09,24.07,20.295376,16200
133,2015-10-26,24.07,24.07,23.709999,23.709999,19.991823,12000
134,2015-11-02,23.709999,23.99,23.709999,23.85,20.157606,6500
135,2015-11-09,23.85,23.85,23.27,23.27,19.667398,8900
136,2015-11-16,23.27,24.01,23.27,23.9,20.199865,4700
137,2015-11-23,23.9,24.0,23.9,23.91,20.208313,1900
138,2015-11-30,23.91,23.91,23.379999,23.77,20.138018,14500
139,2015-12-07,23.77,24.049999,23.65,23.709999,20.087183,6600
140,2015-12-14,23.709999,24.27,23.709999,24.059999,20.383705,5400
141,2015-12-21,24.26,24.889999,24.15,24.809999,21.019106,24900
142,2015-12-28,24.879999,24.950001,24.549999,24.549999,20.846596,55000
143,2016-01-04,24.139999,24.860001,24.049999,24.049999,20.422018,50100
144,2016-01-11,24.24,24.59,23.9,24.280001,20.617327,73900
145,2016-01-18,24.299999,24.370001,23.4,23.969999,20.35409,99400
146,2016-01-25,24.1,24.389999,23.690001,24.389999,20.710724,111700
147,2016-02-01,24.440001,24.440001,23.76,24.26,20.6544,63800
148,2016-02-08,23.860001,24.09,23.290001,23.65,20.135057,35000
149,2016-02-15,23.49,24.450001,23.49,24.200001,20.603317,32700
150,2016-02-22,24.200001,24.5,24.200001,24.200001,20.603317,14400
151,2016-02-29,24.34,24.82,24.18,24.74,21.116629,36800
152,2016-03-07,24.870001,24.959999,24.6,24.870001,21.227591,49000
153,2016-03-14,24.959999,25.09,24.700001,25.0,21.338549,51100
154,2016-03-21,24.99,25.129999,24.889999,25.129999,21.449509,29500
155,2016-03-28,24.940001,25.049999,24.700001,25.0,21.338549,175200
156,2016-04-04,25.0,25.07,24.610001,24.629999,21.022739,155600
157,2016-04-11,24.690001,24.690001,24.370001,24.51,20.920317,52600
158,2016-04-18,24.5,24.65,24.219999,24.32,20.758137,91300
159,2016-04-25,24.26,24.540001,23.98,24.129999,20.59597,55900
160,2016-05-02,24.25,24.719999,24.049999,24.67,21.110813,26000
161,2016-05-09,24.799999,24.93,24.52,24.620001,21.068026,121500
162,2016-05-16,24.469999,24.85,24.389999,24.84,21.256289,101900
163,2016-05-23,24.65,25.15,24.65,25.139999,21.513,64000
164,2016-05-30,25.26,25.5,25.190001,25.33,21.783741,66100
165,2016-06-06,25.34,25.389999,25.0,25.0,21.499937,78200
166,2016-06-13,25.02,25.360001,24.9,25.290001,21.749342,38900
167,2016-06-20,25.33,25.48,25.15,25.200001,21.671944,47000
168,2016-06-27,25.16,25.83,24.85,25.76,22.153542,53300
169,2016-07-04,25.76,26.379999,25.59,26.34,22.708212,74500
170,2016-07-11,26.5,26.9,26.5,26.73,23.044436,68600
171,2016-07-18,26.85,27.360001,26.809999,27.32,23.553089,103600
172,2016-07-25,27.43,27.549999,26.9,27.030001,23.303074,101200
173,2016-08-01,27.1,27.24,26.639999,27.16,23.468142,48100
174,2016-08-08,27.200001,27.27,26.780001,26.950001,23.286674,85200
175,2016-08-15,27.0,27.07,26.57,26.809999,23.16571,83200
176,2016-08-22,26.799999,27.110001,26.75,26.809999,23.16571,95500
177,2016-08-29,26.950001,27.209999,26.809999,26.9,23.297266,73600
178,2016-09-05,26.9,27.08,26.450001,26.450001,22.907539,73300
179,2016-09-12,26.42,26.940001,26.42,26.860001,23.262632,84000
180,2016-09-19,26.959999,27.24,26.860001,27.200001,23.557091,113600
181,2016-09-26,27.16,27.200001,26.9,27.110001,23.479151,225100
182,2016-10-03,27.1,27.25,26.76,27.24,23.645735,120500
183,2016-10-10,27.18,27.18,26.52,26.549999,23.046774,67200
184,2016-10-17,26.5,27.120001,26.33,27.07,23.498175,62900
185,2016-10-24,27.26,27.459999,27.040001,27.059999,23.489485,98100
186,2016-10-31,27.190001,27.309999,26.51,26.66,23.195196,113000
187,2016-11-07,26.9,28.200001,26.860001,28.190001,24.526344,186600
188,2016-11-14,28.27,28.67,28.129999,28.48,24.77866,180300
189,2016-11-21,28.450001,28.98,28.33,28.98,25.213676,131900
190,2016-11-28,28.799999,28.799999,28.040001,28.129999,24.526796,369500
191,2016-12-05,28.200001,28.940001,28.139999,28.77,25.084822,143600
192,2016-12-12,28.76,29.1,28.5,28.77,25.084822,171600
193,2016-12-19,28.790001,29.719999,28.790001,29.209999,25.468462,140300
194,2016-12-26,29.24,29.299999,28.66,28.66,25.042271,83100
195,2017-01-02,28.75,28.969999,28.25,28.49,24.893732,161800
196,2017-01-09,28.549999,28.549999,27.84,27.99,24.456842,109200
197,2017-01-16,27.969999,28.51,27.799999,28.35,24.7714,142800
198,2017-01-23,28.33,28.35,27.940001,28.01,24.474314,122900
199,2017-01-30,27.959999,27.959999,27.450001,27.83,24.374067,111600
200,2017-02-06,27.85,28.290001,27.85,28.26,24.750675,148100
201,2017-02-13,28.33,28.51,28.27,28.51,24.969622,138000
