,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,15.21,15.49,15.02,15.49,9.361801,20400
1,2010-07-01,15.49,15.99,15.44,15.99,9.664001,35700
2,2010-08-01,15.99,16.639999,15.99,16.41,9.917836,37000
3,2010-09-01,16.530001,16.6,16.25,16.42,9.923876,83800
4,2010-10-01,16.459999,16.889999,16.360001,16.84,10.177719,206300
5,2010-11-01,16.700001,16.99,16.24,16.25,9.821132,158000
6,2010-12-01,16.26,16.530001,14.65,16.030001,9.688172,211200
7,2011-01-01,16.190001,16.290001,15.8,15.91,9.746115,131600
8,2011-02-01,15.91,15.98,15.55,15.72,9.673697,275400
9,2011-03-01,15.79,15.91,15.15,15.86,9.80547,261800
10,2011-04-01,15.97,15.97,15.73,15.89,9.869417,281400
11,2011-05-01,15.9,16.200001,15.9,16.1,10.04612,188100
12,2011-06-01,16.209999,16.389999,16.049999,16.17,10.135666,217700
13,2011-07-01,16.129999,16.360001,16.120001,16.360001,10.301214,156300
14,2011-08-01,16.5,16.719999,15.84,16.559999,10.473376,302100
15,2011-09-01,16.42,16.620001,15.46,15.56,9.884295,284600
16,2011-10-01,15.6,16.309999,15.16,16.27,10.383636,155300
17,2011-11-01,16.18,16.48,15.5,15.98,10.246084,384500
18,2011-12-01,15.93,16.48,15.85,16.25,10.469183,271200
19,2012-01-01,16.360001,16.389999,15.98,16.389999,10.606851,630900
20,2012-02-01,16.440001,16.65,16.33,16.6,10.790741,706100
21,2012-03-01,16.610001,16.790001,16.35,16.469999,10.753016,487400
22,2012-04-01,16.49,16.66,16.41,16.58,10.872417,407700
23,2012-05-01,16.59,16.790001,16.0,16.08,10.590449,470500
24,2012-06-01,16.040001,16.700001,15.84,16.66,11.021548,553500
25,2012-07-01,16.74,17.18,16.700001,17.129999,11.380385,662600
26,2012-08-01,17.190001,17.34,17.02,17.219999,11.487422,662200
27,2012-09-01,17.16,17.58,17.16,17.549999,11.755245,405000
28,2012-10-01,17.6,17.92,17.450001,17.469999,11.747303,588000
29,2012-11-01,17.459999,17.700001,17.440001,17.620001,11.893984,579000
30,2012-12-01,17.629999,17.809999,17.6,17.75,12.028453,566100
31,2013-01-01,17.780001,17.84,17.26,17.309999,11.775246,852500
32,2013-02-01,17.280001,17.450001,17.16,17.27,11.793651,704500
33,2013-03-01,17.219999,17.35,17.0,17.030001,11.675886,532800
34,2013-04-01,16.98,17.85,16.98,17.530001,12.066567,520300
35,2013-05-01,17.559999,17.65,16.65,16.76,11.581548,681100
36,2013-06-01,16.719999,16.77,14.8,15.85,10.99624,752600
37,2013-07-01,16.059999,16.34,15.54,15.8,11.00888,422900
38,2013-08-01,15.95,15.98,15.36,15.37,10.752494,438000
39,2013-09-01,15.38,16.25,15.23,15.92,11.183742,504800
40,2013-10-01,15.8,16.48,15.8,16.209999,11.43365,426400
41,2013-11-01,16.23,16.23,15.75,16.08,11.387088,294700
42,2013-12-01,16.01,16.24,15.8,16.08,11.433307,319300
43,2014-01-01,15.99,16.120001,15.63,15.68,11.218141,301600
44,2014-02-01,15.68,16.23,15.6,16.200001,11.63839,448500
45,2014-03-01,16.09,16.49,16.07,16.440001,11.858535,176800
46,2014-04-01,16.4,16.700001,16.370001,16.6,12.021768,120900
47,2014-05-01,16.610001,17.01,16.549999,17.01,12.367031,136700
48,2014-06-01,17.030001,17.25,16.77,17.24,12.582706,264800
49,2014-07-01,17.120001,17.43,17.049999,17.120001,12.544719,155800
50,2014-08-01,16.950001,17.299999,16.799999,17.24,12.682124,269000
51,2014-09-01,17.219999,17.309999,16.940001,17.01,12.562652,93600
52,2014-10-01,16.98,17.309999,16.91,17.200001,12.752918,100400
53,2014-11-01,17.200001,17.219999,16.950001,17.040001,12.683897,266700
54,2014-12-01,17.0,17.0,15.84,16.51,12.337833,226700
55,2015-01-01,16.5,16.77,16.25,16.719999,12.587312,141200
56,2015-02-01,16.700001,16.83,16.5,16.76,12.668776,161000
57,2015-03-01,16.84,17.0,16.5,16.83,12.773091,154000
