,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-05-01,75.800003,75.800003,67.550003,72.5,50.99651,63520
1,2010-06-01,72.050003,75.699997,69.349998,69.75,49.062164,18800
2,2010-07-01,69.849998,73.199997,68.5,70.800003,50.238037,10420
3,2010-08-01,70.800003,72.349998,67.449997,69.900002,49.599396,12480
4,2010-09-01,71.0,72.099998,69.199997,72.0,51.089531,26040
5,2010-10-01,72.5,74.599998,72.099998,73.349998,52.51844,21160
6,2010-11-01,73.699997,76.849998,73.150002,75.650002,54.165222,30920
7,2010-12-01,75.900002,80.400002,75.900002,79.900002,57.208237,29220
8,2011-01-01,81.150002,84.150002,77.550003,84.0,60.626701,48460
9,2011-02-01,84.199997,89.699997,82.400002,89.699997,64.740677,89520
10,2011-03-01,89.75,91.050003,82.5,88.25,63.694145,110860
11,2011-04-01,88.349998,89.25,82.949997,86.25,62.59211,42440
12,2011-05-01,86.699997,88.050003,80.550003,85.300003,61.902706,40660
13,2011-06-01,84.75,85.099998,77.0,80.400002,58.346748,27220
14,2011-07-01,80.800003,82.099998,78.0,78.150002,57.062057,18560
15,2011-08-01,77.75,77.75,67.5,73.300003,53.520775,55460
16,2011-09-01,74.0,74.25,63.849998,65.800003,48.044582,41040
17,2011-10-01,64.699997,73.599998,59.599998,72.300003,53.202641,129580
18,2011-11-01,69.25,73.699997,66.099998,71.650002,52.72435,35320
19,2011-12-01,72.050003,72.900002,68.0,71.75,52.79792,58300
20,2012-01-01,73.150002,74.699997,70.900002,73.900002,54.769325,56300
21,2012-02-01,74.25,77.650002,72.900002,76.25,56.510983,29740
22,2012-03-01,76.349998,77.050003,70.199997,71.099998,52.69416,23120
23,2012-04-01,71.300003,72.0,66.199997,70.849998,52.875519,19240
24,2012-05-01,71.300003,71.849998,63.150002,64.349998,48.024555,27780
25,2012-06-01,63.099998,66.099998,61.099998,65.25,48.696232,33420
26,2012-07-01,66.550003,71.0,63.349998,69.449997,52.262337,47620
27,2012-08-01,69.699997,73.449997,68.400002,71.300003,53.65451,43800
28,2012-09-01,71.150002,75.650002,70.550003,71.25,53.616886,54280
29,2012-10-01,71.699997,73.050003,69.699997,70.949997,53.780018,32840
30,2012-11-01,70.949997,71.599998,66.0,68.0,51.543934,26180
31,2012-12-01,68.550003,69.150002,67.5,67.75,51.354443,30840
32,2013-01-01,69.300003,71.5,68.75,70.300003,53.656971,32960
33,2013-02-01,70.199997,71.25,69.0,71.25,54.382072,23980
34,2013-03-01,70.900002,74.050003,70.550003,71.75,54.763683,45120
35,2013-04-01,71.5,71.849998,66.050003,69.5,53.531685,25840
36,2013-05-01,68.800003,73.5,68.150002,71.449997,55.033646,27500
37,2013-06-01,71.150002,71.349998,67.550003,69.300003,53.377628,17680
38,2013-07-01,69.349998,74.0,69.300003,71.949997,55.921947,191100
39,2013-08-01,72.400002,73.0,70.449997,72.099998,56.038525,65120
