,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-10,15.23,15.26,15.19,15.26,13.108273,34400
1,2014-02-17,15.34,15.45,15.3,15.43,13.254299,54900
2,2014-02-24,15.46,15.61,15.45,15.56,13.365972,933800
3,2014-03-03,15.35,15.68,15.25,15.41,13.237123,72400
4,2014-03-10,15.36,15.47,15.0,15.06,12.936474,47700
5,2014-03-17,15.17,15.32,15.17,15.22,13.073914,54200
6,2014-03-24,15.3,15.45,15.11,15.44,13.262892,25200
7,2014-03-31,15.52,15.56,15.4,15.45,13.349499,32000
8,2014-04-07,15.35,15.47,15.13,15.17,13.107565,35100
9,2014-04-14,15.3,15.4,15.12,15.4,13.306295,16500
10,2014-04-21,15.49,15.6,15.4,15.48,13.375421,22900
11,2014-04-28,15.64,15.84,15.6,15.74,13.600073,12700
12,2014-05-05,15.76,15.79,15.59,15.79,13.643274,23900
13,2014-05-12,15.88,16.02,15.85,16.02,13.842005,20800
14,2014-05-19,15.94,16.059999,15.89,16.02,13.842005,1150000
15,2014-05-26,16.1,16.1,16.0,16.09,13.902489,26700
16,2014-06-02,16.16,16.200001,16.0,16.18,13.980252,71500
17,2014-06-09,16.16,16.200001,16.02,16.02,13.842005,32100
18,2014-06-16,16.1,16.33,16.030001,16.26,14.049376,33100
19,2014-06-23,16.24,16.24,15.86,16.01,13.833364,34400
20,2014-06-30,16.02,16.27,15.95,16.25,14.119617,11600
21,2014-07-07,16.200001,16.209999,15.7,15.89,13.806811,34400
22,2014-07-14,16.01,16.059999,15.88,16.040001,13.937147,21500
23,2014-07-21,15.85,16.15,15.85,16.030001,13.928459,23200
24,2014-07-28,15.98,16.049999,15.65,15.65,13.598276,16800
25,2014-08-04,15.65,15.65,15.35,15.43,13.407118,289600
26,2014-08-11,15.6,15.85,15.51,15.7,13.64172,22300
27,2014-08-18,15.83,16.0,15.79,15.89,13.806811,9500
28,2014-08-25,15.89,16.209999,15.89,16.059999,13.954525,23700
29,2014-09-01,16.120001,16.360001,16.120001,16.299999,14.16306,23100
30,2014-09-08,16.25,16.34,16.129999,16.280001,14.145684,137900
31,2014-09-15,16.35,16.43,16.25,16.35,14.206508,19000
32,2014-09-22,16.200001,16.200001,15.83,15.83,13.754678,13500
33,2014-09-29,15.8,15.96,15.55,15.72,13.73598,21700
34,2014-10-06,15.75,15.8,15.16,15.16,13.246658,44800
35,2014-10-13,15.17,15.19,14.57,15.11,13.202966,30000
36,2014-10-20,15.05,15.44,15.02,15.4,13.456367,41500
37,2014-10-27,15.35,15.92,15.35,15.91,13.901999,25900
38,2014-11-03,15.74,15.99,15.7,15.93,13.919476,43100
39,2014-11-10,16.0,16.18,16.0,16.120001,14.085495,26200
40,2014-11-17,16.110001,16.450001,16.110001,16.440001,14.365109,55600
41,2014-11-24,16.4,16.620001,16.370001,16.58,14.48744,19700
42,2014-12-01,16.610001,16.66,16.49,16.58,14.48744,16500
43,2014-12-08,16.68,16.68,16.15,16.15,14.111708,0
44,2014-12-15,15.79,15.92,15.55,15.92,13.910736,0
45,2014-12-22,16.299999,16.51,16.290001,16.51,14.426275,2400
46,2014-12-29,16.51,16.51,16.200001,16.200001,14.233993,0
47,2015-01-05,16.200001,16.200001,15.95,16.129999,14.172484,0
48,2015-01-12,16.309999,16.5,16.309999,16.5,14.497582,0
49,2015-01-19,16.299999,16.5,16.299999,16.5,14.497582,0
50,2015-01-26,16.67,16.950001,16.67,16.75,14.717248,0
51,2015-02-02,16.950001,17.059999,16.950001,17.030001,14.963264,0
52,2015-02-09,16.93,17.139999,16.92,17.09,15.015984,0
53,2015-02-16,17.17,17.34,17.17,17.34,15.235641,0
54,2015-02-23,17.639999,17.73,17.639999,17.68,15.534379,0
55,2015-03-02,17.809999,17.809999,17.73,17.790001,15.631032,0
56,2015-03-09,17.83,17.85,17.59,17.719999,15.569526,0
57,2015-03-16,17.969999,18.370001,17.969999,18.35,16.123072,63300
58,2015-03-23,18.35,18.35,17.879999,17.959999,15.780397,15800
59,2015-03-30,17.959999,18.049999,17.82,17.82,15.734559,0
60,2015-04-06,17.99,18.629999,17.99,18.620001,16.440941,37900
61,2015-04-13,18.620001,18.620001,18.139999,18.24,16.105408,52600
62,2015-04-20,18.24,18.469999,18.24,18.450001,16.290834,17700
63,2015-04-27,18.41,18.450001,17.85,18.139999,16.017117,36000
64,2015-05-04,18.209999,18.209999,17.639999,17.639999,15.575625,55100
