,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-10,30.360001,30.360001,29.690001,29.700001,29.017641,10700
1,2018-12-17,29.280001,29.299999,29.030001,29.030001,28.363035,9000
2,2018-12-24,29.030001,29.030001,27.190001,28.799999,28.138317,36800
3,2018-12-31,28.799999,29.110001,28.799999,29.110001,28.441196,3700
4,2019-01-07,29.110001,29.73,29.110001,29.73,29.046949,2400
5,2019-01-14,29.860001,29.99,29.860001,29.99,29.300978,1900
6,2019-01-21,29.99,30.209999,29.99,30.209999,29.515921,100
7,2019-01-28,30.290001,30.450001,30.290001,30.450001,29.750408,9100
8,2019-02-04,30.459999,30.82,30.459999,30.809999,30.102137,15700
9,2019-02-11,30.74,30.74,30.620001,30.620001,29.916504,33700
10,2019-02-18,30.6,30.98,30.6,30.950001,30.238922,1100
11,2019-02-25,30.950001,30.950001,30.879999,30.879999,30.170527,200
12,2019-03-04,30.940001,30.969999,30.940001,30.969999,30.258461,600
13,2019-03-11,30.969999,31.139999,30.93,31.139999,30.424555,200
14,2019-03-18,31.139999,31.32,31.059999,31.09,30.375704,800
15,2019-03-25,31.09,31.5,31.09,31.5,30.776283,1500
16,2019-04-01,31.5,31.959999,31.5,31.559999,30.834904,6400
17,2019-04-08,31.59,31.99,31.59,31.99,31.255026,2700
18,2019-04-15,31.969999,31.969999,31.76,31.76,31.030312,2400
19,2019-04-22,31.76,32.080002,31.709999,31.780001,31.049852,1900
20,2019-04-29,31.780001,32.139999,31.780001,32.110001,31.372271,2600
21,2019-05-06,32.16,32.200001,31.85,31.85,31.118242,5600
22,2019-05-13,31.85,32.84,31.85,32.84,32.085499,200
23,2019-05-20,32.84,33.389999,32.84,33.27,32.505619,2900
24,2019-05-27,33.27,33.459999,33.27,33.459999,32.691254,100
25,2019-06-03,32.740002,33.349998,32.68,33.349998,32.583782,6500
26,2019-06-10,33.349998,33.380001,33.290001,33.360001,32.593552,2900
27,2019-06-17,33.619999,33.799999,33.619999,33.799999,33.023441,1700
28,2019-06-24,33.799999,33.799999,32.84,32.84,32.085499,1800
29,2019-07-01,32.84,33.869999,32.84,33.869999,33.091831,6900
30,2019-07-08,33.830002,34.060001,33.779999,33.849998,33.072289,3900
31,2019-07-15,33.849998,34.110001,33.849998,34.009998,33.228619,6800
32,2019-07-22,34.150002,34.16,34.119999,34.139999,33.355629,3000
33,2019-07-29,34.139999,34.139999,33.869999,33.869999,33.091831,1500
34,2019-08-05,33.869999,34.470001,33.869999,34.380001,33.590118,4500
35,2019-08-12,34.25,34.25,34.07,34.07,33.287239,2600
36,2019-08-19,34.130001,34.669998,34.130001,34.369999,33.580345,13300
37,2019-08-26,34.32,34.98,34.279999,34.98,34.176331,1500
38,2019-09-02,35.209999,35.310001,35.099998,35.310001,34.498753,9800
39,2019-09-09,34.669998,34.669998,34.119999,34.27,33.482643,3800
40,2019-09-16,34.139999,34.669998,34.09,34.540001,33.746441,6300
41,2019-09-23,34.610001,34.82,34.57,34.610001,33.814831,4500
42,2019-09-30,34.650002,34.650002,34.029999,34.599998,33.805058,9200
43,2019-10-07,34.599998,34.810001,34.43,34.630001,33.834373,4900
44,2019-10-14,34.630001,34.630001,34.369999,34.470001,33.678047,4100
45,2019-10-21,34.5,34.68,33.970001,33.970001,33.189537,4000
46,2019-10-28,33.990002,34.439999,33.98,34.43,33.638966,14500
47,2019-11-04,34.43,34.689999,34.43,34.639999,33.844139,1700
48,2019-11-11,34.689999,35.25,34.689999,35.25,34.440125,6300
49,2019-11-18,35.299999,35.450001,35.259998,35.290001,34.479206,4800
50,2019-11-25,35.290001,35.66,35.290001,35.639999,34.821167,6600
51,2019-12-02,35.639999,35.709999,35.310001,35.529999,34.713696,5500
52,2019-12-09,35.43,35.43,35.0,35.23,34.420586,11500
53,2019-12-16,35.450001,35.810001,35.450001,35.810001,34.987263,5400
54,2019-12-23,35.630001,35.630001,35.630001,35.630001,34.811398,200
55,2019-12-30,35.5,35.5,35.27,35.27,34.63464,2100
56,2020-01-06,35.299999,36.240002,35.299999,36.240002,35.587166,8300
57,2020-01-13,36.240002,37.75,36.240002,37.740002,37.060146,2100
58,2020-01-20,37.740002,38.130001,37.740002,37.919998,37.2369,2400
59,2020-01-27,37.610001,38.040001,37.599998,37.599998,36.922665,2500
60,2020-02-03,38.07,38.740002,38.060001,38.740002,38.042133,5600
61,2020-02-10,38.73,39.599998,38.73,39.5,38.788441,11200
62,2020-02-17,39.450001,39.549999,38.93,38.939999,38.238525,8200
63,2020-02-24,38.07,38.07,35.16,35.540001,34.899776,16400
64,2020-03-02,35.84,37.630001,35.84,36.459999,35.8032,68400
65,2020-03-09,33.849998,34.830002,28.280001,29.84,29.302456,49500
66,2020-03-16,30.290001,30.43,29.34,29.370001,28.840923,24500
67,2020-03-23,29.309999,29.440001,29.24,29.26,28.732904,8400
68,2020-03-30,29.26,29.370001,29.26,29.35,28.821283,5600
69,2020-04-06,29.370001,29.379999,29.35,29.379999,28.850742,10600
70,2020-04-13,29.379999,29.5,29.379999,29.43,28.899843,20600
71,2020-04-20,29.43,29.450001,29.41,29.450001,28.919483,9000
72,2020-04-27,29.450001,29.469999,29.25,29.34,28.811464,8000
73,2020-05-04,29.4,30.26,29.4,30.23,29.685431,8500
74,2020-05-11,30.32,30.68,29.84,30.68,30.127325,3200
75,2020-05-18,29.969999,31.709999,29.969999,31.51,30.942373,14400
76,2020-05-25,31.93,32.119999,30.535,30.860001,30.304083,31900
77,2020-06-01,30.719999,31.219999,30.459999,31.219999,30.657597,26700
78,2020-06-08,31.469999,31.469999,28.635,29.040001,28.516869,29300
79,2020-06-15,28.9,30.57,28.83,30.059999,29.518494,10700
80,2020-06-22,30.040001,30.32,28.74,28.74,28.222271,18200
81,2020-06-29,29.08,30.379999,29.08,30.379999,29.832727,26200
82,2020-07-06,30.68,31.200001,30.67,31.200001,30.637959,9700
