,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-02-10,15.02,15.02,15.02,15.02,10.878521,300
1,2014-02-17,15.02,15.04,15.0,15.04,10.893005,72200
2,2014-02-24,15.04,15.1,15.02,15.1,10.936462,221200
3,2014-03-03,15.04,15.08,14.99,15.08,10.954024,1900
4,2014-03-10,15.06,15.06,14.97,14.97,10.874123,4700
5,2014-03-17,14.97,15.07,14.97,15.03,10.917706,7000
6,2014-03-24,15.03,15.09,15.03,15.06,10.939495,5400
7,2014-03-31,14.99,15.13,14.99,15.06,10.97151,6700
8,2014-04-07,15.07,15.07,14.96,14.96,10.898658,9100
9,2014-04-14,14.96,15.03,14.96,15.03,10.949656,3900
10,2014-04-21,15.03,15.08,14.97,14.97,10.905944,4700
11,2014-04-28,14.99,15.0,14.97,14.97,10.93792,18900
12,2014-05-05,14.99,15.0,14.96,14.98,10.945228,14300
13,2014-05-12,14.98,15.04,14.98,15.01,10.967147,3300
14,2014-05-19,15.01,15.01,14.98,15.0,10.95984,8400
15,2014-05-26,15.0,15.02,15.0,15.02,10.974454,6400
16,2014-06-02,15.06,15.12,15.06,15.12,11.080021,15300
17,2014-06-09,15.17,15.17,15.09,15.11,11.072688,74900
18,2014-06-16,15.1,15.19,15.09,15.19,11.131317,9300
19,2014-06-23,15.2,15.21,15.12,15.12,11.080021,14500
20,2014-06-30,15.12,15.16,15.11,15.16,11.146044,32000
21,2014-07-07,15.16,15.16,15.11,15.11,11.10928,24700
22,2014-07-14,15.11,15.16,15.08,15.08,11.087226,26400
23,2014-07-21,15.06,15.1,15.04,15.06,11.072525,19300
24,2014-07-28,15.0,15.01,14.79,14.79,10.87401,184500
25,2014-08-04,14.87,14.88,14.8,14.87,10.969247,39000
26,2014-08-11,14.95,15.04,14.95,15.02,11.079898,13800
27,2014-08-18,15.08,15.09,15.08,15.09,11.131536,9800
28,2014-08-25,15.1,15.12,15.04,15.04,11.094652,12200
29,2014-09-01,15.08,15.08,15.03,15.03,11.12406,10300
30,2014-09-08,15.03,15.04,14.93,14.93,11.050048,6600
31,2014-09-15,14.88,15.02,14.87,15.02,11.11666,6400
32,2014-09-22,14.99,14.99,14.69,14.73,10.902022,16200
33,2014-09-29,14.66,14.96,14.66,14.96,11.111773,39600
34,2014-10-06,14.95,14.95,14.79,14.85,11.030072,3600
35,2014-10-13,14.75,14.87,14.55,14.85,11.030072,94300
36,2014-10-20,14.83,15.01,14.82,15.01,11.148915,22300
37,2014-10-27,15.0,15.02,14.92,15.02,11.156341,16100
38,2014-11-03,14.99,15.02,14.98,14.98,11.166033,29400
39,2014-11-10,14.98,15.06,14.98,15.01,11.188395,8400
40,2014-11-17,14.99,15.1,14.95,15.01,11.188395,8600
41,2014-11-24,15.02,15.13,15.01,15.08,11.240571,12600
42,2014-12-01,15.07,15.08,15.01,15.05,11.257964,14600
43,2014-12-08,15.02,15.02,14.8,14.8,11.070955,0
44,2014-12-15,14.73,14.85,14.68,14.85,11.108356,0
45,2014-12-22,15.04,15.04,14.98,14.98,11.205601,700
46,2014-12-29,14.98,14.98,14.93,14.93,11.207696,0
