,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,15.23,15.51,15.0,15.49,11.060409,35200
1,2010-07-01,15.48,15.55,15.14,15.4,10.996142,60700
2,2010-08-01,15.4,16.030001,15.35,16.030001,11.445989,34200
3,2010-09-01,15.97,16.08,15.65,15.99,11.417427,53800
4,2010-10-01,15.96,16.030001,15.78,15.9,11.353166,77200
5,2010-11-01,15.86,15.9,15.34,15.67,11.188935,95700
6,2010-12-01,15.6,15.61,15.18,15.49,11.060409,175600
7,2011-01-01,15.5,15.5,15.0,15.14,10.933537,113500
8,2011-02-01,15.03,15.12,14.75,15.11,10.953952,89500
9,2011-03-01,15.09,15.24,14.84,15.04,10.94553,175000
10,2011-04-01,14.95,15.14,14.79,15.08,11.016874,18400
11,2011-05-01,15.08,15.55,15.08,15.54,11.393922,13400
12,2011-06-01,15.63,15.84,15.42,15.54,11.433857,27500
13,2011-07-01,15.38,15.96,15.38,15.96,11.783413,51800
14,2011-08-01,16.17,16.870001,16.17,16.610001,12.303833,96500
15,2011-09-01,16.52,17.49,16.5,17.190001,12.773476,107000
16,2011-10-01,17.35,17.52,16.35,16.780001,12.506558,110900
17,2011-11-01,17.1,17.57,17.030001,17.360001,12.978086,127600
18,2011-12-01,17.360001,18.01,17.219999,17.809999,13.353349,110700
19,2012-01-01,17.76,17.9,17.4,17.790001,13.376526,151400
20,2012-02-01,17.780001,17.780001,17.360001,17.57,13.249629,74600
21,2012-03-01,17.49,17.700001,17.049999,17.459999,13.205204,124700
22,2012-04-01,17.4,17.700001,17.24,17.469999,13.251881,67800
23,2012-05-01,17.5,18.32,17.459999,18.290001,13.914471,102400
24,2012-06-01,18.450001,18.5,18.049999,18.139999,13.839219,239200
25,2012-07-01,18.24,18.58,18.15,18.309999,14.007185,198400
26,2012-08-01,18.27,18.35,17.629999,18.08,13.868736,157000
27,2012-09-01,18.139999,18.17,17.57,18.17,13.976505,161800
28,2012-10-01,18.129999,18.190001,17.700001,17.959999,13.853483,176900
29,2012-11-01,17.959999,18.219999,17.889999,18.200001,14.078218,245000
30,2012-12-01,18.15,18.219999,17.799999,17.950001,13.92334,192900
31,2013-01-01,17.719999,17.799999,17.370001,17.450001,13.57325,181400
32,2013-02-01,17.42,17.58,17.200001,17.57,13.705591,150800
33,2013-03-01,17.610001,17.68,17.290001,17.66,13.815496,231800
34,2013-04-01,17.639999,18.07,17.629999,18.01,14.129377,467100
35,2013-05-01,18.049999,18.059999,17.15,17.23,13.55503,1005400
36,2013-06-01,17.17,17.389999,16.33,16.549999,13.057546,404800
37,2013-07-01,16.559999,16.690001,16.219999,16.42,12.992733,248500
38,2013-08-01,16.34,16.379999,15.82,16.15,12.816461,217300
39,2013-09-01,16.049999,16.15,15.68,16.15,12.854929,75600
40,2013-10-01,16.110001,16.370001,15.95,16.35,13.053036,59100
41,2013-11-01,16.309999,16.309999,15.94,16.02,12.827312,37500
42,2013-12-01,15.91,15.98,15.71,15.72,12.624878,193400
43,2014-01-01,15.72,16.52,15.72,16.52,13.311714,48700
44,2014-02-01,16.58,16.58,16.23,16.49,13.326592,90900
45,2014-03-01,16.49,16.58,16.219999,16.370001,13.268616,101600
46,2014-04-01,16.280001,16.549999,16.200001,16.450001,13.372551,23200
47,2014-05-01,16.5,16.870001,16.48,16.809999,13.705193,264700
48,2014-06-01,16.73,16.809999,16.58,16.75,13.695704,46000
49,2014-07-01,16.690001,17.110001,16.629999,17.040001,13.973016,32800
50,2014-08-01,17.040001,17.360001,17.040001,17.33,14.250824,33000
51,2014-09-01,17.200001,17.200001,16.780001,17.07,14.07612,29600
52,2014-10-01,17.07,17.790001,17.07,17.23,14.246694,732300
53,2014-11-01,17.24,17.68,17.1,17.68,14.657711,241000
54,2014-12-01,17.6,18.0,17.4,17.85,14.838129,44100
55,2015-01-01,17.93,19.23,17.92,19.190001,15.994353,341000
56,2015-02-01,19.24,19.35,18.5,18.99,15.866516,202500
57,2015-03-01,19.0,19.01,18.18,18.82,15.762947,221900
58,2015-04-01,18.93,18.93,18.1,18.1,15.196698,57300
59,2015-05-01,18.129999,18.209999,17.549999,18.209999,15.326996,45800
60,2015-06-01,18.16,18.16,17.379999,17.889999,15.09676,84500
61,2015-07-01,17.74,18.41,17.700001,18.209999,15.407064,101600
62,2015-08-01,18.48,18.9,18.15,18.200001,15.437178,172500
