,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-05-01,14.84,15.18,14.84,15.15,11.479627,34400
1,2010-06-01,15.15,15.36,15.04,15.36,11.638751,50600
2,2010-07-01,15.37,15.41,15.18,15.41,11.777282,42100
3,2010-08-01,15.41,15.84,15.37,15.83,12.098269,38200
4,2010-09-01,15.7,15.81,15.59,15.74,12.029484,53100
5,2010-10-01,15.7,15.87,15.66,15.75,12.138863,85600
6,2010-11-01,15.74,15.78,15.39,15.49,11.93847,66600
7,2010-12-01,15.43,15.64,15.22,15.35,11.830574,150000
8,2011-01-01,15.35,15.35,15.14,15.22,11.828635,95300
9,2011-02-01,15.16,15.2,14.95,15.16,11.815404,114500
10,2011-03-01,15.17,15.38,15.06,15.15,11.841178,111400
11,2011-04-01,15.1,15.24,14.98,15.24,11.945268,11400
12,2011-05-01,15.24,15.48,15.24,15.47,12.159851,6200
13,2011-06-01,15.5,15.7,15.46,15.48,12.201653,69900
14,2011-07-01,15.48,15.74,15.44,15.74,12.440769,62500
15,2011-08-01,15.88,16.370001,15.88,16.190001,12.830968,60800
16,2011-09-01,16.120001,16.57,16.120001,16.389999,13.023025,23900
17,2011-10-01,16.440001,16.5,16.030001,16.25,12.944782,98000
18,2011-11-01,16.379999,16.51,16.33,16.360001,13.066138,210300
19,2011-12-01,16.360001,16.67,16.360001,16.58,13.275656,28700
20,2012-01-01,16.559999,16.65,16.42,16.639999,13.357518,147100
21,2012-02-01,16.610001,16.620001,16.41,16.49,13.270846,76700
22,2012-03-01,16.450001,16.540001,16.15,16.33,13.175675,293000
23,2012-04-01,16.32,16.41,16.26,16.32,13.201797,37100
24,2012-05-01,16.32,16.690001,16.32,16.690001,13.535871,172700
25,2012-06-01,16.809999,16.809999,16.629999,16.690001,13.570041,250200
26,2012-07-01,16.690001,16.84,16.65,16.709999,13.619738,67300
27,2012-08-01,16.709999,16.74,16.4,16.620001,13.579445,130400
28,2012-09-01,16.639999,16.67,16.42,16.67,13.654041,53500
29,2012-10-01,16.690001,16.690001,16.51,16.58,13.61393,31100
30,2012-11-01,16.59,16.68,16.57,16.629999,13.688975,144100
31,2012-12-01,16.610001,16.67,16.48,16.540001,13.648624,64000
32,2013-01-01,16.540001,16.540001,16.299999,16.299999,13.484006,128000
33,2013-02-01,16.299999,16.5,16.280001,16.5,13.683619,64700
34,2013-03-01,16.540001,16.559999,16.41,16.559999,13.767842,67000
35,2013-04-01,16.52,16.719999,16.51,16.68,13.902087,302100
36,2013-05-01,16.709999,16.709999,16.25,16.290001,13.610498,522200
37,2013-06-01,16.27,16.370001,15.76,15.91,13.326317,1196000
38,2013-07-01,15.92,16.01,15.73,15.87,13.324739,312000
39,2013-08-01,15.83,15.87,15.6,15.69,13.205141,109000
40,2013-09-01,15.69,15.79,15.51,15.78,13.313092,121200
41,2013-10-01,15.79,16.0,15.72,15.98,13.514351,122600
42,2013-11-01,15.9,15.9,15.74,15.87,13.453297,219300
43,2013-12-01,15.82,15.84,15.65,15.68,13.324155,61700
44,2014-01-01,15.69,16.09,15.67,16.09,13.705534,64300
45,2014-02-01,16.110001,16.120001,15.95,16.08,13.729486,191200
46,2014-03-01,16.120001,16.18,15.97,15.97,13.667927,61900
47,2014-04-01,15.98,16.110001,15.91,16.02,13.743255,396000
48,2014-05-01,16.09,16.23,16.07,16.200001,13.930636,57600
49,2014-06-01,16.16,16.200001,16.059999,16.15,13.920413,29000
50,2014-07-01,16.15,16.33,16.07,16.219999,14.013729,28200
51,2014-08-01,16.219999,16.379999,16.219999,16.379999,14.184987,33600
52,2014-09-01,16.32,16.32,16.1,16.219999,14.079149,41100
53,2014-10-01,16.24,16.549999,16.23,16.280001,14.161829,74000
54,2014-11-01,16.290001,16.440001,16.280001,16.440001,14.331676,32000
55,2014-12-01,16.459999,16.57,16.360001,16.52,14.432289,55100
56,2015-01-01,16.530001,17.25,16.530001,17.25,15.102251,150700
57,2015-02-01,17.24,17.27,17.02,17.110001,15.010435,93600
58,2015-03-01,17.190001,17.200001,16.860001,17.09,15.023482,110700
59,2015-04-01,17.139999,17.17,16.780001,16.799999,14.798697,80300
60,2015-05-01,16.700001,16.82,16.59,16.82,14.846865,58400
61,2015-06-01,16.82,16.82,16.52,16.77,14.833934,48000
62,2015-07-01,16.75,17.02,16.74,17.02,15.08678,100300
63,2015-08-01,17.01,17.25,16.93,16.93,15.037967,385000
64,2015-09-01,16.950001,16.99,16.790001,16.889999,15.033203,161200
65,2015-10-01,16.940001,17.01,16.799999,16.82,14.999199,397300
66,2015-11-01,16.780001,16.790001,16.610001,16.76,14.973966,75000
67,2015-12-01,16.82,16.969999,16.68,16.93,15.154789,182200
68,2016-01-01,16.940001,17.23,16.889999,17.08,15.317994,218100
69,2016-02-01,17.1,17.370001,17.08,17.120001,15.382664,423700
70,2016-03-01,17.110001,17.129999,16.92,17.07,15.366381,519700
71,2016-04-01,17.059999,17.129999,16.780001,16.879999,15.223897,455900
72,2016-05-01,16.860001,17.129999,16.84,17.049999,15.406484,498300
73,2016-06-01,17.08,17.33,17.049999,17.33,15.718546,415800
74,2016-07-01,17.309999,17.41,17.190001,17.33,15.74509,229700
75,2016-08-01,17.209999,17.35,17.190001,17.280001,15.726101,362900
76,2016-09-01,17.280001,17.360001,17.049999,17.299999,15.770765,343800
77,2016-10-01,17.299999,17.299999,17.040001,17.09,15.605438,568800
78,2016-11-01,17.059999,17.129999,16.639999,16.66,15.238505,367200
79,2016-12-01,16.549999,16.639999,16.389999,16.48,15.100066,190700
80,2017-01-01,16.450001,16.6,16.42,16.5,15.148804,191200
81,2017-02-01,16.459999,16.629999,16.459999,16.6,15.266613,248400
82,2017-03-01,16.51,16.65,16.35,16.59,15.28331,242200
83,2017-04-01,16.629999,16.799999,16.620001,16.780001,15.4844,116900
84,2017-05-01,16.77,16.91,16.700001,16.860001,15.58428,308100
85,2017-06-01,16.84,16.91,16.41,16.42,15.202808,393000
86,2017-07-01,16.34,16.360001,16.07,16.07,14.902736,261600
87,2017-08-01,16.08,16.32,16.08,16.27,15.113479,560600
88,2017-09-01,16.200001,16.24,15.96,16.0,14.887405,132300
