,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-06-01,15.03,15.13,14.84,15.06,11.925348,293200
1,2010-07-01,15.04,15.12,14.94,15.12,12.076697,279600
2,2010-08-01,15.12,15.27,15.04,15.24,12.172544,720400
3,2010-09-01,15.26,15.26,15.06,15.1,12.060719,436100
4,2010-10-01,15.1,15.18,15.0,15.13,12.189072,211700
5,2010-11-01,15.13,15.13,14.97,15.06,12.132674,270600
6,2010-12-01,15.03,15.18,14.88,14.94,12.035999,359500
7,2011-01-01,14.94,14.94,14.86,14.89,12.092882,438100
8,2011-02-01,14.94,14.94,14.79,14.84,12.086318,359600
9,2011-03-01,14.85,14.94,14.79,14.82,12.104201,306100
10,2011-04-01,14.8,14.86,14.78,14.86,12.171264,85000
11,2011-05-01,14.86,14.93,14.84,14.91,12.244371,101400
12,2011-06-01,14.93,15.04,14.9,14.96,12.31763,106700
13,2011-07-01,14.96,15.0,14.91,14.97,12.357913,109600
14,2011-08-01,15.02,15.22,15.02,15.1,12.494462,171700
15,2011-09-01,15.1,15.23,15.1,15.17,12.581374,167400
16,2011-10-01,15.17,15.21,15.01,15.08,12.535559,331700
17,2011-11-01,15.12,15.17,15.08,15.1,12.579621,799500
18,2011-12-01,15.11,15.29,15.08,15.13,12.632092,772900
19,2012-01-01,15.13,15.14,15.06,15.11,12.642913,1107800
20,2012-02-01,15.11,15.11,15.02,15.02,12.594282,992000
21,2012-03-01,15.01,15.03,14.94,14.97,12.579089,888100
22,2012-04-01,14.96,14.98,14.85,14.91,12.555522,697400
23,2012-05-01,14.91,15.03,14.91,15.0,12.658459,200800
24,2012-06-01,15.07,15.08,14.97,14.97,12.660102,798600
25,2012-07-01,15.0,15.05,14.93,14.95,12.668488,653400
26,2012-08-01,14.95,14.98,14.88,14.91,12.659839,378000
27,2012-09-01,14.91,14.95,14.88,14.95,12.719332,555000
28,2012-10-01,14.94,14.94,14.89,14.91,12.709972,334900
29,2012-11-01,14.93,14.94,14.9,14.92,12.743299,377900
30,2012-12-01,14.91,14.93,14.86,14.88,12.733922,241700
31,2013-01-01,14.86,14.89,14.83,14.83,12.715878,471600
32,2013-02-01,14.83,14.9,14.82,14.9,12.800867,290600
33,2013-03-01,14.88,14.91,14.87,14.87,12.800059,133100
34,2013-04-01,14.88,14.92,14.86,14.87,12.825022,265400
35,2013-05-01,14.89,14.89,14.79,14.79,12.780899,4572900
36,2013-06-01,14.8,14.83,14.69,14.71,12.736653,305400
37,2013-07-01,14.71,14.79,14.69,14.69,12.742674,630900
38,2013-08-01,14.69,14.72,14.66,14.69,12.765982,76900
39,2013-09-01,14.68,14.7,14.62,14.69,12.789488,68900
40,2013-10-01,14.68,14.76,14.68,14.75,12.865373,38600
41,2013-11-01,14.75,14.76,14.73,14.73,12.871477,70600
42,2013-12-01,14.73,14.75,14.7,14.7,12.868818,40900
