,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-11-26,74.800003,74.800003,72.550003,72.75,71.065758,600
1,2012-12-03,72.75,72.75,72.75,72.75,71.065758,0
2,2012-12-10,72.75,72.75,71.25,71.25,69.600494,700
3,2012-12-17,71.25,71.25,69.400002,69.400002,67.793327,4720
4,2012-12-24,69.400002,69.400002,69.400002,69.400002,67.793327,0
5,2012-12-31,69.400002,72.900002,69.400002,72.900002,71.222557,20
6,2013-01-07,72.900002,72.900002,70.300003,70.849998,69.219719,540
7,2013-01-14,70.849998,72.050003,70.849998,71.550003,69.903618,920
8,2013-01-21,71.650002,71.650002,68.5,68.5,66.923798,980
9,2013-01-28,66.099998,66.849998,66.0,66.849998,65.311768,700
10,2013-02-04,66.849998,66.849998,66.0,66.0,64.481316,260
11,2013-02-11,66.0,66.0,61.200001,61.200001,59.791767,620
12,2013-02-18,61.049999,61.049999,57.75,58.599998,57.251598,1440
13,2013-02-25,58.599998,60.200001,58.099998,58.099998,56.7631,1440
14,2013-03-04,56.900002,58.0,55.599998,58.0,56.665405,7740
15,2013-03-11,58.0,58.5,57.650002,57.650002,56.323456,140
16,2013-03-18,59.599998,59.799999,59.599998,59.799999,58.423988,140
17,2013-03-25,59.400002,59.400002,58.150002,58.25,56.909649,360
18,2013-04-01,58.0,58.0,51.150002,53.900002,52.659748,1820
19,2013-04-08,53.900002,54.650002,49.5,49.5,48.360992,960
20,2013-04-15,45.25,45.25,41.25,42.400002,41.424366,9720
21,2013-04-22,43.950001,47.349998,43.25,45.799999,44.746128,800
22,2013-04-29,45.950001,45.950001,44.349998,45.25,44.208786,420
23,2013-05-06,45.25,45.549999,43.049999,43.950001,42.938702,19580
24,2013-05-13,44.0,44.0,40.0,40.0,39.07959,1720
25,2013-05-20,41.299999,43.25,41.299999,42.200001,41.228966,600
26,2013-05-27,42.299999,46.049999,42.150002,46.049999,44.990372,1280
27,2013-06-03,46.049999,46.049999,46.049999,46.049999,44.990372,0
28,2013-06-10,45.150002,45.150002,43.0,43.150002,42.157108,180
29,2013-06-17,42.5,42.5,36.849998,37.450001,36.588261,2500
30,2013-06-24,36.299999,37.049999,34.099998,36.799999,35.953224,9920
31,2013-07-01,37.650002,37.650002,35.849998,35.849998,35.025078,3320
32,2013-07-08,36.0,38.599998,36.0,38.599998,37.7118,4500
33,2013-07-15,38.099998,39.349998,38.099998,39.349998,38.444546,1700
34,2013-07-22,42.099998,44.349998,42.0,43.0,42.010559,2540
35,2013-07-29,42.700001,42.700001,40.5,40.5,39.568085,1160
36,2013-08-05,40.5,40.5,37.25,38.549999,37.662952,340
37,2013-08-12,42.5,48.150002,42.5,48.150002,47.042057,860
38,2013-08-19,47.299999,47.299999,47.0,47.0,45.918518,1040
39,2013-08-26,47.0,50.650002,45.099998,45.099998,44.062233,1220
40,2013-09-02,45.099998,45.099998,44.200001,44.700001,43.67144,360
41,2013-09-09,44.849998,44.849998,40.25,40.25,39.323837,380
42,2013-09-16,41.700001,42.049999,41.700001,41.700001,40.740475,740
43,2013-09-23,40.950001,41.25,40.75,40.75,39.812328,560
44,2013-09-30,40.75,40.75,39.400002,39.400002,38.493393,240
45,2013-10-07,39.400002,39.849998,37.049999,37.049999,36.197472,320
46,2013-10-14,36.599998,38.549999,36.599998,38.549999,37.662952,120
47,2013-10-21,38.549999,41.599998,38.549999,41.5,40.545074,4800
48,2013-10-28,42.400002,43.299999,42.150002,42.150002,41.180119,1980
49,2013-11-04,39.049999,39.049999,37.0,37.0,36.148621,540
50,2013-11-11,37.0,38.049999,37.0,37.849998,36.979061,4520
51,2013-11-18,37.5,37.5,35.049999,35.049999,34.243488,1220
52,2013-11-25,34.950001,35.599998,34.0,35.599998,34.780834,1320
53,2013-12-02,35.049999,35.049999,33.299999,33.299999,32.533756,15260
54,2013-12-09,33.299999,35.150002,33.25,34.200001,33.413044,15880
55,2013-12-16,34.200001,34.650002,33.150002,33.299999,32.533756,43700
56,2013-12-23,33.049999,34.099998,32.75,34.099998,33.315346,14060
57,2013-12-30,34.0,35.900002,33.450001,35.450001,35.007271,7600
58,2014-01-06,35.700001,36.150002,35.0,36.150002,35.698528,8960
59,2014-01-13,36.599998,40.25,36.599998,40.25,39.747322,2180
60,2014-01-20,40.700001,41.200001,40.0,40.099998,39.599197,2120
61,2014-01-27,39.900002,40.549999,39.400002,40.5,39.994202,2000
62,2014-02-03,40.700001,41.0,39.799999,41.0,40.487957,5080
63,2014-02-10,41.849998,45.799999,41.849998,45.75,45.178638,2780
64,2014-02-17,46.299999,46.349998,44.75,46.349998,45.771141,2600
65,2014-02-24,47.400002,47.400002,45.75,45.75,45.178638,1360
66,2014-03-03,46.700001,46.700001,45.549999,46.25,45.672394,2000
67,2014-03-10,46.549999,51.099998,46.549999,50.0,49.375557,3540
68,2014-03-17,50.0,50.0,46.0,46.650002,46.067394,1520
69,2014-03-24,45.400002,45.400002,42.099998,42.349998,41.821095,2640
70,2014-03-31,42.549999,43.099998,42.099998,43.099998,42.561729,440
71,2014-04-07,43.75,45.150002,43.75,43.75,43.203609,21220
72,2014-04-14,44.200001,44.5,42.5,42.75,42.216106,3500
73,2014-04-21,42.200001,43.299999,41.650002,43.299999,42.759232,1020
74,2014-04-28,43.650002,44.049999,43.650002,44.049999,43.49987,80
75,2014-05-05,44.049999,44.25,43.0,43.0,42.462978,500
76,2014-05-12,43.0,43.75,42.5,42.5,41.969223,920
77,2014-05-19,43.299999,43.299999,42.5,42.5,41.969223,0
78,2014-05-26,42.849998,42.849998,39.75,39.75,39.253567,1180
79,2014-06-02,40.549999,41.5,40.549999,41.5,40.981712,480
80,2014-06-09,41.5,45.25,41.5,44.900002,44.339252,1320
81,2014-06-16,45.599998,48.25,44.900002,48.25,47.647411,2120
82,2014-06-23,48.25,48.849998,46.950001,47.299999,46.709278,1520
83,2014-06-30,48.099998,48.650002,48.099998,48.349998,47.746162,920
84,2014-07-07,48.150002,50.049999,48.099998,50.049999,49.424934,1280
85,2014-07-14,48.700001,49.099998,47.549999,48.700001,48.091789,2140
86,2014-07-21,48.650002,48.700001,47.400002,47.400002,46.808029,800
87,2014-07-28,48.650002,49.0,47.900002,47.900002,47.301785,1540
88,2014-08-04,47.900002,48.849998,47.900002,48.849998,48.239918,740
89,2014-08-11,48.849998,49.549999,48.599998,49.549999,48.931175,560
90,2014-08-18,48.400002,49.0,47.75,47.75,47.153656,2540
91,2014-08-25,47.75,49.099998,47.5,49.099998,48.486794,2140
92,2014-09-01,48.049999,48.049999,45.25,45.400002,44.833008,1620
93,2014-09-08,45.599998,45.599998,43.650002,44.299999,43.746742,1680
94,2014-09-15,44.150002,44.25,42.299999,42.299999,41.771721,780
95,2014-09-22,41.049999,41.25,40.299999,41.150002,40.636086,1060
96,2014-09-29,40.849998,40.849998,39.0,39.0,38.512939,880
97,2014-10-06,38.700001,41.200001,38.700001,39.75,39.253567,420
98,2014-10-13,39.75,39.75,39.75,39.75,39.253567,0
99,2014-10-20,39.799999,40.799999,38.349998,38.349998,37.871052,1560
100,2014-10-27,38.349998,38.349998,32.200001,32.200001,31.797861,3160
101,2014-11-03,32.5,34.299999,30.6,34.299999,33.871632,8320
102,2014-11-10,34.049999,35.150002,32.950001,33.950001,33.526005,3680
103,2014-11-17,35.650002,38.950001,35.549999,37.799999,37.327927,3200
104,2014-11-24,37.950001,38.950001,35.200001,35.200001,34.760395,1880
105,2014-12-01,35.599998,37.700001,35.599998,35.700001,35.254147,820
106,2014-12-08,36.200001,38.299999,35.0,36.150002,35.698528,1720
107,2014-12-15,35.849998,36.799999,33.0,36.799999,36.340412,14160
108,2014-12-22,36.349998,36.349998,33.599998,34.450001,34.01976,7000
109,2014-12-29,35.650002,36.5,35.200001,35.650002,35.329876,1680
110,2015-01-05,38.75,42.5,38.650002,41.75,41.375103,32100
111,2015-01-12,42.650002,46.0,41.400002,45.349998,44.942776,17880
112,2015-01-19,45.349998,48.0,45.200001,45.200001,44.794125,12140
113,2015-01-26,44.549999,47.799999,44.299999,47.200001,46.776165,7060
114,2015-02-02,46.400002,47.049999,44.0,44.650002,44.249062,5880
115,2015-02-09,44.349998,44.349998,43.0,43.25,42.861633,3820
116,2015-02-16,42.349998,43.0,41.25,41.799999,41.424652,56980
117,2015-02-23,42.099998,43.349998,41.75,43.349998,42.960732,2500
118,2015-03-02,43.400002,43.400002,38.400002,38.450001,38.104736,5020
119,2015-03-09,38.099998,38.099998,35.75,36.5,36.172245,4580
120,2015-03-16,37.549999,40.049999,37.049999,39.849998,39.492165,2100
121,2015-03-23,40.150002,40.349998,38.799999,38.799999,38.451591,1720
122,2015-03-30,38.599998,39.25,38.0,39.150002,38.798454,1160
123,2015-04-06,39.150002,40.099998,38.549999,38.549999,38.203838,0
124,2015-04-13,39.599998,39.650002,39.099998,39.650002,39.293961,1120
125,2015-04-20,39.450001,39.5,38.450001,38.450001,38.104736,300
126,2015-04-27,38.450001,40.450001,38.450001,39.25,38.897552,60
127,2015-05-04,39.849998,40.0,39.400002,39.5,39.145309,1740
128,2015-05-11,39.5,42.0,39.5,41.400002,41.028248,1980
129,2015-05-18,41.400002,41.400002,40.349998,40.5,40.136326,740
130,2015-05-25,40.599998,40.599998,39.349998,40.099998,39.739918,640
131,2015-06-01,40.400002,40.599998,39.0,39.0,38.649796,940
132,2015-06-08,39.049999,39.400002,38.450001,38.450001,38.104736,3000
133,2015-06-15,38.5,39.25,37.599998,39.25,38.897552,200
134,2015-06-22,39.25,39.25,37.650002,37.650002,37.311924,320
135,2015-06-29,37.75,37.75,37.0,37.150002,36.81641,880
136,2015-07-06,36.450001,37.900002,35.950001,36.099998,35.775833,3840
137,2015-07-13,35.5,36.200001,33.650002,33.700001,33.397388,34520
138,2015-07-20,32.25,32.25,29.0,30.6,30.325224,8020
139,2015-07-27,31.15,31.6,30.0,30.450001,30.176571,2580
140,2015-08-03,31.25,31.25,29.9,31.049999,30.771185,1660
141,2015-08-10,32.0,34.849998,31.9,34.0,33.694695,3420
142,2015-08-17,34.299999,37.450001,33.950001,35.900002,35.577633,6560
143,2015-08-24,35.200001,35.75,30.5,32.599998,32.307262,9920
144,2015-08-31,32.900002,32.900002,32.0,32.799999,32.50547,2940
145,2015-09-07,31.65,31.75,30.0,30.85,30.572983,900
146,2015-09-14,30.85,33.700001,30.75,33.700001,33.397388,840
147,2015-09-21,33.700001,33.700001,31.35,33.049999,32.753223,1940
148,2015-09-28,31.5,33.0,31.5,33.0,32.703674,600
149,2015-10-05,34.5,36.75,34.5,36.650002,36.3209,560
150,2015-10-12,36.650002,38.25,36.650002,37.200001,36.865959,600
151,2015-10-19,36.549999,37.0,35.450001,36.75,36.419998,1220
152,2015-10-26,38.049999,38.049999,34.450001,34.450001,34.140652,820
153,2015-11-02,33.400002,34.400002,32.0,32.0,31.712654,4060
154,2015-11-09,32.0,32.0,31.0,31.5,31.217144,840
155,2015-11-16,31.85,32.0,30.0,31.5,31.217144,3800
156,2015-11-23,31.5,31.9,31.25,31.25,30.969389,200
157,2015-11-30,31.25,34.5,31.25,34.5,34.190205,3740
158,2015-12-07,34.5,34.5,32.849998,33.450001,33.149632,3300
159,2015-12-14,34.25,34.25,32.299999,32.900002,32.604572,1600
160,2015-12-21,33.650002,34.0,33.25,33.25,32.951431,400
161,2015-12-28,33.75,33.75,32.5,32.5,32.354122,1020
162,2016-01-04,33.900002,37.099998,33.900002,35.799999,35.639309,3540
163,2016-01-11,35.700001,35.700001,32.650002,32.700001,32.553226,7960
164,2016-01-18,32.700001,32.700001,30.299999,30.299999,30.163996,500
165,2016-01-25,32.099998,34.0,32.099998,34.0,33.847389,4520
166,2016-02-01,34.0,39.349998,34.0,39.349998,39.173374,6600
167,2016-02-08,40.75,43.700001,37.849998,43.5,43.304749,47360
168,2016-02-15,41.400002,43.799999,40.299999,42.900002,42.707443,12320
169,2016-02-22,42.099998,46.200001,42.099998,43.099998,42.90654,14940
170,2016-02-29,44.099998,47.650002,42.400002,45.049999,44.84779,17520
171,2016-03-07,46.400002,46.799999,43.5,45.0,44.798016,11820
172,2016-03-14,45.400002,47.5,43.0,45.75,45.544651,10960
173,2016-03-21,45.0,45.950001,43.200001,44.0,43.802502,4800
174,2016-03-28,44.0,45.900002,43.0,45.25,45.046894,42440
175,2016-04-04,44.799999,48.450001,44.200001,48.400002,48.182758,20340
176,2016-04-11,49.299999,51.599998,48.049999,49.900002,49.676022,57340
177,2016-04-18,50.599998,52.599998,49.799999,50.5,50.273327,10760
178,2016-04-25,50.950001,57.0,49.75,57.0,56.744152,38760
179,2016-05-02,57.5,58.5,53.200001,58.049999,57.78944,17420
180,2016-05-09,55.950001,57.900002,54.099998,57.099998,56.843704,13720
181,2016-05-16,57.849998,59.150002,53.25,55.75,55.499763,14540
182,2016-05-23,53.75,53.799999,50.799999,50.950001,50.72131,8700
183,2016-05-30,50.200001,57.650002,50.200001,57.650002,57.391235,23220
184,2016-06-06,57.900002,60.299999,56.099998,58.5,58.237419,20600
185,2016-06-13,60.200001,62.0,57.200001,58.549999,58.287193,46700
186,2016-06-20,57.200001,63.299999,56.5,61.549999,61.273731,8440
187,2016-06-27,62.599998,63.25,61.150002,62.950001,62.66745,56400
188,2016-07-04,65.25,70.400002,65.25,70.300003,69.984459,111300
189,2016-07-11,70.050003,70.849998,67.75,68.25,67.943657,12920
190,2016-07-18,68.5,68.650002,63.599998,66.199997,65.902855,7460
191,2016-07-25,65.050003,70.800003,63.799999,70.400002,70.084007,30660
192,2016-08-01,72.349998,73.050003,70.550003,70.650002,70.332886,8640
193,2016-08-08,70.849998,72.800003,70.599998,71.300003,70.979965,13780
194,2016-08-15,71.400002,71.800003,68.400002,69.349998,69.038719,19940
195,2016-08-22,67.699997,68.25,61.099998,62.049999,61.771488,33400
196,2016-08-29,62.5,63.25,58.150002,63.200001,62.916325,49400
197,2016-09-05,64.550003,65.900002,61.299999,61.450001,61.174179,9300
