,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,14.76,14.88,14.42,14.74,10.944137,36600
1,2010-03-01,14.72,14.91,14.58,14.86,11.033238,46300
2,2010-04-01,14.86,15.1,14.74,14.74,11.001102,17400
3,2010-05-01,14.91,14.91,13.87,14.24,10.627935,9100
4,2010-06-01,14.24,14.47,13.94,14.44,10.7772,11300
5,2010-07-01,14.44,15.08,14.32,14.83,11.14256,68300
6,2010-08-01,14.83,15.44,14.83,15.44,11.600884,2600
7,2010-09-01,15.47,16.110001,15.45,16.07,12.074237,30800
8,2010-10-01,16.120001,16.73,15.98,16.66,12.612162,42900
9,2010-11-01,16.76,16.879999,16.51,16.620001,12.581887,54400
10,2010-12-01,16.780001,16.98,16.5,16.76,12.68787,99900
11,2011-01-01,16.959999,17.280001,16.370001,17.15,13.056594,179000
12,2011-02-01,17.15,18.030001,16.809999,17.059999,12.988073,57400
13,2011-03-01,17.1,17.459999,16.799999,17.43,13.269763,95400
14,2011-04-01,17.43,17.690001,16.98,17.41,13.328797,50200
15,2011-05-01,17.549999,18.110001,17.4,18.1,13.857048,86700
16,2011-06-01,18.129999,18.129999,17.4,17.57,13.451292,38400
17,2011-07-01,17.77,17.889999,17.18,17.440001,13.444644,41700
18,2011-08-01,17.49,17.940001,15.96,17.57,13.544863,40100
19,2011-09-01,17.83,18.18,17.35,18.129999,13.976572,44000
20,2011-10-01,18.129999,18.73,17.5,18.4,14.297658,62800
21,2011-11-01,18.42,18.860001,18.23,18.83,14.631783,108600
22,2011-12-01,19.049999,19.559999,18.73,19.379999,15.059162,117400
23,2012-01-01,19.51,19.559999,17.35,19.34,15.122595,219400
24,2012-02-01,19.49,19.950001,19.379999,19.65,15.364994,224300
25,2012-03-01,19.620001,20.030001,19.59,19.77,15.458832,229100
26,2012-04-01,19.870001,20.34,19.52,20.34,16.002172,109100
27,2012-05-01,20.360001,20.5,20.0,20.5,16.128046,83800
28,2012-06-01,20.309999,20.799999,20.07,20.620001,16.222452,553500
29,2012-07-01,20.65,21.389999,20.65,21.219999,16.806206,310400
30,2012-08-01,21.280001,21.280001,20.48,20.48,16.220137,259800
31,2012-09-01,20.440001,20.9,20.4,20.74,16.426052,305500
32,2012-10-01,20.809999,21.41,20.66,21.32,17.004179,248900
33,2012-11-01,21.379999,21.379999,20.25,20.969999,16.725029,136800
34,2012-12-01,21.0,21.5,20.85,21.309999,16.996201,127000
35,2013-01-01,21.58,22.5,21.389999,22.01,17.66568,181600
36,2013-02-01,22.23,23.98,22.049999,23.030001,18.484358,249800
37,2013-03-01,23.16,23.6,22.879999,23.6,18.941849,300000
38,2013-04-01,23.709999,24.65,23.440001,24.48,19.770243,366900
39,2013-05-01,24.620001,25.15,23.58,23.700001,19.140316,325400
40,2013-06-01,23.75,23.75,22.690001,23.59,19.05147,2767900
41,2013-07-01,23.67,24.34,23.370001,23.940001,19.466011,325800
42,2013-08-01,24.16,24.299999,22.93,23.459999,19.07571,200400
43,2013-09-01,23.540001,23.75,23.07,23.450001,19.067579,90100
44,2013-10-01,23.35,25.09,23.01,24.77,20.265194,137700
45,2013-11-01,24.75,25.0,24.34,24.700001,20.207928,95300
46,2013-12-01,24.82,25.57,24.23,25.450001,20.821526,109300
