,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-02-11,30.290001,30.299999,30.290001,30.299999,28.831942,300
1,2019-02-18,30.33,30.48,30.309999,30.48,29.003222,16700
2,2019-02-25,30.860001,30.860001,30.370001,30.68,29.193531,45200
3,2019-03-04,30.77,30.860001,30.379999,30.459999,28.984186,40400
4,2019-03-11,30.59,31.07,30.59,31.040001,29.536089,18100
5,2019-03-18,31.08,31.360001,31.0,31.0,29.498026,39300
6,2019-03-25,30.99,31.15,30.870001,30.92,29.421902,14900
7,2019-04-01,31.200001,31.450001,31.110001,31.43,30.081635,50000
8,2019-04-08,31.41,31.48,31.280001,31.48,30.129494,44800
9,2019-04-15,31.450001,31.65,31.42,31.639999,30.282627,26600
10,2019-04-22,31.6,31.85,31.530001,31.799999,30.43576,35100
11,2019-04-29,31.889999,31.9,31.629999,31.82,30.454905,23200
12,2019-05-06,31.59,31.709999,30.969999,31.25,29.909361,38300
13,2019-05-13,30.98,31.43,30.809999,31.209999,29.871073,26900
14,2019-05-20,31.15,31.18,30.889999,31.02,29.689224,15100
15,2019-05-27,31.059999,31.190001,30.73,30.73,29.411667,21500
16,2019-06-03,30.74,31.219999,30.6,31.209999,29.871073,27000
17,2019-06-10,31.26,31.450001,31.23,31.450001,30.10078,19000
18,2019-06-17,31.440001,31.799999,31.440001,31.73,30.368767,16400
19,2019-06-24,31.75,31.76,31.200001,31.280001,29.93807,6200
20,2019-07-01,31.209999,31.75,31.209999,31.58,30.399021,15900
21,2019-07-08,31.469999,31.66,31.42,31.52,30.341265,15800
22,2019-07-15,31.58,31.66,31.469999,31.49,30.312387,17400
23,2019-07-22,31.549999,31.85,31.549999,31.84,30.649296,7500
24,2019-07-29,31.83,31.83,31.190001,31.190001,30.023609,25800
25,2019-08-05,31.49,31.49,30.74,31.16,29.994728,14000
26,2019-08-12,31.08,31.23,30.76,30.799999,29.64819,5700
27,2019-08-19,31.209999,31.34,30.91,30.91,29.754078,9600
28,2019-08-26,31.059999,31.469999,30.950001,31.469999,30.293135,23300
29,2019-09-02,31.370001,31.74,31.35,31.65,30.466404,16700
30,2019-09-09,31.75,32.099998,31.530001,32.049999,30.851444,16700
31,2019-09-16,31.940001,32.23,31.92,32.099998,30.899572,13900
32,2019-09-23,32.040001,32.080002,31.6,31.6,30.418274,12800
33,2019-09-30,31.6,31.6,31.040001,31.469999,30.464983,9000
34,2019-10-07,31.469999,31.6,31.309999,31.6,30.590832,14100
35,2019-10-14,31.620001,31.700001,31.530001,31.530001,30.523069,4100
36,2019-10-21,31.610001,31.709999,31.540001,31.709999,30.697317,6500
37,2019-10-28,31.76,32.23,31.700001,32.139999,31.113586,16700
38,2019-11-04,32.290001,32.52,32.259998,32.52,31.481451,21700
39,2019-11-11,32.400002,32.700001,32.400002,32.689999,31.646021,7900
40,2019-11-18,32.700001,32.84,32.68,32.75,31.704107,7200
41,2019-11-25,32.880001,33.049999,32.880001,32.950001,31.897717,18600
42,2019-12-02,32.91,32.91,32.490002,32.889999,31.839632,20000
43,2019-12-09,32.779999,33.049999,32.73,33.029999,31.975163,20100
44,2019-12-16,33.099998,33.360001,33.07,33.349998,32.284943,14300
45,2019-12-23,33.439999,33.439999,33.139999,33.139999,32.081654,15200
46,2019-12-30,33.09,33.09,32.790001,32.950001,32.109669,15700
47,2020-01-06,32.860001,33.330002,32.860001,33.259998,32.411755,24800
48,2020-01-13,33.330002,33.73,33.299999,33.709999,32.850281,18500
49,2020-01-20,33.77,33.900002,33.619999,33.689999,32.830791,36600
50,2020-01-27,33.380001,33.68,33.150002,33.150002,32.304565,14800
51,2020-02-03,33.310001,34.18,33.310001,34.02,33.152378,13300
52,2020-02-10,34.02,34.380001,34.02,34.220001,33.347279,11100
53,2020-02-17,34.169998,34.299999,33.939999,33.990002,33.123142,12000
54,2020-02-24,33.029999,33.41,31.0,31.52,30.716135,81700
55,2020-03-02,31.719999,32.740002,31.49,31.780001,30.969505,65200
56,2020-03-09,29.34,31.09,27.290001,29.01,28.270149,174200
57,2020-03-16,26.76,27.700001,25.959999,26.280001,25.60977,48900
58,2020-03-23,26.09,28.700001,25.309999,27.75,27.042282,114100
59,2020-03-30,28.26,28.9,27.6,27.68,26.974066,21100
60,2020-04-06,28.41,29.790001,28.41,29.75,28.991276,65800
