,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-04-01,15.6,15.85,15.45,15.83,7.615428,241800
1,2010-05-01,15.86,15.87,14.22,15.27,7.346026,496000
2,2010-06-01,14.86,15.44,14.67,14.73,7.086246,263700
3,2010-07-01,14.8,15.46,14.8,15.44,7.603113,345100
4,2010-08-01,15.44,15.59,15.21,15.34,7.553871,528200
5,2010-09-01,15.4,15.78,15.19,15.52,7.642508,503600
6,2010-10-01,15.52,16.02,15.5,15.96,8.02457,502900
7,2010-11-01,16.040001,16.360001,15.47,15.63,7.858648,596900
8,2010-12-01,15.69,15.91,15.41,15.69,7.888814,506400
9,2011-01-01,15.64,16.059999,15.58,15.87,8.137973,707200
10,2011-02-01,16.02,16.129999,15.81,15.98,8.250277,941500
11,2011-03-01,15.95,16.030001,15.59,15.84,8.233746,986300
12,2011-04-01,15.89,16.09,15.82,16.049999,8.399929,853200
13,2011-05-01,16.049999,16.139999,15.89,16.01,8.434629,719000
14,2011-06-01,15.99,15.99,15.3,15.73,8.342312,708500
15,2011-07-01,15.66,15.89,15.6,15.7,8.383665,680000
16,2011-08-01,15.78,15.78,14.03,15.15,8.143331,1360500
17,2011-09-01,15.16,15.2,14.21,14.22,7.697384,910100
18,2011-10-01,14.17,15.3,13.38,15.15,8.258798,1433700
19,2011-11-01,14.96,15.2,14.17,14.77,8.106789,811400
20,2011-12-01,14.78,15.23,14.69,15.21,8.407381,986100
21,2012-01-01,15.3,15.56,15.08,15.48,8.612369,1604700
22,2012-02-01,15.51,15.72,15.47,15.64,8.756576,1719100
23,2012-03-01,15.62,15.69,15.36,15.39,8.67069,1532000
24,2012-04-01,15.39,15.51,15.19,15.5,8.787871,1536700
25,2012-05-01,15.51,15.61,14.99,14.99,8.552901,1680600
26,2012-06-01,14.93,15.46,14.78,15.43,8.861314,1283800
27,2012-07-01,15.43,15.74,15.43,15.61,9.021032,2155700
28,2012-08-01,15.61,15.75,15.55,15.7,9.129479,1843400
29,2012-09-01,15.66,16.030001,15.59,15.72,9.197346,1684200
30,2012-10-01,15.8,15.97,15.69,15.82,9.309721,1781100
31,2012-11-01,15.79,15.88,15.54,15.84,9.374486,1789800
32,2012-12-01,15.87,16.110001,15.82,16.01,9.529379,1513000
33,2013-01-01,16.16,16.360001,16.01,16.139999,9.660962,1727900
34,2013-02-01,16.110001,16.110001,15.81,15.99,9.622659,2168100
35,2013-03-01,16.030001,16.209999,16.030001,16.1,9.741598,1541800
36,2013-04-01,16.120001,16.32,16.059999,16.309999,9.92205,1466100
37,2013-05-01,16.32,16.48,15.84,15.84,9.687866,2342400
38,2013-06-01,15.87,15.97,15.1,15.48,9.518867,1606000
39,2013-07-01,15.5,16.08,15.26,15.77,9.75101,768900
40,2013-08-01,15.83,15.83,15.45,15.59,9.690908,930400
41,2013-09-01,15.63,15.85,15.4,15.59,9.743239,1134100
42,2013-10-01,15.57,16.09,15.57,15.9,9.99023,931700
43,2013-11-01,15.87,15.98,15.75,15.94,10.068085,839400
44,2013-12-01,15.94,16.01,15.82,15.91,10.102239,860700
45,2014-01-01,15.9,16.360001,15.87,16.059999,10.26803,783700
46,2014-02-01,16.059999,16.27,15.91,16.27,10.455128,1552900
47,2014-03-01,16.209999,16.299999,16.110001,16.16,10.436402,1278900
48,2014-04-01,16.219999,16.379999,16.139999,16.18,10.501665,745300
49,2014-05-01,16.23,16.33,16.16,16.190001,10.560859,722000
50,2014-06-01,16.209999,16.4,16.18,16.290001,10.679056,1733700
51,2014-07-01,16.299999,16.32,15.85,15.88,10.460668,1792500
52,2014-08-01,15.85,16.24,15.7,16.120001,10.670835,904000
53,2014-09-01,16.17,16.17,15.53,15.71,10.450454,697200
54,2014-10-01,15.73,15.98,15.24,15.79,10.554219,1152200
55,2014-11-01,15.76,15.86,15.48,15.67,10.524503,569700
56,2014-12-01,15.5,15.59,14.57,15.14,10.218125,6015700
57,2015-01-01,15.13,15.38,15.01,15.22,10.339789,892000
58,2015-02-01,15.17,15.75,15.16,15.63,10.671125,1034300
59,2015-03-01,15.7,15.7,15.3,15.43,10.585656,669800
60,2015-04-01,15.39,15.65,15.35,15.39,10.610442,825600
61,2015-05-01,15.53,15.56,15.34,15.35,10.634542,426400
62,2015-06-01,15.35,15.44,14.89,15.02,10.457561,1463700
63,2015-07-01,15.03,15.21,14.73,14.8,10.356132,704300
64,2015-08-01,14.85,14.85,14.06,14.45,10.16359,650000
65,2015-09-01,14.44,14.56,13.81,13.88,9.814948,579000
66,2015-10-01,13.96,14.4,13.8,14.2,10.095182,475200
67,2015-11-01,14.25,14.32,13.75,13.81,9.870161,442700
68,2015-12-01,13.85,13.9,13.09,13.42,9.651397,1772900
69,2016-01-01,13.33,13.35,12.5,13.08,9.485084,1171600
70,2016-02-01,13.07,13.25,12.38,13.22,9.638668,818900
71,2016-03-01,13.27,13.78,13.23,13.48,9.881563,1832900
72,2016-04-01,13.45,13.94,13.4,13.92,10.257338,719900
73,2016-05-01,13.89,13.98,13.65,13.9,10.294589,614300
74,2016-06-01,13.86,14.1,13.55,14.0,10.473686,571000
75,2016-07-01,13.98,14.4,13.93,14.21,10.684876,636600
76,2016-08-01,14.11,14.47,14.04,14.38,10.866004,421900
77,2016-09-01,14.35,14.49,14.17,14.41,10.94186,363400
78,2016-10-01,14.41,14.59,14.27,14.27,10.887114,464900
79,2016-11-01,14.32,14.33,13.8,14.25,10.922759,643900
80,2016-12-01,14.19,14.47,14.13,14.41,11.098995,581300
81,2017-01-01,14.42,14.58,14.39,14.54,11.259249,678100
82,2017-02-01,14.55,14.67,14.5,14.64,11.389019,429900
83,2017-03-01,14.7,14.72,14.29,14.53,11.355307,816200
84,2017-04-01,14.53,14.63,14.45,14.63,11.486979,508000
85,2017-05-01,14.64,14.76,14.53,14.72,11.610852,356100
86,2017-06-01,14.74,14.74,14.54,14.6,11.568717,292800
87,2017-07-01,14.55,14.76,14.5,14.68,11.683908,238000
88,2017-08-01,14.69,14.71,14.45,14.61,11.679737,385100
89,2017-09-01,14.57,14.67,14.53,14.62,11.739996,362600
90,2017-10-01,14.63,14.73,14.5,14.54,11.727829,333800
91,2017-11-01,14.6,14.6,14.23,14.39,11.658744,401600
92,2017-12-01,14.36,14.41,14.23,14.26,11.625776,321800
93,2018-01-01,14.3,14.4,14.13,14.2,11.674144,563900
94,2018-02-01,14.15,14.21,13.71,13.94,11.51254,777100
95,2018-03-01,14.0,14.04,13.75,13.79,11.441445,400200
96,2018-04-01,13.85,14.04,13.74,13.83,11.528738,349300
97,2018-05-01,13.85,13.9,13.68,13.71,11.482713,299700
98,2018-06-01,13.73,13.92,13.66,13.66,11.494936,239200
99,2018-07-01,13.65,13.9,13.65,13.83,11.691174,227500
