,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-03-25,14.92,14.92,14.92,14.92,11.34928,2900
1,2013-04-01,14.87,15.14,14.86,15.14,11.516637,20700
2,2013-04-08,15.06,15.06,14.91,15.03,11.432962,49100
3,2013-04-15,15.1,15.25,15.1,15.25,11.600307,87100
4,2013-04-22,15.22,15.25,15.07,15.08,11.470995,15200
5,2013-04-29,15.03,15.04,14.92,14.92,11.385116,43000
6,2013-05-06,14.92,14.92,14.86,14.9,11.369858,12900
7,2013-05-13,14.9,15.14,14.9,15.14,11.552999,906000
8,2013-05-20,15.1,15.15,15.1,15.1,11.522469,853700
9,2013-05-27,15.1,15.1,14.85,14.85,11.331705,1644300
10,2013-06-03,14.85,14.85,14.54,14.54,11.130527,17200
11,2013-06-10,14.61,14.61,14.47,14.57,11.153495,3100
12,2013-06-17,14.57,14.6,14.45,14.6,11.176464,3500
13,2013-06-24,14.45,14.47,14.45,14.47,11.076944,400
14,2013-07-01,14.47,14.47,14.35,14.35,11.019351,4400
15,2013-07-08,14.45,14.48,14.45,14.48,11.119182,1100
16,2013-07-15,14.49,14.55,14.49,14.55,11.172931,2400
17,2013-07-22,14.6,14.6,14.39,14.39,11.050069,13700
18,2013-07-29,14.31,14.37,14.31,14.37,11.069326,1900
19,2013-08-05,14.37,14.49,14.31,14.31,11.023108,26200
20,2013-08-12,14.31,14.31,14.26,14.27,10.992299,2900
21,2013-08-19,14.27,14.27,14.25,14.27,10.992299,5500
22,2013-08-26,14.43,14.5,14.43,14.5,11.169467,500
23,2013-09-02,14.4,14.4,14.11,14.11,10.90305,5200
24,2013-09-09,14.11,14.11,14.05,14.06,10.864411,39700
25,2013-09-16,14.14,14.21,14.03,14.21,10.980323,107900
26,2013-09-23,14.24,14.31,14.21,14.25,11.011233,100100
27,2013-09-30,14.17,14.34,14.17,14.28,11.069315,102200
28,2013-10-07,14.35,14.43,14.29,14.41,11.170092,122100
29,2013-10-14,14.36,14.43,14.33,14.42,11.177836,64700
30,2013-10-21,14.42,14.45,14.42,14.45,11.201093,400
31,2013-10-28,14.45,14.45,14.45,14.45,11.201093,0
32,2013-11-04,14.45,14.57,14.45,14.54,11.306067,5600
33,2013-11-11,14.54,14.54,14.53,14.53,11.298292,300
34,2013-11-18,14.53,14.6,14.53,14.6,11.35272,1600
35,2013-11-25,14.7,14.7,14.7,14.7,11.430478,200
36,2013-12-02,14.7,14.8,14.7,14.73,11.488979,6400
37,2013-12-09,14.8,14.8,14.71,14.71,11.473382,3000
38,2013-12-16,14.77,14.89,14.77,14.89,11.613772,12700
39,2013-12-23,14.85,14.85,14.78,14.79,11.535773,12200
40,2013-12-30,14.79,14.79,14.79,14.79,11.570979,0
41,2014-01-06,14.79,15.24,14.79,15.24,11.923041,1000
42,2014-01-13,15.24,15.33,15.24,15.33,11.993451,9000
43,2014-01-20,15.44,15.66,15.3,15.52,12.142103,20000
44,2014-01-27,15.59,15.71,15.59,15.63,12.228158,16100
45,2014-02-03,15.69,15.69,15.52,15.53,12.187397,22600
46,2014-02-10,15.55,15.62,15.5,15.5,12.163856,52600
47,2014-02-17,15.54,15.66,15.45,15.62,12.258029,4300
48,2014-02-24,15.59,15.8,15.58,15.8,12.399282,264400
49,2014-03-03,15.8,15.8,15.6,15.6,12.280046,9600
50,2014-03-10,15.66,15.74,15.57,15.69,12.35089,16300
51,2014-03-17,15.62,15.75,15.62,15.75,12.398121,1700
52,2014-03-24,15.75,15.75,15.63,15.63,12.303665,1000
53,2014-03-31,15.53,15.53,15.49,15.49,12.23073,25800
54,2014-04-07,15.49,15.63,15.49,15.63,12.341276,2400
55,2014-04-14,15.63,15.69,15.63,15.68,12.38075,1100
56,2014-04-21,15.68,15.68,15.68,15.68,12.38075,0
57,2014-04-28,15.68,15.68,15.56,15.64,12.387088,1700
58,2014-05-05,15.64,15.64,15.5,15.55,12.315806,4300
59,2014-05-12,15.55,15.58,15.55,15.58,12.33957,300
60,2014-05-19,15.62,15.62,15.62,15.62,12.371247,6300
61,2014-05-26,15.62,15.69,15.6,15.6,12.355406,3700
62,2014-06-02,15.68,15.68,15.59,15.6,12.393491,5500
63,2014-06-09,15.6,15.6,15.54,15.54,12.345826,1000
64,2014-06-16,15.5,15.59,15.43,15.43,12.258434,13000
65,2014-06-23,15.36,15.4,15.31,15.38,12.218713,28700
66,2014-06-30,15.31,15.33,15.12,15.12,12.04974,2400
