,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,13.61,13.8,12.38,13.52,12.779769,119800
1,2010-03-01,13.72,14.92,13.61,14.49,13.696659,161900
2,2010-04-01,14.72,15.3,14.25,14.3,13.517063,152700
3,2010-05-01,14.3,14.44,12.6,13.41,12.67579,102400
4,2010-06-01,13.45,15.16,13.25,13.92,13.157868,95100
5,2010-07-01,13.49,14.24,13.4,13.86,13.101151,76500
6,2010-08-01,14.29,14.55,13.76,13.99,13.224034,106800
7,2010-09-01,14.25,15.49,14.25,15.39,14.547383,99700
8,2010-10-01,15.5,16.0,15.3,15.44,14.594647,114300
9,2010-11-01,15.64,16.25,15.05,15.09,14.26381,184400
10,2010-12-01,15.3,15.47,14.61,15.16,14.329977,124900
11,2011-01-01,15.39,15.39,13.3,13.5,12.87391,321600
12,2011-02-01,13.2,13.66,12.68,13.15,12.540142,415400
13,2011-03-01,13.4,14.14,13.0,14.09,13.436548,452100
14,2011-04-01,14.1,14.3,13.31,13.57,12.940665,137400
15,2011-05-01,13.48,13.57,12.55,12.75,12.158693,93300
16,2011-06-01,12.79,13.0,12.11,12.98,12.378027,72800
17,2011-07-01,12.99,13.3,12.4,12.41,11.834461,46800
18,2011-08-01,12.51,12.51,10.44,11.42,10.890375,192200
19,2011-09-01,11.31,11.58,10.55,10.75,10.251445,67600
20,2011-10-01,10.62,12.01,10.01,11.61,11.071564,167700
21,2011-11-01,11.41,11.68,10.01,10.54,10.051188,79300
22,2011-12-01,10.62,10.87,9.48,9.65,9.202461,40200
23,2012-01-01,9.95,11.37,9.87,11.03,10.611906,32000
24,2012-02-01,11.29,12.02,11.14,11.5,11.064092,42400
25,2012-03-01,11.41,11.62,10.93,11.31,10.881294,51200
26,2012-04-01,11.36,11.4,10.8,10.94,10.525319,15000
27,2012-05-01,11.0,11.0,9.74,9.87,9.495875,27300
28,2012-06-01,9.76,10.67,9.53,10.67,10.265554,24400
29,2012-07-01,10.74,10.76,10.18,10.42,10.02503,19500
30,2012-08-01,10.47,11.0,10.42,10.42,10.02503,15400
31,2012-09-01,10.45,11.58,10.44,11.47,11.035229,18600
32,2012-10-01,11.6,11.86,11.04,11.04,10.621529,13900
33,2012-11-01,11.39,11.61,10.85,11.61,11.169921,18700
34,2012-12-01,11.7,11.81,11.55,11.7,11.256513,30700
35,2013-01-01,11.69,13.03,11.69,12.63,12.217042,25600
36,2013-02-01,12.63,12.7,12.07,12.22,11.820449,18600
37,2013-03-01,12.06,12.71,11.7,11.7,11.317452,11900
38,2013-04-01,11.74,12.17,11.2,11.91,11.520582,23000
39,2013-05-01,11.91,12.53,11.76,12.14,11.743065,24200
40,2013-06-01,11.78,11.83,10.56,11.26,10.891836,92100
41,2013-07-01,11.32,11.4,10.64,10.64,10.292109,7100
42,2013-08-01,10.75,10.84,9.43,9.45,9.141018,19800
43,2013-09-01,9.39,11.0,9.37,10.5,10.156686,16000
44,2013-10-01,10.5,12.0,10.5,11.99,11.597968,18700
45,2013-11-01,11.99,12.05,11.29,11.94,11.549604,33600
46,2013-12-01,12.0,12.74,12.0,12.36,11.95587,26700
47,2014-01-01,11.98,13.03,11.98,12.06,11.736553,21000
48,2014-02-01,12.0,12.91,11.83,12.91,12.563756,200000
49,2014-03-01,12.65,13.99,12.62,13.99,13.61479,38900
50,2014-04-01,13.99,14.3,13.8,13.91,13.536936,33200
51,2014-05-01,13.91,16.02,13.79,15.27,14.860462,203800
52,2014-06-01,15.61,16.309999,15.11,15.5,15.084293,141500
53,2014-07-01,15.77,16.120001,15.32,15.78,15.356784,84200
54,2014-08-01,15.48,16.719999,15.48,16.57,16.125593,138400
55,2014-09-01,16.83,17.190001,15.75,16.1,15.668201,135600
56,2014-10-01,15.97,17.76,15.7,17.75,17.273951,412500
57,2014-11-01,17.790001,18.379999,17.59,18.379999,17.887051,221300
58,2014-12-01,18.280001,18.280001,16.25,17.059999,16.602455,176600
59,2015-01-01,17.280001,20.99,16.9,20.299999,19.800167,309600
60,2015-02-01,20.48,20.48,19.08,20.120001,19.624603,608700
61,2015-03-01,20.440001,20.780001,18.360001,19.32,18.844297,466400
62,2015-04-01,19.42,19.98,17.52,17.549999,17.11788,427800
63,2015-05-01,17.6,18.73,17.110001,18.68,18.220058,253300
64,2015-06-01,18.82,18.950001,17.59,18.879999,18.415131,514300
