,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-11-19,15.31,15.31,15.31,15.31,13.159945,3300
1,2012-11-26,15.26,15.55,15.23,15.55,13.366242,8000
2,2012-12-03,15.6,15.64,15.44,15.61,13.417814,5400
3,2012-12-10,15.61,15.9,15.61,15.9,13.667087,300
4,2012-12-17,15.89,15.96,15.8,15.96,13.718665,5100
5,2012-12-24,15.96,15.96,15.96,15.96,13.718665,0
6,2012-12-31,15.96,16.530001,15.96,16.530001,14.217525,2200
7,2013-01-07,16.610001,16.85,16.610001,16.83,14.475555,10000
8,2013-01-14,16.860001,17.26,16.860001,17.25,14.836801,6200
9,2013-01-21,17.32,17.32,17.18,17.26,14.845396,7500
10,2013-01-28,17.27,17.299999,17.110001,17.17,14.767992,4200
11,2013-02-04,17.25,17.389999,17.139999,17.389999,14.957211,3500
12,2013-02-11,17.49,17.66,17.469999,17.629999,15.163636,3500
13,2013-02-18,17.65,17.709999,17.65,17.67,15.198044,2200
14,2013-02-25,17.59,17.620001,17.459999,17.459999,15.01742,1600
15,2013-03-04,17.459999,17.75,17.459999,17.610001,15.14644,8300
16,2013-03-11,17.629999,17.75,17.629999,17.75,15.266855,8400
17,2013-03-18,17.790001,17.790001,17.790001,17.790001,15.30125,400
18,2013-03-25,17.790001,17.790001,17.48,17.59,15.129235,1400
19,2013-04-01,17.57,17.59,17.139999,17.139999,14.821335,4100
20,2013-04-08,17.139999,17.139999,17.139999,17.139999,14.821335,0
21,2013-04-15,17.51,17.51,17.1,17.16,14.838631,183800
22,2013-04-22,17.16,17.389999,17.139999,17.360001,15.011574,2600
23,2013-04-29,17.360001,17.58,17.360001,17.58,15.201817,2000
24,2013-05-06,17.58,17.58,17.4,17.549999,15.175874,14300
25,2013-05-13,17.41,17.799999,17.389999,17.799999,15.392054,59600
26,2013-05-20,17.790001,18.110001,17.66,17.719999,15.322876,4400
27,2013-05-27,17.719999,17.99,17.719999,17.99,15.556344,200
28,2013-06-03,17.99,17.99,17.99,17.99,15.556344,0
29,2013-06-10,17.639999,17.639999,17.120001,17.120001,14.804041,1100
30,2013-06-17,17.120001,17.42,17.120001,17.200001,14.873217,4400
31,2013-06-24,16.85,17.27,16.85,17.27,14.933748,800
32,2013-07-01,17.610001,17.610001,17.610001,17.610001,15.314097,600
33,2013-07-08,17.610001,17.83,17.610001,17.83,15.505416,1000
34,2013-07-15,17.83,18.15,17.83,18.1,15.740214,3200
35,2013-07-22,18.040001,18.07,17.92,17.92,15.583676,1200
36,2013-07-29,17.92,18.17,17.92,18.17,15.801086,2200
37,2013-08-05,18.059999,18.059999,17.969999,17.969999,15.627159,800
38,2013-08-12,17.870001,17.879999,17.870001,17.879999,15.548897,4600
39,2013-08-19,17.85,17.92,17.85,17.92,15.583676,1200
40,2013-08-26,17.92,17.92,17.85,17.9,15.566289,800
41,2013-09-02,18.0,18.290001,17.940001,18.290001,15.905439,3100
42,2013-09-09,18.290001,18.629999,18.290001,18.610001,16.183723,9100
43,2013-09-16,18.68,18.85,18.68,18.84,16.383736,4300
44,2013-09-23,18.85,19.08,18.85,18.92,16.453306,14000
45,2013-09-30,18.780001,19.24,18.76,19.24,16.833256,5800
46,2013-10-07,19.200001,19.34,19.040001,19.32,16.903244,2000
47,2013-10-14,19.309999,19.809999,19.23,19.809999,17.331951,5900
48,2013-10-21,19.889999,20.120001,19.889999,20.120001,17.603174,13800
49,2013-10-28,20.18,20.57,20.120001,20.540001,17.970636,10400
50,2013-11-04,20.68,20.709999,20.540001,20.65,18.066874,30700
51,2013-11-11,20.65,21.1,20.65,21.1,18.460588,7800
52,2013-11-18,21.200001,21.290001,21.110001,21.290001,18.626818,15800
53,2013-11-25,21.370001,21.559999,21.200001,21.549999,18.854298,6000
54,2013-12-02,21.549999,21.690001,21.43,21.690001,18.976782,11000
55,2013-12-09,21.629999,21.690001,21.309999,21.35,18.679317,8700
56,2013-12-16,21.57,21.620001,21.450001,21.620001,18.915543,7000
57,2013-12-23,21.58,21.66,21.5,21.65,18.941782,2500
58,2013-12-30,21.690001,21.77,21.51,21.58,18.981508,22700
59,2014-01-06,21.639999,21.93,21.57,21.91,19.27177,15300
60,2014-01-13,21.91,21.99,21.77,21.82,19.19261,20000
61,2014-01-20,21.92,21.99,21.41,21.41,18.831976,26900
62,2014-01-27,21.23,21.23,20.879999,21.139999,18.594488,13600
63,2014-02-03,21.190001,21.43,20.879999,21.4,18.823177,10700
64,2014-02-10,21.42,21.42,21.0,21.299999,18.735224,6400
65,2014-02-17,21.25,21.450001,21.16,21.450001,18.867168,5800
66,2014-02-24,21.459999,21.84,21.459999,21.82,19.19261,8900
67,2014-03-03,21.67,21.91,21.540001,21.91,19.27177,7200
68,2014-03-10,21.9,21.950001,21.700001,21.799999,19.175024,5000
69,2014-03-17,21.83,22.17,21.83,21.98,19.333345,3600
70,2014-03-24,22.0,22.0,21.700001,21.700001,19.087061,1900
71,2014-03-31,21.879999,22.66,21.879999,22.66,20.023439,8800
72,2014-04-07,22.530001,22.530001,22.0,22.0,19.440235,6200
73,2014-04-14,22.15,22.370001,22.07,22.370001,19.767191,3600
74,2014-04-21,22.370001,22.469999,22.370001,22.440001,19.829039,1200
75,2014-04-28,22.4,22.82,22.27,22.82,20.164829,3500
76,2014-05-05,22.809999,22.809999,22.32,22.32,19.723005,1100
77,2014-05-12,22.299999,22.5,22.08,22.08,19.510925,5900
78,2014-05-19,22.1,22.219999,22.09,22.219999,19.63463,2800
79,2014-05-26,22.26,22.49,22.26,22.389999,19.784859,4000
80,2014-06-02,22.370001,23.129999,22.370001,23.08,20.394571,2200
81,2014-06-09,23.129999,23.290001,22.74,22.75,20.102972,5200
82,2014-06-16,22.85,23.049999,22.84,22.84,20.182501,6100
83,2014-06-23,22.84,22.950001,22.620001,22.74,20.094137,2700
84,2014-06-30,22.91,23.200001,22.9,23.200001,20.590332,4400
85,2014-07-07,23.129999,23.129999,22.65,22.790001,20.226448,2600
86,2014-07-14,22.84,22.84,22.74,22.83,20.261951,2900
87,2014-07-21,22.9,23.110001,22.9,23.02,20.430582,4300
88,2014-07-28,23.040001,23.059999,22.48,22.48,19.951315,4800
89,2014-08-04,22.48,22.5,22.4,22.440001,19.915817,3000
90,2014-08-11,22.440001,22.719999,22.290001,22.290001,19.782696,1900
91,2014-08-18,22.290001,22.76,22.290001,22.76,20.199825,2800
92,2014-08-25,22.860001,22.950001,22.860001,22.870001,20.297453,1600
93,2014-09-01,23.1,23.120001,22.959999,22.959999,20.377323,4300
94,2014-09-08,22.959999,22.959999,22.83,22.85,20.279697,2900
95,2014-09-15,22.889999,22.9,22.889999,22.9,20.324078,1200
96,2014-09-22,22.4,22.4,21.950001,21.950001,19.480938,5700
97,2014-09-29,22.059999,22.209999,21.549999,21.66,19.310545,16800
98,2014-10-06,21.82,21.82,20.360001,20.360001,18.151548,4900
99,2014-10-13,20.24,21.0,19.719999,20.9,18.632978,79200
100,2014-10-20,20.860001,21.469999,20.83,21.41,19.087658,13100
101,2014-10-27,21.540001,21.719999,21.370001,21.719999,19.364029,4500
102,2014-11-03,21.719999,21.719999,21.200001,21.58,19.239222,10600
103,2014-11-10,21.620001,21.68,21.549999,21.549999,19.212469,6500
104,2014-11-17,21.91,22.18,21.9,22.09,19.693901,11000
