,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-02-01,78.720001,86.459999,75.419998,84.480003,84.480003,80733
1,2010-03-01,85.139999,89.639999,84.18,88.440002,88.440002,80116
2,2010-04-01,89.339996,98.519997,89.040001,97.800003,97.800003,121399
3,2010-05-01,99.0,105.300003,89.459999,97.199997,97.199997,172648
4,2010-06-01,96.900002,103.5,94.440002,98.160004,98.160004,173081
5,2010-07-01,94.919998,96.059998,90.059998,93.720001,93.720001,84549
6,2010-08-01,93.779999,114.599998,93.779999,113.279999,113.279999,94850
7,2010-09-01,114.540001,123.0,111.360001,119.519997,119.519997,141033
8,2010-10-01,120.900002,127.800003,117.0,127.139999,127.139999,133400
9,2010-11-01,128.699997,142.919998,124.379997,139.440002,139.440002,251383
10,2010-12-01,141.240005,151.740005,136.619995,141.360001,141.360001,146018
11,2011-01-01,140.100006,140.100006,119.160004,125.099998,125.099998,170499
12,2011-02-01,127.139999,142.380005,126.18,136.5,136.5,207834
13,2011-03-01,137.520004,144.0,126.660004,136.979996,136.979996,164885
14,2011-04-01,136.259995,143.759995,134.339996,140.220001,140.220001,81684
15,2011-05-01,138.720001,139.800003,118.800003,130.259995,130.259995,72816
16,2011-06-01,129.419998,131.580002,111.900002,119.400002,119.400002,108151
17,2011-07-01,119.699997,135.839996,119.099998,125.400002,125.400002,87284
18,2011-08-01,130.380005,138.839996,116.639999,137.279999,137.279999,126498
19,2011-09-01,136.740005,145.860001,106.800003,109.5,109.5,200567
20,2011-10-01,113.279999,123.120003,101.220001,119.099998,119.099998,119735
21,2011-11-01,115.080002,126.839996,107.879997,117.720001,117.720001,120884
22,2011-12-01,117.419998,118.5,94.860001,101.699997,101.699997,172450
23,2012-01-01,104.160004,121.68,104.160004,120.120003,120.120003,67583
24,2012-02-01,120.720001,122.279999,110.519997,114.779999,114.779999,85435
25,2012-03-01,115.32,116.639999,97.5,101.760002,101.760002,127451
26,2012-04-01,101.879997,104.400002,86.940002,94.019997,94.019997,79599
27,2012-05-01,94.739998,96.599998,72.239998,82.919998,82.919998,132233
28,2012-06-01,84.239998,95.040001,77.639999,81.300003,81.300003,106516
29,2012-07-01,82.800003,86.580002,75.419998,78.599998,78.599998,60251
30,2012-08-01,77.82,91.019997,76.68,88.559998,88.559998,65483
31,2012-09-01,89.459999,102.839996,87.660004,99.779999,99.779999,102133
32,2012-10-01,100.5,101.459999,94.080002,99.540001,99.540001,77634
33,2012-11-01,99.599998,99.959999,85.800003,87.0,87.0,77467
34,2012-12-01,88.139999,88.800003,80.699997,84.480003,84.480003,107216
35,2013-01-01,86.760002,86.760002,75.900002,76.800003,76.800003,72101
36,2013-02-01,78.300003,78.599998,65.639999,67.32,67.32,87450
37,2013-03-01,67.260002,69.599998,63.060001,66.059998,66.059998,73151
38,2013-04-01,66.120003,66.120003,44.400002,51.0,51.0,138752
39,2013-05-01,50.279999,51.540001,43.5,50.939999,50.939999,102483
40,2013-06-01,51.540001,53.580002,37.740002,42.119999,42.119999,117619
41,2013-07-01,44.279999,51.599998,40.799999,47.880001,47.880001,118333
42,2013-08-01,48.599998,60.0,42.84,53.700001,53.700001,490800
43,2013-09-01,54.900002,54.900002,45.240002,45.599998,45.599998,372049
44,2013-10-01,44.880001,49.259998,41.34,45.299999,45.299999,247217
45,2013-11-01,44.880001,44.880001,35.880001,38.34,38.34,101417
46,2013-12-01,37.619999,38.52,34.560001,36.900002,36.900002,233133
47,2014-01-01,37.919998,45.0,37.919998,43.200001,43.200001,242648
48,2014-02-01,43.560001,51.959999,42.84,49.380001,49.380001,203347
49,2014-03-01,50.939999,55.860001,43.919998,44.759998,44.759998,209000
50,2014-04-01,44.82,47.16,42.48,44.880001,44.880001,90283
51,2014-05-01,44.580002,46.560001,40.080002,40.98,40.98,63001
52,2014-06-01,40.919998,52.799999,40.139999,51.959999,51.959999,122650
53,2014-07-01,51.66,54.060001,48.360001,48.84,48.84,136851
54,2014-08-01,49.32,52.02,47.939999,51.0,51.0,115000
55,2014-09-01,49.68,50.16,40.139999,40.139999,40.139999,137318
56,2014-10-01,40.560001,42.540001,30.24,31.559999,31.559999,154132
57,2014-11-01,31.559999,39.48,29.700001,34.259998,34.259998,172382
58,2014-12-01,35.099998,38.939999,32.34,35.939999,35.939999,140366
59,2015-01-01,35.52,45.900002,34.919998,43.68,43.68,312299
60,2015-02-01,43.380001,44.040001,38.099998,40.200001,40.200001,102667
61,2015-03-01,40.68,40.68,32.459999,34.919998,34.919998,73419
62,2015-04-01,35.759998,37.98,35.52,36.66,36.66,86134
63,2015-05-01,36.48,39.360001,36.060001,37.860001,37.860001,28435
64,2015-06-01,38.16,38.580002,35.099998,35.459999,35.459999,32368
65,2015-07-01,35.279999,36.540001,26.700001,28.799999,28.799999,137868
66,2015-08-01,28.68,35.040001,27.42,29.82,29.82,122050
67,2015-09-01,30.42,31.5,26.879999,29.4,29.4,52417
68,2015-10-01,29.34,35.52,28.440001,31.08,31.08,66116
69,2015-11-01,30.719999,31.5,27.24,29.280001,29.280001,80319
70,2015-12-01,29.34,31.92,29.34,29.58,29.58,76432
71,2016-01-01,30.719999,34.860001,26.16,29.879999,29.879999,111916
72,2016-02-01,30.360001,40.740002,29.700001,39.599998,39.599998,252665
73,2016-03-01,40.139999,44.400002,37.560001,40.080002,40.080002,240685
74,2016-04-01,39.0,53.040001,38.82,52.860001,52.860001,157434
75,2016-05-01,53.52,56.700001,46.799999,49.5,49.5,343167
76,2016-06-01,49.439999,64.080002,48.119999,61.380001,61.380001,416214
77,2016-07-01,64.440002,72.0,60.540001,69.18,69.18,441684
78,2016-08-01,71.099998,71.279999,57.779999,58.380001,58.380001,451502
79,2016-09-01,58.02,67.860001,57.66,59.82,59.82,383585
80,2016-10-01,59.52,60.060001,50.52,56.400002,56.400002,289366
81,2016-11-01,57.66,60.48,47.040001,48.84,48.84,417917
82,2016-12-01,48.540001,52.139999,41.82,48.599998,48.599998,284200
83,2017-01-01,48.66,56.34,48.66,54.900002,54.900002,498650
84,2017-02-01,54.240002,62.400002,51.119999,52.080002,52.080002,314401
85,2017-03-01,51.240002,55.740002,47.639999,53.279999,53.279999,373249
86,2017-04-01,53.220001,56.220001,47.700001,49.860001,49.860001,301034
87,2017-05-01,49.259998,52.32,45.240002,47.939999,47.939999,152018
88,2017-06-01,47.400002,54.060001,47.220001,51.66,51.66,219417
89,2017-07-01,50.400002,51.84,48.779999,51.060001,51.060001,79601
90,2017-08-01,50.880001,58.080002,48.84,58.080002,58.080002,112669
91,2017-09-01,58.32,59.82,54.0,54.299999,54.299999,93949
92,2017-10-01,54.0,58.02,52.619999,52.919998,52.919998,75515
93,2017-11-01,53.279999,53.400002,50.700001,51.299999,51.299999,48251
94,2017-12-01,51.0,55.68,48.599998,54.360001,54.360001,115551
95,2018-01-01,55.080002,57.360001,51.299999,52.799999,52.799999,180250
96,2018-02-01,52.380001,54.0,48.599998,51.0,51.0,121432
97,2018-03-01,50.400002,55.919998,50.220001,53.580002,53.580002,101084
98,2018-04-01,53.880001,55.200001,52.200001,54.48,54.48,48449
99,2018-05-01,54.360001,56.639999,51.720001,53.099998,53.099998,63601
100,2018-06-01,52.98,54.599998,52.740002,53.279999,53.279999,63418
101,2018-07-01,53.880001,55.200001,50.459999,51.299999,51.299999,57049
102,2018-08-01,51.66,51.66,42.540001,44.099998,44.099998,107501
103,2018-09-01,43.799999,43.98,39.900002,40.439999,40.439999,89652
104,2018-10-01,40.259998,44.639999,39.060001,39.240002,39.240002,113782
105,2018-11-01,40.02,40.919998,36.84,37.560001,37.560001,50198
106,2018-12-01,38.34,44.220001,37.860001,44.16,44.16,59766
107,2019-01-01,44.220001,46.689999,40.619999,46.619999,46.619999,104016
108,2019-02-01,46.52,49.48,45.299999,47.049999,47.049999,134300
