,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-26,20.950001,21.17,20.950001,21.16,19.154394,33400
1,2016-10-03,21.08,21.26,20.530001,20.58,18.62937,7600
2,2016-10-10,20.610001,20.65,20.4,20.620001,18.665577,12500
3,2016-10-17,20.57,20.780001,20.52,20.719999,18.756096,9300
4,2016-10-24,20.790001,20.790001,20.459999,20.5,18.556953,15200
5,2016-10-31,20.5,20.5,19.98,19.98,18.086233,9800
6,2016-11-07,20.290001,20.360001,19.76,19.76,17.887094,66000
7,2016-11-14,19.639999,19.959999,19.620001,19.77,17.896145,36100
8,2016-11-21,19.889999,20.07,19.860001,20.040001,18.140558,33000
9,2016-11-28,20.040001,20.16,19.83,19.860001,17.977613,18500
10,2016-12-05,19.92,20.459999,19.9,20.440001,18.502642,50500
11,2016-12-12,20.4,20.66,20.34,20.459999,18.520742,10800
12,2016-12-19,20.610001,20.860001,20.559999,20.559999,18.611261,16400
13,2016-12-26,20.65,20.75,20.540001,20.709999,18.847443,3700
14,2017-01-02,20.889999,20.99,20.77,20.99,19.102264,23600
15,2017-01-09,20.93,21.1,20.889999,20.93,19.047659,26300
16,2017-01-16,20.889999,20.98,20.76,20.92,19.038559,18100
17,2017-01-23,20.75,20.879999,20.67,20.860001,18.983952,53400
18,2017-01-30,20.790001,20.84,20.559999,20.799999,18.929348,27200
19,2017-02-06,20.75,21.209999,20.690001,21.209999,19.302477,17200
20,2017-02-13,21.23,21.23,21.040001,21.040001,19.147766,13800
21,2017-02-20,21.27,21.370001,21.219999,21.25,19.338881,13700
22,2017-02-27,21.25,21.530001,21.200001,21.389999,19.466291,81000
23,2017-03-06,21.32,21.42,21.27,21.299999,19.384386,23500
24,2017-03-13,21.4,21.57,21.299999,21.57,19.630104,11000
25,2017-03-20,21.58,21.610001,21.385,21.57,19.630104,186800
26,2017-03-27,21.530001,21.629999,21.530001,21.629999,19.684704,42400
27,2017-04-03,21.74,21.950001,21.610001,21.950001,20.078173,20200
28,2017-04-10,21.9,21.99,21.83,21.85,19.986702,7000
29,2017-04-17,21.99,22.0,21.67,21.74,19.886082,12500
30,2017-04-24,22.059999,22.17,22.0,22.0,20.123913,10000
31,2017-05-01,22.09,22.59,22.049999,22.59,20.663599,11600
32,2017-05-08,22.49,22.75,22.49,22.690001,20.75507,4900
33,2017-05-15,22.690001,22.74,22.530001,22.700001,20.764215,34800
34,2017-05-22,22.860001,22.959999,22.77,22.9,20.947161,7100
35,2017-05-29,22.969999,23.26,22.889999,23.26,21.276464,24000
36,2017-06-05,23.23,23.23,22.889999,22.889999,20.938019,34300
37,2017-06-12,22.889999,23.08,22.74,22.950001,20.992905,25600
38,2017-06-19,23.17,23.17,22.9,22.9,20.947161,42100
39,2017-06-26,22.969999,22.969999,22.219999,22.219999,20.32515,18000
40,2017-07-03,22.15,22.15,21.950001,22.040001,20.257515,9800
41,2017-07-10,21.98,22.219999,21.98,22.209999,20.413761,15500
42,2017-07-17,22.25,22.33,22.110001,22.26,20.459715,14500
43,2017-07-24,22.16,22.299999,22.129999,22.23,20.432144,19800
