,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-26,21.870001,21.950001,21.6,21.74,20.029921,55200
1,2016-10-03,21.700001,21.700001,21.049999,21.18,19.513969,236600
2,2016-10-10,21.309999,21.309999,20.99,21.190001,19.523186,30500
3,2016-10-17,21.120001,21.209999,21.09,21.09,19.431047,19700
4,2016-10-24,21.209999,21.24,20.9,20.93,19.283638,53600
5,2016-10-31,21.01,21.08,20.620001,20.66,19.034874,68200
6,2016-11-07,20.82,21.059999,20.6,20.629999,19.007233,137100
7,2016-11-14,20.65,20.92,20.57,20.77,19.136219,33100
8,2016-11-21,20.870001,21.110001,20.870001,21.07,19.412622,38500
9,2016-11-28,21.120001,21.26,20.700001,20.84,19.200714,42300
10,2016-12-05,20.809999,21.299999,20.809999,21.299999,19.624531,42400
11,2016-12-12,21.09,21.530001,21.09,21.43,19.744308,27600
12,2016-12-19,21.51,21.610001,21.309999,21.309999,19.633739,37700
13,2016-12-26,21.5,21.5,21.209999,21.280001,19.711987,7300
14,2017-01-02,21.25,21.48,21.24,21.459999,19.878717,14800
15,2017-01-09,21.379999,21.379999,21.23,21.290001,19.721247,32200
16,2017-01-16,21.24,21.469999,20.92,21.35,19.776827,68700
17,2017-01-23,21.309999,21.35,21.25,21.25,19.684195,136200
18,2017-01-30,21.190001,21.49,21.139999,21.43,19.850931,20100
19,2017-02-06,21.41,21.690001,21.379999,21.690001,20.09177,47400
20,2017-02-13,21.690001,21.940001,21.67,21.940001,20.323353,13300
21,2017-02-20,22.040001,22.32,22.02,22.32,20.675354,46000
22,2017-02-27,22.299999,22.35,22.18,22.25,20.610512,40500
23,2017-03-06,22.190001,22.190001,21.969999,22.059999,20.434511,25400
24,2017-03-13,22.1,22.34,22.02,22.290001,20.64756,33100
25,2017-03-20,22.42,22.42,22.110001,22.129999,20.499353,21800
26,2017-03-27,22.07,22.110001,21.950001,22.07,20.443771,41900
27,2017-04-03,21.99,22.110001,21.940001,22.040001,20.515446,52000
28,2017-04-10,22.01,22.190001,21.99,22.040001,20.515446,43100
