,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-09-07,20.360001,20.360001,20.15,20.190001,17.858185,23600
1,2015-09-14,20.15,20.370001,20.15,20.370001,18.017399,93700
2,2015-09-21,19.99,19.99,19.84,19.969999,17.663593,19400
3,2015-09-28,19.860001,20.139999,19.860001,20.139999,17.90357,23500
4,2015-10-05,20.25,20.459999,20.190001,20.190001,17.948015,31900
5,2015-10-12,20.139999,20.43,20.1,20.43,18.161362,46200
6,2015-10-19,20.48,21.059999,20.440001,21.059999,18.721409,77300
7,2015-10-26,20.99,21.120001,20.809999,20.809999,18.499168,12500
8,2015-11-02,20.809999,20.950001,20.809999,20.950001,18.623619,11500
9,2015-11-09,20.84,20.84,20.530001,20.629999,18.339157,15800
10,2015-11-16,20.809999,21.139999,20.790001,21.129999,18.78363,12100
11,2015-11-23,21.190001,21.190001,20.91,21.15,18.801411,17300
12,2015-11-30,21.129999,21.35,21.0,21.190001,18.836975,15100
13,2015-12-07,21.299999,21.43,21.25,21.32,18.952538,154400
14,2015-12-14,21.309999,22.030001,21.24,21.799999,19.379234,28400
15,2015-12-21,22.110001,22.190001,21.809999,22.09,19.637035,12400
16,2015-12-28,22.15,22.35,21.940001,21.940001,19.591984,15100
17,2016-01-04,21.809999,21.809999,21.43,21.5,19.199068,17700
18,2016-01-11,21.51,21.950001,21.370001,21.389999,19.10084,12600
19,2016-01-18,21.6,21.809999,21.1,21.26,18.984751,4800
20,2016-01-25,21.35,21.85,21.27,21.74,19.41338,64600
21,2016-02-01,21.77,21.83,21.440001,21.450001,19.154421,39500
22,2016-02-08,21.42,21.42,20.9,20.92,18.681139,19100
23,2016-02-15,21.280001,21.450001,21.280001,21.41,19.118698,26600
24,2016-02-22,21.49,21.6,21.1,21.1,18.841871,18600
25,2016-02-29,21.0,21.4,20.93,21.200001,18.931175,81300
26,2016-03-07,21.110001,21.379999,20.950001,21.370001,19.082987,72100
27,2016-03-14,21.389999,21.450001,21.15,21.360001,19.074049,50200
28,2016-03-21,21.32,21.5,21.23,21.309999,19.029406,6300
29,2016-03-28,21.4,21.469999,21.040001,21.18,18.913315,38500
30,2016-04-04,21.219999,21.469999,21.200001,21.469999,19.172276,112800
31,2016-04-11,21.51,21.51,21.200001,21.299999,19.020472,62900
32,2016-04-18,21.52,21.540001,21.0,21.08,18.824015,12300
33,2016-04-25,21.049999,21.049999,20.620001,20.719999,18.502542,19000
34,2016-05-02,21.190001,21.389999,20.92,21.389999,19.10084,20600
35,2016-05-09,21.5,21.610001,21.15,21.15,18.886524,9100
36,2016-05-16,21.16,21.41,21.1,21.389999,19.10084,13100
37,2016-05-23,21.530001,21.6,21.35,21.469999,19.172276,43200
38,2016-05-30,21.370001,21.66,21.360001,21.559999,19.252644,100400
39,2016-06-06,21.58,21.58,20.790001,20.809999,18.582912,20000
40,2016-06-13,20.799999,20.91,20.41,20.83,18.600769,26000
41,2016-06-20,21.049999,21.57,20.6,20.6,18.395382,14700
42,2016-06-27,20.389999,21.559999,20.389999,21.48,19.181211,26000
43,2016-07-04,21.309999,21.77,20.969999,21.74,19.508083,11000
44,2016-07-11,21.950001,22.01,21.530001,21.6,19.382458,22600
45,2016-07-18,21.610001,22.040001,21.610001,22.040001,19.777281,12300
46,2016-07-25,22.08,22.219999,22.049999,22.15,19.875988,28300
47,2016-08-01,22.15,22.15,21.780001,22.120001,19.849066,5800
48,2016-08-08,22.209999,22.25,22.02,22.09,19.822151,16300
49,2016-08-15,22.09,22.09,21.66,21.68,19.454247,8100
50,2016-08-22,21.799999,22.1,21.799999,21.84,19.597815,29000
51,2016-08-29,21.870001,21.950001,21.700001,21.860001,19.615761,19000
52,2016-09-05,21.82,22.1,21.780001,21.780001,19.543976,16300
53,2016-09-12,21.799999,22.01,21.76,21.92,19.669605,21600
54,2016-09-19,22.0,22.440001,21.940001,22.370001,20.07341,20400
55,2016-09-26,22.370001,22.4,22.049999,22.190001,19.911882,38700
56,2016-10-03,22.030001,22.120001,21.66,21.700001,19.559628,9300
57,2016-10-10,21.5,21.5,21.1,21.24,19.144997,14700
58,2016-10-17,21.07,21.58,21.07,21.5,19.379353,20600
59,2016-10-24,21.6,21.65,21.440001,21.51,19.388365,28300
60,2016-10-31,21.549999,21.549999,21.4,21.4,19.289217,26100
61,2016-11-07,21.360001,21.5,20.74,20.83,18.775436,37000
62,2016-11-14,20.52,20.690001,20.219999,20.309999,18.306726,72300
63,2016-11-21,20.26,20.52,20.200001,20.48,18.459959,35200
64,2016-11-28,20.360001,20.59,19.99,20.01,18.03632,89400
65,2016-12-05,20.08,20.32,20.08,20.209999,18.216591,65600
66,2016-12-12,20.110001,20.459999,20.1,20.33,18.324759,7400
67,2016-12-19,20.57,20.690001,20.49,20.690001,18.649248,43100
68,2016-12-26,20.65,20.879999,20.620001,20.799999,18.858147,12000
69,2017-01-02,20.780001,20.780001,20.57,20.77,18.830946,8700
70,2017-01-09,20.76,20.780001,20.51,20.620001,18.694948,23300
71,2017-01-16,20.66,21.059999,20.52,21.0,19.039473,27300
72,2017-01-23,20.950001,20.950001,20.6,20.68,18.74935,13200
73,2017-01-30,20.51,20.68,20.48,20.68,18.74935,13400
74,2017-02-06,20.799999,21.030001,20.690001,21.02,19.057608,25700
75,2017-02-13,20.879999,21.0,20.780001,21.0,19.039473,33700
76,2017-02-20,21.049999,21.15,21.0,21.0,19.039473,27600
77,2017-02-27,21.15,21.6,21.15,21.530001,19.519999,40200
78,2017-03-06,21.49,21.67,21.43,21.620001,19.601593,6700
79,2017-03-13,21.700001,21.780001,21.57,21.75,19.719452,18800
80,2017-03-20,21.85,22.059999,21.809999,22.040001,19.982382,25300
