,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-04-08,15.32,15.63,15.32,15.63,13.602926,9700
1,2013-04-15,15.68,15.7,15.6,15.65,13.620332,4500
2,2013-04-22,16.0,16.0,15.75,15.75,13.707362,9900
3,2013-04-29,15.75,15.75,15.58,15.7,13.663845,9400
4,2013-05-06,15.7,15.7,15.55,15.56,13.542005,25200
5,2013-05-13,15.75,16.290001,15.75,16.23,14.125113,6700
6,2013-05-20,16.23,16.5,16.15,16.15,14.055488,12600
7,2013-05-27,16.129999,16.24,15.87,15.87,13.811797,11900
8,2013-06-03,15.8,15.8,15.51,15.68,13.646441,9200
9,2013-06-10,15.84,15.89,15.57,15.75,13.707362,5400
10,2013-06-17,15.82,15.92,15.5,15.75,13.707362,8400
11,2013-06-24,15.75,16.0,15.7,16.0,13.924941,15700
12,2013-07-01,16.040001,16.040001,15.93,15.98,13.974289,11900
13,2013-07-08,15.98,16.43,15.98,16.35,14.297851,6500
14,2013-07-15,16.51,16.65,16.4,16.469999,14.402786,11500
15,2013-07-22,16.48,16.5,16.309999,16.309999,14.262869,10200
16,2013-07-29,16.309999,16.67,16.309999,16.67,14.577687,900
17,2013-08-05,16.610001,16.65,16.559999,16.57,14.49024,3100
18,2013-08-12,16.5,16.5,16.09,16.09,14.070484,10200
19,2013-08-19,16.09,16.32,16.0,16.32,14.271613,6200
20,2013-08-26,16.35,16.35,16.09,16.09,14.070484,1300
21,2013-09-02,16.09,16.120001,16.049999,16.120001,14.096719,1600
22,2013-09-09,16.07,16.110001,15.98,16.110001,14.087975,2600
23,2013-09-16,16.219999,16.379999,16.190001,16.379999,14.324085,2600
24,2013-09-23,16.290001,16.290001,16.059999,16.059999,14.044248,3200
25,2013-09-30,16.059999,16.16,15.85,15.96,14.021356,4300
26,2013-10-07,15.96,16.299999,15.96,16.299999,14.320056,3500
27,2013-10-14,16.27,16.4,16.27,16.4,14.407909,8200
28,2013-10-21,16.639999,17.07,16.49,17.07,14.996525,4900
29,2013-10-28,17.129999,17.129999,17.0,17.07,14.996525,9400
30,2013-11-04,17.07,17.280001,17.07,17.280001,15.18102,3300
31,2013-11-11,17.299999,17.42,17.17,17.4,15.286435,9100
32,2013-11-18,17.370001,17.57,17.35,17.469999,15.347939,12700
33,2013-11-25,17.68,17.690001,17.41,17.48,15.356718,7300
34,2013-12-02,17.440001,17.52,17.299999,17.52,15.391864,6600
35,2013-12-09,17.530001,17.530001,17.17,17.17,15.08438,8500
36,2013-12-16,17.17,17.51,17.17,17.51,15.383081,1400
37,2013-12-23,17.43,17.43,17.389999,17.389999,15.277659,2800
38,2013-12-30,18.540001,18.540001,17.32,17.32,15.282027,3300
39,2014-01-06,17.379999,18.219999,17.370001,18.030001,15.908487,9400
40,2014-01-13,17.870001,18.25,17.83,18.1,15.970246,18400
41,2014-01-20,18.120001,18.299999,18.0,18.0,15.882013,14500
42,2014-01-27,17.959999,18.129999,17.959999,18.110001,15.979078,9400
43,2014-02-03,18.049999,18.049999,17.59,17.77,15.679078,19800
44,2014-02-10,18.049999,18.280001,18.02,18.280001,16.129066,32400
45,2014-02-17,18.200001,18.280001,18.200001,18.280001,16.129066,0
46,2014-02-24,18.700001,18.9,18.700001,18.860001,16.640823,5100
47,2014-03-03,18.82,19.290001,18.74,18.9,16.676115,22300
48,2014-03-10,18.98,19.01,18.870001,18.950001,16.720234,10400
49,2014-03-17,19.09,19.309999,18.98,19.200001,16.940819,11000
50,2014-03-24,19.27,19.27,18.75,18.76,16.552586,10400
51,2014-03-31,18.98,19.049999,18.940001,18.940001,16.783884,8600
52,2014-04-07,18.799999,18.799999,18.57,18.57,16.456003,3600
53,2014-04-14,18.66,19.25,18.66,19.0,16.837053,7900
54,2014-04-21,19.24,19.24,19.049999,19.16,16.978838,6700
55,2014-04-28,19.27,19.32,19.1,19.200001,17.014288,6800
56,2014-05-05,19.1,19.1,18.92,19.049999,16.881359,12100
57,2014-05-12,19.24,19.24,18.98,18.98,16.81933,7700
58,2014-05-19,18.93,19.16,18.91,19.02,16.85478,36600
59,2014-05-26,19.02,19.200001,19.02,19.200001,17.014288,11700
60,2014-06-02,19.299999,19.540001,19.299999,19.540001,17.31558,7200
61,2014-06-09,19.67,19.67,19.129999,19.24,17.049734,5500
62,2014-06-16,19.33,19.559999,19.190001,19.559999,17.333303,9700
63,2014-06-23,19.4,19.42,19.200001,19.200001,17.014288,10000
64,2014-06-30,19.23,19.360001,19.139999,19.190001,17.077536,13400
65,2014-07-07,19.200001,19.35,19.18,19.200001,17.086433,12600
66,2014-07-14,19.299999,19.48,19.24,19.26,17.13983,28100
67,2014-07-21,19.219999,19.41,19.219999,19.41,17.273314,5900
68,2014-07-28,19.48,19.639999,19.290001,19.35,17.219917,19300
69,2014-08-04,19.450001,19.450001,19.370001,19.370001,17.23772,1300
70,2014-08-11,19.530001,19.67,19.5,19.540001,17.389004,8200
71,2014-08-18,19.559999,20.02,19.559999,19.950001,17.753866,11100
72,2014-08-25,19.950001,20.09,19.84,19.889999,17.70048,5600
73,2014-09-01,20.17,20.26,20.02,20.15,17.931852,8400
74,2014-09-08,20.17,20.32,19.959999,20.27,18.038641,9100
75,2014-09-15,20.379999,20.379999,20.17,20.24,18.011946,14900
76,2014-09-22,20.209999,20.42,20.059999,20.25,18.020845,13300
77,2014-09-29,20.299999,20.440001,20.209999,20.27,18.111517,10500
78,2014-10-06,20.5,20.59,20.360001,20.5,18.317022,37000
79,2014-10-13,20.4,20.48,20.0,20.32,18.156193,617900
80,2014-10-20,20.450001,21.049999,20.450001,21.049999,18.808456,72100
81,2014-10-27,21.120001,21.709999,20.99,21.559999,19.264151,133300
82,2014-11-03,21.68,22.25,21.66,21.85,19.523264,119700
83,2014-11-10,22.02,22.120001,21.73,21.73,19.41604,82200
84,2014-11-17,21.860001,22.309999,21.860001,22.0,19.657299,55300
85,2014-11-24,22.1,22.790001,21.969999,22.75,20.327431,72100
86,2014-12-01,22.58,22.790001,22.440001,22.610001,20.202343,84800
87,2014-12-08,22.67,22.870001,22.559999,22.559999,20.157663,0
88,2014-12-15,22.68,22.9,22.530001,22.9,20.461456,0
89,2014-12-22,23.32,23.549999,23.32,23.51,21.006502,9600
90,2014-12-29,23.51,23.709999,23.190001,23.190001,20.793697,0
91,2015-01-05,23.6,23.799999,23.35,23.799999,21.34066,0
92,2015-01-12,24.035,24.18,24.035,24.1,21.609661,0
93,2015-01-19,24.440001,25.379999,24.440001,25.379999,22.757393,0
94,2015-01-26,25.700001,25.84,25.58,25.610001,22.963629,0
95,2015-02-02,25.77,25.790001,25.530001,25.790001,23.125027,0
96,2015-02-09,25.51,25.84,25.209999,25.84,23.169861,0
97,2015-02-16,25.379999,25.52,25.23,25.52,22.882931,0
98,2015-02-23,25.799999,25.93,25.58,25.58,22.936726,0
99,2015-03-02,25.700001,25.74,25.370001,25.370001,22.748426,0
100,2015-03-09,25.290001,25.42,25.290001,25.42,22.793257,0
101,2015-03-16,25.719999,26.370001,25.719999,26.07,23.376095,37900
102,2015-03-23,26.07,26.07,25.219999,25.68,23.026392,17000
103,2015-03-30,25.68,26.129999,25.68,25.91,23.34495,0
104,2015-04-06,25.780001,26.07,25.65,26.0,23.426039,78000
105,2015-04-13,26.0,26.0,24.75,24.91,22.443943,43700
106,2015-04-20,24.91,25.24,24.91,25.18,22.687216,26600
107,2015-04-27,25.200001,25.200001,24.6,24.75,22.299791,22000
108,2015-05-04,24.690001,24.82,24.15,24.15,21.759186,115300
109,2015-05-11,24.620001,24.690001,24.34,24.67,22.227709,23700
110,2015-05-18,24.67,25.18,24.67,25.129999,22.642168,21400
111,2015-05-25,25.309999,25.799999,25.309999,25.41,22.894445,30200
112,2015-06-01,25.41,25.639999,24.92,24.92,22.452959,26600
113,2015-06-08,24.92,24.92,24.639999,24.690001,22.245726,8200
114,2015-06-15,24.690001,25.139999,24.6,25.0,22.525036,15900
115,2015-06-22,25.0,25.110001,24.719999,24.73,22.281767,18700
116,2015-06-29,24.73,24.77,24.73,24.77,22.429464,0
117,2015-07-06,25.0,25.950001,25.0,25.809999,23.371191,20700
118,2015-07-13,25.809999,26.91,25.809999,26.709999,24.18615,23000
119,2015-07-20,26.709999,26.709999,26.389999,26.389999,23.896391,29400
120,2015-07-27,26.389999,27.15,26.389999,27.120001,24.557413,20400
121,2015-08-03,27.120001,27.5,26.940001,27.17,24.602686,93500
122,2015-08-10,27.299999,27.4,26.75,27.4,24.810947,196100
123,2015-08-17,27.4,27.52,26.780001,26.780001,24.249538,162000
124,2015-08-24,26.780001,26.780001,25.77,26.440001,23.941668,37100
125,2015-08-31,26.440001,26.440001,25.5,25.77,23.334972,28200
126,2015-09-07,25.77,26.42,25.67,26.030001,23.57041,67800
127,2015-09-14,26.110001,26.469999,25.959999,26.379999,23.887327,38100
128,2015-09-21,26.379999,26.700001,26.33,26.440001,23.941668,23400
129,2015-09-28,26.440001,26.440001,26.07,26.41,24.037743,13800
130,2015-10-05,26.190001,26.5,26.1,26.299999,23.937624,47100
131,2015-10-12,26.299999,26.620001,26.299999,26.559999,24.174271,21600
132,2015-10-19,26.559999,27.6,26.559999,27.200001,24.756784,125200
133,2015-10-26,27.200001,27.379999,27.030001,27.030001,24.602057,23500
134,2015-11-02,27.030001,27.299999,26.98,27.049999,24.620258,30200
135,2015-11-09,27.049999,27.1,26.52,26.58,24.192476,63700
136,2015-11-16,26.58,27.5,26.58,27.42,24.957022,46600
137,2015-11-23,27.42,27.790001,27.379999,27.780001,25.284681,37000
138,2015-11-30,27.780001,27.780001,27.049999,27.77,25.275591,62000
139,2015-12-07,27.77,28.290001,27.77,27.969999,25.457617,54800
140,2015-12-14,27.969999,29.07,27.969999,28.639999,26.067438,91200
141,2015-12-21,28.709999,29.200001,28.700001,29.01,26.404203,107000
142,2015-12-28,29.17,29.389999,28.870001,28.870001,26.398954,88700
143,2016-01-04,28.549999,29.309999,28.52,28.700001,26.243507,238100
144,2016-01-11,28.76,29.34,28.690001,29.24,26.737288,307100
145,2016-01-18,29.18,29.58,28.49,28.799999,26.334946,440500
146,2016-01-25,29.0,29.25,28.6,29.190001,26.691565,232000
147,2016-02-01,29.25,29.379999,28.370001,28.690001,26.234364,212700
148,2016-02-08,28.459999,28.780001,28.049999,28.440001,26.005756,201500
149,2016-02-15,28.280001,29.030001,28.280001,28.879999,26.408102,157100
150,2016-02-22,28.93,29.209999,28.73,28.75,26.289225,115000
151,2016-02-29,28.809999,28.950001,28.51,28.77,26.307514,223000
152,2016-03-07,28.690001,29.17,28.639999,29.07,26.581835,267700
153,2016-03-14,29.09,29.35,28.58,28.84,26.371525,341800
154,2016-03-21,28.780001,29.34,28.719999,29.26,26.755573,241700
155,2016-03-28,29.18,29.35,28.73,29.33,26.81958,435000
156,2016-04-04,29.43,29.59,29.030001,29.08,26.590982,588800
157,2016-04-11,29.07,29.07,28.43,28.75,26.289225,437700
158,2016-04-18,28.85,28.879999,27.82,28.01,25.612558,368000
159,2016-04-25,27.93,28.26,27.610001,27.82,25.438824,232700
160,2016-05-02,27.889999,29.02,27.879999,28.98,26.49954,141600
161,2016-05-09,29.0,29.389999,28.74,28.98,26.49954,152100
162,2016-05-16,29.02,29.24,28.450001,28.879999,26.408102,226000
163,2016-05-23,28.84,29.139999,28.68,29.08,26.590982,162900
164,2016-05-30,29.17,29.42,29.120001,29.290001,26.783005,251800
165,2016-06-06,29.309999,29.309999,28.66,29.120001,26.627558,243700
166,2016-06-13,29.15,29.700001,29.059999,29.34,26.828726,202200
167,2016-06-20,29.469999,29.790001,29.040001,29.700001,27.157913,174000
168,2016-06-27,29.41,30.59,29.41,30.48,27.871147,183900
169,2016-07-04,30.690001,31.18,30.379999,31.139999,28.614365,399300
170,2016-07-11,31.27,31.440001,30.719999,30.92,28.412201,264000
171,2016-07-18,31.01,31.709999,30.93,31.620001,29.055435,256700
172,2016-07-25,31.690001,31.799999,31.110001,31.280001,28.743008,193500
173,2016-08-01,31.209999,31.27,30.780001,31.110001,28.586798,115800
174,2016-08-08,31.15,31.18,30.700001,30.77,28.274368,168000
175,2016-08-15,30.77,30.77,29.91,30.129999,27.686275,189900
176,2016-08-22,30.209999,30.440001,29.799999,29.860001,27.438179,137000
177,2016-08-29,29.950001,30.34,29.879999,29.98,27.548439,150300
178,2016-09-05,29.99,29.99,29.219999,29.24,26.868465,300700
179,2016-09-12,29.190001,29.85,29.190001,29.83,27.410604,118400
180,2016-09-19,29.889999,30.459999,29.77,30.41,27.943565,221800
181,2016-09-26,30.219999,30.48,29.65,29.809999,27.392231,83300
182,2016-10-03,29.66,29.66,29.049999,29.389999,27.135643,109600
183,2016-10-10,29.299999,29.299999,28.99,29.030001,26.803259,85700
184,2016-10-17,29.0,29.48,28.77,29.43,27.172571,148800
185,2016-10-24,29.469999,29.610001,29.23,29.290001,27.04331,90300
186,2016-10-31,29.299999,29.59,28.83,28.875,26.660141,183800
187,2016-11-07,29.1,29.5,29.01,29.209999,26.969444,160800
188,2016-11-14,29.219999,29.52,29.129999,29.42,27.163342,227400
189,2016-11-21,29.290001,29.879999,29.209999,29.870001,27.578821,179100
190,2016-11-28,29.59,29.92,28.780001,28.950001,26.729391,176000
191,2016-12-05,29.030001,29.360001,28.82,29.360001,27.107943,151700
192,2016-12-12,29.209999,29.98,29.209999,29.879999,27.588057,227600
193,2016-12-19,29.99,30.299999,29.99,30.219999,27.901978,135600
194,2016-12-26,30.23,30.309999,29.870001,29.91,27.748808,114400
195,2017-01-02,30.01,30.01,29.549999,29.700001,27.553982,124300
196,2017-01-09,29.65,29.73,29.1,29.309999,27.192162,108800
197,2017-01-16,29.299999,29.99,29.120001,29.790001,27.63748,141800
198,2017-01-23,29.75,29.76,29.139999,29.209999,27.099384,159700
199,2017-01-30,29.110001,29.27,28.85,29.25,27.136497,139600
200,2017-02-06,29.299999,29.799999,29.280001,29.74,27.591093,98000
201,2017-02-13,29.809999,30.110001,29.629999,30.110001,27.934357,116600
202,2017-02-20,30.129999,30.709999,30.129999,30.690001,28.472443,127400
203,2017-02-27,30.6,31.389999,30.6,31.16,28.908485,103800
204,2017-03-06,31.120001,31.17,30.98,31.07,28.824989,81200
205,2017-03-13,31.1,31.23,30.940001,31.049999,28.806433,119000
206,2017-03-20,31.15,31.15,30.76,31.030001,28.787882,84200
207,2017-03-27,30.780001,31.030001,30.620001,30.76,28.537388,77000
208,2017-04-03,30.809999,31.08,30.75,30.93,28.8349,74500
209,2017-04-10,30.76,30.879999,30.6,30.75,28.667091,49400
210,2017-04-17,30.74,31.360001,30.709999,31.27,29.151871,69600
