,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-03-01,15.36,15.51,15.07,15.48,9.956363,256300
1,2011-04-01,15.54,15.54,15.22,15.41,9.95956,198400
2,2011-05-01,15.48,15.59,15.38,15.5,10.060163,144200
3,2011-06-01,15.55,15.55,15.17,15.3,9.97212,96000
4,2011-07-01,15.3,15.46,15.11,15.2,9.949236,99700
5,2011-08-01,15.28,15.28,14.32,15.06,9.898063,149800
6,2011-09-01,15.09,15.09,14.62,14.73,9.722394,63500
7,2011-10-01,14.69,15.05,14.18,15.05,9.976074,117700
8,2011-11-01,14.9,15.22,14.65,14.9,9.919802,115100
9,2011-12-01,15.05,15.29,14.91,15.2,10.164289,110300
10,2012-01-01,15.3,15.47,15.25,15.43,10.360182,172300
11,2012-02-01,15.47,15.71,15.46,15.67,10.564403,165200
12,2012-03-01,15.66,15.75,15.5,15.57,10.538606,134600
13,2012-04-01,15.56,15.63,15.39,15.62,10.614635,81900
14,2012-05-01,15.7,15.71,15.31,15.38,10.493521,133200
15,2012-06-01,15.33,15.52,15.18,15.5,10.618081,103900
16,2012-07-01,15.63,15.89,15.58,15.83,10.888092,156300
17,2012-08-01,15.87,15.98,15.76,15.85,10.944884,154300
18,2012-09-01,15.83,16.030001,15.79,15.97,11.070752,178100
19,2012-10-01,16.0,16.1,15.9,15.95,11.099922,128200
20,2012-11-01,16.030001,16.07,15.55,15.83,11.059454,208900
21,2012-12-01,15.83,16.07,15.81,15.98,11.208179,119300
22,2013-01-01,16.1,16.360001,16.030001,16.200001,11.406546,296800
23,2013-02-01,16.219999,16.25,16.1,16.209999,11.455705,272300
24,2013-03-01,16.25,16.25,16.08,16.139999,11.448587,256700
25,2013-04-01,16.139999,16.34,16.09,16.34,11.633641,353900
26,2013-05-01,16.370001,16.440001,15.97,15.98,11.419446,439000
27,2013-06-01,16.0,16.0,15.02,15.44,11.074296,357900
28,2013-07-01,15.5,15.8,15.28,15.51,11.168858,195100
29,2013-08-01,15.52,15.53,15.15,15.25,11.023867,199600
30,2013-09-01,15.26,15.54,15.15,15.39,11.168957,116600
31,2013-10-01,15.39,15.88,15.31,15.81,11.518318,225300
32,2013-11-01,15.84,15.85,15.62,15.73,11.503527,103100
33,2013-12-01,15.69,15.82,15.54,15.78,11.583999,72700
34,2014-01-01,15.75,16.0,15.73,15.85,11.679882,112600
35,2014-02-01,15.82,16.15,15.75,16.120001,11.922553,106900
36,2014-03-01,16.1,16.27,16.059999,16.26,12.069578,126300
37,2014-04-01,16.26,16.459999,16.209999,16.450001,12.25067,110800
38,2014-05-01,16.4,16.620001,16.389999,16.51,12.335144,97000
39,2014-06-01,16.51,16.700001,16.51,16.65,12.479534,87000
40,2014-07-01,16.690001,16.82,16.6,16.6,12.481772,103000
41,2014-08-01,16.610001,16.9,16.49,16.83,12.694755,40000
42,2014-09-01,16.85,16.92,16.469999,16.549999,12.52285,76400
43,2014-10-01,16.57,16.629999,16.07,16.59,12.593184,115700
44,2014-11-01,16.59,16.85,16.530001,16.780001,12.77848,108600
45,2014-12-01,16.76,16.76,16.139999,16.6,12.681294,158600
46,2015-01-01,16.67,16.879999,16.440001,16.700001,12.798497,204700
47,2015-02-01,16.67,16.959999,16.67,16.940001,13.023418,151900
48,2015-03-01,16.959999,16.959999,16.540001,16.690001,12.871557,128400
49,2015-04-01,16.690001,16.92,16.67,16.719999,12.935529,97900
50,2015-05-01,16.77,16.790001,16.549999,16.65,12.921899,109200
51,2015-06-01,16.66,16.66,16.17,16.200001,12.612689,171000
52,2015-07-01,16.24,16.51,16.049999,16.299999,12.731439,195600
53,2015-08-01,16.290001,16.35,15.04,15.79,12.373694,148400
54,2015-09-01,15.64,15.83,15.34,15.49,12.18025,114300
55,2015-10-01,15.52,16.16,15.38,15.84,12.498119,90700
56,2015-11-01,15.86,15.9,15.6,15.78,12.492207,185100
57,2015-12-01,15.85,15.87,15.4,15.87,12.605881,102200
58,2016-01-01,15.54,15.69,15.04,15.46,12.321409,92200
59,2016-02-01,15.42,15.47,14.96,15.23,12.180294,92300
60,2016-03-01,15.31,15.76,15.3,15.64,12.55156,100200
61,2016-04-01,15.64,15.67,15.48,15.53,12.503409,122100
62,2016-05-01,15.6,15.77,15.5,15.75,12.721465,80500
63,2016-06-01,15.77,15.85,15.47,15.77,12.819036,72000
64,2016-07-01,15.79,16.129999,15.79,16.07,13.10972,139700
65,2016-08-01,16.07,16.139999,15.96,15.97,13.07356,55300
66,2016-09-01,16.030001,16.110001,15.84,16.030001,13.168595,83200
67,2016-10-01,15.99,16.1,15.83,15.95,13.148609,48800
68,2016-11-01,15.91,16.0,15.68,15.9,13.1534,101600
69,2016-12-01,15.86,16.15,15.81,16.139999,13.398954,111900
70,2017-01-01,16.09,16.200001,15.98,15.99,13.320616,94000
71,2017-02-01,16.030001,16.32,16.0,16.26,13.592649,94900
72,2017-03-01,16.35,16.4,16.25,16.360001,13.723365,158200
73,2017-04-01,16.379999,16.620001,16.370001,16.559999,13.938782,128900
74,2017-05-01,16.68,16.75,16.540001,16.59,14.011301,98900
75,2017-06-01,16.639999,16.700001,16.25,16.25,13.770602,52300
76,2017-07-01,16.290001,16.309999,15.97,16.01,13.613316,112000
77,2017-08-01,16.01,16.200001,15.94,16.08,13.720651,112000
78,2017-09-01,16.040001,16.110001,15.85,16.059999,13.751656,56500
79,2017-10-01,16.110001,16.370001,16.08,16.34,14.04225,137800
80,2017-11-01,16.34,16.41,16.16,16.41,14.15255,122400
81,2017-12-01,16.35,16.51,16.23,16.25,14.064606,198700
82,2018-01-01,16.32,16.4,16.110001,16.120001,14.001671,244300
83,2018-02-01,16.059999,16.08,15.55,16.0,13.946939,186200
84,2018-03-01,15.96,16.139999,15.76,15.9,13.910197,104200
85,2018-04-01,15.85,16.01,15.7,15.9,13.963157,70500
86,2018-05-01,15.86,16.09,15.83,15.92,14.033843,101700
87,2018-06-01,15.95,16.139999,15.91,15.95,14.113081,64700
88,2018-07-01,16.0,16.139999,15.96,16.049999,14.254889,68600
89,2018-08-01,16.09,16.200001,15.95,16.049999,14.308309,58800
90,2018-09-01,16.040001,16.139999,15.94,15.97,14.290181,115400
91,2018-10-01,16.02,16.02,15.36,15.54,13.95759,139300
92,2018-11-01,15.55,15.79,15.45,15.64,14.102136,61200
93,2018-12-01,15.63,15.63,14.95,15.16,13.722246,88500
94,2019-01-01,15.19,15.7,15.1,15.68,14.250084,223200
95,2019-02-01,15.63,15.99,15.63,15.89,14.496511,69800
96,2019-03-01,16.030001,16.209999,15.91,16.08,14.725241,126100
97,2019-04-01,16.190001,16.35,16.129999,16.219999,14.908937,108300
98,2019-05-01,16.26,16.35,15.94,15.94,14.705767,76100
99,2019-06-01,15.93,16.290001,15.88,16.110001,14.918166,66000
100,2019-07-01,16.1,16.309999,16.1,16.139999,15.001476,98300
101,2019-08-01,16.190001,16.190001,15.94,16.110001,15.028978,75600
102,2019-09-01,16.01,16.42,16.01,16.42,15.375623,81000
103,2019-10-01,16.280001,16.540001,16.08,16.290001,15.310109,152300
104,2019-11-01,16.33,16.77,16.299999,16.52,15.583566,74500
105,2019-12-01,16.57,16.620001,16.379999,16.459999,15.583425,64200
106,2020-01-01,16.469999,16.9,16.440001,16.59,15.763414,126000
107,2020-02-01,16.65,16.940001,15.73,15.9,15.162203,171300
108,2020-03-01,15.87,16.360001,12.14,14.1,13.494859,305300
109,2020-04-01,13.97,15.1,13.68,14.89,14.250954,102700
110,2020-05-01,14.78,15.15,14.45,14.97,14.385605,40600
111,2020-06-01,15.14,15.68,15.06,15.21,14.675211,87300
112,2020-07-01,15.25,15.61,15.12,15.37,14.888046,80500
113,2020-08-01,15.41,15.74,15.41,15.51,15.082229,74100
114,2020-09-01,15.5,15.64,15.15,15.38,15.013335,95700
115,2020-10-01,15.38,15.66,14.99,14.99,14.68539,139000
116,2020-11-01,15.18,16.32,15.09,16.030001,15.76073,93100
117,2020-12-01,16.049999,16.299999,16.01,16.129999,15.913141,95100
118,2021-01-01,16.16,16.370001,15.98,15.98,15.819131,106800
119,2021-02-01,15.99,16.32,15.85,16.0,15.892523,88800
120,2021-03-01,16.01,16.530001,15.93,16.41,16.355398,88600
121,2021-04-01,16.450001,16.450001,16.450001,16.450001,16.450001,800
122,2021-04-01,16.450001,16.450001,16.450001,16.450001,16.450001,822
