,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-03-25,15.07,15.08,15.07,15.08,11.92346,21000
1,2013-04-01,15.11,15.19,15.11,15.19,12.010436,52500
2,2013-04-08,15.16,15.2,15.14,15.2,12.01834,18300
3,2013-04-15,15.19,15.24,15.19,15.22,12.03416,20900
4,2013-04-22,15.22,15.22,15.14,15.18,12.002529,18000
5,2013-04-29,15.18,15.24,15.18,15.24,12.088094,1400
6,2013-05-06,15.15,15.15,15.08,15.09,11.969117,12800
7,2013-05-13,15.07,15.08,15.04,15.05,11.937388,24500
8,2013-05-20,15.05,15.05,15.05,15.05,11.937388,0
9,2013-05-27,15.05,15.05,15.05,15.05,11.937388,0
10,2013-06-03,15.05,15.05,14.8,14.8,11.776654,11400
11,2013-06-10,14.79,14.79,14.74,14.77,11.752781,4400
12,2013-06-17,14.84,14.84,14.72,14.72,11.712995,4100
13,2013-06-24,14.72,14.72,14.48,14.49,11.52998,2600
14,2013-07-01,14.49,14.49,14.45,14.45,11.531836,1200
15,2013-07-08,14.51,14.51,14.51,14.51,11.579723,225000
16,2013-07-15,14.51,14.59,14.51,14.59,11.643565,2100
17,2013-07-22,14.59,14.59,14.59,14.59,11.643565,0
18,2013-07-29,14.59,14.59,14.43,14.43,11.549919,1000
19,2013-08-05,14.43,14.5,14.43,14.5,11.605944,400
20,2013-08-12,14.5,14.5,14.35,14.35,11.485886,10700
21,2013-08-19,14.35,14.35,14.27,14.27,11.421854,5200
22,2013-08-26,14.38,14.38,14.35,14.35,11.485886,4100
23,2013-09-02,14.35,14.35,14.21,14.24,11.432025,78000
24,2013-09-09,14.25,14.26,14.17,14.23,11.423998,191500
25,2013-09-16,14.28,14.36,14.19,14.32,11.496248,80300
26,2013-09-23,14.35,14.44,14.35,14.44,11.592584,98000
27,2013-09-30,14.42,14.47,14.4,14.41,11.603105,129900
28,2013-10-07,14.43,14.44,14.38,14.4,11.595053,108800
29,2013-10-14,14.36,14.47,14.34,14.47,11.651418,41700
30,2013-10-21,14.49,14.67,14.48,14.66,11.804403,14800
31,2013-10-28,14.62,14.62,14.55,14.55,11.71583,7300
32,2013-11-04,14.55,14.56,14.52,14.54,11.742226,43600
33,2013-11-11,14.49,14.49,14.49,14.49,11.701839,8300
34,2013-11-18,14.49,14.56,14.49,14.53,11.734145,31500
35,2013-11-25,14.56,14.57,14.54,14.54,11.742226,13300
36,2013-12-02,14.49,14.55,14.46,14.46,11.712254,13800
37,2013-12-09,14.5,14.55,14.46,14.49,11.736548,38700
38,2013-12-16,14.47,14.53,14.47,14.53,11.768948,10000
39,2013-12-23,14.53,14.53,14.42,14.42,11.679852,4400
40,2013-12-30,14.42,14.44,14.4,14.4,11.698275,6900
41,2014-01-06,14.45,14.61,14.45,14.61,11.868876,6400
42,2014-01-13,14.63,14.68,14.61,14.68,11.925738,19400
43,2014-01-20,14.7,14.76,14.66,14.75,11.982605,9600
44,2014-01-27,14.75,14.75,14.7,14.75,11.982605,2900
45,2014-02-03,14.75,14.75,14.68,14.72,11.993199,10400
46,2014-02-10,14.7,14.7,14.66,14.67,11.952456,12700
47,2014-02-17,14.69,14.72,14.68,14.72,11.993199,6700
48,2014-02-24,14.72,14.8,14.71,14.8,12.058376,158200
49,2014-03-03,14.82,14.82,14.66,14.68,11.995649,21500
50,2014-03-10,14.7,14.8,14.68,14.8,12.093705,19100
51,2014-03-17,14.76,14.78,14.67,14.67,11.987474,45400
52,2014-03-24,14.71,14.73,14.68,14.69,12.003822,26300
53,2014-03-31,14.62,14.68,14.62,14.62,11.981667,14700
54,2014-04-07,14.68,14.75,14.67,14.75,12.088211,33500
55,2014-04-14,14.74,14.77,14.72,14.72,12.063622,45600
