,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-25,29.93,29.93,29.58,29.68,27.471304,32000
1,2018-07-02,29.68,29.74,29.68,29.74,27.526836,8000
2,2018-07-09,29.74,29.92,29.74,29.84,27.619392,23500
3,2018-07-16,29.84,29.950001,29.84,29.92,27.693441,20500
4,2018-07-23,29.92,29.92,29.879999,29.879999,27.65642,5600
5,2018-07-30,29.879999,29.950001,29.879999,29.950001,27.721209,3000
6,2018-08-06,29.950001,30.040001,29.950001,30.040001,27.804512,1000
7,2018-08-13,30.040001,30.040001,30.040001,30.040001,27.804512,0
8,2018-08-20,30.040001,30.040001,30.040001,30.040001,27.804512,0
9,2018-08-27,30.040001,30.07,30.040001,30.07,27.832279,2000
10,2018-09-03,30.040001,30.040001,30.030001,30.030001,27.795259,600
11,2018-09-10,30.030001,30.030001,29.99,29.99,27.758232,35200
12,2018-09-17,29.99,29.99,29.98,29.98,27.748976,2000
13,2018-09-24,29.98,29.98,29.73,29.73,27.517582,3000
14,2018-10-01,29.73,29.75,29.620001,29.620001,27.646305,79200
15,2018-10-08,29.620001,29.639999,29.559999,29.620001,27.646305,30000
16,2018-10-15,29.620001,29.690001,29.59,29.6,27.62764,110000
17,2018-10-22,29.6,29.610001,29.58,29.610001,27.636971,14600
18,2018-10-29,29.57,29.57,29.530001,29.530001,27.562305,6600
19,2018-11-05,29.530001,29.65,29.530001,29.58,27.608971,38600
20,2018-11-12,29.58,29.58,29.51,29.51,27.543634,10000
21,2018-11-19,29.51,29.51,29.290001,29.33,27.375629,4400
22,2018-11-26,29.33,29.33,29.32,29.32,27.366297,200
23,2018-12-03,29.32,29.34,29.27,29.33,27.375629,6600
24,2018-12-10,29.23,29.25,29.23,29.24,27.291624,3400
25,2018-12-17,29.370001,29.370001,29.16,29.16,27.216955,8000
26,2018-12-24,29.16,29.16,29.16,29.16,27.216955,0
27,2018-12-31,29.16,29.16,28.950001,28.950001,27.254614,2000
28,2019-01-07,29.0,29.200001,29.0,29.200001,27.489977,2500
29,2019-01-14,29.200001,29.32,29.190001,29.309999,27.593529,13000
30,2019-01-21,29.309999,29.309999,29.309999,29.309999,27.593529,100
31,2019-01-28,29.309999,29.549999,29.309999,29.549999,27.819477,1500
32,2019-02-04,29.549999,29.66,29.549999,29.66,27.923037,1800
33,2019-02-11,29.66,29.66,29.66,29.66,27.923037,0
34,2019-02-18,29.66,29.9,29.66,29.879999,28.13015,9300
35,2019-02-25,29.879999,29.969999,29.879999,29.969999,28.214882,3000
36,2019-03-04,30.040001,30.059999,30.01,30.059999,28.29961,7100
37,2019-03-11,30.059999,30.110001,30.059999,30.110001,28.346685,1200
38,2019-03-18,30.110001,30.309999,30.110001,30.309999,28.534971,2000
39,2019-03-25,30.309999,30.309999,30.110001,30.110001,28.346685,14500
40,2019-04-01,30.1,30.1,30.1,30.1,28.573021,200
41,2019-04-08,30.219999,30.35,30.219999,30.35,28.810335,4700
42,2019-04-15,30.35,30.459999,30.35,30.459999,28.914755,200
43,2019-04-22,30.459999,30.530001,30.459999,30.530001,28.981205,3100
44,2019-04-29,30.530001,30.559999,30.52,30.549999,29.000189,6400
45,2019-05-06,30.559999,30.559999,30.450001,30.459999,28.914755,13500
46,2019-05-13,30.459999,30.49,30.42,30.450001,28.905264,12000
47,2019-05-20,30.459999,30.549999,30.440001,30.549999,29.000189,17200
48,2019-05-27,30.549999,30.549999,30.43,30.48,28.933741,13200
49,2019-06-03,30.48,30.514999,30.4,30.5,28.952728,17400
50,2019-06-10,30.52,30.690001,30.52,30.690001,29.133091,19100
51,2019-06-17,30.66,30.91,30.66,30.91,29.341928,32000
52,2019-06-24,30.91,30.91,30.6,30.67,29.1141,5000
53,2019-07-01,30.6,30.74,30.6,30.74,29.418644,1400
54,2019-07-08,30.74,30.84,30.74,30.77,29.447353,34200
55,2019-07-15,30.77,30.85,30.74,30.83,29.504776,17800
56,2019-07-22,30.9,30.99,30.879999,30.950001,29.619617,36000
57,2019-07-29,30.959999,31.040001,30.9,31.02,29.686609,25500
58,2019-08-05,31.08,31.120001,30.93,30.99,29.657898,14600
59,2019-08-12,31.08,31.139999,31.01,31.059999,29.724886,16600
60,2019-08-19,31.030001,31.17,31.030001,31.17,29.83016,10900
61,2019-08-26,31.200001,31.24,31.15,31.23,29.887581,11700
62,2019-09-02,31.280001,31.280001,31.25,31.25,29.906721,12500
63,2019-09-09,31.200001,31.200001,31.1,31.120001,29.782312,13900
64,2019-09-16,31.07,31.24,31.02,31.190001,29.849302,15700
65,2019-09-23,31.190001,31.209999,30.950001,30.950001,29.619617,6000
66,2019-09-30,30.950001,31.110001,30.950001,31.040001,29.945621,12600
67,2019-10-07,31.030001,31.030001,30.870001,30.870001,29.781614,9800
68,2019-10-14,30.93,31.030001,30.93,31.030001,29.935974,5300
69,2019-10-21,31.01,31.1,30.950001,31.1,30.003508,5100
70,2019-10-28,31.049999,31.23,31.049999,31.23,30.128922,16500
71,2019-11-04,31.129999,31.16,31.049999,31.16,30.06139,6600
72,2019-11-11,31.16,31.16,31.16,31.16,30.06139,0
73,2019-11-18,31.139999,31.190001,31.08,31.1,30.003508,9500
74,2019-11-25,31.110001,31.200001,31.110001,31.190001,30.090332,17300
