,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-05-01,80.300003,81.0,65.050003,73.150002,62.72221,96840
1,2010-06-01,72.849998,77.400002,65.699997,65.849998,56.462849,50180
2,2010-07-01,66.199997,76.449997,64.449997,75.25,64.52285,59300
3,2010-08-01,75.25,78.050003,69.25,73.449997,62.979439,29040
4,2010-09-01,75.349998,88.099998,75.349998,86.949997,74.554985,72740
5,2010-10-01,88.0,95.800003,81.300003,94.699997,81.200195,120740
6,2010-11-01,96.0,102.400002,92.75,98.099998,84.115501,94220
7,2010-12-01,100.050003,113.400002,99.800003,113.300003,97.148705,68920
8,2011-01-01,116.099998,117.949997,109.050003,112.150002,96.37368,105500
9,2011-02-01,112.5,119.650002,110.099998,116.099998,99.768013,64680
10,2011-03-01,116.599998,118.199997,101.25,114.75,98.607918,43460
11,2011-04-01,115.25,122.25,111.0,116.5,100.111732,27200
12,2011-05-01,116.0,117.25,104.0,110.949997,95.342468,20260
13,2011-06-01,109.550003,110.0,96.849998,106.400002,91.432533,22940
14,2011-07-01,107.949997,109.949997,103.0,104.849998,90.100578,15600
15,2011-08-01,104.699997,104.699997,82.349998,93.849998,80.647957,61660
16,2011-09-01,93.800003,94.050003,69.0,69.0,59.293652,56800
17,2011-10-01,67.25,86.949997,62.5,85.300003,73.300705,58000
18,2011-11-01,82.0,86.699997,71.199997,79.900002,68.660332,18980
19,2011-12-01,79.75,83.050003,73.75,75.0,64.449631,17420
20,2012-01-01,76.800003,87.75,76.800003,85.25,73.847946,19600
21,2012-02-01,85.400002,88.150002,83.400002,83.699997,72.505257,18660
22,2012-03-01,83.400002,84.550003,76.800003,78.5,68.000755,24900
23,2012-04-01,78.949997,79.699997,72.150002,75.050003,65.012184,15760
24,2012-05-01,75.25,76.650002,59.950001,60.400002,52.321598,51540
25,2012-06-01,59.950001,63.75,56.950001,59.75,51.75853,33920
26,2012-07-01,60.75,62.25,54.75,57.150002,49.506279,39360
27,2012-08-01,57.5,61.799999,56.200001,59.299999,51.368721,19940
28,2012-09-01,58.900002,69.050003,58.650002,63.900002,55.353474,47060
29,2012-10-01,64.599998,65.650002,62.5,63.400002,54.920353,16020
30,2012-11-01,63.400002,65.400002,60.200001,64.25,55.656662,17380
31,2012-12-01,64.400002,67.699997,63.700001,66.900002,57.952229,29460
32,2013-01-01,69.25,71.25,68.099998,68.099998,59.646439,23080
33,2013-02-01,68.400002,68.849998,62.799999,63.25,55.398499,25880
34,2013-03-01,63.049999,64.449997,61.049999,61.700001,54.040905,16900
35,2013-04-01,61.349998,61.349998,52.25,56.900002,49.836746,35840
36,2013-05-01,56.150002,60.349998,55.25,57.849998,50.668823,8340
37,2013-06-01,58.099998,58.099998,49.599998,51.5,45.107079,10480
38,2013-07-01,51.049999,57.75,51.049999,53.549999,46.902599,11180
39,2013-08-01,53.900002,57.549999,52.299999,56.150002,49.179852,14620
40,2013-09-01,55.599998,60.200001,55.599998,57.400002,50.274681,6080
41,2013-10-01,56.900002,61.799999,56.0,61.049999,53.471592,6980
42,2013-11-01,60.200001,61.5,57.450001,58.650002,51.369514,7680
43,2013-12-01,57.799999,61.75,56.150002,61.650002,53.997112,24240
44,2014-01-01,62.200001,65.599998,59.549999,61.700001,54.665787,15860
45,2014-02-01,60.599998,66.150002,59.400002,64.300003,56.969372,9040
46,2014-03-01,64.099998,66.699997,61.75,63.549999,56.304871,13440
47,2014-04-01,63.950001,66.5,63.450001,66.199997,58.65276,6080
48,2014-05-01,66.199997,67.099998,64.349998,67.099998,59.450153,2920
49,2014-06-01,66.25,69.0,65.800003,68.0,60.247543,5500
50,2014-07-01,70.0,74.949997,69.75,72.150002,63.924419,11540
51,2014-08-01,71.5,72.199997,70.650002,72.0,63.791523,5620
52,2014-09-01,71.25,72.0,63.150002,63.150002,55.950481,9940
53,2014-10-01,62.349998,62.349998,56.5,58.650002,51.963509,8280
54,2014-11-01,58.650002,61.099998,57.0,57.0,50.501617,8660
55,2014-12-01,55.849998,56.849998,50.450001,54.299999,48.10944,61060
56,2015-01-01,55.049999,55.099998,48.549999,50.049999,44.905811,83120
57,2015-02-01,50.299999,55.849998,50.25,55.849998,50.109676,17880
58,2015-03-01,55.900002,55.900002,51.650002,53.5,48.001213,16320
59,2015-04-01,53.700001,58.799999,53.700001,58.799999,52.756477,12660
60,2015-05-01,59.599998,60.299999,53.950001,53.950001,48.404964,6600
61,2015-06-01,53.700001,55.400002,49.950001,49.950001,44.81609,8480
62,2015-07-01,49.950001,49.950001,39.400002,41.200001,36.965424,17200
63,2015-08-01,40.450001,45.299999,33.099998,37.25,33.421406,14220
64,2015-09-01,36.25,37.650002,31.15,31.15,27.94837,18380
65,2015-10-01,31.35,39.349998,31.35,32.799999,29.428782,35760
66,2015-11-01,32.5,34.700001,30.25,31.0,27.813786,78820
67,2015-12-01,31.65,31.700001,27.65,29.65,26.602543,33520
68,2016-01-01,29.0,29.5,21.9,25.6,23.215374,36200
69,2016-02-01,25.4,29.450001,23.9,28.5,25.84524,84700
70,2016-03-01,28.9,34.849998,28.9,31.75,28.792505,71300
71,2016-04-01,31.5,37.799999,29.85,37.799999,34.278954,27400
72,2016-05-01,38.599998,38.599998,32.5,33.0,29.926067,30080
73,2016-06-01,32.950001,35.950001,32.299999,35.349998,32.057163,45420
74,2016-07-01,35.400002,39.099998,34.950001,39.099998,35.457851,36920
75,2016-08-01,38.599998,40.299999,38.099998,38.799999,35.185799,29200
76,2016-09-01,38.549999,41.0,38.200001,40.75,36.954159,39040
77,2016-10-01,41.25,42.150002,39.049999,41.75,37.861008,28480
78,2016-11-01,42.150002,50.700001,40.799999,48.75,44.208961,101080
79,2016-12-01,48.950001,51.099998,45.450001,45.599998,41.352383,71560
80,2017-01-01,46.299999,54.400002,46.049999,53.099998,48.674908,181440
81,2017-02-01,53.849998,56.450001,50.549999,50.650002,46.429081,125840
82,2017-03-01,51.650002,53.400002,47.25,49.549999,45.42075,473660
83,2017-04-01,49.25,51.0,47.099998,48.700001,44.641582,28640
84,2017-05-01,47.950001,48.799999,45.299999,46.700001,42.808254,37700
85,2017-06-01,46.700001,49.099998,45.150002,48.549999,44.504086,23220
86,2017-07-01,49.5,55.099998,48.200001,55.0,50.416576,116480
87,2017-08-01,55.0,58.599998,52.450001,58.599998,53.71656,122360
88,2017-09-01,59.549999,60.0,55.450001,56.849998,52.112404,49760
89,2017-10-01,56.900002,61.950001,56.849998,59.5,54.541565,91360
90,2017-11-01,61.200001,61.200001,56.049999,57.450001,52.662403,25760
91,2017-12-01,57.950001,62.599998,55.700001,62.0,56.833225,35740
92,2018-01-01,62.650002,67.300003,62.150002,62.150002,57.721577,103380
93,2018-02-01,62.150002,64.099998,56.849998,60.5,56.189148,115260
94,2018-03-01,61.299999,62.599998,54.650002,56.349998,52.334846,42240
95,2018-04-01,57.400002,61.0,54.599998,57.25,53.170719,22260
96,2018-05-01,55.650002,60.799999,55.599998,57.900002,53.774406,18200
97,2018-06-01,58.150002,60.900002,54.0,55.25,51.313229,54680
98,2018-07-01,54.5,56.0,53.049999,55.75,51.777599,43740
99,2018-08-01,55.900002,55.900002,49.75,52.700001,48.944923,43040
100,2018-09-01,52.25,54.5,50.099998,52.950001,49.177113,45360
101,2018-10-01,52.900002,53.299999,42.200001,45.0,41.793579,10340
102,2018-11-01,45.5,49.5,43.450001,44.599998,41.422077,20860
103,2018-12-01,45.099998,46.25,38.599998,39.200001,36.406853,20740
104,2019-01-01,38.599998,43.720001,38.599998,43.720001,42.274216,8520
105,2019-02-01,43.470001,47.25,42.959999,46.599998,45.058971,7000
106,2019-03-01,46.599998,46.880001,43.450001,45.560001,44.053364,42700
107,2019-04-01,47.080002,48.75,46.200001,46.310001,44.778564,23100
108,2019-05-01,45.93,46.310001,40.59,40.599998,39.257385,41400
109,2019-06-01,40.599998,45.57,40.599998,45.259998,43.763283,12900
110,2019-07-01,45.040001,45.240002,42.959999,42.959999,41.539345,25400
111,2019-08-01,42.799999,42.799999,36.389999,38.34,37.072124,18200
112,2019-09-01,37.689999,43.900002,37.619999,40.950001,39.595818,46100
113,2019-10-01,40.950001,41.73,38.830002,40.689999,39.34441,22800
114,2019-11-01,40.689999,44.529999,40.689999,43.139999,41.713394,15900
115,2019-12-01,42.759998,45.700001,41.84,44.360001,42.893047,22800
116,2020-01-01,44.529999,44.599998,37.509998,37.549999,37.159481,38600
117,2020-02-01,37.57,40.5,32.57,33.900002,33.547443,51300
118,2020-03-01,34.52,35.16,19.99,24.85,24.59156,166200
119,2020-04-01,24.879999,29.209999,23.5,29.059999,28.757776,21700
120,2020-05-01,28.280001,31.700001,26.59,31.700001,31.370321,16400
121,2020-06-01,31.620001,35.860001,31.4,33.450001,33.102119,29400
122,2020-07-01,34.16,36.889999,33.919998,35.049999,34.685478,46800
123,2020-08-01,35.68,39.59,35.669998,39.16,38.752735,55000
124,2020-09-01,39.59,40.549999,34.889999,35.849998,35.477158,84800
125,2020-10-01,36.380001,39.619999,36.0,36.830002,36.446968,22500
126,2020-11-01,37.080002,46.610001,37.080002,44.98,44.512207,36200
127,2020-12-01,45.349998,50.41,45.349998,50.349998,49.826359,141700
128,2021-01-01,50.990002,55.970001,47.23,48.169998,48.169998,95200
129,2021-02-01,49.299999,60.689999,48.98,56.470001,56.470001,152800
130,2021-03-01,58.169998,62.009998,51.790001,55.709999,55.709999,238200
131,2021-04-01,56.549999,56.549999,55.75,56.25,56.25,3700
132,2021-04-01,56.549999,56.549999,55.75,56.25,56.25,3720
