,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-03-25,15.11,15.19,15.11,15.15,11.433272,109000
1,2013-04-01,15.15,15.18,15.15,15.18,11.455915,6600
2,2013-04-08,15.18,15.29,15.18,15.29,11.53893,230000
3,2013-04-15,15.3,15.33,15.3,15.33,11.569119,16500
4,2013-04-22,15.36,15.36,15.27,15.32,11.561568,28600
5,2013-04-29,15.31,15.38,15.28,15.28,11.568284,16100
6,2013-05-06,15.26,15.26,15.25,15.25,11.545577,3700
7,2013-05-13,15.25,15.25,15.14,15.14,11.462298,56800
8,2013-05-20,15.14,15.14,15.09,15.09,11.42444,1000
9,2013-05-27,15.09,15.09,14.88,14.88,11.26545,242300
10,2013-06-03,14.75,14.9,14.75,14.86,11.286961,18400
11,2013-06-10,14.69,14.76,14.59,14.76,11.211006,21500
12,2013-06-17,14.76,14.76,14.31,14.31,10.869208,43200
13,2013-06-24,14.31,14.31,14.31,14.31,10.869208,0
14,2013-07-01,14.33,14.33,14.1,14.1,10.744233,9500
15,2013-07-08,14.03,14.38,14.03,14.38,10.957596,3600
16,2013-07-15,14.38,14.49,14.38,14.45,11.010934,103000
17,2013-07-22,14.49,14.53,14.29,14.44,11.003313,1275700
18,2013-07-29,14.35,14.41,14.23,14.37,10.985023,5700
19,2013-08-05,14.26,14.48,14.25,14.44,11.038527,6200
20,2013-08-12,14.34,14.35,14.12,14.13,10.801557,40200
21,2013-08-19,14.13,14.18,14.01,14.09,10.770975,51700
22,2013-08-26,14.15,14.26,14.1,14.16,10.824486,85100
23,2013-09-02,14.24,14.24,13.9,14.0,10.736959,47500
24,2013-09-09,14.0,14.08,13.94,14.05,10.775305,134900
25,2013-09-16,14.1,14.21,14.03,14.21,10.898013,125400
26,2013-09-23,14.2,14.33,14.2,14.27,10.944033,149900
27,2013-09-30,14.25,14.35,14.2,14.28,10.986966,132800
28,2013-10-07,14.3,14.36,14.21,14.29,10.99466,127200
29,2013-10-14,14.29,14.46,14.26,14.44,11.110069,31300
30,2013-10-21,14.45,14.58,14.45,14.5,11.156232,108400
31,2013-10-28,14.47,14.52,14.43,14.47,11.13315,64200
32,2013-11-04,14.45,14.45,14.29,14.35,11.075961,63200
33,2013-11-11,14.38,14.42,14.3,14.42,11.129993,34000
34,2013-11-18,14.41,14.45,14.35,14.42,11.129993,104400
35,2013-11-25,14.42,14.46,14.31,14.31,11.045087,65300
36,2013-12-02,14.35,14.39,14.28,14.29,11.064977,219000
37,2013-12-09,14.31,14.4,14.31,14.38,11.134664,202200
38,2013-12-16,14.36,14.46,14.34,14.4,11.150149,12700
39,2013-12-23,14.44,14.44,14.31,14.31,11.080461,800
40,2013-12-30,14.31,14.35,14.31,14.35,11.147016,6100
41,2014-01-06,14.37,14.47,14.32,14.4,11.18586,38400
42,2014-01-13,14.54,14.55,14.45,14.55,11.302376,243800
43,2014-01-20,14.46,14.52,14.46,14.52,11.279075,104000
44,2014-01-27,14.5,14.56,14.48,14.54,11.294606,132400
45,2014-02-03,14.55,14.61,14.52,14.59,11.369518,146400
46,2014-02-10,14.53,14.62,14.5,14.59,11.369518,29900
47,2014-02-17,14.58,14.65,14.56,14.6,11.377308,365800
48,2014-02-24,14.62,14.68,14.58,14.63,11.400689,338900
49,2014-03-03,14.67,14.72,14.46,14.5,11.335146,1092400
50,2014-03-10,14.5,14.7,14.47,14.63,11.436774,158400
51,2014-03-17,14.65,14.65,14.5,14.58,11.397684,62400
52,2014-03-24,14.57,14.62,14.52,14.61,11.421137,21700
53,2014-03-31,14.53,14.63,14.52,14.63,11.472918,58900
54,2014-04-07,14.55,14.74,14.55,14.72,11.543494,22700
55,2014-04-14,14.75,14.76,14.61,14.61,11.457237,17600
56,2014-04-21,14.6,14.69,14.6,14.63,11.472918,26100
57,2014-04-28,14.69,14.74,14.58,14.74,11.595586,6600
58,2014-05-05,14.7,14.78,14.7,14.72,11.579853,29700
59,2014-05-12,14.71,14.89,14.71,14.86,11.68999,59500
60,2014-05-19,14.86,14.9,14.79,14.79,11.634925,582000
61,2014-05-26,14.93,14.93,14.83,14.91,11.729325,2600
62,2014-06-02,14.83,14.84,14.77,14.78,11.662992,4500
63,2014-06-09,14.84,14.84,14.75,14.84,11.710336,1800
