,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-04-08,15.36,15.36,15.18,15.28,11.571055,97500
1,2013-04-15,15.28,15.36,15.28,15.35,11.624069,13000
2,2013-04-22,15.34,15.34,15.21,15.21,11.518047,41100
3,2013-04-29,15.21,15.43,15.2,15.2,11.54812,53500
4,2013-05-06,15.2,15.28,15.08,15.08,11.456949,12500
5,2013-05-13,15.11,15.11,15.1,15.1,11.472139,13800
6,2013-05-20,15.1,15.1,15.1,15.1,11.472139,0
7,2013-05-27,15.1,15.1,14.86,14.86,11.289804,400
8,2013-06-03,14.86,14.9,14.78,14.78,11.266331,6400
9,2013-06-10,14.78,14.82,14.63,14.82,11.29682,17500
10,2013-06-17,14.8,14.8,14.47,14.47,11.030027,16000
11,2013-06-24,14.16,14.22,14.12,14.22,10.839461,10900
12,2013-07-01,14.22,14.22,14.12,14.12,10.799943,200
13,2013-07-08,14.12,14.12,14.12,14.12,10.799943,0
14,2013-07-15,14.31,14.31,14.25,14.27,10.914677,148100
15,2013-07-22,14.27,14.27,14.15,14.16,10.830543,1200
16,2013-07-29,14.11,14.11,13.96,14.07,10.798254,1400
17,2013-08-05,14.07,14.11,14.07,14.09,10.81361,1100
18,2013-08-12,14.09,14.09,13.71,13.71,10.521967,24400
19,2013-08-19,13.63,13.68,13.63,13.63,10.460568,37900
20,2013-08-26,13.63,13.63,13.63,13.63,10.460568,0
21,2013-09-02,13.69,13.69,13.53,13.6,10.474432,50300
22,2013-09-09,13.6,13.62,13.45,13.53,10.420522,135300
23,2013-09-16,13.61,13.64,13.47,13.64,10.505239,102800
24,2013-09-23,13.73,13.9,13.73,13.88,10.69008,111600
25,2013-09-30,13.88,13.93,13.81,13.81,10.67316,110900
26,2013-10-07,13.84,13.85,13.7,13.71,10.59588,86700
27,2013-10-14,13.65,13.8,13.6,13.8,10.665432,62600
28,2013-10-21,13.81,14.06,13.81,14.06,10.866374,3200
29,2013-10-28,14.02,14.06,14.01,14.06,10.866374,15300
30,2013-11-04,13.95,13.95,13.88,13.88,10.764009,400
31,2013-11-11,13.88,13.88,13.81,13.81,10.709722,200
32,2013-11-18,13.81,13.96,13.77,13.77,10.678707,286200
33,2013-11-25,13.77,13.86,13.77,13.86,10.748494,5000
34,2013-12-02,13.86,13.86,13.69,13.69,10.653797,1000
35,2013-12-09,13.69,13.69,13.69,13.69,10.653797,0
36,2013-12-16,13.79,13.79,13.79,13.79,10.731625,3500
37,2013-12-23,13.79,13.79,13.79,13.79,10.731625,0
38,2013-12-30,13.81,13.81,13.79,13.79,10.769109,300
39,2014-01-06,13.87,13.87,13.86,13.86,10.823771,600
40,2014-01-13,13.86,14.16,13.86,14.16,11.058049,1700
41,2014-01-20,14.16,14.22,14.16,14.2,11.089287,1100
42,2014-01-27,14.2,14.4,14.2,14.4,11.245478,10800
43,2014-02-03,14.4,14.43,14.24,14.24,11.158245,500
44,2014-02-10,14.24,14.24,14.17,14.24,11.158245,87500
45,2014-02-17,14.22,14.25,14.22,14.25,11.16608,1400
46,2014-02-24,14.25,14.4,14.25,14.39,11.275784,31800
47,2014-03-03,14.45,14.49,14.2,14.2,11.164506,21900
48,2014-03-10,14.24,14.45,14.24,14.45,11.361071,47700
49,2014-03-17,14.4,14.41,14.18,14.18,11.148785,57400
50,2014-03-24,14.34,14.35,14.34,14.34,11.274585,11100
51,2014-03-31,14.34,14.34,14.15,14.25,11.24142,6500
52,2014-04-07,14.29,14.32,14.26,14.32,11.296645,36200
53,2014-04-14,14.32,14.41,14.32,14.41,11.367644,5200
54,2014-04-21,14.39,14.41,14.35,14.35,11.320312,12900
55,2014-04-28,14.31,14.36,14.26,14.35,11.358145,14000
56,2014-05-05,14.4,14.43,14.37,14.43,11.421465,7800
57,2014-05-12,14.37,14.63,14.37,14.63,11.579763,1100
58,2014-05-19,14.62,14.62,14.53,14.53,11.500615,900
59,2014-05-26,14.57,14.71,14.54,14.68,11.619342,4900
60,2014-06-02,14.61,14.61,14.49,14.52,11.530744,16800
61,2014-06-09,14.56,14.58,14.56,14.56,11.562505,7800
62,2014-06-16,14.56,14.7,14.56,14.61,11.602216,19500
63,2014-06-23,14.62,14.66,14.59,14.66,11.641921,1000
64,2014-06-30,14.66,14.66,14.52,14.55,11.59252,12600
65,2014-07-07,14.55,14.73,14.55,14.73,11.735933,24700
66,2014-07-14,14.73,14.88,14.73,14.86,11.839509,8400
67,2014-07-21,14.86,15.02,14.86,14.98,11.935121,40600
68,2014-07-28,14.95,14.95,14.91,14.91,11.879345,14000
69,2014-08-04,14.91,15.02,14.91,15.02,12.005456,29000
70,2014-08-11,15.03,15.13,14.95,15.13,12.09338,53500
71,2014-08-18,15.07,15.07,15.0,15.02,12.005456,20700
72,2014-08-25,15.08,15.18,15.07,15.18,12.133345,12300
73,2014-09-01,15.05,15.05,14.99,14.99,12.019662,6700
74,2014-09-08,15.02,15.02,14.82,14.82,11.883347,6400
75,2014-09-15,14.82,14.82,14.73,14.78,11.851273,47100
76,2014-09-22,14.84,14.89,14.84,14.89,11.939479,41800
77,2014-09-29,14.89,15.01,14.89,15.01,12.073043,400
78,2014-10-06,15.02,15.15,15.02,15.13,12.169564,2000
79,2014-10-13,15.22,15.45,15.16,15.16,12.193692,26800
80,2014-10-20,15.19,15.19,15.08,15.08,12.129348,3300
81,2014-10-27,15.08,15.08,14.92,14.97,12.040871,6100
82,2014-11-03,14.96,14.96,14.96,14.96,12.069642,100
83,2014-11-10,14.96,14.96,14.94,14.96,12.069642,4800
84,2014-11-17,15.06,15.12,15.05,15.12,12.19873,1800
85,2014-11-24,15.16,15.43,15.15,15.43,12.448838,9800
86,2014-12-01,15.43,15.43,15.22,15.23,12.324975,10200
87,2014-12-08,15.29,15.44,15.29,15.44,12.494919,0
88,2014-12-15,15.62,15.62,15.54,15.54,12.575849,0
89,2014-12-22,15.58,15.58,15.53,15.53,12.567751,0
90,2014-12-29,15.33,15.62,15.33,15.62,12.687818,0
91,2015-01-05,15.61,15.83,15.61,15.83,12.858401,0
92,2015-01-12,15.8,16.01,15.8,16.01,13.004604,0
93,2015-01-19,16.09,16.25,16.09,16.25,13.199555,0
94,2015-01-26,16.370001,16.549999,16.370001,16.549999,13.443238,0
95,2015-02-02,16.870001,16.99,16.85,16.99,13.839533,0
96,2015-02-09,16.57,16.6,16.51,16.51,13.44854,0
97,2015-02-16,16.540001,16.540001,16.370001,16.48,13.424109,0
98,2015-02-23,16.58,16.76,16.58,16.76,13.652187,0
99,2015-03-02,16.84,16.84,16.41,16.41,13.40427,0
100,2015-03-09,16.110001,16.290001,16.110001,16.290001,13.306253,0
101,2015-03-16,16.35,16.84,16.35,16.82,13.739174,5100
102,2015-03-23,16.82,16.82,16.610001,16.610001,13.567636,1600
103,2015-03-30,16.610001,16.68,16.610001,16.68,13.662206,0
104,2015-04-06,16.790001,16.790001,16.59,16.6,13.596676,7100
105,2015-04-13,16.6,16.780001,16.6,16.690001,13.67039,5100
106,2015-04-20,16.690001,16.690001,16.459999,16.459999,13.482003,14700
107,2015-04-27,16.559999,16.559999,16.0,16.0,13.105227,4800
108,2015-05-04,16.0,16.0,15.67,15.67,12.870906,3300
109,2015-05-11,15.95,15.96,15.69,15.96,13.109104,4800
110,2015-05-18,15.96,15.96,15.65,15.73,12.920186,7900
111,2015-05-25,15.81,16.15,15.78,16.15,13.265165,3700
112,2015-06-01,16.15,16.15,15.71,15.75,12.974364,8600
113,2015-06-08,15.75,15.75,15.6,15.69,12.924939,10500
114,2015-06-15,15.69,15.8,15.69,15.75,12.974364,0
115,2015-06-22,15.77,15.77,15.59,15.66,12.900229,0
116,2015-06-29,15.47,15.79,15.47,15.79,13.045659,0
117,2015-07-06,15.72,15.95,15.7,15.71,12.979563,6100
118,2015-07-13,15.71,16.0,15.71,15.99,13.2109,3500
119,2015-07-20,15.99,16.129999,15.91,16.129999,13.326565,200
120,2015-07-27,16.129999,16.190001,15.97,15.97,13.194379,0
121,2015-08-03,16.18,16.26,16.139999,16.26,13.472395,24700
122,2015-08-10,16.23,16.27,16.16,16.190001,13.414395,13400
123,2015-08-17,16.219999,16.27,16.18,16.26,13.472395,3200
124,2015-08-24,16.26,16.26,15.71,15.71,13.016685,0
125,2015-08-31,15.74,15.74,15.66,15.68,13.028847,1400
126,2015-09-07,15.68,15.68,15.57,15.65,13.003916,10400
127,2015-09-14,15.65,15.65,15.38,15.38,12.779572,2300
128,2015-09-21,15.63,15.63,15.43,15.43,12.821115,2900
129,2015-09-28,15.43,15.5,15.43,15.43,12.859035,4400
130,2015-10-05,15.46,15.46,15.32,15.32,12.767362,0
131,2015-10-12,15.22,15.38,15.22,15.38,12.817369,0
132,2015-10-19,15.37,15.41,15.31,15.41,12.842368,0
133,2015-10-26,15.38,15.51,15.38,15.47,12.892366,0
134,2015-11-02,15.34,15.34,15.07,15.13,12.64685,3200
135,2015-11-09,15.13,15.2,15.06,15.19,12.696998,48000
